SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.258108,0.000215,19.731415,-208.806641,-3.304008,0.004597,14.367706,-570.921875,-2.359222,0.001842
CCCCCl,CC(=O)Nc1ccc(C=O)cc1,0.275267,0.000227,16.473145,1332.085938,-2.981720,0.003112,9.789001,433.515625,-2.236282,0.006132
CCCCCl,Cc1cccc(CO)c1,0.281443,0.000249,16.474457,573.746094,-3.130119,0.004796,12.025238,-89.853516,-2.311531,0.004626
CCCCCl,COC(C)CO,0.272634,0.000234,16.628876,246.384766,-3.157387,0.005043,14.538544,-374.572266,-2.487549,0.003736
CCCCCl,Nc1nc(=O)c2ccccc2o1,0.256203,0.000191,15.711273,2259.953125,-2.791901,0.000787,7.956940,1103.519531,-2.184166,0.008110
CCCCCl,CC(Cl)Br,0.266290,0.000237,17.925110,-464.931641,-3.202957,0.005776,16.389618,-584.542969,-2.531799,0.001066
CCCCCl,CCCOC(F)F,0.273144,0.000246,17.174133,-353.587891,-3.110413,0.005879,15.926788,-549.865234,-2.533630,0.001547
CCCCCl,COC1CC2CCC1(C)C2(C)C,0.260747,0.000224,17.865692,-378.417969,-3.145576,0.005272,16.418121,-683.009766,-2.615181,0.001682
CCCCCl,CCC(=O)C1=NCCC1,0.262045,0.000226,18.273071,-276.953125,-3.241768,0.005230,16.414673,-708.269531,-2.615646,0.002152
CCCCCl,NC(CF)(CF)CF,0.270101,0.000226,16.212097,180.537109,-3.163734,0.005833,14.544556,-264.664062,-2.382240,0.003027
CCCCCl,CC(C)CCCC(C)CC=O,0.264918,0.000233,18.304077,-297.037109,-3.247276,0.005440,16.228210,-706.175781,-2.619835,0.002126
CCCCCl,Cc1coc(C)n1,0.263650,0.000226,17.959991,-244.744141,-3.242661,0.005518,16.189423,-618.869141,-2.570045,0.002006
CCCCCl,NC(=S)NC(N)=S,0.249822,0.000168,15.785370,1228.910156,-3.133270,0.004929,11.542511,588.744141,-2.083168,0.004349
CCCCCl,FC(F)C(Cl)C(F)F,0.265483,0.000231,17.897614,-345.546875,-3.257698,0.005748,15.848572,-486.464844,-2.442726,0.001305
CCCCCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265309,0.000219,15.539490,273.628906,-2.837204,0.004795,13.405029,-180.693359,-2.351517,0.003188
CCCCCl,NNC(=O)c1ccccc1,0.281087,0.000236,15.654175,1096.675781,-3.078705,0.004369,10.397919,329.400391,-2.144272,0.005681
CCCCCl,ClC=CBr,0.264987,0.000233,17.592316,-496.259766,-3.156380,0.005791,16.584534,-580.285156,-2.543114,0.000902
CCCCCl,CN(C)N=O,0.263670,0.000213,17.459412,58.753906,-3.156540,0.004877,14.337219,-356.943359,-2.291122,0.002541
CCCCCl,c1ccc(C2CCCCC2)cc1,0.274909,0.000250,17.322571,-292.308594,-3.126923,0.005878,15.487122,-580.513672,-2.541405,0.001963
CCCCCl,N#Cc1ccncc1,0.260958,0.000219,18.960266,-209.224609,-3.265083,0.004806,15.272919,-618.185547,-2.461472,0.002146
CCCCCl,CN(C)C(=S)Nc1ccccc1,0.263768,0.000216,18.593811,213.496094,-3.199493,0.004173,12.868042,-272.814453,-2.247902,0.002993
CCCCCl,CCC(N)CC,0.261018,0.000220,17.330536,-133.527344,-3.244438,0.006001,16.645325,-596.742188,-2.658516,0.002445
CCCCCl,COC(=O)CO,0.271853,0.000228,16.375977,335.650391,-3.169678,0.004845,13.278473,-104.070312,-2.248123,0.003444
CCCCCl,Cc1c(N)cccc1Cl,0.266891,0.000227,17.600525,49.226562,-3.194611,0.004986,14.478455,-478.615234,-2.439789,0.002953
CCCCCl,CC1CCC(C(C)(C)OO)CC1,0.276668,0.000247,17.019836,355.244141,-3.160789,0.004756,13.879486,-344.876953,-2.544373,0.004307
CCCCCl,CC(F)(Cl)CF,0.270427,0.000242,17.639526,-361.478516,-3.211990,0.005895,16.012665,-535.435547,-2.493011,0.001445
CCCCCl,CCCCC1OC(C)CC(C)(C)O1,0.260986,0.000226,18.269012,-338.314453,-3.195251,0.005134,16.678345,-762.718750,-2.692886,0.002119
CCCCCl,CC(C)(C)OCC1CO1,0.264010,0.000231,18.337555,-339.699219,-3.255379,0.005419,16.707520,-734.539062,-2.659859,0.002021
CCCCCl,O=P(O)(O)OP(=O)(O)O,0.204081,0.000093,13.926300,3862.078125,-2.266167,-0.001553,6.288330,2386.564453,-2.127258,0.009719
CCCCCl,CC(=O)Nc1ccc(C)cc1,0.283208,0.000248,16.820007,806.009766,-3.076782,0.004208,11.290192,28.126953,-2.314827,0.005151
CCCCCl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.253185,0.000183,17.958069,779.291016,-3.318008,0.004482,11.215729,344.650391,-2.046783,0.003246
CCCCCl,CC(C)(O)CCC1CCCCC1,0.282282,0.000255,16.608063,559.572266,-3.126183,0.004899,12.673950,-141.050781,-2.455009,0.004776
CCCCCl,COCC(F)(F)F,0.270498,0.000236,16.676270,-225.152344,-3.065941,0.005683,15.647430,-489.146484,-2.480591,0.001889
CCCCCl,COCC(O)COC,0.266644,0.000226,17.352692,-79.318359,-3.197884,0.005181,15.534363,-575.865234,-2.496971,0.002660
CCCCCl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.269672,0.000218,15.722748,1668.978516,-2.944679,0.002287,9.973480,589.324219,-2.400711,0.007237
CCCCCl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.263751,0.000204,15.900024,1447.740234,-3.025261,0.002706,9.846161,517.378906,-2.166557,0.006408
CCCCCl,CC(C)C(F)F,0.275154,0.000250,17.067108,-347.283203,-3.121964,0.006055,15.684296,-530.339844,-2.501785,0.001544
CCCCCl,CCCCC1C=C(C)CC(C)O1,0.259405,0.000222,18.110504,-359.013672,-3.164383,0.005108,16.434418,-717.261719,-2.635612,0.001868
CCCCCl,COc1ccc(C(C)=O)cc1,0.268478,0.000231,18.230469,-125.455078,-3.203545,0.005150,14.511963,-518.074219,-2.403488,0.002256
CCCCCl,Oc1cc(O)ncn1,0.269472,0.000211,13.760834,1939.378906,-2.870049,0.002987,9.830139,857.402344,-2.301369,0.007826
CCCCCl,COCCCCl,0.268572,0.000234,17.180603,-304.089844,-3.105721,0.005588,16.161835,-632.371094,-2.575211,0.001967
CCCCCl,CCCOC,0.260703,0.000222,17.653442,-399.039062,-3.153137,0.005396,16.885376,-693.925781,-2.640968,0.001598
CCCCCl,Fc1c(F)c(F)c(F)c(F)c1F,0.270756,0.000239,16.802368,-258.910156,-3.024048,0.005649,14.749542,-483.492188,-2.406410,0.001739
CCCCCl,CCP(CC)CC,0.260149,0.000225,18.111267,-394.847656,-3.197044,0.005360,16.498810,-685.619141,-2.608749,0.001577
CCCCCl,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.263726,0.000232,18.397064,-270.957031,-3.243965,0.005235,16.814484,-789.542969,-2.751648,0.002479
CCCCCl,Fc1cc(F)c(F)cc1F,0.268489,0.000238,17.666748,-340.855469,-3.166641,0.005719,15.462860,-566.447266,-2.469841,0.001598
CCCCCl,CCCCc1ccc(C(=O)O)cc1,0.280456,0.000250,16.758820,563.720703,-3.121239,0.004537,12.435852,-157.873047,-2.418365,0.004724
CCCCCl,C=Cc1c(C)cc(C)cc1C,0.272166,0.000248,17.741150,-349.789062,-3.185745,0.005845,15.921173,-607.257812,-2.580093,0.001732
CCCCCl,C=C(C)C(=O)OC(C)(C)C,0.264506,0.000233,18.320038,-342.578125,-3.262367,0.005562,16.257660,-682.984375,-2.599892,0.001851
CCCCCl,FC1CCCN1,0.267063,0.000230,17.585876,-156.921875,-3.199135,0.005360,15.355957,-489.134766,-2.455185,0.002061
CCCCCl,CCCCCCCC(=O)NC,0.277328,0.000243,17.342102,646.859375,-3.083069,0.004026,12.217377,-138.279297,-2.401962,0.004843
CCCCCl,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.272105,0.000232,15.371429,142.177734,-2.865402,0.005618,13.800537,-243.966797,-2.378639,0.002853
CCCCCl,C1=CC2C=CC1C2,0.272678,0.000245,17.071442,-348.966797,-3.104187,0.005961,15.730774,-539.626953,-2.519562,0.001576
CCCCCl,CCC(C)(O)CCC=C(C)C,0.277484,0.000249,16.897644,384.679688,-3.159370,0.005007,13.496429,-282.386719,-2.499008,0.004326
CCCCCl,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.263284,0.000232,17.988647,-197.195312,-3.188950,0.004859,17.696991,-843.566406,-3.050758,0.003156
CCCCCl,CCC(C)CCF,0.273264,0.000246,17.025787,-336.457031,-3.094017,0.005941,15.777985,-557.488281,-2.531990,0.001650
CCCCCl,C=Cc1cccc(CC)c1,0.271971,0.000248,17.846069,-358.492188,-3.205795,0.005872,16.050781,-621.054688,-2.590767,0.001725
CCCCCl,CC(C)(C(O)(F)F)C(F)(F)F,0.249669,0.000204,18.181824,-279.904297,-3.198555,0.004856,16.475861,-639.369141,-2.563446,0.001729
CCCCCl,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.270511,0.000238,16.814667,-342.554688,-3.017632,0.005614,15.565643,-525.593750,-2.535858,0.001759
CCCCCl,CCN(CC)c1ccc(N)cc1,0.267551,0.000228,17.661041,140.199219,-3.195206,0.004749,14.641846,-501.251953,-2.514397,0.003442
CCCCCl,FC(F)CC(F)(F)F,0.276271,0.000245,16.465668,-129.367188,-3.096092,0.006020,14.654175,-337.222656,-2.335503,0.002002
CCCCCl,N#CCCOCCC#N,0.259612,0.000204,18.521118,337.832031,-3.258102,0.004417,11.638397,23.830078,-2.023499,0.002420
CCCCCl,CCC(C)C(C)C(C)C,0.271442,0.000235,16.486389,-262.054688,-2.933197,0.005329,14.851257,-435.087891,-2.488159,0.002247
CCCCCl,Cn1c(=O)ccc2ccccc21,0.262190,0.000215,18.478424,13.732422,-3.195763,0.004619,14.084167,-424.871094,-2.336540,0.002412
CCCCCl,CCOC(=O)c1ccccc1N,0.272635,0.000238,17.566071,172.625000,-3.172699,0.004788,13.840851,-423.316406,-2.448906,0.003525
CCCCCl,ClC1CN2CCC1CC2,0.262912,0.000229,18.192352,-341.859375,-3.223030,0.005320,16.694397,-704.988281,-2.654457,0.001903
CCCCCl,CC=CCCCCCCCC#N,0.267369,0.000235,18.534332,-224.167969,-3.240112,0.005279,15.193268,-640.888672,-2.517105,0.002232
CCCCCl,COCCl,0.268206,0.000235,17.593201,-301.371094,-3.206253,0.005734,15.761688,-495.542969,-2.456276,0.001524
CCCCCl,NCCc1cccnc1,0.270038,0.000222,16.460144,407.367188,-3.233017,0.005516,13.913147,-189.660156,-2.396286,0.003923
CCCCCl,Cc1cccc(C(=O)O)c1,0.278115,0.000244,16.839050,548.160156,-3.137726,0.004466,12.238068,-128.738281,-2.345833,0.004484
CCCCCl,C=CCNC,0.264371,0.000229,17.549835,-219.669922,-3.231689,0.005753,16.520294,-633.115234,-2.627975,0.002170
CCCCCl,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.263224,0.000206,13.987061,463.388672,-2.629189,0.004783,12.836914,161.144531,-2.426506,0.003829
CCCCCl,CC(CO)C(F)(F)F,0.284176,0.000254,15.633514,601.599609,-3.091553,0.005371,12.782959,-44.759766,-2.386879,0.004704
CCCCCl,CC(C)C(=O)C(F)(F)F,0.274080,0.000247,17.107941,-232.343750,-3.100357,0.005819,15.296814,-528.845703,-2.491585,0.001971
CCCCCl,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.267090,0.000223,15.824371,244.304688,-2.911423,0.005002,13.792175,-246.914062,-2.430489,0.003291
CCCCCl,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.265738,0.000237,18.469238,-254.810547,-3.228439,0.005182,16.352539,-759.964844,-2.712036,0.002530
CCCCCl,C=CCN(C)CC=C,0.265438,0.000232,17.654358,-375.423828,-3.151527,0.005511,16.629150,-676.937500,-2.656265,0.001743
CCCCCl,COCC(F)C(F)(F)F,0.273873,0.000241,16.461121,-148.302734,-3.034203,0.005724,15.374176,-494.082031,-2.487305,0.002252
CCCCCl,CNC(C)(C)C,0.259814,0.000218,17.431793,-238.925781,-3.157654,0.005467,16.631195,-659.935547,-2.641273,0.002133
CCCCCl,C1COCCOCCOCCO1,0.262496,0.000217,17.301422,-57.369141,-3.217278,0.005116,15.635468,-610.232422,-2.504326,0.002810
CCCCCl,O=NF,0.257612,0.000205,17.011719,-4.291016,-3.228554,0.005757,15.373047,-120.574219,-2.270454,0.001674
CCCCCl,CCN(CC)CCN,0.261226,0.000220,17.267609,-81.136719,-3.263275,0.005725,16.672516,-637.623047,-2.657440,0.002906
CCCCCl,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.275428,0.000244,16.183563,-124.248047,-2.922264,0.005516,14.537079,-444.312500,-2.454193,0.002380
CCCCCl,CC(=O)Nc1ccc(Br)cc1,0.278944,0.000240,17.171112,916.666016,-3.092789,0.003799,10.718506,149.794922,-2.253571,0.005258
CCCCCl,c1ccc(COc2ccccc2)cc1,0.271280,0.000244,18.087524,-292.769531,-3.225693,0.005686,15.391510,-608.447266,-2.517128,0.001961
CCCCCl,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.271149,0.000228,15.032928,-50.564453,-2.709534,0.005247,13.968140,-276.701172,-2.399010,0.002490
CCCCCl,CC(C)(C)OCF,0.267165,0.000236,17.701904,-357.857422,-3.190559,0.005671,16.380829,-625.207031,-2.579811,0.001630
