SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOC#N,O=P(Cl)(c1ccccc1)c1ccccc1,0.251685,0.000212,18.968323,-259.726562,-3.247658,0.004857,16.356018,-718.261719,-2.663040,0.002052
CCOC#N,CC(=O)Nc1ccc(C=O)cc1,0.267169,0.000234,17.593689,167.710938,-3.159370,0.005114,15.023438,-426.695312,-2.611832,0.003446
CCOC#N,Cc1cccc(CO)c1,0.259097,0.000217,16.982300,22.558594,-3.114738,0.005556,15.366547,-368.591797,-2.577980,0.002711
CCOC#N,COC(C)CO,0.259420,0.000215,16.870514,-24.796875,-3.113869,0.005702,16.517609,-487.019531,-2.719048,0.002797
CCOC#N,Nc1nc(=O)c2ccccc2o1,0.263822,0.000220,18.159058,699.992188,-3.134392,0.003740,12.345612,-70.326172,-2.432564,0.004743
CCOC#N,CC(Cl)Br,0.261698,0.000215,16.573395,-564.830078,-2.928459,0.005490,17.483124,-380.791016,-2.792519,0.001374
CCOC#N,CCCOC(F)F,0.270842,0.000227,15.753326,-328.203125,-2.795563,0.005245,15.690491,-291.546875,-2.616531,0.002300
CCOC#N,COC1CC2CCC1(C)C2(C)C,0.250400,0.000180,14.595032,86.781250,-2.523247,0.004234,14.015472,-69.732422,-2.522629,0.003664
CCOC#N,CCC(=O)C1=NCCC1,0.257498,0.000211,17.008423,-312.021484,-2.916077,0.004602,16.000885,-596.156250,-2.600243,0.002117
CCOC#N,NC(CF)(CF)CF,0.256091,0.000214,17.674133,-292.490234,-3.206100,0.005895,17.167053,-618.343750,-2.675331,0.001703
CCOC#N,CC(C)CCCC(C)CC=O,0.253611,0.000192,15.362823,93.269531,-2.734100,0.004843,14.947449,-239.705078,-2.636742,0.003410
CCOC#N,Cc1coc(C)n1,0.254990,0.000206,16.477234,-252.716797,-3.023438,0.005892,16.368561,-492.451172,-2.604828,0.001851
CCOC#N,NC(=S)NC(N)=S,0.206455,0.000109,21.824524,-856.027344,-3.516418,0.004241,20.350372,-1214.416016,-3.202370,0.001929
CCOC#N,FC(F)C(Cl)C(F)F,0.244003,0.000183,18.441772,-794.041016,-3.184189,0.005186,18.354919,-742.933594,-2.789047,0.000880
CCOC#N,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.247615,0.000174,15.113281,196.726562,-2.425301,0.003222,14.275146,-137.650391,-2.627953,0.003680
CCOC#N,NNC(=O)c1ccccc1,0.268519,0.000234,17.459869,150.289062,-3.201424,0.005508,15.334534,-423.050781,-2.616577,0.003293
CCOC#N,ClC=CBr,0.259884,0.000205,16.068115,-561.181641,-2.834709,0.005408,17.398621,-286.005859,-2.811905,0.001624
CCOC#N,CN(C)N=O,0.256920,0.000217,18.318481,-352.416016,-3.227173,0.005177,17.326965,-744.488281,-2.694359,0.001778
CCOC#N,c1ccc(C2CCCCC2)cc1,0.261802,0.000200,14.596283,41.027344,-2.548767,0.004513,14.424072,63.228516,-2.658569,0.003674
CCOC#N,N#Cc1ccncc1,0.253645,0.000211,18.290344,-451.107422,-3.175537,0.005023,17.314209,-763.898438,-2.688744,0.001520
CCOC#N,CN(C)C(=S)Nc1ccccc1,0.231651,0.000174,19.976379,-741.431641,-3.267471,0.004244,17.424835,-931.289062,-2.674721,0.000851
CCOC#N,CCC(N)CC,0.245250,0.000181,14.873230,-31.833984,-2.890839,0.006494,16.515961,-269.189453,-2.663315,0.002432
CCOC#N,COC(=O)CO,0.260662,0.000225,18.240112,-280.841797,-3.273376,0.005635,17.104553,-672.218750,-2.689651,0.001912
CCOC#N,Cc1c(N)cccc1Cl,0.242833,0.000190,18.544281,-559.480469,-3.138443,0.004702,17.024902,-777.589844,-2.654388,0.001178
CCOC#N,CC1CCC(C(C)(C)OO)CC1,0.252126,0.000202,17.039276,-64.818359,-2.992233,0.004823,15.192810,-515.248047,-2.513573,0.002531
CCOC#N,CC(F)(Cl)CF,0.262887,0.000223,17.081055,-502.761719,-3.022835,0.005520,17.080383,-488.828125,-2.721069,0.001383
CCOC#N,CCCCC1OC(C)CC(C)(C)O1,0.251702,0.000188,15.470764,65.111328,-2.671608,0.004320,14.782562,-299.130859,-2.612755,0.003554
CCOC#N,CC(C)(C)OCC1CO1,0.258937,0.000213,16.662170,-209.060547,-2.966682,0.005162,15.986633,-521.855469,-2.639183,0.002433
CCOC#N,O=P(O)(O)OP(=O)(O)O,0.189159,0.000055,20.089874,-549.601562,-3.053215,0.003785,10.664948,-1179.212891,-2.000687,0.003616
CCOC#N,CC(=O)Nc1ccc(C)cc1,0.262045,0.000224,17.429504,-40.902344,-3.063736,0.004846,14.830627,-501.878906,-2.519241,0.002748
CCOC#N,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.261012,0.000221,18.748535,-224.732422,-3.284294,0.005323,16.083801,-642.580078,-2.577019,0.002023
CCOC#N,CC(C)(O)CCC1CCCCC1,0.258971,0.000207,14.933350,530.425781,-2.863312,0.005529,14.086334,7.830078,-2.586418,0.004337
CCOC#N,COCC(F)(F)F,0.262102,0.000219,16.798218,-345.148438,-2.951370,0.005093,16.014282,-500.853516,-2.566154,0.001791
CCOC#N,COCC(O)COC,0.257214,0.000217,17.898193,-249.593750,-3.256401,0.005948,17.516479,-661.578125,-2.774887,0.002153
CCOC#N,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.261242,0.000222,17.838531,462.673828,-3.194031,0.004314,15.341766,-372.197266,-2.812485,0.004459
