SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCON=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.257880,0.000214,19.523193,-127.583984,-3.301468,0.004733,14.896393,-593.648438,-2.489769,0.002168
CCON=O,CC(=O)Nc1ccc(C=O)cc1,0.279819,0.000238,17.077972,993.791016,-3.046440,0.003877,10.435120,196.455078,-2.256973,0.005281
CCON=O,Cc1cccc(CO)c1,0.281006,0.000248,16.685669,495.597656,-3.131355,0.004977,12.294739,-109.787109,-2.331467,0.004205
CCON=O,COC(C)CO,0.269623,0.000231,17.370087,161.527344,-3.149185,0.004719,14.893341,-475.074219,-2.559723,0.003471
CCON=O,Nc1nc(=O)c2ccccc2o1,0.262274,0.000203,16.827179,1902.037109,-2.830978,0.001415,8.200043,903.871094,-2.175835,0.006939
CCON=O,CC(Cl)Br,0.268528,0.000240,17.904755,-462.605469,-3.229668,0.005980,16.836487,-579.816406,-2.617943,0.001338
CCON=O,CCCOC(F)F,0.275306,0.000250,17.325745,-319.863281,-3.141365,0.005965,15.751282,-559.755859,-2.530968,0.001871
CCON=O,COC1CC2CCC1(C)C2(C)C,0.262741,0.000222,16.957764,-168.902344,-3.002228,0.005027,15.700562,-638.818359,-2.587425,0.002436
CCON=O,CCC(=O)C1=NCCC1,0.261522,0.000224,18.067596,-304.982422,-3.183540,0.005161,16.616730,-731.966797,-2.664085,0.002143
CCON=O,NC(CF)(CF)CF,0.268601,0.000228,17.032379,-11.843750,-3.151344,0.005716,15.226135,-498.988281,-2.493309,0.002658
CCON=O,CC(C)CCCC(C)CC=O,0.266785,0.000232,17.622986,-99.070312,-3.161835,0.005355,15.883179,-657.076172,-2.654961,0.002841
CCON=O,Cc1coc(C)n1,0.266216,0.000231,18.206451,-227.111328,-3.226799,0.005351,15.828339,-650.509766,-2.569527,0.002251
CCON=O,NC(=S)NC(N)=S,0.254743,0.000187,17.452820,415.093750,-3.083740,0.004731,13.838409,-121.888672,-2.227715,0.002663
CCON=O,FC(F)C(Cl)C(F)F,0.265419,0.000235,18.299103,-459.896484,-3.260689,0.005829,16.885498,-662.218750,-2.630775,0.001414
CCON=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267803,0.000228,16.536346,96.062500,-2.901131,0.004768,14.017151,-367.310547,-2.442947,0.003171
CCON=O,NNC(=O)c1ccccc1,0.280451,0.000238,16.503296,837.164062,-3.089043,0.004474,11.316498,67.193359,-2.254669,0.005012
CCON=O,ClC=CBr,0.267800,0.000235,17.369995,-457.609375,-3.144608,0.006009,16.666290,-531.648438,-2.612869,0.001362
CCON=O,CN(C)N=O,0.261105,0.000214,18.488861,-151.828125,-3.223709,0.004917,15.094452,-528.429688,-2.389374,0.002048
CCON=O,c1ccc(C2CCCCC2)cc1,0.278632,0.000251,16.768738,-81.205078,-3.030594,0.005721,14.265686,-495.138672,-2.445206,0.002919
CCON=O,N#Cc1ccncc1,0.262017,0.000223,18.939545,-266.521484,-3.250191,0.004943,15.659729,-663.480469,-2.528473,0.001986
CCON=O,CN(C)C(=S)Nc1ccccc1,0.256183,0.000210,19.663727,-174.671875,-3.276428,0.004332,14.692841,-577.712891,-2.395828,0.001905
CCON=O,CCC(N)CC,0.258472,0.000213,17.144257,-115.076172,-3.151634,0.005551,16.601959,-625.314453,-2.686142,0.002582
CCON=O,COC(=O)CO,0.271851,0.000231,17.062439,198.949219,-3.178490,0.004874,13.687042,-263.626953,-2.323387,0.003169
CCON=O,Cc1c(N)cccc1Cl,0.266443,0.000230,17.960846,-112.365234,-3.190399,0.005223,15.324524,-615.535156,-2.535110,0.002541
CCON=O,CC1CCC(C(C)(C)OO)CC1,0.273306,0.000243,17.735168,253.576172,-3.176727,0.004617,14.275909,-400.294922,-2.589890,0.003968
CCON=O,CC(F)(Cl)CF,0.271171,0.000245,18.108246,-389.089844,-3.260590,0.005950,16.156281,-605.050781,-2.536911,0.001655
CCON=O,CCCCC1OC(C)CC(C)(C)O1,0.260918,0.000222,17.717896,-163.800781,-3.108124,0.004890,16.463318,-737.822266,-2.732285,0.002720
CCON=O,CC(C)(C)OCC1CO1,0.263198,0.000229,18.253113,-297.949219,-3.240181,0.005314,16.905060,-753.730469,-2.714020,0.002236
CCON=O,O=P(O)(O)OP(=O)(O)O,0.247262,0.000169,14.965179,2292.359375,-2.646797,0.001492,8.997742,1135.353516,-2.070786,0.007762
