SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=P(Cl)(c1ccccc1)c1ccccc1,0.231704,0.000167,19.039398,-658.236328,-3.208832,0.004477,17.988892,-867.812500,-2.722122,0.000952
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(=O)Nc1ccc(C=O)cc1,0.242847,0.000178,17.706665,-185.765625,-3.068779,0.004218,16.300720,-601.591797,-2.605225,0.002336
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],Cc1cccc(CO)c1,0.251741,0.000195,15.560730,121.101562,-2.920822,0.005081,15.097168,-189.945312,-2.538170,0.002843
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],COC(C)CO,0.228439,0.000147,18.114899,-581.800781,-3.073639,0.004173,18.115723,-862.525391,-2.746742,0.001601
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],Nc1nc(=O)c2ccccc2o1,0.249778,0.000192,17.857971,511.148438,-3.118675,0.003494,13.209076,-151.720703,-2.374718,0.003846
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(Cl)Br,0.258286,0.000203,16.342224,-645.208984,-2.888542,0.005023,17.715668,-378.779297,-2.812508,0.001495
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CCCOC(F)F,0.260979,0.000206,15.543182,-416.962891,-2.743797,0.004739,16.218872,-318.480469,-2.582626,0.001830
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],COC1CC2CCC1(C)C2(C)C,0.242689,0.000161,13.553802,-226.636719,-2.302322,0.003347,16.047424,-40.648438,-2.606583,0.002587
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CCC(=O)C1=NCCC1,0.230897,0.000147,17.227448,-836.529297,-2.847267,0.003785,18.728729,-687.031250,-2.817490,0.001099
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],NC(CF)(CF)CF,0.235159,0.000167,18.074524,-610.003906,-3.162483,0.005005,18.592773,-765.003906,-2.734573,0.000875
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC(C)CCCC(C)CC=O,0.234954,0.000153,16.309326,-535.955078,-2.756355,0.003970,16.843384,-503.085938,-2.607605,0.001623
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],Cc1coc(C)n1,0.227512,0.000144,18.063934,-784.123047,-3.112129,0.004562,18.499054,-842.498047,-2.712013,0.000932
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],NC(=S)NC(N)=S,0.221552,0.000128,19.546387,-460.507812,-3.349991,0.004482,18.522186,-668.517578,-2.704361,0.001354
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],FC(F)C(Cl)C(F)F,0.244607,0.000171,16.651245,-717.642578,-2.943871,0.004782,18.069885,-526.476562,-2.691139,0.001077
CC(CNCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.228257,0.000131,11.031891,450.330078,-1.999771,0.003119,14.763885,1173.603516,-2.741974,0.002953
