SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C1CSCN1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251491,0.000211,18.944763,-298.332031,-3.241722,0.004654,16.750793,-780.246094,-2.680634,0.002089
C1CSCN1,CC(=O)Nc1ccc(C=O)cc1,0.246456,0.000192,18.405212,-259.937500,-3.111992,0.004422,14.467560,-730.662109,-2.364769,0.002274
C1CSCN1,Cc1cccc(CO)c1,0.244800,0.000188,17.662598,-394.560547,-2.997139,0.004513,14.503723,-657.710938,-2.300377,0.001496
C1CSCN1,COC(C)CO,0.244643,0.000193,18.470306,-458.396484,-3.157585,0.004669,16.164703,-762.193359,-2.518036,0.001413
C1CSCN1,Nc1nc(=O)c2ccccc2o1,0.232078,0.000164,19.816223,-65.185547,-3.160492,0.003231,13.577881,-772.216797,-2.303780,0.002997
C1CSCN1,CC(Cl)Br,0.265987,0.000224,16.155273,-357.953125,-2.916740,0.005512,17.313690,-410.326172,-2.795372,0.001809
C1CSCN1,CCCOC(F)F,0.273329,0.000235,15.614288,-216.982422,-2.803818,0.005352,15.993500,-356.697266,-2.674194,0.002342
C1CSCN1,COC1CC2CCC1(C)C2(C)C,0.258325,0.000197,15.156769,-115.478516,-2.528046,0.003846,15.072540,-286.748047,-2.588646,0.003083
C1CSCN1,CCC(=O)C1=NCCC1,0.249994,0.000199,17.293945,-474.958984,-2.902344,0.004297,17.086487,-659.664062,-2.702538,0.001531
C1CSCN1,NC(CF)(CF)CF,0.248803,0.000201,18.177551,-400.679688,-3.102211,0.004550,16.744141,-730.964844,-2.618851,0.001562
C1CSCN1,CC(C)CCCC(C)CC=O,0.260506,0.000209,16.015808,-108.628906,-2.738777,0.004309,15.440186,-465.646484,-2.614929,0.002811
C1CSCN1,Cc1coc(C)n1,0.244439,0.000192,17.934540,-537.533203,-3.044250,0.004528,16.913239,-741.523438,-2.591774,0.001041
C1CSCN1,NC(=S)NC(N)=S,0.206417,0.000109,20.820068,-749.558594,-3.202599,0.003014,16.760010,-1226.947266,-2.599716,0.002236
C1CSCN1,FC(F)C(Cl)C(F)F,0.252584,0.000197,17.346161,-552.798828,-3.000084,0.005005,17.535583,-627.869141,-2.764778,0.001442
C1CSCN1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.250446,0.000179,14.267609,578.568359,-2.367249,0.003195,13.858185,-7.349609,-2.589417,0.004213
C1CSCN1,NNC(=O)c1ccccc1,0.250215,0.000209,19.189667,-229.986328,-3.248482,0.004303,16.222473,-803.300781,-2.639046,0.002494
C1CSCN1,ClC=CBr,0.264690,0.000216,15.811890,-406.818359,-2.837189,0.005426,17.249664,-325.722656,-2.811272,0.001942
C1CSCN1,CN(C)N=O,0.252989,0.000208,18.139465,-341.845703,-3.183899,0.004981,17.288361,-749.103516,-2.682213,0.001791
C1CSCN1,c1ccc(C2CCCCC2)cc1,0.274029,0.000223,14.524109,181.294922,-2.578720,0.004621,14.605774,-63.724609,-2.705338,0.004125
C1CSCN1,N#Cc1ccncc1,0.244284,0.000195,18.710236,-620.519531,-3.145561,0.004597,17.747559,-820.095703,-2.715561,0.001014
C1CSCN1,CN(C)C(=S)Nc1ccccc1,0.222008,0.000144,19.054352,-658.550781,-3.073624,0.003666,15.135162,-902.123047,-2.304688,0.001201
C1CSCN1,CCC(N)CC,0.234062,0.000167,17.542114,-500.750000,-2.929565,0.004112,16.092346,-777.824219,-2.469307,0.001272
C1CSCN1,COC(=O)CO,0.243313,0.000189,18.685730,-509.029297,-3.210762,0.004777,15.538574,-765.369141,-2.383881,0.001289
C1CSCN1,Cc1c(N)cccc1Cl,0.233933,0.000174,19.247467,-620.238281,-3.160080,0.004042,17.294617,-878.587891,-2.687668,0.001262
C1CSCN1,CC1CCC(C(C)(C)OO)CC1,0.231865,0.000160,17.340729,-463.898438,-2.798096,0.003691,13.790741,-726.003906,-2.184586,0.001479
C1CSCN1,CC(F)(Cl)CF,0.267725,0.000230,16.494019,-246.177734,-2.978012,0.005504,16.195679,-514.500000,-2.613213,0.001954
C1CSCN1,CCCCC1OC(C)CC(C)(C)O1,0.253881,0.000197,16.066315,-177.761719,-2.675125,0.003830,15.555389,-528.933594,-2.593437,0.002729
C1CSCN1,CC(C)(C)OCC1CO1,0.254549,0.000209,17.290741,-366.318359,-2.970215,0.004617,16.907135,-653.763672,-2.688339,0.001728
C1CSCN1,O=P(O)(O)OP(=O)(O)O,0.146715,-0.000039,21.220642,-1162.410156,-3.445801,0.004382,5.381256,-1510.117188,-1.123657,0.001979
