SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CC=CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.260045,0.000212,19.331665,-43.630859,-3.253845,0.004543,13.649048,-451.812500,-2.286621,0.002164
C=CC=CC,CC(=O)Nc1ccc(C=O)cc1,0.271093,0.000212,15.578888,1742.941406,-2.858940,0.002581,9.192017,694.261719,-2.219894,0.006942
C=CC=CC,Cc1cccc(CO)c1,0.281711,0.000244,16.177002,739.199219,-3.099167,0.004601,11.488281,-7.435547,-2.257713,0.004977
C=CC=CC,COC(C)CO,0.275039,0.000235,16.569275,292.894531,-3.118195,0.004918,14.088654,-362.525391,-2.427361,0.003807
C=CC=CC,Nc1nc(=O)c2ccccc2o1,0.241910,0.000158,15.159210,2852.865234,-2.589783,-0.000159,7.018707,1605.156250,-2.178001,0.008494
C=CC=CC,CC(Cl)Br,0.270891,0.000240,17.620178,-320.044922,-3.188591,0.005768,15.564606,-514.974609,-2.446724,0.001494
C=CC=CC,CCCOC(F)F,0.273616,0.000246,17.622711,-294.466797,-3.190872,0.005827,15.641052,-559.900391,-2.499596,0.001775
C=CC=CC,COC1CC2CCC1(C)C2(C)C,0.263296,0.000227,17.900940,-301.822266,-3.160965,0.005271,16.192871,-690.478516,-2.602249,0.002066
C=CC=CC,CCC(=O)C1=NCCC1,0.265203,0.000226,18.153290,-164.722656,-3.211380,0.005113,15.287323,-618.744141,-2.483055,0.002348
C=CC=CC,NC(CF)(CF)CF,0.270612,0.000222,16.037750,348.281250,-3.122009,0.005496,13.896606,-180.285156,-2.344398,0.003420
C=CC=CC,CC(C)CCCC(C)CC=O,0.266505,0.000233,18.248352,-237.724609,-3.225800,0.005343,15.701263,-677.380859,-2.563141,0.002299
C=CC=CC,Cc1coc(C)n1,0.264907,0.000225,17.938568,-186.480469,-3.218414,0.005274,15.693115,-602.359375,-2.504074,0.002188
C=CC=CC,NC(=S)NC(N)=S,0.223183,0.000114,14.736664,2146.982422,-3.020187,0.003563,10.437134,1403.521484,-2.189133,0.005452
C=CC=CC,FC(F)C(Cl)C(F)F,0.267320,0.000231,17.834564,-273.197266,-3.236122,0.005548,15.367218,-453.488281,-2.386490,0.001541
C=CC=CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267700,0.000225,15.821747,256.625000,-2.906868,0.004794,13.663879,-264.517578,-2.385727,0.003385
C=CC=CC,NNC(=O)c1ccccc1,0.275893,0.000220,14.725433,1524.291016,-2.962234,0.003707,10.094025,618.326172,-2.205368,0.006538
C=CC=CC,ClC=CBr,0.270151,0.000239,17.213440,-371.271484,-3.131798,0.005844,15.968719,-547.378906,-2.492180,0.001443
C=CC=CC,CN(C)N=O,0.268598,0.000216,17.005005,219.886719,-3.094193,0.004861,13.128510,-240.550781,-2.150139,0.002919
C=CC=CC,c1ccc(C2CCCCC2)cc1,0.280000,0.000259,17.171814,-191.957031,-3.143433,0.006030,14.964752,-554.078125,-2.492126,0.002368
C=CC=CC,N#Cc1ccncc1,0.262471,0.000212,18.093903,76.283203,-3.169373,0.004682,14.565948,-473.886719,-2.418175,0.002762
C=CC=CC,CN(C)C(=S)Nc1ccccc1,0.266384,0.000212,17.973450,557.044922,-3.158928,0.004041,11.589935,-24.773438,-2.148087,0.003755
C=CC=CC,CCC(N)CC,0.262818,0.000222,17.444519,-105.375000,-3.209007,0.005573,16.243866,-638.664062,-2.608963,0.002609
C=CC=CC,COC(=O)CO,0.272631,0.000227,16.377075,402.011719,-3.150986,0.004728,12.918671,-76.919922,-2.200790,0.003583
C=CC=CC,Cc1c(N)cccc1Cl,0.268975,0.000221,16.805603,426.318359,-3.151192,0.004805,13.310883,-234.078125,-2.362343,0.003882
C=CC=CC,CC1CCC(C(C)(C)OO)CC1,0.278483,0.000245,16.708405,519.509766,-3.128937,0.004592,13.154297,-263.968750,-2.477280,0.004681
C=CC=CC,CC(F)(Cl)CF,0.270518,0.000238,17.870728,-300.662109,-3.220703,0.005671,15.231293,-477.724609,-2.392944,0.001505
C=CC=CC,CCCCC1OC(C)CC(C)(C)O1,0.265797,0.000233,18.081055,-251.287109,-3.188118,0.005248,16.235199,-738.916016,-2.655182,0.002488
C=CC=CC,CC(C)(C)OCC1CO1,0.267746,0.000234,18.126495,-257.435547,-3.223541,0.005381,15.980347,-678.796875,-2.577332,0.002225
C=CC=CC,O=P(O)(O)OP(=O)(O)O,0.183425,0.000055,13.260284,4523.394531,-2.007072,-0.002594,5.804657,2908.298828,-2.193466,0.010040
C=CC=CC,CC(=O)Nc1ccc(C)cc1,0.282475,0.000239,16.309662,1112.875000,-3.019478,0.003933,10.442596,232.687500,-2.254074,0.005756
C=CC=CC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.247013,0.000168,17.789124,1057.519531,-3.283081,0.003938,10.315704,552.996094,-1.998741,0.003637
C=CC=CC,CC(C)(O)CCC1CCCCC1,0.283281,0.000251,16.489990,693.792969,-3.089218,0.004585,12.043945,-78.505859,-2.399948,0.005025
C=CC=CC,COCC(F)(F)F,0.271026,0.000237,17.253082,-177.804688,-3.152489,0.005588,15.376038,-490.134766,-2.448715,0.002021
C=CC=CC,COCC(O)COC,0.268791,0.000226,17.300385,-38.488281,-3.169937,0.005154,15.161469,-549.324219,-2.440552,0.002692
C=CC=CC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.265693,0.000203,15.017303,1983.667969,-2.852982,0.001983,9.786163,785.613281,-2.403244,0.007771
C=CC=CC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.252321,0.000175,14.732544,2049.056641,-2.907005,0.001924,9.201782,979.021484,-2.203575,0.007420
C=CC=CC,CC(C)C(F)F,0.276757,0.000253,17.250427,-303.060547,-3.174141,0.006115,15.651581,-554.160156,-2.500443,0.001816
C=CC=CC,CCCCC1C=C(C)CC(C)O1,0.263658,0.000229,18.069427,-286.435547,-3.177185,0.005203,16.177002,-711.355469,-2.625847,0.002221
C=CC=CC,COc1ccc(C(C)=O)cc1,0.268380,0.000226,18.134308,-53.695312,-3.184799,0.005021,13.956604,-461.718750,-2.310600,0.002321
C=CC=CC,Oc1cc(O)ncn1,0.263948,0.000194,12.583130,2408.152344,-2.734283,0.002410,9.520874,1173.208984,-2.333046,0.008778
C=CC=CC,COCCCCl,0.270663,0.000235,17.205322,-227.662109,-3.120537,0.005569,15.616730,-591.080078,-2.505081,0.002128
C=CC=CC,CCCOC,0.262734,0.000226,17.831512,-366.283203,-3.201195,0.005462,16.894379,-709.417969,-2.643745,0.001795
C=CC=CC,Fc1c(F)c(F)c(F)c(F)c1F,0.274679,0.000246,16.725555,-201.697266,-3.038811,0.005771,14.686340,-495.380859,-2.420990,0.002069
C=CC=CC,CCP(CC)CC,0.262310,0.000228,18.253906,-326.449219,-3.218681,0.005314,16.221863,-691.261719,-2.593529,0.001921
C=CC=CC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.265764,0.000233,18.394836,-237.125000,-3.217941,0.005144,16.369110,-764.228516,-2.697952,0.002592
C=CC=CC,Fc1cc(F)c(F)cc1F,0.273166,0.000245,17.521027,-247.082031,-3.181442,0.005828,15.233948,-567.337891,-2.464355,0.002046
C=CC=CC,CCCCc1ccc(C(=O)O)cc1,0.279977,0.000242,16.401581,786.621094,-3.091583,0.004371,11.983063,-77.443359,-2.401421,0.005263
C=CC=CC,C=Cc1c(C)cc(C)cc1C,0.277693,0.000256,17.458191,-252.515625,-3.176514,0.005989,15.321106,-575.113281,-2.516243,0.002136
C=CC=CC,C=C(C)C(=O)OC(C)(C)C,0.264722,0.000231,18.422150,-303.953125,-3.257301,0.005426,15.751587,-655.607422,-2.541275,0.001921
