SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(F)CN,O=P(Cl)(c1ccccc1)c1ccccc1,0.254700,0.000211,18.222931,-26.427734,-3.158615,0.004726,16.275238,-639.183594,-2.711479,0.002676
CC(F)CN,CC(=O)Nc1ccc(C=O)cc1,0.209460,0.000113,18.436768,-773.953125,-3.105492,0.004474,11.490479,-978.167969,-1.750618,0.000832
CC(F)CN,Cc1cccc(CO)c1,0.213288,0.000123,18.524414,-867.994141,-3.053581,0.004161,13.660217,-914.722656,-2.030167,0.000411
CC(F)CN,COC(C)CO,0.228719,0.000154,18.128723,-652.443359,-3.074562,0.004546,14.314850,-849.066406,-2.176018,0.000966
CC(F)CN,Nc1nc(=O)c2ccccc2o1,0.203869,0.000102,20.040741,-456.736328,-3.135124,0.003240,11.260284,-996.621094,-1.816589,0.001971
CC(F)CN,CC(Cl)Br,0.256923,0.000207,16.432587,-422.193359,-2.889015,0.005121,17.120850,-492.748047,-2.720284,0.001439
CC(F)CN,CCCOC(F)F,0.269848,0.000229,15.808990,-245.738281,-2.824821,0.005226,16.357574,-413.902344,-2.708687,0.002247
CC(F)CN,COC1CC2CCC1(C)C2(C)C,0.262924,0.000204,14.858948,177.382812,-2.529640,0.003919,14.421234,-178.746094,-2.600105,0.003749
CC(F)CN,CCC(=O)C1=NCCC1,0.260348,0.000213,16.385620,-194.843750,-2.805191,0.004466,15.943848,-503.787109,-2.653015,0.002354
CC(F)CN,NC(CF)(CF)CF,0.246877,0.000202,18.914276,-524.484375,-3.206978,0.004580,17.915588,-830.583984,-2.752785,0.001315
CC(F)CN,CC(C)CCCC(C)CC=O,0.261698,0.000207,15.471161,199.300781,-2.663597,0.004231,14.868042,-296.675781,-2.656029,0.003526
CC(F)CN,Cc1coc(C)n1,0.256993,0.000212,17.045593,-319.265625,-2.970360,0.004874,16.242889,-623.175781,-2.577263,0.001669
CC(F)CN,NC(=S)NC(N)=S,0.164794,0.000002,21.886108,-1259.820312,-3.291351,0.003404,12.010651,-1605.615234,-1.922401,0.002600
CC(F)CN,FC(F)C(Cl)C(F)F,0.231618,0.000152,19.182892,-928.230469,-3.238281,0.004668,18.943604,-895.835938,-2.843437,0.001047
CC(F)CN,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.232307,0.000142,15.806366,-256.144531,-2.513840,0.003396,15.145996,-578.939453,-2.542458,0.002438
CC(F)CN,NNC(=O)c1ccccc1,0.236726,0.000178,19.674103,-460.953125,-3.198586,0.003873,15.361053,-914.939453,-2.432480,0.002017
CC(F)CN,ClC=CBr,0.254159,0.000194,16.174347,-511.791016,-2.824898,0.005021,17.516296,-448.919922,-2.799316,0.001636
CC(F)CN,CN(C)N=O,0.261472,0.000220,17.418976,-155.875000,-3.092522,0.005084,16.208923,-646.972656,-2.589317,0.002355
CC(F)CN,c1ccc(C2CCCCC2)cc1,0.267023,0.000212,14.757416,231.769531,-2.585129,0.004387,14.312469,-172.306641,-2.602074,0.003815
CC(F)CN,N#Cc1ccncc1,0.245964,0.000196,18.273895,-513.167969,-3.058228,0.004382,17.298248,-785.570312,-2.694656,0.001326
CC(F)CN,CN(C)C(=S)Nc1ccccc1,0.178464,0.000044,19.179779,-1161.544922,-3.123192,0.003734,11.643555,-1192.535156,-1.680153,0.000160
CC(F)CN,CCC(N)CC,0.251421,0.000199,16.573456,-232.031250,-2.943825,0.005129,16.919800,-617.669922,-2.679710,0.001974
CC(F)CN,COC(=O)CO,0.216182,0.000128,18.342651,-821.779297,-3.137573,0.004735,12.966797,-948.419922,-1.909523,0.000543
CC(F)CN,Cc1c(N)cccc1Cl,0.208347,0.000115,20.279388,-1045.318359,-3.194511,0.003419,17.292786,-1056.332031,-2.559135,0.000580
CC(F)CN,CC1CCC(C(C)(C)OO)CC1,0.190079,0.000073,18.327148,-1043.078125,-2.953026,0.003724,11.840393,-1050.228516,-1.744621,0.000130
CC(F)CN,CC(F)(Cl)CF,0.259527,0.000218,17.154907,-336.878906,-3.026299,0.005163,16.794830,-620.134766,-2.664024,0.001627
CC(F)CN,CCCCC1OC(C)CC(C)(C)O1,0.261983,0.000206,15.308899,165.890625,-2.599213,0.003987,14.690674,-313.871094,-2.631950,0.003690
CC(F)CN,CC(C)(C)OCC1CO1,0.264855,0.000223,16.361908,-177.435547,-2.871361,0.004858,15.837952,-529.388672,-2.617172,0.002354
CC(F)CN,O=P(O)(O)OP(=O)(O)O,0.105350,-0.000138,23.966827,-2011.748047,-4.064476,0.008584,-1.617462,-2048.333984,-0.624489,0.004079
CC(F)CN,CC(=O)Nc1ccc(C)cc1,0.213100,0.000121,18.041656,-800.796875,-2.997650,0.004336,12.005768,-914.177734,-1.818756,0.000600
CC(F)CN,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.249262,0.000194,19.151337,117.537109,-3.169189,0.004001,14.801788,-453.873047,-2.484634,0.002340
CC(F)CN,CC(C)(O)CCC1CCCCC1,0.227535,0.000146,16.926666,-457.171875,-2.826775,0.004204,12.394073,-759.134766,-1.986465,0.001569
CC(F)CN,COCC(F)(F)F,0.263889,0.000224,16.627258,-293.876953,-2.937492,0.005074,16.515778,-530.554688,-2.644135,0.001750
CC(F)CN,COCC(O)COC,0.238876,0.000181,18.759583,-632.351562,-3.179604,0.004670,16.107300,-846.679688,-2.447357,0.001050
CC(F)CN,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.211774,0.000130,20.600769,-443.285156,-3.145966,0.002855,14.394714,-1106.505859,-2.367958,0.002446
CC(F)CN,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.149051,-0.000018,22.221527,-1561.611328,-3.565292,0.004046,11.282440,-1557.570312,-1.669067,0.000350
CC(F)CN,CC(C)C(F)F,0.272870,0.000232,15.469208,-169.302734,-2.791763,0.005288,15.616333,-370.167969,-2.619743,0.002536
CC(F)CN,CCCCC1C=C(C)CC(C)O1,0.261587,0.000202,14.982574,255.466797,-2.532730,0.003770,14.309296,-184.744141,-2.620712,0.003928
CC(F)CN,COc1ccc(C(C)=O)cc1,0.259637,0.000216,17.284058,-125.070312,-3.019630,0.004829,15.770721,-596.119141,-2.592941,0.002361
CC(F)CN,Oc1cc(O)ncn1,0.149044,-0.000023,21.673920,-1402.611328,-3.569450,0.004405,8.723022,-1468.638672,-1.414139,0.000564
CC(F)CN,COCCCCl,0.266834,0.000223,15.849396,-216.693359,-2.799217,0.004899,15.734375,-443.558594,-2.592262,0.002238
CC(F)CN,CCCOC,0.263763,0.000212,15.183105,-146.273438,-2.672165,0.004659,15.169067,-342.322266,-2.545074,0.002615
CC(F)CN,Fc1c(F)c(F)c(F)c(F)c1F,0.262717,0.000204,14.842377,24.824219,-2.624283,0.004678,14.956848,-240.900391,-2.573441,0.002996
CC(F)CN,CCP(CC)CC,0.266653,0.000212,14.789307,62.003906,-2.546021,0.004177,14.498474,-196.515625,-2.578171,0.003502
CC(F)CN,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.257713,0.000199,15.667236,292.357422,-2.636505,0.003763,14.944733,-340.068359,-2.728554,0.004105
CC(F)CN,Fc1cc(F)c(F)cc1F,0.260141,0.000208,16.053040,-317.533203,-2.827675,0.005039,16.296234,-501.050781,-2.652878,0.002095
CC(F)CN,CCCCc1ccc(C(=O)O)cc1,0.175468,0.000033,18.541534,-1249.808594,-3.069878,0.004068,11.374908,-1107.232422,-1.655281,-0.000143
CC(F)CN,C=Cc1c(C)cc(C)cc1C,0.267508,0.000214,14.965179,186.042969,-2.639923,0.004553,14.622650,-219.644531,-2.621826,0.003658
CC(F)CN,C=C(C)C(=O)OC(C)(C)C,0.263599,0.000214,15.803864,30.644531,-2.754372,0.004558,15.036346,-360.099609,-2.605728,0.002981
CC(F)CN,FC1CCCN1,0.244395,0.000197,18.803589,-574.380859,-3.203773,0.004687,17.642975,-797.009766,-2.678200,0.000963
CC(F)CN,CCCCCCCC(=O)NC,0.241193,0.000178,17.736938,-294.689453,-2.948181,0.004061,14.560852,-766.427734,-2.372894,0.002249
CC(F)CN,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.261403,0.000205,15.048584,229.310547,-2.652153,0.004510,15.104767,-358.181641,-2.635666,0.003475
CC(F)CN,C1=CC2C=CC1C2,0.271296,0.000220,14.542358,-32.623047,-2.615524,0.005017,15.016754,-159.404297,-2.623596,0.003174
CC(F)CN,CCC(C)(O)CCC=C(C)C,0.224237,0.000140,17.089050,-537.027344,-2.850273,0.004225,12.274780,-795.923828,-1.935387,0.001356
CC(F)CN,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.222996,0.000143,16.218872,1415.531250,-2.352379,0.000988,14.986664,224.951172,-3.255737,0.006141
CC(F)CN,CCC(C)CCF,0.270733,0.000220,14.608002,94.890625,-2.624306,0.004845,14.550354,-218.414062,-2.572716,0.003429
CC(F)CN,C=Cc1cccc(CC)c1,0.267183,0.000216,15.171234,90.001953,-2.673927,0.004654,14.842926,-281.058594,-2.604301,0.003336
CC(F)CN,CC(C)(C(O)(F)F)C(F)(F)F,0.113563,-0.000105,22.071716,-2165.830078,-3.749397,0.005078,7.539703,-1744.292969,-1.166267,0.000123
CC(F)CN,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.265967,0.000207,14.423767,42.431641,-2.553787,0.004600,14.935699,-229.162109,-2.607056,0.003336
CC(F)CN,CCN(CC)c1ccc(N)cc1,0.244166,0.000200,19.458862,-367.576172,-3.228745,0.004101,17.355591,-849.273438,-2.765556,0.001947
CC(F)CN,FC(F)CC(F)(F)F,0.254613,0.000204,17.335449,-469.640625,-3.009705,0.005055,17.140686,-658.728516,-2.711472,0.001509
CC(F)CN,N#CCCOCCC#N,0.248451,0.000200,19.382263,-124.134766,-3.244888,0.004290,15.669189,-585.619141,-2.560966,0.001974
CC(F)CN,CCC(C)C(C)C(C)C,0.257675,0.000186,13.060455,454.447266,-2.310715,0.003802,13.443420,275.595703,-2.633171,0.004750
CC(F)CN,Cn1c(=O)ccc2ccccc21,0.254317,0.000208,17.776764,-178.771484,-3.058769,0.004601,16.491302,-647.275391,-2.661407,0.002200
CC(F)CN,CCOC(=O)c1ccccc1N,0.218470,0.000138,19.154602,-844.037109,-3.039017,0.003608,15.676300,-973.212891,-2.363998,0.000767
CC(F)CN,ClC1CN2CCC1CC2,0.259303,0.000209,15.919739,-245.427734,-2.743912,0.004507,15.798340,-510.699219,-2.563858,0.001962
CC(F)CN,CC=CCCCCCCCC#N,0.259089,0.000210,16.419189,203.195312,-2.833382,0.004506,15.326385,-486.982422,-2.687431,0.003315
CC(F)CN,COCCl,0.261370,0.000221,16.963196,-303.679688,-3.021469,0.005227,16.488953,-565.509766,-2.604004,0.001587
CC(F)CN,NCCc1cccnc1,0.255676,0.000218,18.864532,-237.337891,-3.283333,0.004947,17.260925,-824.687500,-2.774139,0.002541
CC(F)CN,Cc1cccc(C(=O)O)c1,0.166359,0.000019,19.745697,-1434.640625,-3.250031,0.004093,11.956512,-1197.494141,-1.681953,-0.000619
CC(F)CN,C=CCNC,0.254276,0.000206,16.836029,-325.837891,-2.954079,0.004979,16.614990,-645.503906,-2.611061,0.001677
CC(F)CN,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.234292,0.000146,12.915192,602.636719,-2.208519,0.003082,13.810699,373.068359,-2.664894,0.004180
CC(F)CN,CC(CO)C(F)(F)F,0.213083,0.000123,18.729736,-977.804688,-3.104050,0.004440,14.415009,-986.183594,-2.146133,0.000245
CC(F)CN,CC(C)C(=O)C(F)(F)F,0.264685,0.000214,15.674072,-54.078125,-2.725075,0.004582,15.306213,-364.683594,-2.615990,0.002864
CC(F)CN,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.244304,0.000164,15.021973,161.964844,-2.419220,0.003281,15.681244,-215.744141,-2.781281,0.003650
CC(F)CN,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.256630,0.000198,15.804230,528.554688,-2.655678,0.003676,15.245026,-311.675781,-2.866951,0.004639
CC(F)CN,C=CCN(C)CC=C,0.266624,0.000213,14.697235,-111.523438,-2.538712,0.004335,15.198730,-292.714844,-2.600792,0.002910
CC(F)CN,COCC(F)C(F)(F)F,0.262098,0.000220,16.568085,-322.396484,-2.910049,0.004954,16.666412,-555.287109,-2.661057,0.001730
CC(F)CN,CNC(C)(C)C,0.248345,0.000189,16.232849,-328.566406,-2.751984,0.004239,16.088226,-555.013672,-2.553032,0.001737
CC(F)CN,C1COCCOCCOCCO1,0.251828,0.000201,17.189392,-253.484375,-3.000298,0.004618,16.542450,-685.099609,-2.620766,0.002019
CC(F)CN,O=NF,0.243626,0.000194,18.364075,-326.828125,-3.210548,0.004821,17.342102,-608.896484,-2.613663,0.001139
CC(F)CN,CCN(CC)CCN,0.252546,0.000205,17.398834,-247.753906,-3.034729,0.004970,17.234558,-718.095703,-2.743965,0.002178
CC(F)CN,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.266914,0.000210,14.441620,259.794922,-2.529312,0.004278,14.615143,-189.611328,-2.662422,0.004036
CC(F)CN,CC(=O)Nc1ccc(Br)cc1,0.196733,0.000087,18.836334,-983.169922,-3.113205,0.004188,11.615417,-1039.867188,-1.739235,0.000301
CC(F)CN,c1ccc(COc2ccccc2)cc1,0.257803,0.000207,16.394379,24.740234,-2.849380,0.004585,15.756287,-463.134766,-2.689484,0.002722
CC(F)CN,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.251301,0.000177,13.630371,264.455078,-2.362122,0.003943,14.279724,16.031250,-2.606232,0.003703
CC(F)CN,CC(C)(C)OCF,0.267025,0.000226,16.100891,-171.384766,-2.855972,0.005034,15.546722,-473.125000,-2.560471,0.002217
CC(F)CN,OCCCCOC1CCCO1,0.240479,0.000178,17.707367,-495.611328,-3.007645,0.004527,15.260101,-780.298828,-2.367592,0.001460
CC(F)CN,OCCCCC(O)CO,0.215751,0.000125,18.782166,-422.343750,-3.193840,0.004388,12.299896,-995.236328,-1.930847,0.002246
CC(F)CN,CC(C)C(=O)C(=O)O,0.190175,0.000070,18.567963,-1224.296875,-3.105637,0.004231,13.846008,-1060.548828,-1.986008,-0.000466
CC(F)CN,N#CCl,0.243859,0.000185,17.342438,-499.470703,-3.007904,0.004711,17.834167,-672.125000,-2.717682,0.001066
CC(F)CN,CC(C)(C)CCO,0.229804,0.000151,16.925842,-550.525391,-2.862236,0.004441,13.046936,-757.824219,-2.038315,0.001177
CC(F)CN,CCc1cc(C(N)=S)ccn1,0.185324,0.000065,19.710602,-1010.033203,-3.041580,0.003205,11.986389,-1265.103516,-1.809258,0.001090
CC(F)CN,CCCCCCCCCCCCC(N)=O,0.229552,0.000158,18.401093,-31.589844,-2.918274,0.003087,14.881500,-741.849609,-2.539917,0.003031
CC(F)CN,CCOc1ccccc1F,0.262317,0.000218,16.370392,-137.054688,-2.859573,0.004801,15.930725,-483.681641,-2.658569,0.002330
CC(F)CN,CCCCCCCCCCCCCCCC(=O)O,0.185224,0.000056,17.542816,-881.003906,-2.828484,0.003519,10.822449,-958.082031,-1.663231,0.000602
CC(F)CN,CC=CCCCCCC,0.258748,0.000190,13.707977,382.121094,-2.392349,0.003907,13.832031,127.373047,-2.637375,0.004367
CC(F)CN,FC1CCCC1F,0.270164,0.000235,16.252411,-186.701172,-2.933983,0.005440,15.877808,-495.322266,-2.584831,0.002021
CC(F)CN,CCC(=O)OCc1ccccc1,0.262250,0.000218,16.516663,-17.298828,-2.895454,0.004842,15.537262,-494.394531,-2.635452,0.002655
CC(F)CN,COC(=O)CCC(C)C(=O)OC,0.262153,0.000222,16.978638,-105.367188,-2.990898,0.005006,15.897644,-574.611328,-2.644333,0.002377
CC(F)CN,COC(=O)C1CCCCC1,0.263354,0.000215,15.941742,-48.443359,-2.776230,0.004634,15.311493,-411.853516,-2.608887,0.002722
CC(F)CN,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,0.191867,0.000083,20.068939,-551.017578,-3.225716,0.003786,11.924652,-1225.173828,-2.030754,0.002271
CC(F)CN,CCOCCC(C)CCCC(C)C,0.260319,0.000195,14.599426,453.480469,-2.427231,0.003343,13.761810,-62.253906,-2.638092,0.004719
CC(F)CN,CC(N)C(C)(C)C,0.250490,0.000198,16.701691,-226.644531,-2.913284,0.004807,16.539795,-636.869141,-2.638901,0.002022
CC(F)CN,CCC(=O)CC(C)CC,0.260160,0.000209,16.046600,-8.716797,-2.756157,0.004378,15.286530,-434.265625,-2.616974,0.002891
CC(F)CN,CCC(=O)Cc1ccccc1,0.261362,0.000218,16.719147,-54.097656,-2.925941,0.004872,15.469788,-518.513672,-2.599373,0.002458
CC(F)CN,CCCCCC=CCC=CCCCCCCCC(=O)O,0.181921,0.000051,17.994995,-912.718750,-2.923698,0.003585,10.833893,-1031.572266,-1.659843,0.000500
CC(F)CN,C=CCOC(=O)COc1ccccc1,0.259051,0.000216,17.291840,-31.572266,-2.997849,0.004714,15.760712,-563.476562,-2.668098,0.002606
CC(F)CN,CC(C)CCN=C=S,0.266898,0.000221,15.724792,84.203125,-2.762016,0.004764,15.003296,-403.845703,-2.616783,0.003090
CC(F)CN,CC1=CCC(C=CC(C)C(C)O)C1(C)C,0.228706,0.000146,16.634247,-396.406250,-2.762085,0.004058,12.741791,-750.000000,-2.058647,0.001819
CC(F)CN,CCCCCCCCCCCCCCCCC1CCCC1,0.234563,0.000149,13.493286,1080.132812,-2.107140,0.001496,12.626678,478.603516,-2.724304,0.006079
CC(F)CN,CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC,0.228450,0.000153,15.947876,1210.841797,-2.456345,0.001588,14.872345,141.271484,-3.132736,0.005950
CC(F)CN,FC(F)(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,0.250954,0.000177,13.668274,284.310547,-2.370796,0.003939,14.242371,17.701172,-2.607895,0.003726
CC(F)CN,C=CC(C)(CCC=C(C)C)OC(=O)Cc1ccccc1,0.262785,0.000213,16.050812,370.212891,-2.773163,0.004219,14.816956,-283.708984,-2.755180,0.004033
CC(F)CN,CCCCC(=O)CCC,0.261388,0.000211,15.872406,26.695312,-2.744881,0.004471,15.350006,-432.207031,-2.630730,0.002960
CC(F)CN,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,0.186696,0.000075,21.376129,-931.019531,-3.255188,0.003123,12.669678,-1355.353516,-1.981598,0.001708
CC(F)CN,CC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.256565,0.000196,15.056000,286.591797,-2.637169,0.004382,14.968506,-305.251953,-2.649017,0.003605
CC(F)CN,CCN(C)CC,0.262449,0.000205,14.783722,-152.128906,-2.544434,0.004214,15.357239,-358.029297,-2.556862,0.002728
CC(F)CN,CCCCNCCCC,0.254246,0.000192,15.257263,11.677734,-2.577309,0.003912,15.193207,-429.144531,-2.590271,0.003080
CC(F)CN,Cc1ccc(CCl)c(C)c1,0.266730,0.000220,15.583893,16.275391,-2.763596,0.004841,15.309784,-396.386719,-2.629974,0.002913
