SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(N)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.253769,0.000206,17.718048,-178.173828,-3.049301,0.004609,16.350891,-689.326172,-2.664803,0.002361
CCC(N)F,CC(=O)Nc1ccc(C=O)cc1,0.257459,0.000207,16.954865,-5.525391,-2.944588,0.004401,14.951294,-550.126953,-2.534744,0.003012
CCC(N)F,Cc1cccc(CO)c1,0.256817,0.000211,17.100189,-263.332031,-2.971313,0.004774,15.804199,-623.001953,-2.548859,0.001967
CCC(N)F,COC(C)CO,0.251908,0.000199,17.195618,-359.158203,-2.991882,0.004838,16.575287,-735.027344,-2.602905,0.001851
CCC(N)F,Nc1nc(=O)c2ccccc2o1,0.240399,0.000175,18.567261,114.873047,-3.076530,0.003541,14.227600,-635.611328,-2.451942,0.003473
CCC(N)F,CC(Cl)Br,0.269337,0.000226,15.638672,-316.757812,-2.821495,0.005432,17.306122,-336.333984,-2.837799,0.002123
CCC(N)F,CCCOC(F)F,0.275117,0.000237,15.578125,-258.474609,-2.806229,0.005440,16.829834,-335.564453,-2.825333,0.002513
CCC(N)F,COC1CC2CCC1(C)C2(C)C,0.261164,0.000200,14.817810,-181.640625,-2.459793,0.003823,15.761261,-198.761719,-2.716408,0.003157
CCC(N)F,CCC(=O)C1=NCCC1,0.253528,0.000198,16.398712,-456.566406,-2.733406,0.004143,17.121033,-551.533203,-2.757713,0.001857
CCC(N)F,NC(CF)(CF)CF,0.248628,0.000197,17.408173,-491.580078,-2.977303,0.004551,17.498535,-739.953125,-2.679779,0.001251
CCC(N)F,CC(C)CCCC(C)CC=O,0.262406,0.000208,15.427460,-103.767578,-2.620049,0.004141,15.516724,-401.660156,-2.633629,0.002894
CCC(N)F,Cc1coc(C)n1,0.247339,0.000188,16.870911,-496.089844,-2.858650,0.004370,16.619507,-691.140625,-2.574112,0.001441
CCC(N)F,NC(=S)NC(N)=S,0.202408,0.000092,20.827118,-828.505859,-3.239426,0.003594,17.635162,-1211.248047,-2.771324,0.002250
CCC(N)F,FC(F)C(Cl)C(F)F,0.257448,0.000205,17.096893,-547.044922,-2.996155,0.005300,18.180145,-633.386719,-2.888351,0.001642
CCC(N)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.258752,0.000195,14.504272,114.425781,-2.442184,0.003906,15.396301,-188.576172,-2.744125,0.003499
CCC(N)F,NNC(=O)c1ccccc1,0.257880,0.000219,18.196228,-155.162109,-3.146072,0.004686,16.781647,-741.640625,-2.734406,0.002640
CCC(N)F,ClC=CBr,0.269512,0.000222,15.238373,-316.240234,-2.754837,0.005477,17.102570,-297.195312,-2.821655,0.002257
CCC(N)F,CN(C)N=O,0.254047,0.000202,17.026154,-303.664062,-2.987030,0.004832,17.267914,-730.255859,-2.686981,0.001983
CCC(N)F,c1ccc(C2CCCCC2)cc1,0.277349,0.000227,14.227325,208.064453,-2.540482,0.004608,14.703552,9.773438,-2.756317,0.004399
CCC(N)F,N#Cc1ccncc1,0.248414,0.000194,17.366272,-517.414062,-2.921021,0.004408,17.455688,-762.611328,-2.717224,0.001433
CCC(N)F,CN(C)C(=S)Nc1ccccc1,0.233763,0.000164,17.760254,-423.833984,-2.914268,0.003767,16.066498,-766.890625,-2.513748,0.001573
CCC(N)F,CCC(N)CC,0.233235,0.000158,16.739441,-561.974609,-2.754677,0.003854,15.818726,-782.822266,-2.412521,0.001334
CCC(N)F,COC(=O)CO,0.250696,0.000199,17.763702,-389.697266,-3.100990,0.004978,16.471802,-736.806641,-2.559700,0.001712
CCC(N)F,Cc1c(N)cccc1Cl,0.241306,0.000185,18.265137,-523.234375,-3.042694,0.004179,17.530426,-796.615234,-2.742378,0.001391
CCC(N)F,CC1CCC(C(C)(C)OO)CC1,0.243353,0.000182,17.057434,-427.000000,-2.840927,0.004233,15.608093,-680.162109,-2.509735,0.001807
CCC(N)F,CC(F)(Cl)CF,0.271847,0.000235,16.196533,-253.050781,-2.942162,0.005625,17.054291,-465.289062,-2.787529,0.002267
CCC(N)F,CCCCC1OC(C)CC(C)(C)O1,0.254178,0.000194,15.664581,-221.435547,-2.553925,0.003493,15.896088,-476.435547,-2.654388,0.002738
CCC(N)F,CC(C)(C)OCC1CO1,0.254160,0.000202,16.681915,-384.498047,-2.821503,0.004250,17.149994,-609.236328,-2.735397,0.001870
CCC(N)F,O=P(O)(O)OP(=O)(O)O,0.158087,-0.000024,20.772949,-990.808594,-3.356339,0.004845,7.701965,-1454.382812,-1.527039,0.002984
CCC(N)F,CC(=O)Nc1ccc(C)cc1,0.259715,0.000212,16.611023,-226.587891,-2.881012,0.004719,15.433044,-560.101562,-2.548912,0.002323
CCC(N)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.257364,0.000211,18.299042,-33.335938,-3.143341,0.004515,15.838684,-620.214844,-2.571404,0.002564
CCC(N)F,CC(C)(O)CCC1CCCCC1,0.263299,0.000214,15.662811,45.156250,-2.776543,0.004734,14.710358,-466.742188,-2.523979,0.003181
