SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
ClC=CCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.249981,0.000206,20.097626,-399.972656,-3.316475,0.004467,16.672577,-880.304688,-2.710976,0.002070
ClC=CCl,CC(=O)Nc1ccc(C=O)cc1,0.277471,0.000237,17.255707,848.722656,-3.025612,0.003685,11.864838,-87.058594,-2.425629,0.005467
ClC=CCl,Cc1cccc(CO)c1,0.277949,0.000246,16.997131,437.076172,-3.118752,0.004634,13.306000,-289.546875,-2.497330,0.004471
ClC=CCl,COC(C)CO,0.258298,0.000216,18.125244,-142.226562,-3.161186,0.004647,17.020020,-823.667969,-2.805824,0.003101
ClC=CCl,Nc1nc(=O)c2ccccc2o1,0.264936,0.000209,16.993286,1647.117188,-2.897774,0.001905,9.773315,464.097656,-2.344719,0.007021
ClC=CCl,CC(Cl)Br,0.273072,0.000246,17.319519,-354.521484,-3.132637,0.005890,16.077850,-578.156250,-2.557358,0.001632
ClC=CCl,CCCOC(F)F,0.271575,0.000242,17.225677,-320.992188,-3.082542,0.005628,15.960388,-603.359375,-2.577126,0.001866
ClC=CCl,COC1CC2CCC1(C)C2(C)C,0.246596,0.000192,18.015350,-526.652344,-3.046898,0.004529,17.440796,-852.318359,-2.771156,0.001720
ClC=CCl,CCC(=O)C1=NCCC1,0.247889,0.000198,19.084503,-519.681641,-3.202751,0.004635,17.760162,-940.597656,-2.848618,0.002021
ClC=CCl,NC(CF)(CF)CF,0.265720,0.000223,17.240021,11.517578,-3.094688,0.005042,15.356201,-608.361328,-2.534416,0.003015
ClC=CCl,CC(C)CCCC(C)CC=O,0.253902,0.000211,18.551544,-407.226562,-3.179001,0.004888,17.200867,-856.123047,-2.787735,0.002123
ClC=CCl,Cc1coc(C)n1,0.251315,0.000205,18.987762,-479.365234,-3.257385,0.004896,17.676239,-887.953125,-2.793457,0.001961
ClC=CCl,NC(=S)NC(N)=S,0.261541,0.000187,15.542206,1322.906250,-3.047340,0.004925,11.533661,545.943359,-2.202682,0.005013
ClC=CCl,FC(F)C(Cl)C(F)F,0.277227,0.000248,16.794464,-121.943359,-3.141937,0.006147,15.078064,-404.160156,-2.430054,0.002149
ClC=CCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.275320,0.000230,13.904572,779.316406,-2.690186,0.004807,12.211578,129.164062,-2.370102,0.004864
