SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C1CCCCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.249410,0.000181,19.416718,428.566406,-3.234001,0.004022,11.945251,-1.500000,-2.112999,0.002232
C1CCCCC1,CC(=O)Nc1ccc(C=O)cc1,0.251699,0.000172,15.833832,2351.455078,-2.677361,0.001050,7.954742,1256.306641,-2.141289,0.007064
C1CCCCC1,Cc1cccc(CO)c1,0.276680,0.000228,16.100525,1013.068359,-3.078819,0.004067,10.551422,236.466797,-2.166016,0.005331
C1CCCCC1,COC(C)CO,0.274683,0.000226,15.933289,585.388672,-3.071289,0.004613,13.011414,-96.570312,-2.304527,0.004296
C1CCCCC1,Nc1nc(=O)c2ccccc2o1,0.211633,0.000104,15.867340,3501.093750,-2.380882,-0.002014,5.786072,2173.919922,-2.110390,0.008276
C1CCCCC1,CC(Cl)Br,0.270553,0.000235,17.572052,-231.345703,-3.182869,0.005596,14.760590,-382.109375,-2.324257,0.001442
C1CCCCC1,CCCOC(F)F,0.275202,0.000242,17.173584,-133.486328,-3.131256,0.005637,14.450684,-394.146484,-2.337875,0.001876
C1CCCCC1,COC1CC2CCC1(C)C2(C)C,0.265872,0.000232,18.103638,-274.312500,-3.227928,0.005380,16.126343,-675.279297,-2.588173,0.002112
C1CCCCC1,CCC(=O)C1=NCCC1,0.265559,0.000217,17.607941,168.855469,-3.175362,0.004714,13.709961,-324.402344,-2.307411,0.002915
C1CCCCC1,NC(CF)(CF)CF,0.268294,0.000209,15.538147,718.628906,-3.088829,0.005130,12.506073,165.953125,-2.199623,0.004001
C1CCCCC1,CC(C)CCCC(C)CC=O,0.268480,0.000230,18.196289,-119.621094,-3.198074,0.005148,14.639526,-553.802734,-2.433296,0.002319
C1CCCCC1,Cc1coc(C)n1,0.266656,0.000220,17.432495,6.220703,-3.166573,0.005014,14.270081,-405.292969,-2.310295,0.002405
C1CCCCC1,NC(=S)NC(N)=S,0.195149,0.000065,15.127502,2941.937500,-2.747971,0.001531,8.996979,2033.601562,-2.163925,0.005737
C1CCCCC1,FC(F)C(Cl)C(F)F,0.269377,0.000227,17.256317,-94.751953,-3.177353,0.005485,13.678986,-171.226562,-2.111816,0.001500
C1CCCCC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.269005,0.000224,16.070251,408.511719,-2.994987,0.004884,12.717651,-15.095703,-2.249062,0.003264
C1CCCCC1,NNC(=O)c1ccccc1,0.258111,0.000183,14.654175,2099.601562,-2.880219,0.002398,8.910889,1110.525391,-2.152466,0.007004
C1CCCCC1,ClC=CBr,0.270444,0.000236,17.326080,-283.294922,-3.165436,0.005763,15.440338,-461.492188,-2.417686,0.001481
C1CCCCC1,CN(C)N=O,0.257246,0.000186,16.836487,709.882812,-3.140297,0.004419,11.658966,267.160156,-2.030869,0.003188
C1CCCCC1,c1ccc(C2CCCCC2)cc1,0.280933,0.000256,17.215881,-118.916016,-3.135338,0.005834,14.046326,-463.341797,-2.370361,0.002365
C1CCCCC1,N#Cc1ccncc1,0.258649,0.000199,18.207458,342.632812,-3.151993,0.004011,12.829437,-209.830078,-2.200630,0.003066
C1CCCCC1,CN(C)C(=S)Nc1ccccc1,0.247931,0.000171,18.145050,1176.429688,-3.129356,0.003016,9.725281,592.761719,-1.996208,0.004023
C1CCCCC1,CCC(N)CC,0.267813,0.000225,16.921814,38.134766,-3.162453,0.005504,15.226288,-495.013672,-2.486351,0.002801
C1CCCCC1,COC(=O)CO,0.265782,0.000206,15.907166,791.207031,-3.113678,0.004268,11.788116,317.957031,-2.074883,0.003893
C1CCCCC1,Cc1c(N)cccc1Cl,0.265523,0.000208,16.747742,674.722656,-3.129379,0.004301,12.212952,-16.427734,-2.238869,0.004254
C1CCCCC1,CC1CCC(C(C)(C)OO)CC1,0.277159,0.000238,16.689392,647.455078,-3.128464,0.004345,12.511902,-155.625000,-2.402985,0.004796
C1CCCCC1,CC(F)(Cl)CF,0.272325,0.000234,17.321350,-135.308594,-3.160995,0.005542,13.929474,-276.730469,-2.201172,0.001621
C1CCCCC1,CCCCC1OC(C)CC(C)(C)O1,0.266262,0.000230,18.094879,-151.376953,-3.207954,0.005125,15.560455,-659.990234,-2.564957,0.002574
C1CCCCC1,CC(C)(C)OCC1CO1,0.270336,0.000231,17.492340,-68.160156,-3.179115,0.005223,14.714020,-506.154297,-2.404617,0.002526
C1CCCCC1,O=P(O)(O)OP(=O)(O)O,0.166207,0.000030,13.796661,4947.484375,-1.751205,-0.003926,4.782074,3349.613281,-2.090797,0.009687
C1CCCCC1,CC(=O)Nc1ccc(C)cc1,0.273126,0.000216,16.024109,1543.076172,-2.944809,0.002962,9.346252,618.550781,-2.171616,0.006326
C1CCCCC1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.209026,0.000096,17.712311,2037.205078,-3.165413,0.002059,8.613220,1506.765625,-2.000137,0.004093
C1CCCCC1,CC(C)(O)CCC1CCCCC1,0.283959,0.000249,16.546265,791.218750,-3.082222,0.004391,11.399200,19.953125,-2.329079,0.005063
C1CCCCC1,COCC(F)(F)F,0.273371,0.000233,16.560791,12.027344,-3.088051,0.005443,14.103363,-268.513672,-2.263390,0.002222
C1CCCCC1,COCC(O)COC,0.270478,0.000219,16.376709,334.986328,-3.108215,0.004836,13.596680,-217.365234,-2.273407,0.003390
C1CCCCC1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.239926,0.000152,15.360870,2693.498047,-2.673439,0.000152,8.402100,1344.824219,-2.359749,0.008154
C1CCCCC1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.224347,0.000122,15.405731,2731.562500,-2.712288,0.000071,7.880493,1554.419922,-2.169312,0.007368
C1CCCCC1,CC(C)C(F)F,0.277956,0.000249,16.938843,-191.046875,-3.143936,0.005972,14.702637,-401.566406,-2.365021,0.001820
C1CCCCC1,CCCCC1C=C(C)CC(C)O1,0.265047,0.000230,18.378174,-233.898438,-3.228500,0.005151,15.644165,-655.992188,-2.552299,0.002193
C1CCCCC1,COc1ccc(C(C)=O)cc1,0.267323,0.000214,17.656250,365.646484,-3.141350,0.004506,12.100311,-97.472656,-2.126663,0.003042
C1CCCCC1,Oc1cc(O)ncn1,0.248684,0.000165,12.804291,2728.322266,-2.696976,0.001328,8.465271,1515.429688,-2.238174,0.008870
C1CCCCC1,COCCCCl,0.273656,0.000234,16.867401,-6.220703,-3.100220,0.005391,14.417328,-410.320312,-2.360535,0.002481
C1CCCCC1,CCCOC,0.266379,0.000230,17.548462,-249.296875,-3.189888,0.005441,16.430908,-650.595703,-2.595093,0.002072
C1CCCCC1,Fc1c(F)c(F)c(F)c(F)c1F,0.277701,0.000247,16.556396,-71.486328,-3.058540,0.005852,14.020905,-367.347656,-2.339951,0.002220
C1CCCCC1,CCP(CC)CC,0.264397,0.000230,18.287018,-268.451172,-3.246948,0.005309,15.808990,-642.791016,-2.532890,0.001970
C1CCCCC1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.267603,0.000230,18.258789,-80.119141,-3.194824,0.004981,15.141541,-625.873047,-2.562805,0.002749
C1CCCCC1,Fc1cc(F)c(F)cc1F,0.275275,0.000242,17.141205,-125.023438,-3.149132,0.005754,14.076691,-375.076172,-2.294853,0.002007
C1CCCCC1,CCCCc1ccc(C(=O)O)cc1,0.275581,0.000229,16.705475,1019.500000,-3.084503,0.003755,10.659149,117.548828,-2.258949,0.005520
C1CCCCC1,C=Cc1c(C)cc(C)cc1C,0.278937,0.000253,17.405579,-163.292969,-3.160789,0.005799,14.359039,-472.341797,-2.390785,0.002170
C1CCCCC1,C=C(C)C(=O)OC(C)(C)C,0.267790,0.000231,18.302277,-191.712891,-3.221313,0.005233,14.602051,-535.652344,-2.393494,0.001956
C1CCCCC1,FC1CCCN1,0.273352,0.000229,16.705536,243.587891,-3.101013,0.004937,13.132294,-154.630859,-2.213379,0.002934
C1CCCCC1,CCCCCCCC(=O)NC,0.276446,0.000229,17.010742,1127.486328,-2.976219,0.003288,10.192688,229.259766,-2.207420,0.005523
C1CCCCC1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.276952,0.000240,16.006073,294.998047,-3.034248,0.005720,13.507355,-137.533203,-2.362282,0.003153
C1CCCCC1,C1=CC2C=CC1C2,0.279000,0.000253,16.977570,-196.921875,-3.140953,0.006057,14.914246,-476.328125,-2.433815,0.001998
C1CCCCC1,CCC(C)(O)CCC=C(C)C,0.279636,0.000243,16.800171,623.359375,-3.122154,0.004538,12.061371,-112.015625,-2.354523,0.004625
C1CCCCC1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.265127,0.000222,18.281525,245.626953,-3.168121,0.004277,15.069885,-509.830078,-2.801643,0.003780
C1CCCCC1,CCC(C)CCF,0.278721,0.000253,16.983093,-192.822266,-3.136810,0.005958,15.129730,-511.904297,-2.472153,0.002125
C1CCCCC1,C=Cc1cccc(CC)c1,0.277552,0.000250,17.447601,-164.664062,-3.166809,0.005761,14.387787,-473.955078,-2.379837,0.002161
C1CCCCC1,CC(C)(C(O)(F)F)C(F)(F)F,0.259672,0.000210,17.318512,258.519531,-3.234398,0.004840,13.938232,-221.001953,-2.309013,0.003094
C1CCCCC1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.278138,0.000252,16.640991,-238.972656,-3.054962,0.005992,15.182587,-509.216797,-2.497437,0.002019
C1CCCCC1,CCN(CC)c1ccc(N)cc1,0.265666,0.000208,16.826569,712.880859,-3.121941,0.004183,12.622620,-60.505859,-2.320862,0.004473
C1CCCCC1,FC(F)CC(F)(F)F,0.275912,0.000236,16.477631,62.181641,-3.097847,0.005617,13.138489,-98.476562,-2.109146,0.002091
C1CCCCC1,N#CCCOCCC#N,0.225675,0.000128,18.136963,1484.060547,-3.196922,0.002864,8.781403,1061.779297,-1.856194,0.003241
C1CCCCC1,CCC(C)C(C)C(C)C,0.278306,0.000255,16.856567,-225.367188,-3.089180,0.005999,15.004364,-517.666016,-2.486641,0.002088
C1CCCCC1,Cn1c(=O)ccc2ccccc21,0.247166,0.000170,18.290100,772.718750,-3.152367,0.003805,11.714966,224.048828,-2.098221,0.002915
C1CCCCC1,CCOC(=O)c1ccccc1N,0.270825,0.000220,17.117401,661.308594,-3.101868,0.004055,11.754791,-65.234375,-2.223167,0.004408
C1CCCCC1,ClC1CN2CCC1CC2,0.267179,0.000226,17.802368,-94.382812,-3.188667,0.005016,14.730225,-479.306641,-2.398445,0.002253
C1CCCCC1,CC=CCCCCCCCC#N,0.268051,0.000223,18.372711,142.552734,-3.177956,0.004731,12.829926,-333.681641,-2.258835,0.002710
