SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCC=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.250914,0.000210,20.171692,-437.509766,-3.396584,0.004749,15.910919,-708.978516,-2.498001,0.001290
CCCCCC=O,CC(=O)Nc1ccc(C=O)cc1,0.256406,0.000208,18.936920,55.861328,-3.188072,0.004073,13.588867,-495.376953,-2.317566,0.002707
CCCCCC=O,Cc1cccc(CO)c1,0.248541,0.000204,18.899109,-350.576172,-3.251068,0.004669,15.816345,-697.626953,-2.476807,0.001634
CCCCCC=O,COC(C)CO,0.259573,0.000219,17.744904,-163.423828,-3.222366,0.005454,16.762421,-626.378906,-2.637032,0.002249
CCCCCC=O,Nc1nc(=O)c2ccccc2o1,0.242654,0.000172,19.835938,637.263672,-3.069649,0.002236,9.704102,-103.560547,-1.917542,0.004039
CCCCCC=O,CC(Cl)Br,0.252735,0.000211,18.221741,-652.773438,-3.194580,0.005513,17.975861,-646.623047,-2.725731,0.000545
CCCCCC=O,CCCOC(F)F,0.263182,0.000227,17.549255,-494.789062,-3.120026,0.005564,16.940521,-595.390625,-2.634270,0.001164
CCCCCC=O,COC1CC2CCC1(C)C2(C)C,0.260035,0.000218,17.272797,-322.310547,-3.008690,0.004946,15.832642,-556.783203,-2.570251,0.001994
CCCCCC=O,CCC(=O)C1=NCCC1,0.257166,0.000218,18.308777,-440.876953,-3.189346,0.005154,16.648315,-709.085938,-2.594460,0.001458
CCCCCC=O,NC(CF)(CF)CF,0.252715,0.000205,17.820801,-229.003906,-3.278404,0.005733,16.911865,-550.130859,-2.566833,0.001832
CCCCCC=O,CC(C)CCCC(C)CC=O,0.262699,0.000227,17.786652,-315.500000,-3.142319,0.005341,16.121643,-674.906250,-2.585037,0.001925
CCCCCC=O,Cc1coc(C)n1,0.254998,0.000215,18.550720,-406.080078,-3.301170,0.005552,17.168701,-692.837891,-2.641800,0.001443
CCCCCC=O,NC(=S)NC(N)=S,0.213521,0.000112,20.280884,-386.365234,-3.250427,0.003908,15.110565,-804.998047,-2.303192,0.002066
CCCCCC=O,FC(F)C(Cl)C(F)F,0.237573,0.000177,19.746948,-869.947266,-3.373825,0.004935,18.515839,-814.949219,-2.707397,0.000457
CCCCCC=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.242791,0.000179,16.549011,-166.244141,-2.726791,0.004018,15.149628,-513.306641,-2.513908,0.001852
CCCCCC=O,NNC(=O)c1ccccc1,0.260333,0.000211,18.166840,281.421875,-3.186020,0.004447,13.649048,-286.804688,-2.336967,0.003155
CCCCCC=O,ClC=CBr,0.249178,0.000198,17.970978,-767.185547,-3.134346,0.005529,18.476868,-629.876953,-2.813751,0.000520
CCCCCC=O,CN(C)N=O,0.256186,0.000206,17.978607,-175.800781,-3.243210,0.005187,15.652496,-431.800781,-2.387405,0.001779
CCCCCC=O,c1ccc(C2CCCCC2)cc1,0.264152,0.000225,17.233734,-383.417969,-3.016106,0.005115,16.087555,-528.388672,-2.620239,0.001924
CCCCCC=O,N#Cc1ccncc1,0.244125,0.000198,19.745605,-590.728516,-3.325180,0.004687,17.628540,-851.802734,-2.682480,0.001123
CCCCCC=O,CN(C)C(=S)Nc1ccccc1,0.223850,0.000151,20.551147,-692.851562,-3.282875,0.003776,15.189423,-895.697266,-2.287849,0.000919
CCCCCC=O,CCC(N)CC,0.252752,0.000204,17.107513,-193.277344,-3.203865,0.006342,17.130615,-518.882812,-2.699692,0.002054
CCCCCC=O,COC(=O)CO,0.254833,0.000208,17.792847,-224.615234,-3.248802,0.005252,16.075348,-475.408203,-2.428955,0.001658
CCCCCC=O,Cc1c(N)cccc1Cl,0.231463,0.000169,19.979370,-749.462891,-3.296844,0.004262,17.755646,-908.105469,-2.687523,0.000912
CCCCCC=O,CC1CCC(C(C)(C)OO)CC1,0.234463,0.000176,19.179901,-594.429688,-3.162285,0.004125,15.683594,-810.794922,-2.410728,0.001054
CCCCCC=O,CC(F)(Cl)CF,0.256150,0.000219,18.529541,-557.171875,-3.255905,0.005484,17.359406,-695.019531,-2.639580,0.000886
CCCCCC=O,CCCCC1OC(C)CC(C)(C)O1,0.261328,0.000223,17.612183,-289.597656,-3.081306,0.005065,16.147888,-689.789062,-2.619652,0.002163
CCCCCC=O,CC(C)(C)OCC1CO1,0.262681,0.000229,18.291748,-375.601562,-3.238281,0.005450,16.759186,-713.867188,-2.647072,0.001758
