SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.256508,0.000209,19.685150,-167.914062,-3.303802,0.004542,13.906433,-477.503906,-2.258026,0.001737
CCCCCCCl,CC(=O)Nc1ccc(C=O)cc1,0.273091,0.000219,16.078430,1464.248047,-2.937157,0.002910,9.324097,595.863281,-2.146820,0.006221
CCCCCCCl,Cc1cccc(CO)c1,0.281268,0.000247,16.290863,604.261719,-3.128418,0.004824,11.886261,-12.517578,-2.266670,0.004555
CCCCCCCl,COC(C)CO,0.271063,0.000229,16.438049,244.546875,-3.156624,0.005124,14.627441,-316.595703,-2.450005,0.003525
CCCCCCCl,Nc1nc(=O)c2ccccc2o1,0.248048,0.000174,15.216644,2525.021484,-2.698021,0.000249,7.402252,1412.726562,-2.107948,0.008205
CCCCCCCl,CC(Cl)Br,0.265297,0.000234,17.791656,-461.833984,-3.203102,0.005803,16.431580,-563.589844,-2.509193,0.000977
CCCCCCCl,CCCOC(F)F,0.273328,0.000245,17.019135,-332.408203,-3.116135,0.005943,15.933777,-527.275391,-2.510521,0.001527
CCCCCCCl,COC1CC2CCC1(C)C2(C)C,0.259995,0.000223,17.974762,-407.865234,-3.170624,0.005329,16.507996,-678.396484,-2.597244,0.001523
CCCCCCCl,CCC(=O)C1=NCCC1,0.261072,0.000221,18.054504,-259.919922,-3.239922,0.005249,16.335632,-648.623047,-2.567062,0.002045
CCCCCCCl,NC(CF)(CF)CF,0.268963,0.000221,15.767944,235.292969,-3.156387,0.006012,14.321716,-103.447266,-2.295059,0.002886
CCCCCCCl,CC(C)CCCC(C)CC=O,0.264239,0.000231,18.278992,-321.845703,-3.249687,0.005480,16.263031,-696.492188,-2.595314,0.001983
CCCCCCCl,Cc1coc(C)n1,0.262348,0.000222,17.792358,-251.083984,-3.245346,0.005560,16.336578,-570.351562,-2.548477,0.001840
CCCCCCCl,NC(=S)NC(N)=S,0.231323,0.000131,15.152557,1608.902344,-3.096703,0.004661,11.446686,1080.730469,-2.095490,0.004198
CCCCCCCl,FC(F)C(Cl)C(F)F,0.265567,0.000228,17.409729,-307.826172,-3.240761,0.005956,15.791626,-370.755859,-2.371773,0.001162
CCCCCCCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265517,0.000218,15.160675,266.748047,-2.837410,0.005029,13.215485,-77.179688,-2.261665,0.002959
CCCCCCCl,NNC(=O)c1ccccc1,0.278245,0.000228,15.100403,1261.619141,-3.037987,0.004190,10.086426,525.595703,-2.091354,0.005858
CCCCCCCl,ClC=CBr,0.264649,0.000231,17.454651,-496.693359,-3.147568,0.005826,16.625824,-565.265625,-2.529427,0.000832
CCCCCCCl,CN(C)N=O,0.260162,0.000203,17.075500,135.583984,-3.180634,0.005019,14.179535,-186.667969,-2.188400,0.002302
CCCCCCCl,c1ccc(C2CCCCC2)cc1,0.274292,0.000250,17.473297,-317.687500,-3.162056,0.005958,15.616119,-579.050781,-2.530594,0.001819
CCCCCCCl,N#Cc1ccncc1,0.258450,0.000212,18.788269,-187.564453,-3.262840,0.004758,15.176971,-543.683594,-2.402779,0.001975
CCCCCCCl,CN(C)C(=S)Nc1ccccc1,0.264324,0.000213,18.197296,332.072266,-3.169212,0.004129,12.190704,-119.207031,-2.132103,0.003104
CCCCCCCl,CCC(N)CC,0.259813,0.000217,17.152069,-142.429688,-3.242455,0.006067,16.824158,-560.058594,-2.656448,0.002355
CCCCCCCl,COC(=O)CO,0.270953,0.000224,15.992615,385.113281,-3.140656,0.004861,13.182465,21.328125,-2.160713,0.003332
CCCCCCCl,Cc1c(N)cccc1Cl,0.266297,0.000224,17.407867,69.931641,-3.191429,0.005001,14.288818,-403.021484,-2.376144,0.002834
CCCCCCCl,CC1CCC(C(C)(C)OO)CC1,0.275676,0.000244,17.009064,332.576172,-3.164749,0.004766,13.925232,-330.269531,-2.517197,0.004093
CCCCCCCl,CC(F)(Cl)CF,0.270228,0.000239,17.312866,-334.167969,-3.201569,0.005961,15.840057,-442.802734,-2.429649,0.001295
CCCCCCCl,CCCCC1OC(C)CC(C)(C)O1,0.260324,0.000224,18.276550,-360.160156,-3.204407,0.005178,16.650726,-746.085938,-2.659630,0.001962
CCCCCCCl,CC(C)(C)OCC1CO1,0.263316,0.000229,18.155579,-351.476562,-3.252907,0.005475,16.813599,-709.265625,-2.638664,0.001891
CCCCCCCl,O=P(O)(O)OP(=O)(O)O,0.188363,0.000065,13.601868,4132.003906,-2.183342,-0.001664,6.086304,2803.126953,-2.101219,0.009115
CCCCCCCl,CC(=O)Nc1ccc(C)cc1,0.283334,0.000245,16.560944,841.775391,-3.064934,0.004227,10.900208,114.275391,-2.220490,0.005078
CCCCCCCl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.239958,0.000155,17.783936,1019.869141,-3.341660,0.004396,10.787537,693.984375,-2.002274,0.002954
CCCCCCCl,CC(C)(O)CCC1CCCCC1,0.282316,0.000253,16.578583,563.755859,-3.123680,0.004902,12.512268,-112.937500,-2.408508,0.004659
