SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCNCCNCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.248828,0.000202,19.516907,-274.648438,-3.299454,0.004443,16.417267,-706.992188,-2.591476,0.001746
CCNCCNCC,CC(=O)Nc1ccc(C=O)cc1,0.223715,0.000133,17.812653,-386.310547,-2.928772,0.003724,12.956421,-667.884766,-2.001877,0.001572
CCNCCNCC,Cc1cccc(CO)c1,0.196437,0.000083,17.977722,-1244.783203,-2.942162,0.004241,14.576782,-774.408203,-2.036865,-0.000534
CCNCCNCC,COC(C)CO,0.222495,0.000144,17.866333,-801.779297,-2.992111,0.004172,15.943298,-753.044922,-2.243134,-0.000060
CCNCCNCC,Nc1nc(=O)c2ccccc2o1,0.193705,0.000052,18.755615,-175.201172,-2.943192,0.003477,2.539734,-782.779297,-0.561218,0.002589
CCNCCNCC,CC(Cl)Br,0.252278,0.000200,17.211182,-633.847656,-3.038162,0.005336,18.960358,-539.392578,-2.912315,0.000968
CCNCCNCC,CCCOC(F)F,0.265751,0.000226,16.401611,-401.847656,-2.956680,0.005551,17.612701,-468.283203,-2.777115,0.001468
CCNCCNCC,COC1CC2CCC1(C)C2(C)C,0.266099,0.000224,16.182922,-269.056641,-2.861511,0.005067,16.508179,-432.318359,-2.709709,0.002156
CCNCCNCC,CCC(=O)C1=NCCC1,0.254818,0.000207,17.131409,-381.505859,-2.992264,0.004843,16.735535,-641.882812,-2.602539,0.001443
CCNCCNCC,NC(CF)(CF)CF,0.243850,0.000188,18.303284,-328.648438,-3.107529,0.004188,16.645691,-671.500000,-2.529610,0.001479
CCNCCNCC,CC(C)CCCC(C)CC=O,0.261775,0.000218,16.613007,-239.738281,-2.930595,0.004998,16.210663,-591.773438,-2.613159,0.001967
CCNCCNCC,Cc1coc(C)n1,0.252693,0.000207,17.826447,-435.226562,-3.113876,0.004907,17.400452,-701.388672,-2.665939,0.001321
CCNCCNCC,NC(=S)NC(N)=S,0.188184,0.000015,17.864105,-633.587891,-2.624062,0.002623,5.899139,-848.173828,-0.860214,0.003206
CCNCCNCC,FC(F)C(Cl)C(F)F,0.222996,0.000127,18.925079,-960.865234,-3.251274,0.004508,18.542786,-772.333984,-2.624130,0.001041
CCNCCNCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.230959,0.000144,16.317841,-395.500000,-2.633827,0.003688,15.789368,-542.369141,-2.548035,0.001659
CCNCCNCC,NNC(=O)c1ccccc1,0.229066,0.000149,20.207581,108.214844,-3.041451,0.002224,11.788116,-604.687500,-1.965508,0.002740
CCNCCNCC,ClC=CBr,0.244552,0.000179,17.627930,-828.291016,-3.106735,0.005338,19.911407,-609.910156,-2.990677,0.000821
CCNCCNCC,CN(C)N=O,0.256456,0.000200,16.624359,-92.009766,-3.035316,0.004981,15.819092,-389.593750,-2.378860,0.001929
CCNCCNCC,c1ccc(C2CCCCC2)cc1,0.268525,0.000226,15.856995,-203.013672,-2.843361,0.005245,16.344482,-416.101562,-2.713638,0.002345
CCNCCNCC,N#Cc1ccncc1,0.235993,0.000173,18.636475,-634.851562,-3.092690,0.004062,17.584473,-803.812500,-2.616730,0.000930
CCNCCNCC,CN(C)C(=S)Nc1ccccc1,0.217385,0.000120,17.432098,-509.480469,-2.706642,0.002883,13.589874,-697.091797,-1.976799,0.001050
CCNCCNCC,CCC(N)CC,0.248786,0.000204,18.488586,-448.275391,-3.191200,0.004722,18.048889,-795.689453,-2.780548,0.001448
CCNCCNCC,COC(=O)CO,0.213357,0.000108,16.062866,-819.771484,-2.817688,0.004807,13.047455,-642.859375,-1.803955,0.000182
CCNCCNCC,Cc1c(N)cccc1Cl,0.188375,0.000066,21.141998,-1255.812500,-3.365799,0.003037,17.707367,-1176.671875,-2.360451,0.000532
