SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOCCC#N,O=P(Cl)(c1ccccc1)c1ccccc1,0.254049,0.000218,19.128204,-403.287109,-3.316406,0.005106,16.899414,-769.734375,-2.660400,0.001648
CCOCCC#N,CC(=O)Nc1ccc(C=O)cc1,0.262896,0.000226,18.150360,79.384766,-3.174095,0.004594,14.886993,-433.277344,-2.547623,0.002866
CCOCCC#N,Cc1cccc(CO)c1,0.253534,0.000209,17.536682,-180.878906,-3.087883,0.004818,15.711365,-488.910156,-2.530807,0.001883
CCOCCC#N,COC(C)CO,0.256672,0.000213,17.355927,-175.917969,-3.107094,0.005227,16.709473,-558.154297,-2.670586,0.002082
CCOCCC#N,Nc1nc(=O)c2ccccc2o1,0.254111,0.000199,19.008301,607.732422,-3.107521,0.002921,10.723694,-46.937500,-2.130249,0.004157
CCOCCC#N,CC(Cl)Br,0.256795,0.000211,17.037872,-596.207031,-3.012314,0.005394,18.006592,-542.697266,-2.778336,0.000967
CCOCCC#N,CCCOC(F)F,0.266480,0.000223,16.218292,-421.751953,-2.887161,0.005282,16.557526,-421.845703,-2.647339,0.001725
CCOCCC#N,COC1CC2CCC1(C)C2(C)C,0.256390,0.000191,14.688110,-30.703125,-2.539925,0.004245,14.018097,-83.916016,-2.484787,0.003444
CCOCCC#N,CCC(=O)C1=NCCC1,0.256355,0.000210,17.221771,-460.316406,-2.953613,0.004696,16.684204,-583.406250,-2.644135,0.001537
CCOCCC#N,NC(CF)(CF)CF,0.254196,0.000211,17.877838,-336.662109,-3.234795,0.005824,17.312164,-615.404297,-2.654366,0.001411
CCOCCC#N,CC(C)CCCC(C)CC=O,0.257923,0.000202,15.568176,-50.730469,-2.765892,0.004847,15.078491,-295.410156,-2.595818,0.003028
CCOCCC#N,Cc1coc(C)n1,0.255058,0.000208,16.868256,-381.626953,-3.045639,0.005604,16.876404,-565.394531,-2.615723,0.001377
CCOCCC#N,NC(=S)NC(N)=S,0.197109,0.000084,21.544403,-971.986328,-3.430214,0.003572,18.474976,-1217.693359,-2.757553,0.001572
CCOCCC#N,FC(F)C(Cl)C(F)F,0.236505,0.000167,18.949310,-903.230469,-3.284248,0.004942,19.228790,-808.144531,-2.786377,0.000564
CCOCCC#N,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.245797,0.000172,14.857056,177.898438,-2.412384,0.003173,14.505981,-190.558594,-2.583710,0.003311
CCOCCC#N,NNC(=O)c1ccccc1,0.263693,0.000224,18.099335,214.238281,-3.215843,0.004821,14.372528,-315.324219,-2.491051,0.003078
CCOCCC#N,ClC=CBr,0.253661,0.000195,16.628815,-651.992188,-2.915367,0.005181,17.878662,-437.621094,-2.795067,0.001260
CCOCCC#N,CN(C)N=O,0.256102,0.000215,18.291046,-379.787109,-3.249329,0.005281,17.468842,-716.345703,-2.671143,0.001591
CCOCCC#N,c1ccc(C2CCCCC2)cc1,0.263663,0.000205,14.806885,-73.195312,-2.587578,0.004508,14.493042,-148.203125,-2.546059,0.003233
CCOCCC#N,N#Cc1ccncc1,0.247584,0.000204,18.806274,-579.613281,-3.222939,0.004837,17.949127,-792.494141,-2.716507,0.000956
CCOCCC#N,CN(C)C(=S)Nc1ccccc1,0.228117,0.000166,19.965759,-792.626953,-3.255119,0.004089,17.941925,-937.208984,-2.679802,0.000591
CCOCCC#N,CCC(N)CC,0.248451,0.000187,15.082916,-99.318359,-2.893288,0.006281,16.759766,-312.859375,-2.680031,0.002244
CCOCCC#N,COC(=O)CO,0.255427,0.000217,18.316681,-415.949219,-3.211472,0.005100,17.165344,-661.759766,-2.634010,0.001224
CCOCCC#N,Cc1c(N)cccc1Cl,0.230410,0.000166,19.208527,-803.806641,-3.192451,0.004318,18.212402,-851.220703,-2.713104,0.000461
CCOCCC#N,CC1CCC(C(C)(C)OO)CC1,0.241329,0.000183,17.398865,-393.796875,-2.921501,0.004220,15.749023,-599.910156,-2.491699,0.001384
CCOCCC#N,CC(F)(Cl)CF,0.258996,0.000219,17.521332,-530.478516,-3.107414,0.005497,17.619324,-646.162109,-2.706917,0.001053
