SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CSCCCC=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.251705,0.000215,19.619232,-430.994141,-3.369797,0.004965,16.836670,-804.634766,-2.640038,0.001659
CSCCCC=O,CC(=O)Nc1ccc(C=O)cc1,0.258188,0.000216,18.565308,2.580078,-3.187660,0.004398,14.535431,-543.720703,-2.463661,0.002813
CSCCCC=O,Cc1cccc(CO)c1,0.252369,0.000206,17.822784,-238.660156,-3.111816,0.004850,15.538483,-578.792969,-2.484200,0.001862
CSCCCC=O,COC(C)CO,0.257066,0.000213,17.412781,-153.822266,-3.142967,0.005357,16.755219,-593.330078,-2.657219,0.002194
CSCCCC=O,Nc1nc(=O)c2ccccc2o1,0.245795,0.000182,19.549164,516.671875,-3.100296,0.002670,10.785431,-209.003906,-2.094566,0.004007
CSCCCC=O,CC(Cl)Br,0.255167,0.000212,17.449005,-598.050781,-3.078568,0.005417,17.847443,-594.449219,-2.725632,0.000752
CSCCCC=O,CCCOC(F)F,0.266081,0.000224,16.373810,-390.662109,-2.900009,0.005176,16.401764,-467.480469,-2.626411,0.001703
CSCCCC=O,COC1CC2CCC1(C)C2(C)C,0.256519,0.000197,15.392212,-97.109375,-2.683899,0.004504,14.676819,-233.859375,-2.538216,0.003079
CSCCCC=O,CCC(=O)C1=NCCC1,0.255741,0.000212,17.624481,-445.822266,-3.055313,0.004907,16.723236,-646.154297,-2.632698,0.001520
CSCCCC=O,NC(CF)(CF)CF,0.253155,0.000207,17.780853,-271.742188,-3.238144,0.005831,16.830688,-567.474609,-2.590248,0.001664
CSCCCC=O,CC(C)CCCC(C)CC=O,0.261104,0.000212,16.059906,-60.734375,-2.893639,0.005227,15.382690,-380.697266,-2.625587,0.002912
CSCCCC=O,Cc1coc(C)n1,0.253033,0.000207,17.555695,-369.871094,-3.168449,0.005646,17.027130,-616.080078,-2.636200,0.001442
CSCCCC=O,NC(=S)NC(N)=S,0.205509,0.000102,20.819977,-729.898438,-3.308830,0.003777,16.846252,-1054.347656,-2.540840,0.001679
CSCCCC=O,FC(F)C(Cl)C(F)F,0.238611,0.000176,18.818329,-823.705078,-3.206001,0.004808,18.174683,-770.013672,-2.690506,0.000444
CSCCCC=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.242583,0.000167,14.838318,192.718750,-2.395477,0.003066,14.147308,-116.974609,-2.509132,0.003058
CSCCCC=O,NNC(=O)c1ccccc1,0.262040,0.000219,18.085358,197.130859,-3.195206,0.004718,14.274750,-398.013672,-2.445816,0.003186
CSCCCC=O,ClC=CBr,0.252286,0.000197,16.980255,-667.093750,-2.969421,0.005156,17.863403,-513.978516,-2.770462,0.001039
CSCCCC=O,CN(C)N=O,0.254744,0.000211,18.261627,-336.617188,-3.278442,0.005274,17.021912,-635.150391,-2.587830,0.001620
CSCCCC=O,c1ccc(C2CCCCC2)cc1,0.266328,0.000215,15.461182,-136.123047,-2.706284,0.004650,14.726990,-291.898438,-2.549538,0.003047
CSCCCC=O,N#Cc1ccncc1,0.243516,0.000198,19.518250,-657.318359,-3.285583,0.004722,18.107574,-845.500000,-2.753159,0.000836
CSCCCC=O,CN(C)C(=S)Nc1ccccc1,0.227560,0.000161,19.830688,-767.972656,-3.229370,0.004087,16.496002,-946.240234,-2.465645,0.000833
