SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
c1cnncn1,O=P(Cl)(c1ccccc1)c1ccccc1,0.243178,0.000189,18.088837,-395.496094,-3.017166,0.004314,17.341370,-808.322266,-2.782280,0.001791
c1cnncn1,CC(=O)Nc1ccc(C=O)cc1,0.238310,0.000172,17.706360,-576.726562,-2.987534,0.004594,15.432251,-730.093750,-2.414062,0.001339
c1cnncn1,Cc1cccc(CO)c1,0.239099,0.000174,17.100189,-485.607422,-2.909401,0.004418,15.544037,-689.255859,-2.379570,0.001142
c1cnncn1,COC(C)CO,0.240187,0.000182,17.752228,-514.373047,-3.020706,0.004485,17.208801,-772.765625,-2.632812,0.001106
c1cnncn1,Nc1nc(=O)c2ccccc2o1,0.229682,0.000154,18.427673,-323.654297,-2.986610,0.003660,14.320190,-808.041016,-2.317406,0.002373
c1cnncn1,CC(Cl)Br,0.257148,0.000196,15.969238,-647.421875,-2.769524,0.005133,18.577332,-363.888672,-2.997269,0.001788
c1cnncn1,CCCOC(F)F,0.268885,0.000215,14.719696,-330.585938,-2.592400,0.004866,16.750580,-231.640625,-2.799873,0.002561
c1cnncn1,COC1CC2CCC1(C)C2(C)C,0.248358,0.000171,14.347626,53.767578,-2.327271,0.003190,14.557861,-163.851562,-2.573982,0.003796
c1cnncn1,CCC(=O)C1=NCCC1,0.248582,0.000187,16.437408,-488.447266,-2.712082,0.003961,16.734619,-539.060547,-2.687279,0.001792
c1cnncn1,NC(CF)(CF)CF,0.243239,0.000190,18.088440,-602.363281,-3.080872,0.004674,18.177460,-801.501953,-2.761948,0.000958
c1cnncn1,CC(C)CCCC(C)CC=O,0.250888,0.000181,15.003204,23.357422,-2.522812,0.003742,15.230164,-342.906250,-2.636375,0.003441
c1cnncn1,Cc1coc(C)n1,0.248506,0.000191,16.546936,-443.414062,-2.816780,0.004344,16.618622,-580.839844,-2.592201,0.001426
c1cnncn1,NC(=S)NC(N)=S,0.169023,0.000012,21.551514,-1622.734375,-3.262634,0.003574,16.673828,-1389.578125,-2.465714,0.000984
c1cnncn1,FC(F)C(Cl)C(F)F,0.243341,0.000168,17.067017,-823.123047,-2.948769,0.004856,19.701508,-674.716797,-3.012428,0.001374
c1cnncn1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.243813,0.000154,13.341980,240.568359,-2.065544,0.002738,15.450073,4.679688,-2.806816,0.003870
c1cnncn1,NNC(=O)c1ccccc1,0.239643,0.000183,18.743134,-455.552734,-3.112129,0.004147,16.548981,-848.945312,-2.611176,0.001699
c1cnncn1,ClC=CBr,0.257913,0.000189,15.014648,-577.697266,-2.603561,0.004928,18.054993,-248.472656,-2.958961,0.002220
c1cnncn1,CN(C)N=O,0.246467,0.000198,18.169922,-569.169922,-3.127655,0.004885,18.560547,-809.187500,-2.824554,0.000993
c1cnncn1,c1ccc(C2CCCCC2)cc1,0.259158,0.000184,13.439484,78.970703,-2.249535,0.003725,14.808746,20.013672,-2.697838,0.004028
c1cnncn1,N#Cc1ccncc1,0.248599,0.000195,17.081329,-545.662109,-2.899750,0.004480,17.612579,-702.306641,-2.699402,0.001167
c1cnncn1,CN(C)C(=S)Nc1ccccc1,0.195610,0.000090,19.987671,-1300.648438,-3.041466,0.003171,17.005005,-1121.933594,-2.429672,-0.000280
c1cnncn1,CCC(N)CC,0.235093,0.000160,15.570587,-267.966797,-2.722893,0.004473,16.442963,-508.333984,-2.584175,0.001969
c1cnncn1,COC(=O)CO,0.236822,0.000177,18.384827,-753.800781,-3.123077,0.004770,17.000946,-817.876953,-2.508041,0.000375
c1cnncn1,Cc1c(N)cccc1Cl,0.219179,0.000130,18.492523,-907.398438,-3.015610,0.003795,17.915985,-958.746094,-2.629242,0.000769
c1cnncn1,CC1CCC(C(C)(C)OO)CC1,0.216790,0.000120,16.776520,-717.433594,-2.717628,0.003747,14.454681,-765.382812,-2.202957,0.001110
c1cnncn1,CC(F)(Cl)CF,0.261986,0.000212,16.080444,-512.552734,-2.828651,0.005268,18.009888,-455.646484,-2.907272,0.001782
c1cnncn1,CCCCC1OC(C)CC(C)(C)O1,0.245096,0.000171,15.393860,-44.833984,-2.456055,0.003015,15.164551,-399.574219,-2.594963,0.003394
c1cnncn1,CC(C)(C)OCC1CO1,0.251767,0.000193,16.391266,-353.369141,-2.757393,0.004073,16.601776,-559.615234,-2.680962,0.002223
