SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C1CCCCCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.246947,0.000176,19.415833,436.628906,-3.260399,0.004072,11.933685,48.691406,-2.089973,0.002039
C1CCCCCC1,CC(=O)Nc1ccc(C=O)cc1,0.248475,0.000167,15.801727,2356.970703,-2.705940,0.001041,7.999786,1317.613281,-2.131165,0.006944
C1CCCCCC1,Cc1cccc(CO)c1,0.275853,0.000227,16.088409,997.027344,-3.082886,0.004047,10.568665,257.474609,-2.149033,0.005222
C1CCCCCC1,COC(C)CO,0.273565,0.000225,15.998535,545.937500,-3.082489,0.004594,13.059204,-83.738281,-2.281425,0.004110
C1CCCCCC1,Nc1nc(=O)c2ccccc2o1,0.207878,0.000098,15.809387,3509.199219,-2.401459,-0.002036,5.762299,2248.695312,-2.082291,0.008136
C1CCCCCC1,CC(Cl)Br,0.269437,0.000233,17.588379,-247.962891,-3.189606,0.005609,14.846680,-376.251953,-2.319069,0.001340
C1CCCCCC1,CCCOC(F)F,0.274126,0.000240,17.162628,-150.564453,-3.134483,0.005649,14.577179,-382.730469,-2.338425,0.001758
C1CCCCCC1,COC1CC2CCC1(C)C2(C)C,0.265235,0.000231,18.136963,-292.691406,-3.235214,0.005389,16.200500,-669.003906,-2.585159,0.001993
C1CCCCCC1,CCC(=O)C1=NCCC1,0.264798,0.000216,17.617157,122.863281,-3.181015,0.004740,13.763123,-323.431641,-2.279205,0.002724
C1CCCCCC1,NC(CF)(CF)CF,0.267413,0.000207,15.484009,713.990234,-3.087059,0.005145,12.499115,206.076172,-2.169106,0.003879
C1CCCCCC1,CC(C)CCCC(C)CC=O,0.267607,0.000229,18.300446,-153.875000,-3.210014,0.005121,14.606110,-555.472656,-2.404366,0.002167
C1CCCCCC1,Cc1coc(C)n1,0.265197,0.000218,17.459686,-9.541016,-3.173843,0.005007,14.331207,-389.908203,-2.299065,0.002273
C1CCCCCC1,NC(=S)NC(N)=S,0.189298,0.000056,15.083771,2975.689453,-2.766121,0.001541,9.082153,2139.916016,-2.149399,0.005536
C1CCCCCC1,FC(F)C(Cl)C(F)F,0.267550,0.000223,17.170532,-84.212891,-3.205528,0.005577,13.725830,-129.464844,-2.091805,0.001399
C1CCCCCC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.269442,0.000223,15.891663,454.070312,-2.977814,0.004882,12.441010,62.539062,-2.205734,0.003290
C1CCCCCC1,NNC(=O)c1ccccc1,0.254882,0.000177,14.670044,2070.070312,-2.931076,0.002523,9.052063,1143.970703,-2.145752,0.006807
C1CCCCCC1,ClC=CBr,0.269783,0.000235,17.230896,-294.617188,-3.164635,0.005802,15.567749,-443.433594,-2.417458,0.001381
C1CCCCCC1,CN(C)N=O,0.253720,0.000180,16.889648,727.238281,-3.153702,0.004388,11.696503,325.927734,-2.019211,0.003018
C1CCCCCC1,c1ccc(C2CCCCC2)cc1,0.280024,0.000254,17.193054,-136.513672,-3.142670,0.005853,14.208435,-459.451172,-2.375542,0.002270
C1CCCCCC1,N#Cc1ccncc1,0.257744,0.000197,18.172211,292.988281,-3.156906,0.004064,12.995941,-216.828125,-2.187904,0.002873
C1CCCCCC1,CN(C)C(=S)Nc1ccccc1,0.244219,0.000164,18.091949,1225.669922,-3.130630,0.002932,9.689636,672.214844,-1.991943,0.003933
C1CCCCCC1,CCC(N)CC,0.266609,0.000223,16.947876,25.332031,-3.174644,0.005510,15.246674,-483.148438,-2.471588,0.002711
C1CCCCCC1,COC(=O)CO,0.262045,0.000199,15.968048,788.607422,-3.138580,0.004303,11.833740,377.683594,-2.043533,0.003604
C1CCCCCC1,Cc1c(N)cccc1Cl,0.264225,0.000206,16.802155,634.763672,-3.132782,0.004285,12.271637,-16.500000,-2.215378,0.004066
C1CCCCCC1,CC1CCC(C(C)(C)OO)CC1,0.276343,0.000237,16.740387,617.734375,-3.130959,0.004334,12.557892,-163.490234,-2.387825,0.004664
C1CCCCCC1,CC(F)(Cl)CF,0.271662,0.000232,17.243835,-125.126953,-3.160629,0.005540,13.858734,-248.273438,-2.178665,0.001575
