SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CC=CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,0.248530,0.000212,19.835266,-463.281250,-3.363487,0.004787,16.968475,-821.828125,-2.668213,0.001539
C=CC=CC#N,CC(=O)Nc1ccc(C=O)cc1,0.266610,0.000232,18.033569,121.828125,-3.195648,0.004957,14.946686,-438.402344,-2.577286,0.003151
C=CC=CC#N,Cc1cccc(CO)c1,0.257160,0.000215,17.522064,-4.460938,-3.166016,0.005331,15.369385,-423.265625,-2.576355,0.002714
C=CC=CC#N,COC(C)CO,0.255340,0.000211,17.609619,-168.128906,-3.162231,0.005374,17.002747,-630.291016,-2.726860,0.002329
C=CC=CC#N,Nc1nc(=O)c2ccccc2o1,0.261473,0.000212,18.441498,852.845703,-3.131371,0.003352,11.055450,77.871094,-2.275009,0.004909
C=CC=CC#N,CC(Cl)Br,0.260910,0.000219,17.198883,-554.828125,-3.044670,0.005555,17.582489,-447.144531,-2.776154,0.001212
C=CC=CC#N,CCCOC(F)F,0.267371,0.000226,16.547180,-405.031250,-2.929245,0.005308,16.377655,-401.546875,-2.673286,0.001929
C=CC=CC#N,COC1CC2CCC1(C)C2(C)C,0.248917,0.000185,15.598480,-194.798828,-2.660095,0.004132,14.831024,-294.044922,-2.509254,0.002714
C=CC=CC#N,CCC(=O)C1=NCCC1,0.250738,0.000203,17.694183,-503.611328,-3.003105,0.004577,16.870422,-684.892578,-2.641258,0.001364
C=CC=CC#N,NC(CF)(CF)CF,0.252685,0.000205,17.518158,-264.417969,-3.195137,0.005867,17.006226,-587.638672,-2.650681,0.001819
C=CC=CC#N,CC(C)CCCC(C)CC=O,0.251835,0.000198,16.569763,-236.832031,-2.869934,0.004569,15.500549,-477.859375,-2.562714,0.002357
C=CC=CC#N,Cc1coc(C)n1,0.247392,0.000195,17.301514,-411.183594,-3.079094,0.005348,16.749725,-598.029297,-2.603027,0.001374
C=CC=CC#N,NC(=S)NC(N)=S,0.215510,0.000126,20.543274,-570.525391,-3.357208,0.004203,18.776459,-969.146484,-2.885834,0.001855
C=CC=CC#N,FC(F)C(Cl)C(F)F,0.243055,0.000182,18.976074,-816.335938,-3.285118,0.005128,18.648224,-780.197266,-2.789848,0.000900
C=CC=CC#N,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.249164,0.000184,15.477631,167.626953,-2.541473,0.003415,14.346497,-216.099609,-2.575294,0.003328
C=CC=CC#N,NNC(=O)c1ccccc1,0.264246,0.000225,17.886566,132.224609,-3.211143,0.005238,15.089325,-418.931641,-2.557640,0.003035
C=CC=CC#N,ClC=CBr,0.258908,0.000210,16.893677,-590.583984,-2.978691,0.005428,17.590759,-378.900391,-2.800842,0.001387
C=CC=CC#N,CN(C)N=O,0.250947,0.000207,18.746552,-416.158203,-3.272850,0.005015,17.325684,-762.353516,-2.645996,0.001516
C=CC=CC#N,c1ccc(C2CCCCC2)cc1,0.265047,0.000211,15.149536,-135.830078,-2.666321,0.004787,15.134064,-117.724609,-2.679619,0.003256
C=CC=CC#N,N#Cc1ccncc1,0.253783,0.000212,18.325073,-480.087891,-3.170753,0.004967,17.226929,-757.927734,-2.662392,0.001398
C=CC=CC#N,CN(C)C(=S)Nc1ccccc1,0.234874,0.000182,20.337494,-703.833984,-3.366615,0.004374,17.684692,-927.863281,-2.695312,0.000992
C=CC=CC#N,CCC(N)CC,0.240465,0.000177,15.961761,-187.494141,-2.992241,0.006015,16.999298,-418.414062,-2.682518,0.001990
C=CC=CC#N,COC(=O)CO,0.256478,0.000219,18.551331,-289.843750,-3.290802,0.005263,16.880402,-696.115234,-2.647934,0.001899
C=CC=CC#N,Cc1c(N)cccc1Cl,0.244100,0.000195,18.884857,-557.507812,-3.197998,0.004692,17.112732,-785.529297,-2.657043,0.001178
C=CC=CC#N,CC1CCC(C(C)(C)OO)CC1,0.247848,0.000198,17.875793,-182.681641,-3.085243,0.004663,15.824219,-628.896484,-2.573143,0.002252
C=CC=CC#N,CC(F)(Cl)CF,0.261618,0.000224,17.698944,-524.972656,-3.136093,0.005607,17.353760,-555.531250,-2.721748,0.001236
C=CC=CC#N,CCCCC1OC(C)CC(C)(C)O1,0.251566,0.000193,16.260925,-233.105469,-2.750763,0.004105,15.452148,-480.990234,-2.578423,0.002662
C=CC=CC#N,CC(C)(C)OCC1CO1,0.254295,0.000208,17.429260,-389.300781,-3.029778,0.004860,16.797882,-650.783203,-2.671066,0.001773
C=CC=CC#N,O=P(O)(O)OP(=O)(O)O,0.202674,0.000077,18.915833,-35.046875,-3.010788,0.003568,8.249329,-740.195312,-1.560715,0.004131
C=CC=CC#N,CC(=O)Nc1ccc(C)cc1,0.261397,0.000226,17.978333,-88.751953,-3.150925,0.004880,15.634857,-569.906250,-2.611992,0.002634
C=CC=CC#N,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.259304,0.000216,18.943207,-223.900391,-3.293900,0.005143,15.616638,-561.689453,-2.486076,0.001776
C=CC=CC#N,CC(C)(O)CCC1CCCCC1,0.257562,0.000209,15.892365,330.773438,-2.968658,0.005319,14.636963,-175.666016,-2.610077,0.003834
C=CC=CC#N,COCC(F)(F)F,0.260305,0.000218,17.237335,-417.523438,-3.020828,0.005108,16.625916,-541.337891,-2.631042,0.001526
C=CC=CC#N,COCC(O)COC,0.250918,0.000209,18.824799,-417.001953,-3.314568,0.005473,18.194336,-806.712891,-2.823792,0.001679
C=CC=CC#N,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.261144,0.000221,18.231476,417.498047,-3.220917,0.004194,14.791046,-363.636719,-2.692947,0.004140
C=CC=CC#N,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.237019,0.000180,19.806091,-315.488281,-3.267921,0.004018,15.895844,-794.626953,-2.546410,0.001886
C=CC=CC#N,CC(C)C(F)F,0.270257,0.000226,15.655396,-343.775391,-2.825859,0.005500,16.060211,-206.230469,-2.704048,0.002293
C=CC=CC#N,CCCCC1C=C(C)CC(C)O1,0.248346,0.000184,15.950836,-210.691406,-2.675827,0.003901,15.140747,-361.541016,-2.550980,0.002677
C=CC=CC#N,COc1ccc(C(C)=O)cc1,0.255507,0.000216,18.435028,-410.707031,-3.231071,0.005246,17.041626,-748.087891,-2.661530,0.001631
