SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CCCCC=C,O=P(Cl)(c1ccccc1)c1ccccc1,0.258586,0.000207,19.280914,-11.892578,-3.260780,0.004528,13.037903,-356.371094,-2.156509,0.001997
C=CCCCC=C,CC(=O)Nc1ccc(C=O)cc1,0.267930,0.000205,15.391388,1819.509766,-2.846176,0.002426,8.809845,831.697266,-2.137512,0.006859
C=CCCCC=C,Cc1cccc(CO)c1,0.279721,0.000240,16.175568,701.763672,-3.111145,0.004609,11.420715,25.001953,-2.197197,0.004723
C=CCCCC=C,COC(C)CO,0.273350,0.000231,16.352234,308.583984,-3.124886,0.004975,14.183960,-298.515625,-2.407005,0.003711
C=CCCCC=C,Nc1nc(=O)c2ccccc2o1,0.231661,0.000141,15.134247,2973.652344,-2.590752,-0.000532,6.422180,1854.466797,-2.080475,0.008266
C=CCCCC=C,CC(Cl)Br,0.267403,0.000234,17.530365,-379.519531,-3.190369,0.005775,15.910309,-496.982422,-2.439056,0.001194
C=CCCCC=C,CCCOC(F)F,0.272239,0.000242,17.318359,-306.601562,-3.154228,0.005843,15.712738,-532.544922,-2.477776,0.001608
C=CCCCC=C,COC1CC2CCC1(C)C2(C)C,0.262111,0.000226,17.904755,-346.085938,-3.171349,0.005329,16.244171,-671.785156,-2.578598,0.001795
C=CCCCC=C,CCC(=O)C1=NCCC1,0.264821,0.000224,17.874817,-159.878906,-3.209724,0.005217,15.333832,-568.783203,-2.451569,0.002239
C=CCCCC=C,NC(CF)(CF)CF,0.269838,0.000219,15.565948,361.039062,-3.120453,0.005779,13.862061,-61.787109,-2.272049,0.003244
C=CCCCC=C,CC(C)CCCC(C)CC=O,0.265838,0.000231,18.268799,-262.021484,-3.237259,0.005381,15.721832,-657.865234,-2.539009,0.002101
C=CCCCC=C,Cc1coc(C)n1,0.262481,0.000219,17.773224,-194.478516,-3.234734,0.005375,15.884491,-554.589844,-2.488663,0.002003
C=CCCCC=C,NC(=S)NC(N)=S,0.210537,0.000093,14.754822,2148.923828,-3.054733,0.003761,10.631531,1572.105469,-2.090477,0.004740
C=CCCCC=C,FC(F)C(Cl)C(F)F,0.263342,0.000224,17.811035,-320.519531,-3.258125,0.005574,15.713043,-406.464844,-2.359047,0.001183
C=CCCCC=C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.266977,0.000223,15.637604,195.248047,-2.898460,0.004923,13.467651,-197.990234,-2.291779,0.002989
C=CCCCC=C,NNC(=O)c1ccccc1,0.271646,0.000211,14.540833,1564.808594,-2.996216,0.003824,9.986176,742.994141,-2.138557,0.006288
C=CCCCC=C,ClC=CBr,0.267473,0.000233,17.082428,-411.228516,-3.124084,0.005851,16.203979,-527.214844,-2.482880,0.001180
C=CCCCC=C,CN(C)N=O,0.263840,0.000204,16.600586,344.589844,-3.125320,0.005000,13.056946,-46.582031,-2.092072,0.002766
C=CCCCC=C,c1ccc(C2CCCCC2)cc1,0.278242,0.000256,17.266083,-221.552734,-3.162384,0.006034,15.067047,-547.984375,-2.475647,0.002176
C=CCCCC=C,N#Cc1ccncc1,0.260741,0.000211,18.227081,-40.449219,-3.198677,0.004705,14.598022,-469.152344,-2.341148,0.002321
C=CCCCC=C,CN(C)C(=S)Nc1ccccc1,0.262949,0.000205,17.958832,629.253906,-3.180275,0.004028,11.008392,114.638672,-2.035446,0.003554
