SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)CCO,O=P(Cl)(c1ccccc1)c1ccccc1,0.249747,0.000200,17.684326,-327.718750,-3.022011,0.004571,15.793945,-696.140625,-2.524803,0.001802
CC(=O)CCO,CC(=O)Nc1ccc(C=O)cc1,0.240016,0.000177,17.948456,-443.523438,-3.044067,0.004502,14.857666,-764.830078,-2.328072,0.001583
CC(=O)CCO,Cc1cccc(CO)c1,0.235037,0.000166,17.683990,-593.173828,-3.003754,0.004476,15.587219,-755.244141,-2.354385,0.000966
CC(=O)CCO,COC(C)CO,0.248401,0.000192,17.058441,-369.009766,-3.005165,0.005090,16.410339,-698.394531,-2.550690,0.001624
CC(=O)CCO,Nc1nc(=O)c2ccccc2o1,0.225298,0.000147,18.708160,-466.570312,-3.092270,0.003982,14.073975,-921.419922,-2.183456,0.001888
CC(=O)CCO,CC(Cl)Br,0.258855,0.000204,15.479095,-460.380859,-2.714951,0.005036,17.383820,-324.572266,-2.798775,0.001610
CC(=O)CCO,CCCOC(F)F,0.269669,0.000217,14.545380,-254.601562,-2.557472,0.004769,15.880249,-204.390625,-2.671822,0.002568
CC(=O)CCO,COC1CC2CCC1(C)C2(C)C,0.258287,0.000186,13.778717,214.347656,-2.241745,0.003066,13.185455,13.294922,-2.440239,0.004275
CC(=O)CCO,CCC(=O)C1=NCCC1,0.252975,0.000193,15.879852,-354.937500,-2.649773,0.004058,15.151489,-490.941406,-2.464478,0.001999
CC(=O)CCO,NC(CF)(CF)CF,0.239239,0.000176,17.475739,-590.236328,-2.987930,0.004590,16.449158,-754.160156,-2.470047,0.000861
CC(=O)CCO,CC(C)CCCC(C)CC=O,0.259796,0.000194,14.394012,275.593750,-2.401367,0.003413,13.747559,-91.421875,-2.547272,0.004256
CC(=O)CCO,Cc1coc(C)n1,0.242216,0.000179,16.847565,-488.423828,-2.866013,0.004479,15.449402,-679.972656,-2.376999,0.001149
CC(=O)CCO,NC(=S)NC(N)=S,0.169194,0.000009,20.915955,-1485.328125,-3.275589,0.003615,15.188263,-1394.751953,-2.108391,0.000977
CC(=O)CCO,FC(F)C(Cl)C(F)F,0.234557,0.000150,17.658539,-868.841797,-3.047562,0.004630,18.839935,-733.402344,-2.779892,0.001073
CC(=O)CCO,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.227555,0.000120,13.774414,133.349609,-2.030167,0.002034,14.347687,-99.248047,-2.566856,0.003678
CC(=O)CCO,NNC(=O)c1ccccc1,0.242672,0.000186,18.532684,-408.726562,-3.152290,0.004520,15.742859,-809.748047,-2.474945,0.001803
CC(=O)CCO,ClC=CBr,0.256084,0.000189,15.118317,-514.056641,-2.622162,0.004831,17.383728,-237.505859,-2.830925,0.001969
CC(=O)CCO,CN(C)N=O,0.250623,0.000202,17.671356,-398.535156,-3.088646,0.004905,16.978363,-700.496094,-2.614159,0.001413
CC(=O)CCO,c1ccc(C2CCCCC2)cc1,0.262746,0.000194,13.375183,311.886719,-2.275696,0.003588,13.928101,159.593750,-2.636108,0.004375
CC(=O)CCO,N#Cc1ccncc1,0.238019,0.000178,18.130707,-756.931641,-3.017700,0.004450,17.439697,-813.791016,-2.626884,0.000482
CC(=O)CCO,CN(C)C(=S)Nc1ccccc1,0.204713,0.000103,18.925781,-1028.644531,-2.992493,0.003508,15.214111,-1020.271484,-2.216530,0.000350
CC(=O)CCO,CCC(N)CC,0.222984,0.000131,15.596527,-427.865234,-2.742996,0.004859,13.715698,-649.748047,-2.100769,0.001452
CC(=O)CCO,COC(=O)CO,0.240104,0.000181,18.197418,-626.437500,-3.126297,0.004855,16.108185,-767.398438,-2.411118,0.000767
CC(=O)CCO,Cc1c(N)cccc1Cl,0.222401,0.000138,18.409729,-867.500000,-2.995766,0.003895,17.004822,-915.878906,-2.536316,0.000734
CC(=O)CCO,CC1CCC(C(C)(C)OO)CC1,0.220429,0.000128,16.593018,-578.562500,-2.669830,0.003486,13.661987,-772.804688,-2.069069,0.001276
CC(=O)CCO,CC(F)(Cl)CF,0.262917,0.000216,15.946045,-387.363281,-2.814278,0.005123,17.092316,-455.083984,-2.747009,0.001670
CC(=O)CCO,CCCCC1OC(C)CC(C)(C)O1,0.258843,0.000191,14.383453,231.261719,-2.341011,0.003053,13.393280,-135.257812,-2.476822,0.004332
CC(=O)CCO,CC(C)(C)OCC1CO1,0.263546,0.000213,15.560547,-164.789062,-2.664719,0.004298,15.407562,-420.884766,-2.581871,0.002643
CC(=O)CCO,O=P(O)(O)OP(=O)(O)O,0.111290,-0.000119,21.822632,-2158.093750,-3.935188,0.005835,5.496216,-1713.210938,-0.712830,0.000674
CC(=O)CCO,CC(=O)Nc1ccc(C)cc1,0.241196,0.000177,17.186249,-484.527344,-2.905800,0.004472,14.691589,-713.660156,-2.292213,0.001346
CC(=O)CCO,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.254701,0.000212,18.346771,-192.410156,-3.191048,0.004755,16.762634,-654.154297,-2.645035,0.001976
CC(=O)CCO,CC(C)(O)CCC1CCCCC1,0.241197,0.000164,15.241882,66.996094,-2.665344,0.004466,13.209045,-425.496094,-2.238998,0.003028
