SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)ON=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.259304,0.000218,19.501434,-199.701172,-3.312393,0.004853,14.809387,-573.843750,-2.438797,0.001889
CC(C)ON=O,CC(=O)Nc1ccc(C=O)cc1,0.279972,0.000237,16.768036,1080.464844,-3.028999,0.003783,10.138489,310.003906,-2.223862,0.005413
CC(C)ON=O,Cc1cccc(CO)c1,0.280892,0.000248,16.678711,496.910156,-3.136810,0.004928,12.127014,-79.728516,-2.298424,0.004156
CC(C)ON=O,COC(C)CO,0.269831,0.000233,17.292389,140.937500,-3.165565,0.004826,15.002228,-449.851562,-2.558640,0.003373
CC(C)ON=O,Nc1nc(=O)c2ccccc2o1,0.261960,0.000202,16.248596,1980.306641,-2.816811,0.001329,8.132233,1022.816406,-2.149696,0.007154
CC(C)ON=O,CC(Cl)Br,0.265088,0.000235,18.039703,-511.128906,-3.247536,0.005930,16.879883,-595.044922,-2.585373,0.000969
CC(C)ON=O,CCCOC(F)F,0.273197,0.000246,17.294556,-360.257812,-3.131844,0.005938,15.769531,-545.292969,-2.510033,0.001579
CC(C)ON=O,COC1CC2CCC1(C)C2(C)C,0.263750,0.000226,17.201263,-252.328125,-3.050972,0.005210,16.004517,-637.357422,-2.605858,0.002090
CC(C)ON=O,CCC(=O)C1=NCCC1,0.262704,0.000226,17.940643,-332.033203,-3.174263,0.005283,16.486450,-707.427734,-2.630257,0.001989
CC(C)ON=O,NC(CF)(CF)CF,0.269376,0.000229,16.881683,1.210938,-3.161797,0.005788,14.977692,-437.271484,-2.441803,0.002601
CC(C)ON=O,CC(C)CCCC(C)CC=O,0.268390,0.000237,17.671417,-197.882812,-3.167786,0.005506,15.957397,-659.583984,-2.626991,0.002449
CC(C)ON=O,Cc1coc(C)n1,0.264898,0.000230,18.109100,-279.630859,-3.229538,0.005444,16.168579,-636.308594,-2.581383,0.001927
CC(C)ON=O,NC(=S)NC(N)=S,0.255211,0.000186,16.880280,568.644531,-3.123184,0.005065,13.698395,61.863281,-2.214729,0.002878
CC(C)ON=O,FC(F)C(Cl)C(F)F,0.262010,0.000228,18.485229,-515.029297,-3.285072,0.005760,17.004852,-669.958984,-2.624855,0.001181
CC(C)ON=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265708,0.000226,16.558624,12.789062,-2.892296,0.004803,14.200439,-370.839844,-2.419037,0.002675
CC(C)ON=O,NNC(=O)c1ccccc1,0.280324,0.000237,16.356873,819.345703,-3.106377,0.004559,11.260529,92.064453,-2.210854,0.004952
CC(C)ON=O,ClC=CBr,0.264566,0.000231,17.606445,-515.277344,-3.176208,0.005969,16.832062,-548.843750,-2.594414,0.000992
CC(C)ON=O,CN(C)N=O,0.261527,0.000214,18.182526,-132.134766,-3.227478,0.005028,15.037048,-458.279297,-2.359688,0.001998
CC(C)ON=O,c1ccc(C2CCCCC2)cc1,0.277233,0.000252,16.897064,-193.587891,-3.061256,0.005877,14.645996,-508.193359,-2.448463,0.002300
CC(C)ON=O,N#Cc1ccncc1,0.262148,0.000223,18.795807,-265.306641,-3.250648,0.005031,15.636597,-631.341797,-2.513924,0.001888
CC(C)ON=O,CN(C)C(=S)Nc1ccccc1,0.254704,0.000207,19.555023,-150.880859,-3.267113,0.004296,14.440491,-528.041016,-2.341774,0.001802
CC(C)ON=O,CCC(N)CC,0.261114,0.000221,17.447083,-144.970703,-3.212784,0.005739,16.823303,-646.800781,-2.709709,0.002502
CC(C)ON=O,COC(=O)CO,0.272991,0.000232,16.654785,269.009766,-3.176567,0.004953,13.362457,-150.755859,-2.273636,0.003273
CC(C)ON=O,Cc1c(N)cccc1Cl,0.263499,0.000225,18.160736,-146.802734,-3.210114,0.005147,15.239655,-598.976562,-2.494568,0.002243
CC(C)ON=O,CC1CCC(C(C)(C)OO)CC1,0.272070,0.000243,17.674774,202.628906,-3.174606,0.004680,14.587372,-399.054688,-2.610451,0.003675
CC(C)ON=O,CC(F)(Cl)CF,0.268367,0.000240,18.174072,-430.546875,-3.266449,0.005920,16.266144,-600.226562,-2.525871,0.001351
CC(C)ON=O,CCCCC1OC(C)CC(C)(C)O1,0.263565,0.000228,17.710632,-245.968750,-3.117615,0.005108,16.555664,-726.285156,-2.712715,0.002386
CC(C)ON=O,CC(C)(C)OCC1CO1,0.264152,0.000232,18.225220,-343.001953,-3.245583,0.005460,17.047913,-736.044922,-2.713348,0.001975
CC(C)ON=O,O=P(O)(O)OP(=O)(O)O,0.243990,0.000161,14.161591,2530.775391,-2.577240,0.001417,8.979462,1332.046875,-2.135391,0.008206
CC(C)ON=O,CC(=O)Nc1ccc(C)cc1,0.282121,0.000247,17.030762,718.267578,-3.089561,0.004382,11.483490,35.671875,-2.327209,0.004679
CC(C)ON=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.260535,0.000198,17.846710,533.494141,-3.239998,0.004712,11.976379,172.757812,-2.116409,0.002679
CC(C)ON=O,CC(C)(O)CCC1CCCCC1,0.280972,0.000254,16.731628,466.458984,-3.104195,0.004843,13.391235,-210.320312,-2.544899,0.004478
CC(C)ON=O,COCC(F)(F)F,0.269541,0.000237,17.377533,-284.330078,-3.134674,0.005675,15.774689,-564.517578,-2.513412,0.001873
CC(C)ON=O,COCC(O)COC,0.266054,0.000227,17.762085,-143.134766,-3.189079,0.005152,15.832397,-612.228516,-2.558975,0.002425
CC(C)ON=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.271657,0.000223,16.707123,1405.978516,-2.995941,0.002617,10.096130,430.884766,-2.368195,0.006462
CC(C)ON=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.269365,0.000221,17.080536,783.296875,-3.125847,0.003735,11.253784,86.703125,-2.185577,0.004754
CC(C)ON=O,CC(C)C(F)F,0.277178,0.000252,16.807404,-303.664062,-3.089676,0.006159,15.392151,-507.976562,-2.477417,0.001764
CC(C)ON=O,CCCCC1C=C(C)CC(C)O1,0.262799,0.000225,17.289093,-262.412109,-3.045700,0.005091,16.150543,-658.195312,-2.634041,0.002118
CC(C)ON=O,COc1ccc(C(C)=O)cc1,0.267641,0.000230,18.350159,-166.650391,-3.212616,0.005211,14.667999,-524.472656,-2.420525,0.002056
CC(C)ON=O,Oc1cc(O)ncn1,0.271408,0.000216,14.221405,1811.871094,-2.859955,0.003001,9.796082,863.425781,-2.264793,0.007267
CC(C)ON=O,COCCCCl,0.269742,0.000237,17.229614,-326.447266,-3.122360,0.005725,16.293427,-633.587891,-2.598732,0.001935
CC(C)ON=O,CCCOC,0.263434,0.000224,17.078247,-342.039062,-3.072395,0.005448,16.682190,-658.714844,-2.639580,0.001765
CC(C)ON=O,Fc1c(F)c(F)c(F)c(F)c1F,0.277912,0.000248,16.121155,-147.443359,-2.951477,0.005900,14.285217,-383.412109,-2.392761,0.002282
CC(C)ON=O,CCP(CC)CC,0.261879,0.000224,17.395386,-341.650391,-3.082756,0.005267,16.368744,-651.109375,-2.616844,0.001755
CC(C)ON=O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.264584,0.000231,18.065277,-118.724609,-3.204361,0.005111,16.618805,-769.958984,-2.781105,0.003063
CC(C)ON=O,Fc1cc(F)c(F)cc1F,0.271527,0.000242,17.068085,-309.619141,-3.099373,0.005885,15.428101,-534.716797,-2.472214,0.001677
CC(C)ON=O,CCCCc1ccc(C(=O)O)cc1,0.281218,0.000252,16.479340,520.914062,-3.091774,0.004809,12.836029,-148.449219,-2.458229,0.004497
CC(C)ON=O,C=Cc1c(C)cc(C)cc1C,0.275278,0.000250,17.282776,-218.125000,-3.124817,0.005866,14.995331,-546.062500,-2.484856,0.002210
CC(C)ON=O,C=C(C)C(=O)OC(C)(C)C,0.268551,0.000238,17.787292,-228.578125,-3.196144,0.005605,15.813263,-640.925781,-2.583473,0.002241
CC(C)ON=O,FC1CCCN1,0.266630,0.000229,17.774231,-190.253906,-3.200119,0.005368,15.650848,-544.050781,-2.508263,0.002002
CC(C)ON=O,CCCCCCCC(=O)NC,0.276019,0.000242,17.507141,443.773438,-3.084572,0.004298,13.545990,-275.347656,-2.544197,0.004248
CC(C)ON=O,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.277051,0.000246,16.364075,67.240234,-2.972672,0.005660,14.019470,-401.156250,-2.422668,0.003046
CC(C)ON=O,C1=CC2C=CC1C2,0.275709,0.000248,16.659424,-280.882812,-3.042137,0.005984,15.008484,-466.677734,-2.445297,0.001857
CC(C)ON=O,CCC(C)(O)CCC=C(C)C,0.276903,0.000248,16.923889,353.335938,-3.137703,0.004937,13.797241,-302.720703,-2.544220,0.004149
CC(C)ON=O,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.264100,0.000231,18.027374,206.691406,-3.121841,0.004226,16.954285,-721.046875,-3.147499,0.004713
CC(C)ON=O,CCC(C)CCF,0.277526,0.000250,16.680115,-246.673828,-3.055611,0.006020,15.181122,-509.527344,-2.488121,0.002168
CC(C)ON=O,C=Cc1cccc(CC)c1,0.275095,0.000250,17.096924,-223.679688,-3.101036,0.005888,15.129120,-535.373047,-2.492393,0.002058
CC(C)ON=O,CC(C)(C(O)(F)F)C(F)(F)F,0.226530,0.000162,20.753326,-787.646484,-3.373055,0.003919,17.363556,-916.857422,-2.610313,0.000960
CC(C)ON=O,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.276075,0.000246,17.097290,-333.599609,-3.107948,0.005999,15.264801,-501.044922,-2.510666,0.002353
CC(C)ON=O,CCN(CC)c1ccc(N)cc1,0.267362,0.000228,18.010864,23.535156,-3.186867,0.004922,15.004364,-537.421875,-2.551208,0.002899
CC(C)ON=O,FC(F)CC(F)(F)F,0.271307,0.000243,17.763123,-311.042969,-3.213409,0.005921,15.388275,-522.906250,-2.430862,0.001723
CC(C)ON=O,N#CCCOCCC#N,0.262263,0.000211,18.685455,156.533203,-3.235741,0.004732,12.496155,-96.484375,-2.130219,0.001980
CC(C)ON=O,CCC(C)C(C)C(C)C,0.276914,0.000242,16.210999,-138.837891,-2.901199,0.005432,13.879669,-373.173828,-2.395012,0.002951
CC(C)ON=O,Cn1c(=O)ccc2ccccc21,0.261865,0.000215,18.684082,-32.828125,-3.204811,0.004692,14.300507,-412.687500,-2.362129,0.002150
