SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCB(CC)CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.244842,0.000173,19.447418,375.650391,-3.300980,0.004242,11.957306,74.837891,-2.062401,0.001699
CCB(CC)CC,CC(=O)Nc1ccc(C=O)cc1,0.244950,0.000160,15.600647,2383.554688,-2.734932,0.001143,7.832458,1405.529297,-2.112228,0.006868
CCB(CC)CC,Cc1cccc(CO)c1,0.277574,0.000231,15.962189,893.443359,-3.091171,0.004267,10.720184,226.318359,-2.112503,0.004979
CCB(CC)CC,COC(C)CO,0.272950,0.000225,16.053314,450.150391,-3.104790,0.004724,13.309662,-111.548828,-2.265915,0.003835
CCB(CC)CC,Nc1nc(=O)c2ccccc2o1,0.202380,0.000089,15.494202,3583.015625,-2.421082,-0.002074,5.622620,2396.761719,-2.080551,0.008150
CCB(CC)CC,CC(Cl)Br,0.269469,0.000233,17.510803,-262.814453,-3.194534,0.005696,14.903992,-351.927734,-2.309151,0.001228
CCB(CC)CC,CCCOC(F)F,0.274066,0.000241,17.124756,-184.593750,-3.138885,0.005748,14.725159,-369.242188,-2.332596,0.001607
CCB(CC)CC,COC1CC2CCC1(C)C2(C)C,0.263532,0.000229,18.274567,-333.246094,-3.249321,0.005393,16.385834,-674.910156,-2.588058,0.001814
CCB(CC)CC,CCC(=O)C1=NCCC1,0.264180,0.000216,17.586090,28.236328,-3.193573,0.004870,14.057983,-347.431641,-2.262276,0.002437
CCB(CC)CC,NC(CF)(CF)CF,0.264214,0.000203,15.398560,635.550781,-3.141586,0.005489,12.686340,247.400391,-2.141258,0.003525
CCB(CC)CC,CC(C)CCCC(C)CC=O,0.266291,0.000228,18.335938,-211.218750,-3.225533,0.005206,14.957611,-558.394531,-2.418610,0.001965
CCB(CC)CC,Cc1coc(C)n1,0.263737,0.000215,17.411072,-56.382812,-3.192657,0.005157,14.739502,-383.597656,-2.320496,0.002089
CCB(CC)CC,NC(=S)NC(N)=S,0.181780,0.000044,14.517548,3066.017578,-2.785782,0.001816,9.245850,2359.113281,-2.134087,0.005456
CCB(CC)CC,FC(F)C(Cl)C(F)F,0.267236,0.000222,16.907318,-73.406250,-3.216866,0.005906,14.028229,-68.365234,-2.100670,0.001274
CCB(CC)CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.271459,0.000227,15.759003,432.830078,-3.012993,0.005225,12.383942,88.138672,-2.169739,0.003207
CCB(CC)CC,NNC(=O)c1ccccc1,0.251270,0.000171,14.720673,2009.361328,-2.977974,0.002735,9.051117,1194.621094,-2.114365,0.006403
CCB(CC)CC,ClC=CBr,0.269639,0.000235,17.156128,-312.234375,-3.163803,0.005883,15.619080,-422.839844,-2.402687,0.001264
