SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(=N)CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.246124,0.000202,20.176178,-436.306641,-3.359085,0.004486,16.542999,-770.814453,-2.609756,0.001398
CCC(=N)CC,CC(=O)Nc1ccc(C=O)cc1,0.213651,0.000130,20.030701,-619.337891,-3.203606,0.003501,13.324127,-930.826172,-2.039925,0.001217
CCC(=N)CC,Cc1cccc(CO)c1,0.204318,0.000113,20.262054,-1050.742188,-3.246323,0.003740,14.875916,-1040.677734,-2.154785,0.000110
CCC(=N)CC,COC(C)CO,0.232697,0.000171,19.192841,-598.121094,-3.241905,0.004299,16.187164,-840.539062,-2.425293,0.001009
CCC(=N)CC,Nc1nc(=O)c2ccccc2o1,0.201808,0.000096,20.925018,-186.529297,-3.108627,0.002424,8.757355,-866.064453,-1.499092,0.002569
CCC(=N)CC,CC(Cl)Br,0.243441,0.000187,18.636169,-772.873047,-3.197922,0.005092,18.887390,-702.501953,-2.876427,0.000732
CCC(=N)CC,CCCOC(F)F,0.260956,0.000223,17.535339,-483.433594,-3.090393,0.005415,17.574677,-604.486328,-2.765259,0.001317
CCC(=N)CC,COC1CC2CCC1(C)C2(C)C,0.259140,0.000215,17.137238,-321.322266,-2.941353,0.004591,16.324310,-551.328125,-2.664009,0.002066
CCC(=N)CC,CCC(=O)C1=NCCC1,0.252323,0.000210,18.495148,-459.263672,-3.165611,0.004798,16.830261,-743.511719,-2.625893,0.001440
CCC(=N)CC,NC(CF)(CF)CF,0.240598,0.000189,19.096161,-462.693359,-3.215309,0.004231,17.293762,-777.058594,-2.620193,0.001294
CCC(=N)CC,CC(C)CCCC(C)CC=O,0.258310,0.000217,17.557007,-311.095703,-3.039246,0.004836,16.331390,-663.462891,-2.638550,0.001962
CCC(=N)CC,Cc1coc(C)n1,0.249344,0.000207,18.961761,-501.691406,-3.263786,0.004861,17.570679,-779.628906,-2.694794,0.001239
CCC(=N)CC,NC(=S)NC(N)=S,0.174384,0.000019,22.357452,-866.169922,-3.286919,0.002551,10.630981,-1305.765625,-1.720840,0.002966
CCC(=N)CC,FC(F)C(Cl)C(F)F,0.217876,0.000124,20.996490,-1059.023438,-3.516983,0.004534,19.330658,-975.816406,-2.810486,0.000988
CCC(=N)CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.224063,0.000133,17.898010,-428.591797,-2.832680,0.003524,15.830505,-743.009766,-2.634071,0.002047
CCC(=N)CC,NNC(=O)c1ccccc1,0.233445,0.000173,20.670105,-166.955078,-3.251511,0.002953,14.351837,-768.863281,-2.332214,0.002323
CCC(=N)CC,ClC=CBr,0.236360,0.000166,19.130829,-911.230469,-3.282837,0.005177,19.670013,-757.445312,-2.981743,0.000811
CCC(=N)CC,CN(C)N=O,0.255280,0.000208,18.163666,-200.847656,-3.237167,0.004955,16.003326,-534.814453,-2.473679,0.001909
