SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC1CCCN1,O=P(Cl)(c1ccccc1)c1ccccc1,0.248612,0.000202,19.930695,-270.095703,-3.320473,0.004333,15.547791,-654.279297,-2.477776,0.001626
CCC1CCCN1,CC(=O)Nc1ccc(C=O)cc1,0.213579,0.000115,18.767792,-325.615234,-3.059837,0.003611,11.315155,-780.609375,-1.805779,0.001780
CCC1CCCN1,Cc1cccc(CO)c1,0.199332,0.000097,19.319092,-1027.128906,-3.154388,0.003961,13.179535,-998.523438,-1.855919,-0.000057
CCC1CCCN1,COC(C)CO,0.225155,0.000150,18.489899,-666.687500,-3.140991,0.004349,14.906036,-825.582031,-2.180885,0.000699
CCC1CCCN1,Nc1nc(=O)c2ccccc2o1,0.197399,0.000070,19.880798,166.197266,-2.955971,0.002531,4.833618,-693.560547,-0.971489,0.003239
CCC1CCCN1,CC(Cl)Br,0.248438,0.000197,17.909210,-597.429688,-3.108307,0.005048,18.059265,-653.093750,-2.747276,0.000879
CCC1CCCN1,CCCOC(F)F,0.261637,0.000220,16.995056,-376.525391,-3.020142,0.005252,16.871796,-569.781250,-2.643059,0.001472
CCC1CCCN1,COC1CC2CCC1(C)C2(C)C,0.258879,0.000219,17.362274,-324.078125,-3.037430,0.004991,16.639130,-651.494141,-2.648056,0.001714
CCC1CCCN1,CCC(=O)C1=NCCC1,0.253030,0.000207,18.017609,-375.371094,-3.107697,0.004755,16.446045,-688.781250,-2.568886,0.001608
CCC1CCCN1,NC(CF)(CF)CF,0.247147,0.000193,18.461273,-214.974609,-3.139893,0.004188,15.952972,-641.158203,-2.477486,0.001949
CCC1CCCN1,CC(C)CCCC(C)CC=O,0.259030,0.000218,17.649811,-306.292969,-3.087654,0.004972,16.445343,-667.443359,-2.632973,0.001882
CCC1CCCN1,Cc1coc(C)n1,0.251325,0.000208,18.614807,-432.367188,-3.222755,0.004881,17.217560,-732.275391,-2.641579,0.001395
CCC1CCCN1,NC(=S)NC(N)=S,0.194905,0.000045,18.821594,-240.759766,-2.709839,0.002419,4.612152,-878.945312,-0.868553,0.003375
CCC1CCCN1,FC(F)C(Cl)C(F)F,0.231130,0.000150,18.913544,-818.261719,-3.211716,0.004585,17.335388,-796.191406,-2.544746,0.001072
CCC1CCCN1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.226702,0.000138,17.221619,-329.720703,-2.764793,0.003601,14.496399,-640.609375,-2.373474,0.001898
CCC1CCCN1,NNC(=O)c1ccccc1,0.233444,0.000157,19.966797,183.880859,-3.079575,0.002632,12.326904,-596.570312,-2.111862,0.003098
CCC1CCCN1,ClC=CBr,0.241885,0.000180,18.186401,-786.296875,-3.136475,0.005100,18.609528,-698.332031,-2.809181,0.000684
CCC1CCCN1,CN(C)N=O,0.256302,0.000202,17.205719,-33.105469,-3.159103,0.005266,15.447144,-369.400391,-2.346451,0.002135
CCC1CCCN1,c1ccc(C2CCCCC2)cc1,0.262996,0.000223,16.896454,-266.277344,-2.997063,0.005164,16.106903,-610.166016,-2.589760,0.001947
CCC1CCCN1,N#Cc1ccncc1,0.240875,0.000186,18.981903,-492.675781,-3.149429,0.004155,16.799896,-770.701172,-2.559906,0.001268
CCC1CCCN1,CN(C)C(=S)Nc1ccccc1,0.200506,0.000090,19.089539,-582.533203,-2.966599,0.002919,12.016541,-842.509766,-1.791679,0.001099
CCC1CCCN1,CCC(N)CC,0.247522,0.000203,18.980194,-433.013672,-3.272270,0.004870,17.826752,-805.939453,-2.753143,0.001560
CCC1CCCN1,COC(=O)CO,0.212956,0.000113,17.246307,-680.320312,-2.997429,0.004500,11.831329,-800.968750,-1.665047,0.000584
CCC1CCCN1,Cc1c(N)cccc1Cl,0.198295,0.000094,21.113220,-1050.632812,-3.331795,0.003020,16.700012,-1144.843750,-2.325333,0.000779
CCC1CCCN1,CC1CCC(C(C)(C)OO)CC1,0.173273,0.000044,19.797516,-1357.345703,-3.166328,0.003520,12.715118,-1141.265625,-1.746597,-0.000834
CCC1CCCN1,CC(F)(Cl)CF,0.253788,0.000209,17.937592,-400.519531,-3.137650,0.005021,16.832916,-653.189453,-2.582764,0.001332
CCC1CCCN1,CCCCC1OC(C)CC(C)(C)O1,0.260792,0.000224,17.709595,-305.123047,-3.105057,0.005066,16.817841,-689.273438,-2.700058,0.001924
CCC1CCCN1,CC(C)(C)OCC1CO1,0.257774,0.000220,18.259277,-396.519531,-3.209259,0.005199,17.092987,-682.431641,-2.657005,0.001443
CCC1CCCN1,O=P(O)(O)OP(=O)(O)O,0.112339,-0.000133,21.904327,-1499.888672,-3.682884,0.008550,-6.891205,-1674.994141,0.160454,0.004534
CCC1CCCN1,CC(=O)Nc1ccc(C)cc1,0.220280,0.000134,18.535187,-546.488281,-3.038719,0.003817,13.371704,-844.458984,-2.060959,0.001308
CCC1CCCN1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.243214,0.000167,18.799316,605.189453,-3.051529,0.003251,11.817169,70.097656,-2.034912,0.002838
