SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCOCCCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.248921,0.000193,19.817139,-218.533203,-3.339745,0.004393,14.189819,-420.701172,-2.201775,0.001290
CCCCOCCCC,CC(=O)Nc1ccc(C=O)cc1,0.256475,0.000194,18.025299,738.582031,-3.071358,0.003115,11.387756,133.345703,-2.067055,0.003855
CCCCOCCCC,Cc1cccc(CO)c1,0.243751,0.000186,18.846619,-275.570312,-3.210052,0.004236,14.406891,-554.888672,-2.220284,0.001414
CCCCOCCCC,COC(C)CO,0.257912,0.000208,17.335236,28.544922,-3.194412,0.004757,15.502899,-351.107422,-2.423691,0.002365
CCCCOCCCC,Nc1nc(=O)c2ccccc2o1,0.230284,0.000133,17.696991,1488.009766,-2.739647,0.000789,5.911896,657.246094,-1.390610,0.005633
CCCCOCCCC,CC(Cl)Br,0.249266,0.000203,18.212402,-578.056641,-3.189438,0.005183,17.529541,-670.414062,-2.581245,0.000593
CCCCOCCCC,CCCOC(F)F,0.259375,0.000221,17.844574,-471.533203,-3.174416,0.005461,17.042633,-622.007812,-2.573700,0.001011
CCCCOCCCC,COC1CC2CCC1(C)C2(C)C,0.259745,0.000223,18.117737,-414.736328,-3.207687,0.005381,17.001862,-703.902344,-2.644829,0.001513
CCCCOCCCC,CCC(=O)C1=NCCC1,0.255081,0.000209,18.062836,-339.765625,-3.210960,0.005067,16.429626,-594.105469,-2.503136,0.001530
CCCCOCCCC,NC(CF)(CF)CF,0.255079,0.000198,16.903290,20.183594,-3.166870,0.005307,15.257782,-207.671875,-2.261742,0.001834
CCCCOCCCC,CC(C)CCCC(C)CC=O,0.260337,0.000224,18.569122,-370.179688,-3.272110,0.005340,16.594086,-692.699219,-2.598167,0.001646
CCCCOCCCC,Cc1coc(C)n1,0.252859,0.000206,18.437347,-358.082031,-3.292206,0.005100,16.971680,-603.673828,-2.554901,0.001354
CCCCOCCCC,NC(=S)NC(N)=S,0.231191,0.000131,17.247406,853.296875,-2.837334,0.003688,10.157318,273.773438,-1.565018,0.002895
CCCCOCCCC,FC(F)C(Cl)C(F)F,0.238278,0.000174,19.115082,-615.294922,-3.297668,0.004783,16.759491,-610.486328,-2.426819,0.000579
CCCCOCCCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.244359,0.000182,16.602997,-202.097656,-2.833199,0.004259,15.037476,-416.626953,-2.369904,0.001521
CCCCOCCCC,NNC(=O)c1ccccc1,0.258955,0.000193,16.596771,1134.865234,-3.035263,0.003312,10.677307,430.486328,-2.019081,0.004904
CCCCOCCCC,ClC=CBr,0.246265,0.000194,18.227692,-734.916016,-3.172897,0.005170,18.356567,-696.509766,-2.706337,0.000402
CCCCOCCCC,CN(C)N=O,0.249932,0.000182,16.981537,137.492188,-3.201614,0.005169,14.760742,-41.519531,-2.134842,0.001610
CCCCOCCCC,c1ccc(C2CCCCC2)cc1,0.262320,0.000226,17.841461,-389.804688,-3.167625,0.005398,16.547882,-671.607422,-2.600533,0.001618
CCCCOCCCC,N#Cc1ccncc1,0.244024,0.000187,19.158691,-321.789062,-3.295502,0.004475,15.975922,-569.970703,-2.391846,0.001288
CCCCOCCCC,CN(C)C(=S)Nc1ccccc1,0.236588,0.000160,18.767914,118.164062,-3.055763,0.003129,13.170715,-260.359375,-2.060989,0.002005
CCCCOCCCC,CCC(N)CC,0.258989,0.000215,17.470612,-189.195312,-3.250069,0.005816,17.187866,-594.214844,-2.663033,0.002123
CCCCOCCCC,COC(=O)CO,0.249394,0.000184,16.842529,50.058594,-3.113564,0.004558,13.712433,-96.343750,-1.964516,0.001789
CCCCOCCCC,Cc1c(N)cccc1Cl,0.232751,0.000166,19.589355,-489.908203,-3.226128,0.003888,16.407990,-745.585938,-2.475739,0.001154
CCCCOCCCC,CC1CCC(C(C)(C)OO)CC1,0.223863,0.000153,18.994446,-667.650391,-3.077271,0.003584,15.651581,-791.255859,-2.301476,0.000603
CCCCOCCCC,CC(F)(Cl)CF,0.255260,0.000210,18.268188,-396.568359,-3.271759,0.005353,16.429626,-521.958984,-2.444389,0.000989
CCCCOCCCC,CCCCC1OC(C)CC(C)(C)O1,0.262366,0.000228,18.295502,-362.722656,-3.234535,0.005358,16.966248,-731.478516,-2.680061,0.001867
CCCCOCCCC,CC(C)(C)OCC1CO1,0.261094,0.000223,18.159393,-376.431641,-3.254654,0.005445,16.824890,-621.576172,-2.578445,0.001464
CCCCOCCCC,O=P(O)(O)OP(=O)(O)O,0.172345,-0.000017,17.653687,-234.908203,-2.807068,0.004469,-2.036102,-713.322266,0.040939,0.003129
CCCCOCCCC,CC(=O)Nc1ccc(C)cc1,0.260273,0.000210,18.340729,330.945312,-3.167496,0.003837,13.200470,-185.201172,-2.279648,0.003085
CCCCOCCCC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.227284,0.000130,18.124054,1101.957031,-3.242943,0.003941,10.318298,888.628906,-1.812477,0.002317
CCCCOCCCC,CC(C)(O)CCC1CCCCC1,0.259225,0.000218,18.588928,-15.187500,-3.234825,0.004436,14.796448,-496.140625,-2.471405,0.002560
CCCCOCCCC,COCC(F)(F)F,0.259804,0.000218,17.421997,-335.894531,-3.189819,0.005504,16.536346,-454.591797,-2.470917,0.001149
CCCCOCCCC,COCC(O)COC,0.258032,0.000208,17.444061,-128.976562,-3.194962,0.005052,15.559540,-384.318359,-2.350723,0.001722
CCCCOCCCC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.242031,0.000168,18.897797,1200.378906,-2.978394,0.001265,9.079407,263.353516,-1.888504,0.005186
CCCCOCCCC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.208059,0.000093,19.399445,-202.878906,-3.045341,0.002825,8.938660,-586.027344,-1.342690,0.002114
CCCCOCCCC,CC(C)C(F)F,0.263427,0.000227,17.491547,-426.992188,-3.167877,0.005678,16.879608,-594.787109,-2.577003,0.001195
CCCCOCCCC,CCCCC1C=C(C)CC(C)O1,0.258494,0.000221,18.246277,-419.537109,-3.208961,0.005233,17.007690,-719.269531,-2.660049,0.001555
CCCCOCCCC,COc1ccc(C(C)=O)cc1,0.260267,0.000210,18.235168,-115.294922,-3.222809,0.005011,14.585236,-367.849609,-2.291649,0.001737
CCCCOCCCC,Oc1cc(O)ncn1,0.221190,0.000119,17.497772,71.806641,-2.877937,0.002938,9.462708,-434.503906,-1.519165,0.002791
CCCCOCCCC,COCCCCl,0.262858,0.000222,17.337524,-348.203125,-3.152176,0.005516,16.648071,-574.486328,-2.548401,0.001463
