SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCNC(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.246081,0.000195,20.121277,-259.648438,-3.320679,0.004138,15.272827,-637.660156,-2.416649,0.001553
CCCNC(C)C,CC(=O)Nc1ccc(C=O)cc1,0.226008,0.000137,19.245941,56.003906,-3.025482,0.002966,11.212219,-521.785156,-1.885078,0.002427
CCCNC(C)C,Cc1cccc(CO)c1,0.203442,0.000104,18.946259,-909.466797,-3.098007,0.003844,12.983063,-935.179688,-1.827850,0.000202
CCCNC(C)C,COC(C)CO,0.231819,0.000163,18.453064,-542.490234,-3.127411,0.004175,15.574066,-770.443359,-2.283821,0.001054
CCCNC(C)C,Nc1nc(=O)c2ccccc2o1,0.202338,0.000070,19.364014,573.007812,-2.777367,0.002059,2.022583,-440.693359,-0.647148,0.004230
CCCNC(C)C,CC(Cl)Br,0.250376,0.000202,17.873505,-592.958984,-3.122780,0.005199,18.215088,-622.062500,-2.762238,0.000837
CCCNC(C)C,CCCOC(F)F,0.258962,0.000217,17.334900,-404.810547,-3.064842,0.005179,16.975403,-600.080078,-2.623627,0.001327
CCCNC(C)C,COC1CC2CCC1(C)C2(C)C,0.259983,0.000221,17.555969,-333.517578,-3.091339,0.005136,16.705261,-661.968750,-2.645851,0.001711
CCCNC(C)C,CCC(=O)C1=NCCC1,0.251171,0.000204,18.124664,-399.421875,-3.124146,0.004719,16.641357,-700.867188,-2.571266,0.001518
CCCNC(C)C,NC(CF)(CF)CF,0.247953,0.000192,18.417480,-114.074219,-3.156715,0.004143,15.499084,-535.544922,-2.413292,0.002039
CCCNC(C)C,CC(C)CCCC(C)CC=O,0.258498,0.000219,18.023743,-359.312500,-3.151970,0.005051,16.697540,-701.218750,-2.638145,0.001763
CCCNC(C)C,Cc1coc(C)n1,0.250842,0.000207,18.778992,-439.681641,-3.255264,0.004899,17.428345,-756.689453,-2.655022,0.001425
CCCNC(C)C,NC(=S)NC(N)=S,0.216875,0.000090,18.519775,516.904297,-2.412949,0.001493,3.419159,-388.105469,-0.748642,0.004385
CCCNC(C)C,FC(F)C(Cl)C(F)F,0.232399,0.000155,18.947937,-689.623047,-3.178062,0.004441,16.345154,-724.845703,-2.421501,0.000957
CCCNC(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.234915,0.000159,17.021454,-247.150391,-2.773628,0.003799,14.619263,-557.023438,-2.375542,0.001767
CCCNC(C)C,NNC(=O)c1ccccc1,0.237711,0.000162,19.815521,705.484375,-2.995003,0.001770,10.756897,-254.523438,-1.987823,0.004143
CCCNC(C)C,ClC=CBr,0.244443,0.000186,18.110199,-759.919922,-3.144592,0.005198,18.912201,-671.429688,-2.845016,0.000659
CCCNC(C)C,CN(C)N=O,0.254098,0.000195,17.043030,10.662109,-3.138611,0.005091,15.455536,-305.810547,-2.292763,0.002141
CCCNC(C)C,c1ccc(C2CCCCC2)cc1,0.262363,0.000223,17.208527,-309.136719,-3.054207,0.005225,16.304932,-628.648438,-2.595345,0.001795
CCCNC(C)C,N#Cc1ccncc1,0.239845,0.000181,19.139618,-426.009766,-3.155212,0.004008,16.261169,-735.330078,-2.487091,0.001351
CCCNC(C)C,CN(C)C(=S)Nc1ccccc1,0.215745,0.000119,19.004395,-128.224609,-2.869362,0.002364,12.686340,-544.306641,-1.985184,0.001682
CCCNC(C)C,CCC(N)CC,0.249485,0.000208,19.176910,-395.025391,-3.331322,0.005020,18.191345,-815.724609,-2.811562,0.001724
CCCNC(C)C,COC(=O)CO,0.216209,0.000118,17.275177,-561.359375,-2.986900,0.004264,11.940247,-681.501953,-1.664131,0.000704
CCCNC(C)C,Cc1c(N)cccc1Cl,0.202788,0.000102,20.643982,-895.939453,-3.248749,0.003068,15.831818,-1054.037109,-2.252869,0.000908
CCCNC(C)C,CC1CCC(C(C)(C)OO)CC1,0.181807,0.000061,19.246429,-1273.814453,-3.041962,0.003421,13.312317,-993.312500,-1.834145,-0.000666
CCCNC(C)C,CC(F)(Cl)CF,0.254184,0.000209,18.061646,-385.904297,-3.162750,0.005018,16.701996,-622.703125,-2.542419,0.001258
CCCNC(C)C,CCCCC1OC(C)CC(C)(C)O1,0.260791,0.000225,17.935272,-335.638672,-3.155884,0.005167,16.928436,-701.144531,-2.694321,0.001834
CCCNC(C)C,CC(C)(C)OCC1CO1,0.256446,0.000219,18.610413,-416.199219,-3.265083,0.005202,17.211884,-701.310547,-2.652222,0.001395
CCCNC(C)C,O=P(O)(O)OP(=O)(O)O,0.113696,-0.000128,22.191132,-1269.205078,-3.465462,0.008010,-8.995697,-1527.115234,0.422539,0.004502
CCCNC(C)C,CC(=O)Nc1ccc(C)cc1,0.232538,0.000156,18.691101,-266.113281,-2.996597,0.003397,13.601959,-640.595703,-2.164200,0.001745
CCCNC(C)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.238149,0.000153,18.774414,788.626953,-3.073708,0.003200,10.961182,289.238281,-1.904587,0.002818
CCCNC(C)C,CC(C)(O)CCC1CCCCC1,0.231941,0.000169,19.217285,-659.507812,-3.170914,0.004170,15.205658,-818.400391,-2.299812,0.000851
CCCNC(C)C,COCC(F)(F)F,0.258099,0.000216,17.364807,-330.429688,-3.102951,0.005204,16.600098,-546.873047,-2.529243,0.001334
CCCNC(C)C,COCC(O)COC,0.238712,0.000179,18.725891,-461.097656,-3.195587,0.004384,15.908752,-717.658203,-2.362610,0.001167
CCCNC(C)C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.207410,0.000101,21.422516,317.339844,-2.939117,0.001422,6.010681,-563.027344,-1.210182,0.003459
CCCNC(C)C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.152104,-0.000030,20.222961,-1022.380859,-3.244957,0.003763,2.777374,-1251.949219,-0.438606,0.001154
CCCNC(C)C,CC(C)C(F)F,0.264893,0.000228,17.075012,-346.283203,-3.077049,0.005504,16.656891,-590.458984,-2.608398,0.001542
CCCNC(C)C,CCCCC1C=C(C)CC(C)O1,0.258147,0.000219,17.862030,-360.847656,-3.120140,0.005021,16.759186,-677.408203,-2.655968,0.001643
CCCNC(C)C,COc1ccc(C(C)=O)cc1,0.254446,0.000207,18.980499,-194.392578,-3.237724,0.004604,15.221863,-559.542969,-2.416405,0.001781
CCCNC(C)C,Oc1cc(O)ncn1,0.163008,-0.000007,18.476288,-949.718750,-3.200706,0.004038,4.774963,-1096.726562,-0.633293,0.000677
CCCNC(C)C,COCCCCl,0.260259,0.000218,17.265503,-348.003906,-3.078354,0.005253,16.510529,-615.099609,-2.561150,0.001555
CCCNC(C)C,CCCOC,0.256033,0.000214,17.489868,-459.830078,-3.088890,0.005199,17.298401,-655.513672,-2.650482,0.001100
CCCNC(C)C,Fc1c(F)c(F)c(F)c(F)c1F,0.256502,0.000209,16.713257,-260.171875,-2.960564,0.005050,15.925140,-512.773438,-2.516869,0.001506
CCCNC(C)C,CCP(CC)CC,0.259614,0.000221,17.669128,-370.437500,-3.113014,0.005195,16.894501,-663.306641,-2.654343,0.001544
CCCNC(C)C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.259399,0.000226,18.703003,-316.486328,-3.255867,0.005027,17.242950,-770.992188,-2.761948,0.002085
CCCNC(C)C,Fc1cc(F)c(F)cc1F,0.249336,0.000200,18.264099,-541.835938,-3.154968,0.004967,17.442688,-724.076172,-2.669838,0.001100
CCCNC(C)C,CCCCc1ccc(C(=O)O)cc1,0.163441,0.000010,19.585297,-1530.193359,-3.327705,0.004311,11.395142,-1106.804688,-1.475235,-0.000824
CCCNC(C)C,C=Cc1c(C)cc(C)cc1C,0.262887,0.000225,17.387177,-300.175781,-3.094269,0.005293,16.593414,-646.121094,-2.634140,0.001842
CCCNC(C)C,C=C(C)C(=O)OC(C)(C)C,0.256929,0.000219,18.382965,-405.326172,-3.212830,0.005097,16.998810,-702.394531,-2.655655,0.001508
CCCNC(C)C,FC1CCCN1,0.233432,0.000169,19.415863,-544.710938,-3.284630,0.004422,15.887482,-821.388672,-2.335831,0.001132
CCCNC(C)C,CCCCCCCC(=O)NC,0.239018,0.000177,19.869385,-278.755859,-3.236610,0.003760,14.304382,-789.445312,-2.293541,0.002149
CCCNC(C)C,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.258091,0.000209,16.570496,25.720703,-2.934708,0.004819,15.401978,-465.074219,-2.543739,0.002442
CCCNC(C)C,C1=CC2C=CC1C2,0.264176,0.000225,16.854919,-350.349609,-3.044304,0.005551,16.935059,-568.562500,-2.675667,0.001637
CCCNC(C)C,CCC(C)(O)CCC=C(C)C,0.226866,0.000160,19.358002,-730.302734,-3.188072,0.004131,15.001099,-845.087891,-2.242508,0.000605
CCCNC(C)C,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.250636,0.000211,19.189362,-62.794922,-3.200272,0.004091,18.582092,-811.906250,-3.154816,0.003010
CCCNC(C)C,CCC(C)CCF,0.266439,0.000229,16.819244,-290.292969,-3.035896,0.005488,16.422913,-605.714844,-2.609634,0.001829
CCCNC(C)C,C=Cc1cccc(CC)c1,0.260535,0.000221,17.543182,-325.431641,-3.114792,0.005240,16.683655,-659.455078,-2.628632,0.001740
CCCNC(C)C,CC(C)(C(O)(F)F)C(F)(F)F,0.112077,-0.000112,22.186279,-2064.750000,-3.874115,0.005505,5.249908,-1702.542969,-0.743141,0.000282
CCCNC(C)C,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.262358,0.000222,16.689758,-406.720703,-3.001663,0.005409,17.065735,-572.802734,-2.691574,0.001391
CCCNC(C)C,CCN(CC)c1ccc(N)cc1,0.238247,0.000177,20.397827,-160.183594,-3.254196,0.003401,14.638123,-720.867188,-2.353493,0.002168
CCCNC(C)C,FC(F)CC(F)(F)F,0.257143,0.000210,17.276550,-296.021484,-3.063812,0.005104,15.871490,-502.525391,-2.432983,0.001423
CCCNC(C)C,N#CCCOCCC#N,0.239926,0.000167,19.345795,295.890625,-3.191650,0.003624,11.795990,-28.841797,-1.921608,0.001839
CCCNC(C)C,CCC(C)C(C)C(C)C,0.265225,0.000223,16.420624,-291.333984,-2.922127,0.005189,16.275238,-470.388672,-2.663605,0.002144
CCCNC(C)C,Cn1c(=O)ccc2ccccc21,0.246848,0.000189,19.192719,-27.154297,-3.220932,0.004056,14.844635,-447.449219,-2.370903,0.002021
CCCNC(C)C,CCOC(=O)c1ccccc1N,0.199289,0.000095,19.950531,-745.152344,-3.117905,0.003114,12.744171,-1063.232422,-1.875710,0.001206
CCCNC(C)C,ClC1CN2CCC1CC2,0.252003,0.000208,18.291107,-441.861328,-3.158813,0.004788,17.441010,-727.769531,-2.677818,0.001383
CCCNC(C)C,CC=CCCCCCCCC#N,0.254607,0.000214,19.155457,-311.898438,-3.272583,0.004716,16.399902,-724.378906,-2.607430,0.001882
CCCNC(C)C,COCCl,0.254355,0.000207,17.825165,-312.992188,-3.159172,0.005039,16.402130,-545.273438,-2.483490,0.001295
CCCNC(C)C,NCCc1cccnc1,0.249247,0.000195,18.879669,-104.117188,-3.280746,0.004396,15.937103,-576.271484,-2.497841,0.002302
CCCNC(C)C,Cc1cccc(C(=O)O)c1,0.159537,-0.000001,19.809723,-1533.671875,-3.388664,0.004369,10.776306,-1130.085938,-1.376099,-0.000758
CCCNC(C)C,C=CCNC,0.252941,0.000213,18.716888,-442.994141,-3.262878,0.005030,17.770844,-768.490234,-2.731346,0.001449
CCCNC(C)C,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.243413,0.000169,14.505310,340.041016,-2.553680,0.004208,14.442352,7.781250,-2.558662,0.002968
CCCNC(C)C,CC(CO)C(F)(F)F,0.206374,0.000107,18.439880,-877.619141,-3.053177,0.004029,13.233276,-898.078125,-1.875862,0.000192
CCCNC(C)C,CC(C)C(=O)C(F)(F)F,0.260512,0.000217,16.892853,-279.691406,-2.995010,0.005104,16.096069,-566.763672,-2.549141,0.001684
CCCNC(C)C,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.244050,0.000173,15.609680,159.882812,-2.654144,0.003979,15.541565,-335.306641,-2.592758,0.002501
CCCNC(C)C,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.254482,0.000216,18.927490,-324.501953,-3.233017,0.004641,17.251862,-800.744141,-2.771255,0.002135
CCCNC(C)C,C=CCN(C)CC=C,0.259904,0.000219,17.290253,-393.984375,-3.045265,0.005125,16.918610,-660.070312,-2.648590,0.001517
CCCNC(C)C,COCC(F)C(F)(F)F,0.260736,0.000217,16.908447,-285.957031,-2.999046,0.005111,16.153015,-544.373047,-2.502808,0.001566
CCCNC(C)C,CNC(C)(C)C,0.247962,0.000203,18.662659,-497.191406,-3.235992,0.004970,17.960480,-762.966797,-2.736450,0.001168
CCCNC(C)C,C1COCCOCCOCCO1,0.252977,0.000196,17.274475,-88.722656,-3.097008,0.004695,15.466949,-493.554688,-2.390831,0.002069
CCCNC(C)C,O=NF,0.241888,0.000179,16.874268,25.537109,-3.130455,0.005154,15.580780,-3.599609,-2.223007,0.000936
CCCNC(C)C,CCN(CC)CCN,0.244504,0.000199,19.589539,-427.357422,-3.357544,0.004821,18.230438,-855.960938,-2.801331,0.001689
CCCNC(C)C,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.261911,0.000217,16.446442,-108.955078,-2.919449,0.004976,15.929260,-520.185547,-2.629173,0.002318
CCCNC(C)C,CC(=O)Nc1ccc(Br)cc1,0.220761,0.000138,19.404633,-403.546875,-3.076080,0.003186,13.179871,-743.701172,-2.037010,0.001403
CCCNC(C)C,c1ccc(COc2ccccc2)cc1,0.251473,0.000204,18.249054,-316.050781,-3.152054,0.004735,16.346832,-663.843750,-2.571594,0.001701
CCCNC(C)C,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.256981,0.000202,15.500183,-76.414062,-2.733505,0.004738,15.160919,-361.251953,-2.511574,0.002109
CCCNC(C)C,CC(C)(C)OCF,0.261367,0.000223,17.562408,-298.964844,-3.139763,0.005292,16.541443,-611.187500,-2.585182,0.001673
CCCNC(C)C,OCCCCOC1CCCO1,0.237522,0.000176,18.671295,-481.851562,-3.190178,0.004408,16.009308,-771.185547,-2.400085,0.001285
CCCNC(C)C,OCCCCC(O)CO,0.215665,0.000109,17.986450,-36.074219,-3.003464,0.003790,8.771973,-708.695312,-1.414856,0.002623
CCCNC(C)C,CC(C)C(=O)C(=O)O,0.181064,0.000046,18.380341,-1283.021484,-3.115181,0.004236,12.817566,-950.220703,-1.759399,-0.000748
