SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOCC(C)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.252072,0.000212,19.115082,-408.726562,-3.297089,0.004945,17.376709,-748.125000,-2.699104,0.001464
CCOCC(C)O,CC(=O)Nc1ccc(C=O)cc1,0.241027,0.000182,18.981384,-439.953125,-3.200989,0.004437,15.350830,-775.822266,-2.367958,0.001531
CCOCC(C)O,Cc1cccc(CO)c1,0.230659,0.000164,19.107605,-836.910156,-3.212021,0.004567,16.752258,-856.792969,-2.441170,0.000320
CCOCC(C)O,COC(C)CO,0.248194,0.000198,18.064575,-466.072266,-3.164742,0.004926,17.260071,-764.623047,-2.620247,0.001327
CCOCC(C)O,Nc1nc(=O)c2ccccc2o1,0.218701,0.000129,19.719391,-327.824219,-3.156578,0.003495,11.999969,-868.126953,-1.889946,0.002087
CCOCC(C)O,CC(Cl)Br,0.261785,0.000216,16.593506,-599.113281,-3.003906,0.005960,19.132324,-426.611328,-3.020798,0.001200
CCOCC(C)O,CCCOC(F)F,0.273186,0.000239,15.984741,-387.431641,-2.945915,0.006024,17.903442,-367.833984,-2.895561,0.001718
CCOCC(C)O,COC1CC2CCC1(C)C2(C)C,0.265105,0.000217,15.622467,-231.238281,-2.738541,0.004780,16.328949,-342.988281,-2.730904,0.002458
CCOCC(C)O,CCC(=O)C1=NCCC1,0.253926,0.000208,17.333618,-459.048828,-2.989395,0.004787,17.127747,-651.701172,-2.652779,0.001186
CCOCC(C)O,NC(CF)(CF)CF,0.244922,0.000194,18.358795,-490.298828,-3.170799,0.004721,17.687347,-746.062500,-2.657913,0.001074
CCOCC(C)O,CC(C)CCCC(C)CC=O,0.265579,0.000226,16.353668,-269.699219,-2.904854,0.005173,16.646301,-537.599609,-2.703438,0.001998
CCOCC(C)O,Cc1coc(C)n1,0.242970,0.000190,18.366547,-605.164062,-3.149773,0.004745,17.340027,-778.634766,-2.597786,0.000819
CCOCC(C)O,NC(=S)NC(N)=S,0.187042,0.000032,19.999207,-1058.089844,-3.166618,0.003876,13.603027,-1102.017578,-2.070450,0.002346
CCOCC(C)O,FC(F)C(Cl)C(F)F,0.234331,0.000153,19.281342,-993.310547,-3.371620,0.005301,20.351624,-752.130859,-3.004021,0.001019
