SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOCC1CO1,O=P(Cl)(c1ccccc1)c1ccccc1,0.252669,0.000214,19.710907,-426.646484,-3.361740,0.004941,16.669708,-811.238281,-2.639595,0.001720
CCOCC1CO1,CC(=O)Nc1ccc(C=O)cc1,0.262147,0.000222,18.699097,187.470703,-3.180992,0.004074,14.149261,-429.640625,-2.502419,0.003321
CCOCC1CO1,Cc1cccc(CO)c1,0.247271,0.000201,18.651703,-424.271484,-3.179131,0.004651,16.096466,-702.914062,-2.519547,0.001358
CCOCC1CO1,COC(C)CO,0.258852,0.000219,17.744385,-189.363281,-3.176743,0.005162,16.710815,-615.119141,-2.666542,0.002169
CCOCC1CO1,Nc1nc(=O)c2ccccc2o1,0.241150,0.000172,19.802521,438.269531,-3.098885,0.002458,10.271149,-276.998047,-1.985504,0.003974
CCOCC1CO1,CC(Cl)Br,0.248155,0.000199,18.117126,-713.710938,-3.135246,0.005207,18.337860,-712.537109,-2.781357,0.000586
CCOCC1CO1,CCCOC(F)F,0.261955,0.000225,17.343719,-477.482422,-3.065147,0.005386,17.095673,-643.880859,-2.660576,0.001204
CCOCC1CO1,COC1CC2CCC1(C)C2(C)C,0.262483,0.000214,16.299133,-146.257812,-2.828171,0.004646,15.036743,-448.408203,-2.547455,0.002798
CCOCC1CO1,CCC(=O)C1=NCCC1,0.257796,0.000219,17.942596,-446.662109,-3.127617,0.005149,16.757355,-708.128906,-2.625420,0.001454
CCOCC1CO1,NC(CF)(CF)CF,0.250771,0.000208,18.691406,-360.273438,-3.303757,0.005304,17.151367,-686.773438,-2.634613,0.001481
CCOCC1CO1,CC(C)CCCC(C)CC=O,0.263725,0.000225,17.094971,-181.578125,-3.019043,0.005156,15.791046,-621.462891,-2.600319,0.002418
CCOCC1CO1,Cc1coc(C)n1,0.255859,0.000216,18.173706,-435.275391,-3.215584,0.005342,17.281952,-717.257812,-2.674294,0.001394
CCOCC1CO1,NC(=S)NC(N)=S,0.194168,0.000067,21.195435,-918.451172,-3.268341,0.002819,16.131592,-1181.250000,-2.388535,0.002032
CCOCC1CO1,FC(F)C(Cl)C(F)F,0.226854,0.000151,20.316681,-1033.048828,-3.436020,0.004525,19.700531,-925.794922,-2.806023,0.000409
CCOCC1CO1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.236481,0.000161,16.229126,-148.863281,-2.596222,0.003406,15.949982,-499.685547,-2.680763,0.002227
