SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COC(CF)CF,O=P(Cl)(c1ccccc1)c1ccccc1,0.253909,0.000212,18.757904,-104.117188,-3.260826,0.004913,15.975525,-689.062500,-2.631699,0.002575
COC(CF)CF,CC(=O)Nc1ccc(C=O)cc1,0.271033,0.000231,17.167297,692.712891,-3.077675,0.004278,13.023804,-145.027344,-2.513214,0.004859
COC(CF)CF,Cc1cccc(CO)c1,0.265459,0.000225,16.719055,145.363281,-3.007355,0.004738,14.239380,-389.560547,-2.461121,0.003283
COC(CF)CF,COC(C)CO,0.265523,0.000226,16.874725,81.632812,-3.138039,0.005433,15.917389,-509.052734,-2.642746,0.003184
COC(CF)CF,Nc1nc(=O)c2ccccc2o1,0.259938,0.000200,17.219269,1169.146484,-2.957794,0.002890,9.864227,201.693359,-2.190788,0.006020
COC(CF)CF,CC(Cl)Br,0.257903,0.000213,16.713531,-407.341797,-2.961693,0.005211,16.352966,-583.177734,-2.522903,0.001188
COC(CF)CF,CCCOC(F)F,0.266151,0.000226,16.505188,-327.267578,-2.943130,0.005321,16.074066,-548.640625,-2.577652,0.001853
COC(CF)CF,COC1CC2CCC1(C)C2(C)C,0.261470,0.000203,14.714600,188.121094,-2.609383,0.004596,13.979553,-142.789062,-2.534523,0.003815
COC(CF)CF,CCC(=O)C1=NCCC1,0.261929,0.000220,16.869019,-261.664062,-2.971687,0.005061,15.851196,-610.333984,-2.560608,0.002075
COC(CF)CF,NC(CF)(CF)CF,0.259102,0.000220,17.931427,-253.656250,-3.241661,0.005748,16.923615,-622.246094,-2.657486,0.001837
COC(CF)CF,CC(C)CCCC(C)CC=O,0.261527,0.000212,15.806427,76.650391,-2.845238,0.005175,14.982880,-372.525391,-2.589455,0.003112
COC(CF)CF,Cc1coc(C)n1,0.258485,0.000214,16.924133,-247.884766,-3.092026,0.005724,16.518341,-574.443359,-2.609612,0.001903
COC(CF)CF,NC(=S)NC(N)=S,0.221927,0.000134,19.949921,-289.716797,-3.236969,0.003646,16.527802,-797.134766,-2.564377,0.002301
COC(CF)CF,FC(F)C(Cl)C(F)F,0.238970,0.000180,19.235962,-840.410156,-3.263817,0.004759,18.493134,-833.457031,-2.730247,0.000459
COC(CF)CF,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.247866,0.000180,15.303223,-9.121094,-2.516853,0.003670,15.197052,-391.373047,-2.576485,0.002655
COC(CF)CF,NNC(=O)c1ccccc1,0.274328,0.000236,16.683838,614.367188,-3.133133,0.004961,13.230774,-135.228516,-2.450562,0.004607
COC(CF)CF,ClC=CBr,0.257206,0.000207,16.182800,-410.125000,-2.843056,0.004966,16.136078,-497.414062,-2.506500,0.001321
COC(CF)CF,CN(C)N=O,0.260903,0.000218,17.557922,-190.880859,-3.202675,0.005464,16.676056,-640.261719,-2.601379,0.002312
COC(CF)CF,c1ccc(C2CCCCC2)cc1,0.266803,0.000213,14.835358,166.000000,-2.634628,0.004715,14.102112,-188.345703,-2.558594,0.003689
COC(CF)CF,N#Cc1ccncc1,0.254001,0.000213,18.672211,-448.976562,-3.239555,0.005051,17.329651,-803.769531,-2.695915,0.001691
COC(CF)CF,CN(C)C(=S)Nc1ccccc1,0.247066,0.000194,18.375885,-195.822266,-3.081612,0.004119,16.001404,-688.851562,-2.580574,0.002219
COC(CF)CF,CCC(N)CC,0.255504,0.000200,15.002716,105.070312,-2.935699,0.006381,15.828979,-276.806641,-2.628471,0.002972
COC(CF)CF,COC(=O)CO,0.261454,0.000224,17.775696,-198.044922,-3.201294,0.005169,16.599945,-624.460938,-2.619301,0.002133
COC(CF)CF,Cc1c(N)cccc1Cl,0.249002,0.000198,17.888977,-341.091797,-3.073463,0.004587,16.206635,-697.828125,-2.566238,0.001805
COC(CF)CF,CC1CCC(C(C)(C)OO)CC1,0.251870,0.000197,16.631226,37.144531,-2.851006,0.004035,13.806030,-462.492188,-2.368889,0.002989
COC(CF)CF,CC(F)(Cl)CF,0.260298,0.000223,17.772522,-453.437500,-3.158615,0.005472,17.100098,-681.966797,-2.640038,0.001293
COC(CF)CF,CCCCC1OC(C)CC(C)(C)O1,0.262274,0.000209,15.528076,116.468750,-2.707115,0.004504,14.566254,-342.511719,-2.587311,0.003582
COC(CF)CF,CC(C)(C)OCC1CO1,0.265421,0.000227,16.837860,-181.222656,-3.024361,0.005393,15.860626,-594.894531,-2.589569,0.002343
COC(CF)CF,O=P(O)(O)OP(=O)(O)O,0.188111,0.000030,18.006287,-116.265625,-3.012299,0.003792,4.091461,-752.146484,-0.869186,0.004015
COC(CF)CF,CC(=O)Nc1ccc(C)cc1,0.271678,0.000234,16.677338,507.800781,-3.008423,0.004378,13.432007,-227.796875,-2.529297,0.004485
COC(CF)CF,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.262290,0.000213,17.947968,49.572266,-3.194603,0.005107,14.369873,-366.933594,-2.347267,0.002438
COC(CF)CF,CC(C)(O)CCC1CCCCC1,0.268753,0.000223,14.675140,815.111328,-2.854576,0.005091,13.012085,69.531250,-2.533485,0.005364
COC(CF)CF,COCC(F)(F)F,0.263499,0.000227,17.279175,-374.904297,-3.086563,0.005493,16.794342,-629.351562,-2.632774,0.001510
COC(CF)CF,COCC(O)COC,0.262513,0.000227,18.003632,-228.658203,-3.237991,0.005509,16.867340,-703.791016,-2.684387,0.002230
COC(CF)CF,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.266918,0.000223,17.261749,1024.468750,-3.081573,0.003410,12.303162,1.226562,-2.549042,0.005939
COC(CF)CF,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.229841,0.000156,19.481445,-281.812500,-3.202332,0.003705,14.749512,-848.552734,-2.353485,0.002478
COC(CF)CF,CC(C)C(F)F,0.270163,0.000230,15.878265,-245.695312,-2.879730,0.005471,15.484314,-448.220703,-2.540482,0.002217
COC(CF)CF,CCCCC1C=C(C)CC(C)O1,0.259316,0.000200,15.148651,147.535156,-2.634727,0.004368,14.496674,-237.468750,-2.593513,0.003594
COC(CF)CF,COc1ccc(C(C)=O)cc1,0.265705,0.000230,17.524078,-145.503906,-3.158173,0.005598,15.932922,-635.085938,-2.593361,0.002495
COC(CF)CF,Oc1cc(O)ncn1,0.248147,0.000183,17.165192,466.546875,-3.019020,0.003830,12.486725,-348.660156,-2.226051,0.004503
COC(CF)CF,COCCCCl,0.267035,0.000224,15.818024,-220.468750,-2.895126,0.005530,15.737854,-442.140625,-2.587357,0.002267
COC(CF)CF,CCCOC,0.259846,0.000206,15.197968,-154.439453,-2.788773,0.005332,15.402954,-307.349609,-2.574326,0.002591
COC(CF)CF,Fc1c(F)c(F)c(F)c(F)c1F,0.260145,0.000205,15.392059,-94.746094,-2.757584,0.005001,14.897827,-328.898438,-2.521965,0.002635
COC(CF)CF,CCP(CC)CC,0.260574,0.000204,15.012939,-9.529297,-2.697342,0.004955,14.617828,-255.783203,-2.514252,0.003127
COC(CF)CF,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.263631,0.000215,16.093170,248.271484,-2.802559,0.004377,14.540802,-412.144531,-2.624825,0.003995
COC(CF)CF,Fc1cc(F)c(F)cc1F,0.258559,0.000213,16.874573,-372.986328,-2.974785,0.005133,15.983276,-603.453125,-2.524414,0.001659
COC(CF)CF,CCCCc1ccc(C(=O)O)cc1,0.245804,0.000181,16.425690,-187.910156,-2.792587,0.004182,13.284576,-553.390625,-2.194893,0.002294
COC(CF)CF,C=Cc1c(C)cc(C)cc1C,0.265905,0.000215,15.207733,64.054688,-2.709076,0.004881,14.498260,-285.792969,-2.556786,0.003343
COC(CF)CF,C=C(C)C(=O)OC(C)(C)C,0.262338,0.000216,16.166656,-26.658203,-2.907112,0.005203,14.901367,-396.718750,-2.542976,0.002824
COC(CF)CF,FC1CCCN1,0.258717,0.000218,17.689545,-283.972656,-3.160202,0.005370,16.666565,-629.894531,-2.604286,0.001722
COC(CF)CF,CCCCCCCC(=O)NC,0.269323,0.000228,16.123077,707.685547,-2.926262,0.004417,13.661102,-155.845703,-2.598801,0.005170
COC(CF)CF,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.260285,0.000205,15.174744,146.240234,-2.722435,0.004911,14.889709,-342.289062,-2.597603,0.003328
COC(CF)CF,C1=CC2C=CC1C2,0.263384,0.000208,14.645081,-55.796875,-2.666893,0.005112,14.546051,-161.164062,-2.520439,0.002981
COC(CF)CF,CCC(C)(O)CCC=C(C)C,0.267616,0.000222,14.907898,648.902344,-2.872261,0.005216,13.503052,-41.074219,-2.548965,0.004835
COC(CF)CF,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.249425,0.000193,16.274261,1105.367188,-2.809380,0.002889,14.272217,-94.574219,-2.970741,0.006668
COC(CF)CF,CCC(C)CCF,0.267049,0.000215,14.645691,5.707031,-2.691254,0.005265,14.514221,-214.867188,-2.533073,0.003190
COC(CF)CF,C=Cc1cccc(CC)c1,0.266502,0.000218,15.572998,-21.935547,-2.766792,0.004951,14.743011,-356.298828,-2.547806,0.003082
