SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(Cl)=CBr,O=P(Cl)(c1ccccc1)c1ccccc1,0.243780,0.000192,20.639832,-388.863281,-3.334755,0.004077,16.048218,-833.167969,-2.587196,0.001872
FC(Cl)=CBr,CC(=O)Nc1ccc(C=O)cc1,0.274149,0.000226,17.314514,969.818359,-2.999695,0.003350,11.168640,6.277344,-2.311668,0.005571
FC(Cl)=CBr,Cc1cccc(CO)c1,0.274894,0.000237,17.239685,434.029297,-3.122131,0.004437,13.098175,-287.427734,-2.433563,0.004296
FC(Cl)=CBr,COC(C)CO,0.255984,0.000207,18.214508,-95.843750,-3.160515,0.004444,16.220764,-799.042969,-2.674255,0.003144
FC(Cl)=CBr,Nc1nc(=O)c2ccccc2o1,0.261252,0.000198,16.400635,1822.636719,-2.850777,0.001632,9.397339,659.548828,-2.275238,0.007243
FC(Cl)=CBr,CC(Cl)Br,0.269269,0.000239,17.779572,-347.335938,-3.200722,0.005735,15.996307,-574.105469,-2.519707,0.001527
FC(Cl)=CBr,CCCOC(F)F,0.266567,0.000233,17.705353,-348.652344,-3.170357,0.005508,16.336517,-655.117188,-2.587959,0.001811
FC(Cl)=CBr,COC1CC2CCC1(C)C2(C)C,0.242782,0.000189,18.783020,-597.273438,-3.147835,0.004445,17.681213,-883.234375,-2.775726,0.001468
FC(Cl)=CBr,CCC(=O)C1=NCCC1,0.245504,0.000193,19.144989,-497.347656,-3.215317,0.004510,17.691833,-943.162109,-2.800911,0.002044
FC(Cl)=CBr,NC(CF)(CF)CF,0.262848,0.000214,17.206482,55.447266,-3.074379,0.004726,14.826599,-561.199219,-2.432747,0.003020
FC(Cl)=CBr,CC(C)CCCC(C)CC=O,0.247800,0.000202,19.338501,-490.968750,-3.280632,0.004722,17.578278,-908.832031,-2.797333,0.001900
FC(Cl)=CBr,Cc1coc(C)n1,0.245864,0.000194,19.512115,-515.558594,-3.315178,0.004675,17.792267,-910.218750,-2.774414,0.001838
FC(Cl)=CBr,NC(=S)NC(N)=S,0.240345,0.000144,15.630249,1735.205078,-3.042229,0.004220,10.662598,1004.416016,-2.162399,0.004848
FC(Cl)=CBr,FC(F)C(Cl)C(F)F,0.271722,0.000236,17.247833,-149.458984,-3.181595,0.005712,14.861115,-373.324219,-2.363373,0.001858
FC(Cl)=CBr,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.269441,0.000226,15.209198,479.199219,-2.861847,0.004694,12.969604,-69.634766,-2.364250,0.003977
FC(Cl)=CBr,NNC(=O)c1ccccc1,0.276082,0.000232,16.861053,714.220703,-3.056999,0.003985,12.085358,-140.173828,-2.306007,0.005055
FC(Cl)=CBr,ClC=CBr,0.270929,0.000240,17.156738,-333.623047,-3.118446,0.005861,15.800293,-543.000000,-2.495346,0.001560
FC(Cl)=CBr,CN(C)N=O,0.248611,0.000189,18.685150,-220.839844,-3.208069,0.004463,16.773376,-743.863281,-2.626190,0.002347
FC(Cl)=CBr,c1ccc(C2CCCCC2)cc1,0.267959,0.000237,17.716492,-274.408203,-3.138519,0.005367,15.909424,-675.435547,-2.618202,0.002257
FC(Cl)=CBr,N#Cc1ccncc1,0.252412,0.000202,19.012787,-290.681641,-3.232643,0.004570,16.865784,-821.740234,-2.700073,0.002355
FC(Cl)=CBr,CN(C)C(=S)Nc1ccccc1,0.258393,0.000210,18.939941,-46.996094,-3.214798,0.004303,14.838440,-544.523438,-2.444252,0.002472
FC(Cl)=CBr,CCC(N)CC,0.236484,0.000171,19.133331,-545.603516,-3.214012,0.004287,16.848633,-959.570312,-2.633896,0.001971
FC(Cl)=CBr,COC(=O)CO,0.261723,0.000212,17.388184,148.916016,-3.189484,0.004463,14.782837,-423.951172,-2.424034,0.003202
FC(Cl)=CBr,Cc1c(N)cccc1Cl,0.267504,0.000226,17.348328,68.589844,-3.146339,0.005065,15.112823,-530.677734,-2.538620,0.003106
FC(Cl)=CBr,CC1CCC(C(C)(C)OO)CC1,0.274477,0.000242,17.346161,293.921875,-3.118355,0.004532,14.607544,-465.142578,-2.653847,0.004235
FC(Cl)=CBr,CC(F)(Cl)CF,0.268107,0.000235,17.873260,-309.666016,-3.229881,0.005598,15.788483,-529.121094,-2.475967,0.001612
FC(Cl)=CBr,CCCCC1OC(C)CC(C)(C)O1,0.245794,0.000196,19.052155,-499.625000,-3.173126,0.004385,17.750854,-949.435547,-2.860741,0.002066
FC(Cl)=CBr,CC(C)(C)OCC1CO1,0.246897,0.000198,19.391937,-503.414062,-3.269394,0.004619,17.842712,-940.087891,-2.832893,0.002009
FC(Cl)=CBr,O=P(O)(O)OP(=O)(O)O,0.183711,0.000056,13.758850,4571.929688,-2.016525,-0.002727,6.088318,2860.513672,-2.311264,0.010335
FC(Cl)=CBr,CC(=O)Nc1ccc(C)cc1,0.275516,0.000238,17.704132,466.982422,-3.089783,0.004114,13.154297,-296.361328,-2.470245,0.004364
FC(Cl)=CBr,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.252290,0.000184,18.458496,524.425781,-3.200684,0.003753,12.478271,-56.724609,-2.163353,0.003279
FC(Cl)=CBr,CC(C)(O)CCC1CCCCC1,0.269979,0.000236,17.930908,290.234375,-3.155556,0.004251,14.400177,-410.445312,-2.631783,0.004048
FC(Cl)=CBr,COCC(F)(F)F,0.263264,0.000222,17.037994,-238.841797,-3.075073,0.005214,16.129913,-589.068359,-2.537827,0.002071
FC(Cl)=CBr,COCC(O)COC,0.246826,0.000190,19.242493,-365.886719,-3.253525,0.004370,17.197998,-941.783203,-2.752754,0.002569
FC(Cl)=CBr,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.265126,0.000207,16.477173,1434.773438,-2.957657,0.002487,11.470093,271.421875,-2.520439,0.006771
FC(Cl)=CBr,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.264556,0.000201,15.743866,1558.994141,-2.944565,0.002673,10.375854,497.498047,-2.303764,0.006752
FC(Cl)=CBr,CC(C)C(F)F,0.268292,0.000236,17.454041,-334.925781,-3.149429,0.005616,16.114441,-625.917969,-2.563751,0.001807
FC(Cl)=CBr,CCCCC1C=C(C)CC(C)O1,0.243432,0.000192,18.964233,-548.984375,-3.159317,0.004374,17.758545,-916.275391,-2.818367,0.001688
FC(Cl)=CBr,COc1ccc(C(C)=O)cc1,0.254566,0.000209,19.191742,-321.279297,-3.264748,0.004732,16.438812,-791.144531,-2.651070,0.002148
FC(Cl)=CBr,Oc1cc(O)ncn1,0.267575,0.000204,13.693939,2138.646484,-2.777412,0.002526,9.899689,907.132812,-2.393944,0.008292
FC(Cl)=CBr,COCCCCl,0.255905,0.000210,17.832794,-442.322266,-3.118179,0.005006,17.109924,-773.464844,-2.666435,0.001738
FC(Cl)=CBr,CCCOC,0.244923,0.000191,18.580536,-591.617188,-3.148842,0.004626,17.815033,-862.986328,-2.769455,0.001421
FC(Cl)=CBr,Fc1c(F)c(F)c(F)c(F)c1F,0.269463,0.000236,16.821289,-207.396484,-3.002998,0.005399,14.863922,-510.548828,-2.445908,0.002013
FC(Cl)=CBr,CCP(CC)CC,0.244033,0.000192,18.624634,-557.869141,-3.134468,0.004493,17.596069,-861.890625,-2.749413,0.001457
FC(Cl)=CBr,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.241481,0.000187,19.876801,-506.710938,-3.250603,0.004131,18.281525,-1071.583984,-3.012924,0.002606
FC(Cl)=CBr,Fc1cc(F)c(F)cc1F,0.271692,0.000241,17.124847,-230.828125,-3.099548,0.005655,15.100494,-535.810547,-2.457047,0.002045
FC(Cl)=CBr,CCCCc1ccc(C(=O)O)cc1,0.279364,0.000246,16.879883,533.818359,-3.086021,0.004378,13.172791,-281.072266,-2.543190,0.004852
FC(Cl)=CBr,C=Cc1c(C)cc(C)cc1C,0.266648,0.000236,17.951508,-331.421875,-3.174759,0.005408,16.273163,-691.183594,-2.648819,0.002023
