SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(Cl)(Cl)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.254568,0.000202,19.898834,-15.970703,-3.263428,0.004081,13.616669,-485.849609,-2.298363,0.002243
FC(Cl)(Cl)Cl,CC(=O)Nc1ccc(C=O)cc1,0.277480,0.000220,15.981232,1607.019531,-2.809807,0.002866,8.854523,506.843750,-2.139633,0.006644
FC(Cl)(Cl)Cl,Cc1cccc(CO)c1,0.280786,0.000240,16.307434,715.044922,-3.069595,0.004491,11.421783,-53.302734,-2.254936,0.004837
FC(Cl)(Cl)Cl,COC(C)CO,0.273895,0.000230,16.557922,300.451172,-3.092903,0.004761,14.037811,-424.888672,-2.430023,0.003884
FC(Cl)(Cl)Cl,Nc1nc(=O)c2ccccc2o1,0.250345,0.000170,16.116425,2505.693359,-2.581543,0.000525,7.430603,1192.253906,-2.170906,0.007475
FC(Cl)(Cl)Cl,CC(Cl)Br,0.272252,0.000240,17.653870,-262.070312,-3.189209,0.005690,15.041260,-469.585938,-2.400665,0.001567
FC(Cl)(Cl)Cl,CCCOC(F)F,0.275365,0.000246,17.374878,-217.056641,-3.157677,0.005745,15.202454,-535.345703,-2.472839,0.002047
FC(Cl)(Cl)Cl,COC1CC2CCC1(C)C2(C)C,0.260287,0.000224,18.368835,-361.888672,-3.234489,0.005214,16.703217,-748.703125,-2.672668,0.001970
FC(Cl)(Cl)Cl,CCC(=O)C1=NCCC1,0.263499,0.000221,18.187653,-146.974609,-3.208900,0.004931,15.600983,-675.968750,-2.549057,0.002540
FC(Cl)(Cl)Cl,NC(CF)(CF)CF,0.270576,0.000222,16.357971,332.808594,-3.065399,0.004977,13.555511,-316.623047,-2.320824,0.003550
FC(Cl)(Cl)Cl,CC(C)CCCC(C)CC=O,0.265100,0.000228,18.397614,-228.804688,-3.233414,0.005176,15.465668,-667.789062,-2.538994,0.002276
FC(Cl)(Cl)Cl,Cc1coc(C)n1,0.262939,0.000221,18.352631,-216.429688,-3.238518,0.005062,15.725769,-638.904297,-2.532707,0.002138
FC(Cl)(Cl)Cl,NC(=S)NC(N)=S,0.226806,0.000117,15.811554,2152.462891,-2.960152,0.003238,9.188690,1325.191406,-2.062675,0.005067
FC(Cl)(Cl)Cl,FC(F)C(Cl)C(F)F,0.273395,0.000237,17.149170,-120.447266,-3.164452,0.005685,14.333893,-303.484375,-2.287575,0.001772
FC(Cl)(Cl)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.273829,0.000237,15.716064,377.855469,-2.986374,0.005167,13.418335,-142.607422,-2.381767,0.003568
FC(Cl)(Cl)Cl,NNC(=O)c1ccccc1,0.283319,0.000233,15.236725,1294.578125,-2.933487,0.003877,9.881165,299.123047,-2.146759,0.006283
FC(Cl)(Cl)Cl,ClC=CBr,0.274261,0.000245,17.210236,-269.234375,-3.158737,0.005953,15.423859,-491.712891,-2.453712,0.001677
FC(Cl)(Cl)Cl,CN(C)N=O,0.263084,0.000205,17.354553,160.210938,-3.126740,0.004774,14.178284,-328.869141,-2.280312,0.002621
FC(Cl)(Cl)Cl,c1ccc(C2CCCCC2)cc1,0.276971,0.000251,17.354462,-163.806641,-3.151520,0.005748,14.823730,-572.734375,-2.497910,0.002512
FC(Cl)(Cl)Cl,N#Cc1ccncc1,0.259190,0.000206,18.640808,-8.917969,-3.189484,0.004483,15.083008,-588.003906,-2.507179,0.002697
FC(Cl)(Cl)Cl,CN(C)C(=S)Nc1ccccc1,0.265027,0.000208,18.035065,488.550781,-3.074417,0.004079,12.227417,-86.837891,-2.217690,0.003257
