SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)OC(F)Br,O=P(Cl)(c1ccccc1)c1ccccc1,0.229772,0.000164,20.962555,-680.498047,-3.353554,0.004044,18.335571,-1134.720703,-2.984604,0.002195
FC(F)OC(F)Br,CC(=O)Nc1ccc(C=O)cc1,0.263799,0.000214,17.939667,325.035156,-3.053436,0.003944,14.542908,-513.029297,-2.689735,0.004641
FC(F)OC(F)Br,Cc1cccc(CO)c1,0.266067,0.000227,17.333557,138.205078,-3.086945,0.004705,15.598694,-561.919922,-2.725327,0.003829
FC(F)OC(F)Br,COC(C)CO,0.232674,0.000156,19.524292,-578.279297,-3.165680,0.004151,17.887054,-1126.242188,-2.944115,0.002735
FC(F)OC(F)Br,Nc1nc(=O)c2ccccc2o1,0.269207,0.000223,17.292175,974.994141,-2.934212,0.003000,12.020691,-30.683594,-2.501411,0.006016
FC(F)OC(F)Br,CC(Cl)Br,0.266720,0.000230,16.812012,-299.824219,-3.006119,0.005437,16.034271,-579.228516,-2.547569,0.001742
FC(F)OC(F)Br,CCCOC(F)F,0.259959,0.000220,17.552917,-469.724609,-3.059799,0.005294,17.415131,-762.230469,-2.760078,0.001594
FC(F)OC(F)Br,COC1CC2CCC1(C)C2(C)C,0.239894,0.000166,17.224854,-489.750000,-2.767654,0.003565,16.883545,-747.794922,-2.763412,0.002443
FC(F)OC(F)Br,CCC(=O)C1=NCCC1,0.226734,0.000146,19.598419,-830.371094,-3.078392,0.003945,18.481354,-1090.488281,-3.005112,0.001778
FC(F)OC(F)Br,NC(CF)(CF)CF,0.249456,0.000193,17.952057,-409.878906,-3.064682,0.004623,17.185059,-856.136719,-2.735069,0.002214
FC(F)OC(F)Br,CC(C)CCCC(C)CC=O,0.237941,0.000172,18.676880,-585.720703,-3.051361,0.004116,17.752136,-968.119141,-2.851768,0.002042
FC(F)OC(F)Br,Cc1coc(C)n1,0.229270,0.000151,19.630035,-805.613281,-3.190880,0.004215,18.214539,-1067.445312,-2.876450,0.001727
FC(F)OC(F)Br,NC(=S)NC(N)=S,0.269698,0.000206,15.260193,931.968750,-3.025101,0.005776,12.786255,287.337891,-2.236168,0.004399
FC(F)OC(F)Br,FC(F)C(Cl)C(F)F,0.267589,0.000235,17.462311,-365.402344,-3.150650,0.005821,16.615295,-616.529297,-2.603958,0.001576
FC(F)OC(F)Br,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268673,0.000220,15.027161,170.443359,-2.644196,0.004421,14.167725,-289.437500,-2.506676,0.003562
FC(F)OC(F)Br,NNC(=O)c1ccccc1,0.261849,0.000214,18.015656,126.265625,-3.089500,0.004270,15.779175,-654.734375,-2.793869,0.004172
FC(F)OC(F)Br,ClC=CBr,0.269558,0.000231,16.110138,-257.978516,-2.897736,0.005399,15.678009,-462.380859,-2.527885,0.001903
FC(F)OC(F)Br,CN(C)N=O,0.219543,0.000128,20.529022,-812.712891,-3.313820,0.004073,18.755219,-1197.746094,-2.952156,0.002165
FC(F)OC(F)Br,c1ccc(C2CCCCC2)cc1,0.266197,0.000222,16.219025,-122.777344,-2.803391,0.004666,15.150513,-525.134766,-2.587570,0.002983
FC(F)OC(F)Br,N#Cc1ccncc1,0.236296,0.000168,19.361145,-689.345703,-3.151436,0.004228,18.552673,-1059.193359,-2.964096,0.001999
FC(F)OC(F)Br,CN(C)C(=S)Nc1ccccc1,0.243204,0.000185,19.354187,-482.507812,-3.209503,0.004299,18.102966,-999.316406,-2.911247,0.002474
FC(F)OC(F)Br,CCC(N)CC,0.221277,0.000128,18.271332,-780.814453,-2.931137,0.003745,16.569122,-1052.962891,-2.574593,0.001743
FC(F)OC(F)Br,COC(=O)CO,0.241289,0.000179,19.405548,-444.330078,-3.249725,0.004316,17.711609,-1006.308594,-2.823990,0.002604
FC(F)OC(F)Br,Cc1c(N)cccc1Cl,0.263025,0.000221,16.850769,-158.550781,-2.962807,0.004931,16.097046,-663.376953,-2.634010,0.002536
FC(F)OC(F)Br,CC1CCC(C(C)(C)OO)CC1,0.263389,0.000223,17.280426,156.832031,-3.025414,0.004419,16.124084,-631.689453,-2.844971,0.004074
FC(F)OC(F)Br,CC(F)(Cl)CF,0.261506,0.000227,18.228607,-458.904297,-3.202507,0.005471,17.431122,-743.949219,-2.729881,0.001504
FC(F)OC(F)Br,CCCCC1OC(C)CC(C)(C)O1,0.233889,0.000156,18.095978,-596.109375,-2.853516,0.003564,17.358215,-992.283203,-2.852272,0.002536
FC(F)OC(F)Br,CC(C)(C)OCC1CO1,0.232040,0.000159,19.465363,-733.373047,-3.098038,0.004027,18.478363,-1083.759766,-3.008461,0.002052
FC(F)OC(F)Br,O=P(O)(O)OP(=O)(O)O,0.203473,0.000087,13.001526,4244.482422,-2.049843,-0.001331,7.152863,2556.916016,-2.401169,0.010550
FC(F)OC(F)Br,CC(=O)Nc1ccc(C)cc1,0.264866,0.000222,17.196136,84.042969,-2.989967,0.004447,16.106781,-633.683594,-2.818970,0.003933
FC(F)OC(F)Br,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.247176,0.000183,19.404236,-125.691406,-3.163902,0.003894,15.707062,-716.187500,-2.601791,0.002773
FC(F)OC(F)Br,CC(C)(O)CCC1CCCCC1,0.257409,0.000203,16.942047,164.605469,-2.923706,0.003945,15.019714,-556.050781,-2.697113,0.004287
