SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Fc1cccc(F)c1F,O=P(Cl)(c1ccccc1)c1ccccc1,0.250917,0.000206,19.530487,-298.275391,-3.335869,0.004662,15.790405,-694.205078,-2.501740,0.001861
Fc1cccc(F)c1F,CC(=O)Nc1ccc(C=O)cc1,0.274709,0.000226,16.403137,1162.917969,-2.961426,0.003480,10.835724,236.210938,-2.322296,0.005819
Fc1cccc(F)c1F,Cc1cccc(CO)c1,0.277827,0.000243,16.585022,471.052734,-3.110832,0.004953,13.119995,-201.611328,-2.427734,0.004297
Fc1cccc(F)c1F,COC(C)CO,0.259833,0.000217,17.840210,-84.291016,-3.186958,0.004848,16.642273,-724.585938,-2.686401,0.002910
Fc1cccc(F)c1F,Nc1nc(=O)c2ccccc2o1,0.255580,0.000186,15.164001,2205.001953,-2.769920,0.001286,8.806763,1125.701172,-2.264717,0.007753
Fc1cccc(F)c1F,CC(Cl)Br,0.268042,0.000234,17.025116,-340.324219,-3.084366,0.005698,15.771027,-505.531250,-2.462898,0.001390
Fc1cccc(F)c1F,CCCOC(F)F,0.264597,0.000233,17.900513,-467.144531,-3.196724,0.005696,16.831940,-644.447266,-2.612778,0.001207
Fc1cccc(F)c1F,COC1CC2CCC1(C)C2(C)C,0.253329,0.000204,17.164368,-341.861328,-2.970047,0.004688,16.213409,-650.972656,-2.575134,0.001822
Fc1cccc(F)c1F,CCC(=O)C1=NCCC1,0.253752,0.000209,18.232208,-396.558594,-3.169525,0.004942,17.027832,-779.861328,-2.666702,0.001820
Fc1cccc(F)c1F,NC(CF)(CF)CF,0.264227,0.000220,17.084503,-68.599609,-3.168541,0.005649,15.880371,-518.865234,-2.513786,0.002420
Fc1cccc(F)c1F,CC(C)CCCC(C)CC=O,0.257046,0.000217,18.196869,-326.714844,-3.185150,0.005062,16.577087,-735.400391,-2.639725,0.001965
Fc1cccc(F)c1F,Cc1coc(C)n1,0.254641,0.000212,18.355469,-400.244141,-3.227142,0.005131,17.224182,-760.566406,-2.657349,0.001690
Fc1cccc(F)c1F,NC(=S)NC(N)=S,0.230365,0.000129,15.097626,1624.064453,-3.107788,0.004808,11.776703,1123.220703,-2.195396,0.004098
Fc1cccc(F)c1F,FC(F)C(Cl)C(F)F,0.264266,0.000232,18.138611,-431.031250,-3.275925,0.005788,16.682587,-588.701172,-2.552185,0.001192
Fc1cccc(F)c1F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265288,0.000223,16.007935,-98.488281,-2.811905,0.004818,14.884735,-454.841797,-2.481430,0.002286
Fc1cccc(F)c1F,NNC(=O)c1ccccc1,0.277754,0.000231,15.367706,964.072266,-3.047249,0.004796,12.161713,216.500000,-2.344582,0.005310
Fc1cccc(F)c1F,ClC=CBr,0.269338,0.000234,16.486633,-320.685547,-3.000664,0.005734,15.574219,-460.992188,-2.441910,0.001361
Fc1cccc(F)c1F,CN(C)N=O,0.256211,0.000204,17.867828,-158.035156,-3.205299,0.005026,16.152008,-573.857422,-2.490898,0.002181
Fc1cccc(F)c1F,c1ccc(C2CCCCC2)cc1,0.272276,0.000241,16.826874,-195.960938,-2.999580,0.005415,14.954895,-501.824219,-2.504570,0.002318
Fc1cccc(F)c1F,N#Cc1ccncc1,0.261401,0.000217,18.033142,-159.248047,-3.208763,0.005072,16.028290,-613.687500,-2.548248,0.002350
Fc1cccc(F)c1F,CN(C)C(=S)Nc1ccccc1,0.262441,0.000216,18.148560,52.634766,-3.176811,0.004621,14.458954,-413.195312,-2.411957,0.002657
Fc1cccc(F)c1F,CCC(N)CC,0.248016,0.000194,17.484344,-277.521484,-3.120270,0.005182,16.929596,-668.539062,-2.654907,0.001970
Fc1cccc(F)c1F,COC(=O)CO,0.264097,0.000217,17.041840,111.068359,-3.206238,0.004907,14.881714,-357.136719,-2.404938,0.002943
Fc1cccc(F)c1F,Cc1c(N)cccc1Cl,0.267038,0.000226,17.029541,103.535156,-3.124260,0.005125,14.837585,-408.001953,-2.497772,0.002997
Fc1cccc(F)c1F,CC1CCC(C(C)(C)OO)CC1,0.273960,0.000241,16.847626,404.820312,-3.118263,0.004763,14.355042,-357.970703,-2.618813,0.004446
Fc1cccc(F)c1F,CC(F)(Cl)CF,0.265515,0.000236,18.272797,-455.414062,-3.267052,0.005754,16.758972,-631.505859,-2.584007,0.001226
Fc1cccc(F)c1F,CCCCC1OC(C)CC(C)(C)O1,0.253171,0.000207,17.821350,-362.412109,-3.061745,0.004665,16.766113,-771.320312,-2.670700,0.001968
Fc1cccc(F)c1F,CC(C)(C)OCC1CO1,0.254674,0.000214,18.557892,-430.683594,-3.231987,0.005075,17.491058,-814.234375,-2.739716,0.001758
Fc1cccc(F)c1F,O=P(O)(O)OP(=O)(O)O,0.177667,0.000046,12.891571,4531.335938,-2.082855,-0.001904,6.555939,3033.255859,-2.298393,0.009800
Fc1cccc(F)c1F,CC(=O)Nc1ccc(C)cc1,0.279407,0.000244,16.983673,592.517578,-3.072586,0.004469,12.667847,-156.326172,-2.429993,0.004605
Fc1cccc(F)c1F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.253677,0.000186,17.727264,565.031250,-3.271866,0.004460,12.501038,82.359375,-2.159760,0.003143
Fc1cccc(F)c1F,CC(C)(O)CCC1CCCCC1,0.272884,0.000237,16.824432,459.648438,-3.062798,0.004494,13.608795,-265.072266,-2.539009,0.004493
Fc1cccc(F)c1F,COCC(F)(F)F,0.261598,0.000225,17.826935,-400.310547,-3.178734,0.005462,16.785339,-644.761719,-2.599182,0.001442
Fc1cccc(F)c1F,COCC(O)COC,0.250323,0.000200,18.867706,-390.126953,-3.284805,0.004847,17.761932,-896.503906,-2.769836,0.002278
Fc1cccc(F)c1F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.265985,0.000209,15.768768,1565.802734,-2.946068,0.002698,11.247192,438.402344,-2.540031,0.006994
Fc1cccc(F)c1F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.260211,0.000193,14.907776,1715.443359,-2.934494,0.002764,10.141846,732.494141,-2.264580,0.006815
Fc1cccc(F)c1F,CC(C)C(F)F,0.268393,0.000239,17.604675,-422.636719,-3.172562,0.005857,16.418732,-609.583984,-2.580849,0.001353
Fc1cccc(F)c1F,CCCCC1C=C(C)CC(C)O1,0.252267,0.000205,17.587646,-373.324219,-3.029686,0.004682,16.550903,-724.931641,-2.621529,0.001760
Fc1cccc(F)c1F,COc1ccc(C(C)=O)cc1,0.259830,0.000219,18.576599,-264.996094,-3.260086,0.005149,16.028564,-676.056641,-2.550713,0.002017
Fc1cccc(F)c1F,Oc1cc(O)ncn1,0.264591,0.000197,12.562775,2310.759766,-2.730766,0.002889,10.370636,1154.691406,-2.448959,0.008445
Fc1cccc(F)c1F,COCCCCl,0.258599,0.000214,17.287872,-404.947266,-3.062996,0.005194,16.680023,-687.027344,-2.591011,0.001602
Fc1cccc(F)c1F,CCCOC,0.250727,0.000202,17.677643,-490.623047,-3.085983,0.004972,17.346558,-749.476562,-2.657219,0.001296
Fc1cccc(F)c1F,Fc1c(F)c(F)c(F)c(F)c1F,0.269328,0.000237,16.882935,-308.443359,-3.025612,0.005568,15.563873,-501.697266,-2.521896,0.001711
Fc1cccc(F)c1F,CCP(CC)CC,0.251904,0.000204,17.584778,-394.275391,-3.050270,0.004811,16.613495,-715.486328,-2.604050,0.001611
Fc1cccc(F)c1F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.251963,0.000209,18.496857,-318.189453,-3.155663,0.004594,17.326477,-871.113281,-2.812996,0.002397
Fc1cccc(F)c1F,Fc1cc(F)c(F)cc1F,0.269090,0.000241,17.599030,-382.132812,-3.168900,0.005861,15.998322,-579.779297,-2.531532,0.001422
Fc1cccc(F)c1F,CCCCc1ccc(C(=O)O)cc1,0.277979,0.000243,16.359833,659.728516,-3.085892,0.004712,13.127167,-168.953125,-2.538010,0.005036
Fc1cccc(F)c1F,C=Cc1c(C)cc(C)cc1C,0.269751,0.000238,17.164764,-245.460938,-3.054871,0.005461,15.279205,-545.384766,-2.517937,0.002071
Fc1cccc(F)c1F,C=C(C)C(=O)OC(C)(C)C,0.256140,0.000218,18.485321,-396.171875,-3.247299,0.005226,16.822479,-737.054688,-2.643631,0.001640
Fc1cccc(F)c1F,FC1CCCN1,0.257606,0.000218,18.306610,-332.355469,-3.262482,0.005214,17.189240,-694.541016,-2.652740,0.001773
Fc1cccc(F)c1F,CCCCCCCC(=O)NC,0.266521,0.000228,17.852325,339.173828,-3.117493,0.004142,14.707764,-415.548828,-2.633263,0.004055
Fc1cccc(F)c1F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.270603,0.000236,16.437897,-148.332031,-2.970451,0.005560,15.253632,-483.628906,-2.518074,0.002272
Fc1cccc(F)c1F,C1=CC2C=CC1C2,0.268875,0.000232,16.586700,-290.367188,-2.981270,0.005496,15.489838,-475.746094,-2.518982,0.001907
Fc1cccc(F)c1F,CCC(C)(O)CCC=C(C)C,0.269441,0.000234,17.057007,271.763672,-3.093658,0.004692,14.455261,-400.498047,-2.585587,0.004002
Fc1cccc(F)c1F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.251161,0.000210,18.649811,-46.396484,-3.146629,0.003968,18.324738,-923.882812,-3.230942,0.003817
Fc1cccc(F)c1F,CCC(C)CCF,0.267066,0.000233,17.107788,-350.021484,-3.070068,0.005584,16.034363,-580.968750,-2.565285,0.001660
Fc1cccc(F)c1F,C=Cc1cccc(CC)c1,0.270665,0.000241,17.230011,-262.087891,-3.079308,0.005584,15.413116,-560.759766,-2.522858,0.001994
Fc1cccc(F)c1F,CC(C)(C(O)(F)F)C(F)(F)F,0.250770,0.000208,18.459290,-367.283203,-3.275360,0.005147,17.661804,-717.876953,-2.719299,0.001571
Fc1cccc(F)c1F,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.269065,0.000231,16.512726,-300.265625,-2.925346,0.005213,15.357727,-436.156250,-2.535126,0.002039
Fc1cccc(F)c1F,CCN(CC)c1ccc(N)cc1,0.260804,0.000217,17.821899,-12.849609,-3.178261,0.004876,15.979248,-638.804688,-2.620125,0.002962
Fc1cccc(F)c1F,FC(F)CC(F)(F)F,0.269789,0.000240,17.437622,-320.031250,-3.194626,0.005883,15.915924,-511.880859,-2.488136,0.001617
Fc1cccc(F)c1F,N#CCCOCCC#N,0.256653,0.000197,18.209869,290.156250,-3.239868,0.004571,12.753510,-80.507812,-2.142456,0.002408
Fc1cccc(F)c1F,CCC(C)C(C)C(C)C,0.269356,0.000224,15.457428,-74.009766,-2.769539,0.005015,14.221954,-256.044922,-2.480362,0.002972
Fc1cccc(F)c1F,Cn1c(=O)ccc2ccccc21,0.252595,0.000202,18.930725,-182.343750,-3.242905,0.004562,15.915619,-656.666016,-2.539665,0.002198
Fc1cccc(F)c1F,CCOC(=O)c1ccccc1N,0.268794,0.000232,17.539490,79.675781,-3.140984,0.004983,14.941040,-504.714844,-2.551758,0.003197
Fc1cccc(F)c1F,ClC1CN2CCC1CC2,0.251003,0.000202,17.942078,-401.396484,-3.106537,0.004729,16.958282,-749.115234,-2.631737,0.001689
Fc1cccc(F)c1F,CC=CCCCCCCCC#N,0.259172,0.000223,18.670624,-281.417969,-3.270126,0.005152,16.372467,-746.894531,-2.629646,0.002195
Fc1cccc(F)c1F,COCCl,0.262538,0.000224,17.672607,-349.937500,-3.192230,0.005577,16.345673,-544.021484,-2.506714,0.001387
