SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(Cl)C(F)C(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.236852,0.000179,20.377716,-590.091797,-3.345558,0.004303,18.227783,-1064.908203,-2.922440,0.002168
FC(Cl)C(F)C(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.269085,0.000226,17.525452,386.298828,-3.050385,0.004233,14.403778,-435.992188,-2.657852,0.004565
FC(Cl)C(F)C(F)Cl,Cc1cccc(CO)c1,0.270528,0.000236,17.120941,197.876953,-3.101089,0.004927,15.294159,-504.113281,-2.682602,0.003899
FC(Cl)C(F)C(F)Cl,COC(C)CO,0.239294,0.000171,19.385254,-505.496094,-3.222206,0.004350,18.352936,-1062.193359,-2.979317,0.002760
FC(Cl)C(F)C(F)Cl,Nc1nc(=O)c2ccccc2o1,0.269723,0.000223,16.992004,1047.648438,-2.959381,0.003105,12.156616,70.181641,-2.516785,0.005962
FC(Cl)C(F)C(F)Cl,CC(Cl)Br,0.271333,0.000237,16.425964,-261.451172,-3.013077,0.005757,16.103577,-531.982422,-2.563484,0.001856
FC(Cl)C(F)C(F)Cl,CCCOC(F)F,0.265348,0.000230,17.360107,-420.011719,-3.085938,0.005536,17.326111,-697.417969,-2.749298,0.001709
FC(Cl)C(F)C(F)Cl,COC1CC2CCC1(C)C2(C)C,0.246954,0.000179,16.733551,-427.144531,-2.743233,0.003843,16.752075,-672.306641,-2.753220,0.002514
FC(Cl)C(F)C(F)Cl,CCC(=O)C1=NCCC1,0.234528,0.000162,19.067322,-717.875000,-3.085449,0.004193,18.574829,-1030.343750,-2.987740,0.001903
FC(Cl)C(F)C(F)Cl,NC(CF)(CF)CF,0.253533,0.000203,17.868561,-394.025391,-3.097061,0.004874,17.186249,-803.019531,-2.712730,0.002045
FC(Cl)C(F)C(F)Cl,CC(C)CCCC(C)CC=O,0.243844,0.000183,18.251526,-511.757812,-3.036903,0.004401,17.521576,-921.070312,-2.821495,0.002137
FC(Cl)C(F)C(F)Cl,Cc1coc(C)n1,0.235775,0.000165,19.187469,-747.148438,-3.170624,0.004390,18.615662,-1001.158203,-2.914062,0.001635
FC(Cl)C(F)C(F)Cl,NC(=S)NC(N)=S,0.265637,0.000199,14.926056,889.123047,-3.086922,0.006253,13.680481,313.564453,-2.293625,0.004161
FC(Cl)C(F)C(F)Cl,FC(F)C(Cl)C(F)F,0.269615,0.000238,17.289886,-343.267578,-3.176666,0.006047,16.596649,-564.419922,-2.590752,0.001625
FC(Cl)C(F)C(F)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.272722,0.000222,14.114166,366.480469,-2.579468,0.004543,13.659302,-48.048828,-2.524986,0.004208
FC(Cl)C(F)C(F)Cl,NNC(=O)c1ccccc1,0.266632,0.000226,17.542053,176.757812,-3.070221,0.004545,15.919037,-614.039062,-2.793411,0.004119
FC(Cl)C(F)C(F)Cl,ClC=CBr,0.274482,0.000239,15.754242,-215.828125,-2.887192,0.005618,15.751526,-410.302734,-2.558723,0.002136
FC(Cl)C(F)C(F)Cl,CN(C)N=O,0.224858,0.000138,20.502472,-744.714844,-3.394577,0.004332,19.392090,-1143.917969,-3.005127,0.002243
FC(Cl)C(F)C(F)Cl,c1ccc(C2CCCCC2)cc1,0.270822,0.000230,16.080963,-72.945312,-2.833107,0.004872,15.232513,-514.619141,-2.611740,0.003234
FC(Cl)C(F)C(F)Cl,N#Cc1ccncc1,0.239906,0.000176,19.175598,-661.865234,-3.155846,0.004372,18.703033,-1013.466797,-2.964767,0.001924
FC(Cl)C(F)C(F)Cl,CN(C)C(=S)Nc1ccccc1,0.250097,0.000197,18.533539,-366.623047,-3.188789,0.004694,17.781158,-874.960938,-2.849663,0.002573
FC(Cl)C(F)C(F)Cl,CCC(N)CC,0.230661,0.000149,17.745300,-666.546875,-2.895966,0.003937,17.076447,-975.392578,-2.660545,0.001800
FC(Cl)C(F)C(F)Cl,COC(=O)CO,0.244913,0.000188,19.232971,-447.355469,-3.279999,0.004504,18.055786,-911.677734,-2.844910,0.002378
FC(Cl)C(F)C(F)Cl,Cc1c(N)cccc1Cl,0.266639,0.000227,16.584106,-110.990234,-2.996582,0.005240,16.180359,-616.904297,-2.649284,0.002677
FC(Cl)C(F)C(F)Cl,CC1CCC(C(C)(C)OO)CC1,0.271113,0.000237,16.810760,290.708984,-3.003204,0.004635,15.398651,-532.835938,-2.779022,0.004455
FC(Cl)C(F)C(F)Cl,CC(F)(Cl)CF,0.265968,0.000235,18.023560,-425.240234,-3.232056,0.005759,17.481873,-710.046875,-2.729004,0.001571
FC(Cl)C(F)C(F)Cl,CCCCC1OC(C)CC(C)(C)O1,0.242872,0.000175,17.559631,-474.937500,-2.835068,0.003797,17.532806,-894.486328,-2.882973,0.002641
FC(Cl)C(F)C(F)Cl,CC(C)(C)OCC1CO1,0.240041,0.000175,18.901794,-654.787109,-3.105965,0.004324,18.459900,-1005.064453,-2.955719,0.001975
FC(Cl)C(F)C(F)Cl,O=P(O)(O)OP(=O)(O)O,0.203070,0.000089,12.688416,4065.195312,-2.236488,-0.000763,7.569916,2472.212891,-2.412506,0.010645
FC(Cl)C(F)C(F)Cl,CC(=O)Nc1ccc(C)cc1,0.270343,0.000232,16.767365,148.849609,-2.989044,0.004758,15.811127,-562.613281,-2.772263,0.003945
FC(Cl)C(F)C(F)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.245711,0.000183,19.320190,-240.009766,-3.217941,0.004159,16.356415,-719.251953,-2.627838,0.002370
FC(Cl)C(F)C(F)Cl,CC(C)(O)CCC1CCCCC1,0.268171,0.000226,16.152618,347.923828,-2.871857,0.004309,14.683838,-423.966797,-2.687187,0.004500
FC(Cl)C(F)C(F)Cl,COCC(F)(F)F,0.258503,0.000216,17.395630,-450.142578,-3.050545,0.005231,17.469391,-735.179688,-2.732788,0.001528
FC(Cl)C(F)C(F)Cl,COCC(O)COC,0.229074,0.000150,20.639954,-713.126953,-3.352478,0.004196,19.124542,-1172.763672,-3.072723,0.002504
FC(Cl)C(F)C(F)Cl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.267386,0.000222,17.431183,765.240234,-3.000816,0.003488,14.089783,-324.902344,-2.799751,0.005865
FC(Cl)C(F)C(F)Cl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.270554,0.000225,16.846344,704.417969,-3.064476,0.004020,13.022156,-155.683594,-2.461113,0.005110
FC(Cl)C(F)C(F)Cl,CC(C)C(F)F,0.267557,0.000233,17.154205,-376.441406,-3.079102,0.005624,16.876953,-645.132812,-2.692413,0.001837
FC(Cl)C(F)C(F)Cl,CCCCC1C=C(C)CC(C)O1,0.243603,0.000175,17.092102,-456.312500,-2.763817,0.003708,17.156647,-768.650391,-2.823982,0.002507
FC(Cl)C(F)C(F)Cl,COc1ccc(C(C)=O)cc1,0.245308,0.000188,19.322693,-575.408203,-3.229332,0.004659,18.354248,-1002.589844,-2.955925,0.002233
FC(Cl)C(F)C(F)Cl,Oc1cc(O)ncn1,0.271471,0.000218,13.878632,1608.490234,-2.872177,0.004002,12.593842,519.328125,-2.649284,0.007326
FC(Cl)C(F)C(F)Cl,COCCCCl,0.250942,0.000194,17.320496,-551.501953,-2.943192,0.004683,17.774536,-824.259766,-2.810966,0.001785
FC(Cl)C(F)C(F)Cl,CCCOC,0.238738,0.000168,17.906189,-670.058594,-2.938667,0.004102,18.160278,-883.812500,-2.860474,0.001732
FC(Cl)C(F)C(F)Cl,Fc1c(F)c(F)c(F)c(F)c1F,0.271093,0.000228,15.689301,-182.251953,-2.807556,0.005159,15.063263,-420.804688,-2.516129,0.002583
