SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)OC(F)(F)C(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.239145,0.000178,18.950165,-363.636719,-3.184967,0.004168,16.384094,-766.345703,-2.607590,0.002126
FC(F)OC(F)(F)C(F)F,CC(=O)Nc1ccc(C=O)cc1,0.265196,0.000214,17.284760,630.916016,-2.975586,0.003625,12.256989,-137.515625,-2.356613,0.004754
FC(F)OC(F)(F)C(F)F,Cc1cccc(CO)c1,0.268746,0.000230,16.655090,361.316406,-3.026199,0.004587,14.182220,-271.125000,-2.519432,0.003987
FC(F)OC(F)(F)C(F)F,COC(C)CO,0.237535,0.000165,18.714966,-462.181641,-3.107048,0.004080,17.063019,-955.560547,-2.742424,0.002579
FC(F)OC(F)(F)C(F)F,Nc1nc(=O)c2ccccc2o1,0.251248,0.000186,16.201630,1611.822266,-2.802101,0.001701,10.640930,697.263672,-2.397995,0.006456
FC(F)OC(F)(F)C(F)F,CC(Cl)Br,0.272877,0.000234,15.412384,26.273438,-2.873840,0.005346,14.253998,-225.322266,-2.350822,0.002488
FC(F)OC(F)(F)C(F)F,CCCOC(F)F,0.264289,0.000227,17.194733,-335.402344,-3.043167,0.005280,16.587708,-622.083984,-2.626816,0.001724
FC(F)OC(F)(F)C(F)F,COC1CC2CCC1(C)C2(C)C,0.250945,0.000186,15.726593,-224.828125,-2.603783,0.003629,15.730835,-459.857422,-2.591339,0.002573
FC(F)OC(F)(F)C(F)F,CCC(=O)C1=NCCC1,0.236408,0.000164,18.021423,-648.419922,-2.945206,0.003971,17.459198,-888.976562,-2.723900,0.001575
FC(F)OC(F)(F)C(F)F,NC(CF)(CF)CF,0.252839,0.000199,17.470276,-343.179688,-3.019295,0.004655,16.791321,-734.037109,-2.632454,0.002021
FC(F)OC(F)(F)C(F)F,CC(C)CCCC(C)CC=O,0.247677,0.000190,17.309662,-338.220703,-2.909271,0.004277,16.320190,-712.697266,-2.630592,0.001991
FC(F)OC(F)(F)C(F)F,Cc1coc(C)n1,0.236206,0.000162,18.225708,-698.048828,-3.034431,0.004268,17.426666,-897.919922,-2.671936,0.001430
FC(F)OC(F)(F)C(F)F,NC(=S)NC(N)=S,0.226656,0.000124,14.315277,2015.986328,-2.911156,0.004062,11.508453,1548.011719,-2.298340,0.004776
FC(F)OC(F)(F)C(F)F,FC(F)C(Cl)C(F)F,0.270166,0.000241,17.571594,-350.582031,-3.201881,0.006066,16.537659,-554.589844,-2.575966,0.001478
FC(F)OC(F)(F)C(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.271896,0.000233,16.410126,-146.369141,-2.901695,0.005129,15.132965,-467.078125,-2.531021,0.002891
FC(F)OC(F)(F)C(F)F,NNC(=O)c1ccccc1,0.268034,0.000221,16.449249,545.449219,-2.942970,0.004095,13.540436,-177.441406,-2.482315,0.004585
FC(F)OC(F)(F)C(F)F,ClC=CBr,0.274508,0.000233,14.600861,100.964844,-2.780136,0.005451,14.000641,-37.761719,-2.354546,0.002720
