SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)(Cl)CC(F)(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.239822,0.000186,20.108948,-462.390625,-3.334320,0.004329,16.662872,-849.466797,-2.634071,0.001801
FC(F)(Cl)CC(F)(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.271778,0.000226,17.541321,706.927734,-3.039322,0.003697,11.900085,-74.242188,-2.303711,0.004737
FC(F)(Cl)CC(F)(F)Cl,Cc1cccc(CO)c1,0.270008,0.000233,17.359833,275.783203,-3.145828,0.004702,14.029114,-341.492188,-2.490875,0.003731
FC(F)(Cl)CC(F)(F)Cl,COC(C)CO,0.244833,0.000187,19.103210,-398.189453,-3.256294,0.004476,17.813049,-948.601562,-2.821991,0.002544
FC(F)(Cl)CC(F)(F)Cl,Nc1nc(=O)c2ccccc2o1,0.260539,0.000202,16.411194,1652.867188,-2.862251,0.001755,9.605682,685.953125,-2.244308,0.006747
FC(F)(Cl)CC(F)(F)Cl,CC(Cl)Br,0.267645,0.000234,17.077576,-330.179688,-3.109062,0.005746,15.733398,-470.054688,-2.445160,0.001374
FC(F)(Cl)CC(F)(F)Cl,CCCOC(F)F,0.261171,0.000229,18.400116,-513.501953,-3.252945,0.005568,17.161835,-697.353516,-2.641418,0.001130
FC(F)(Cl)CC(F)(F)Cl,COC1CC2CCC1(C)C2(C)C,0.247813,0.000194,17.772888,-483.076172,-3.007378,0.004574,16.775238,-757.943359,-2.650192,0.001602
FC(F)(Cl)CC(F)(F)Cl,CCC(=O)C1=NCCC1,0.240121,0.000181,19.301025,-666.025391,-3.206062,0.004475,18.110504,-946.218750,-2.815392,0.001487
FC(F)(Cl)CC(F)(F)Cl,NC(CF)(CF)CF,0.254847,0.000208,17.930420,-255.582031,-3.181282,0.004933,16.594635,-703.992188,-2.575874,0.002134
FC(F)(Cl)CC(F)(F)Cl,CC(C)CCCC(C)CC=O,0.245345,0.000195,19.147308,-556.615234,-3.231987,0.004716,17.473755,-878.068359,-2.751038,0.001591
FC(F)(Cl)CC(F)(F)Cl,Cc1coc(C)n1,0.240339,0.000182,19.561066,-673.781250,-3.297668,0.004661,18.354034,-938.560547,-2.821632,0.001446
FC(F)(Cl)CC(F)(F)Cl,NC(=S)NC(N)=S,0.237318,0.000142,14.639526,1701.664062,-3.055153,0.004650,11.204285,1142.761719,-2.163010,0.004719
FC(F)(Cl)CC(F)(F)Cl,FC(F)C(Cl)C(F)F,0.266242,0.000234,17.852417,-412.652344,-3.269943,0.006112,16.500641,-517.894531,-2.510193,0.001172
FC(F)(Cl)CC(F)(F)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.270183,0.000236,16.487823,-84.064453,-2.946724,0.005214,14.456696,-432.185547,-2.419098,0.002455
FC(F)(Cl)CC(F)(F)Cl,NNC(=O)c1ccccc1,0.272018,0.000227,16.993225,537.560547,-3.082085,0.004347,13.145966,-166.679688,-2.393547,0.004380
FC(F)(Cl)CC(F)(F)Cl,ClC=CBr,0.270164,0.000236,16.385254,-311.060547,-3.010330,0.005849,15.457642,-412.083984,-2.414612,0.001292
FC(F)(Cl)CC(F)(F)Cl,CN(C)N=O,0.238593,0.000171,19.209900,-492.121094,-3.270706,0.004533,18.182617,-873.537109,-2.769363,0.001939
FC(F)(Cl)CC(F)(F)Cl,c1ccc(C2CCCCC2)cc1,0.268528,0.000235,17.047821,-200.896484,-3.033386,0.005372,15.194519,-585.826172,-2.505119,0.002247
FC(F)(Cl)CC(F)(F)Cl,N#Cc1ccncc1,0.243494,0.000185,19.090851,-545.722656,-3.232712,0.004614,18.003113,-916.968750,-2.788994,0.001882
FC(F)(Cl)CC(F)(F)Cl,CN(C)C(=S)Nc1ccccc1,0.256425,0.000208,18.547058,-57.841797,-3.197685,0.004482,14.912933,-483.375000,-2.429756,0.002412
FC(F)(Cl)CC(F)(F)Cl,CCC(N)CC,0.235267,0.000169,19.079865,-620.128906,-3.200630,0.004365,17.715485,-949.238281,-2.736336,0.001652
FC(F)(Cl)CC(F)(F)Cl,COC(=O)CO,0.251653,0.000196,18.310333,-184.468750,-3.243927,0.004575,16.215607,-581.033203,-2.532936,0.002286
FC(F)(Cl)CC(F)(F)Cl,Cc1c(N)cccc1Cl,0.264991,0.000223,16.885223,-7.005859,-3.086723,0.005109,15.016479,-458.466797,-2.463638,0.002776
FC(F)(Cl)CC(F)(F)Cl,CC1CCC(C(C)(C)OO)CC1,0.270006,0.000237,17.531036,250.298828,-3.131294,0.004587,14.891602,-473.580078,-2.662399,0.004067
FC(F)(Cl)CC(F)(F)Cl,CC(F)(Cl)CF,0.262275,0.000230,18.412567,-465.052734,-3.285858,0.005640,16.842682,-629.546875,-2.566437,0.001187
FC(F)(Cl)CC(F)(F)Cl,CCCCC1OC(C)CC(C)(C)O1,0.246465,0.000195,18.611816,-496.955078,-3.104630,0.004481,17.510559,-909.878906,-2.802887,0.001944
FC(F)(Cl)CC(F)(F)Cl,CC(C)(C)OCC1CO1,0.243096,0.000189,19.495300,-635.476562,-3.266045,0.004642,18.192749,-941.677734,-2.841339,0.001569
FC(F)(Cl)CC(F)(F)Cl,O=P(O)(O)OP(=O)(O)O,0.184371,0.000060,13.122162,4507.957031,-2.081825,-0.002216,5.804169,2942.542969,-2.216614,0.010420
FC(F)(Cl)CC(F)(F)Cl,CC(=O)Nc1ccc(C)cc1,0.269694,0.000231,17.850098,319.740234,-3.138733,0.004360,13.924896,-348.015625,-2.500343,0.003849
FC(F)(Cl)CC(F)(F)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.247816,0.000179,18.714508,359.919922,-3.229935,0.003863,12.671539,-94.816406,-2.147491,0.002773
FC(F)(Cl)CC(F)(F)Cl,CC(C)(O)CCC1CCCCC1,0.268468,0.000235,17.652802,287.232422,-3.146919,0.004499,14.589081,-406.705078,-2.625938,0.004073
FC(F)(Cl)CC(F)(F)Cl,COCC(F)(F)F,0.255504,0.000215,18.344116,-482.148438,-3.216225,0.005244,17.338745,-713.695312,-2.647797,0.001216
FC(F)(Cl)CC(F)(F)Cl,COCC(O)COC,0.237349,0.000173,20.092133,-619.869141,-3.322861,0.004386,18.672394,-1061.791016,-2.940071,0.002187
FC(F)(Cl)CC(F)(F)Cl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.265193,0.000213,17.136139,1164.376953,-3.007545,0.002801,11.429291,165.712891,-2.449371,0.006115
FC(F)(Cl)CC(F)(F)Cl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.263173,0.000205,15.987915,1294.873047,-2.979950,0.002872,10.660309,422.472656,-2.241592,0.006052
FC(F)(Cl)CC(F)(F)Cl,CC(C)C(F)F,0.265220,0.000235,18.115906,-474.695312,-3.238503,0.005788,16.736755,-657.935547,-2.602219,0.001282
FC(F)(Cl)CC(F)(F)Cl,CCCCC1C=C(C)CC(C)O1,0.246188,0.000194,18.095001,-478.427734,-3.036514,0.004475,17.083282,-816.566406,-2.712135,0.001631
FC(F)(Cl)CC(F)(F)Cl,COc1ccc(C(C)=O)cc1,0.247570,0.000196,19.402527,-505.294922,-3.311981,0.004858,17.419983,-868.371094,-2.715080,0.001845
FC(F)(Cl)CC(F)(F)Cl,Oc1cc(O)ncn1,0.267468,0.000208,14.068909,1788.751953,-2.869202,0.003166,10.824707,735.898438,-2.409828,0.007404
FC(F)(Cl)CC(F)(F)Cl,COCCCCl,0.252281,0.000203,17.809692,-514.087891,-3.084724,0.005004,17.258270,-762.457031,-2.664841,0.001380
FC(F)(Cl)CC(F)(F)Cl,CCCOC,0.240189,0.000180,18.720673,-680.894531,-3.148315,0.004576,18.138611,-888.271484,-2.795593,0.001220
FC(F)(Cl)CC(F)(F)Cl,Fc1c(F)c(F)c(F)c(F)c1F,0.265545,0.000234,17.899261,-424.740234,-3.175560,0.005660,15.786957,-596.396484,-2.495903,0.001512
FC(F)(Cl)CC(F)(F)Cl,CCP(CC)CC,0.246340,0.000194,18.186340,-555.931641,-3.094955,0.004746,17.491943,-825.240234,-2.725441,0.001386
FC(F)(Cl)CC(F)(F)Cl,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.245661,0.000195,19.263306,-479.056641,-3.191864,0.004402,17.953979,-1002.001953,-2.924789,0.002371
FC(F)(Cl)CC(F)(F)Cl,Fc1cc(F)c(F)cc1F,0.265897,0.000236,18.183807,-450.503906,-3.242859,0.005805,16.191040,-632.275391,-2.530907,0.001408
FC(F)(Cl)CC(F)(F)Cl,CCCCc1ccc(C(=O)O)cc1,0.274857,0.000243,17.064941,384.181641,-3.103027,0.004608,13.858398,-309.958984,-2.556961,0.004257
FC(F)(Cl)CC(F)(F)Cl,C=Cc1c(C)cc(C)cc1C,0.265209,0.000231,17.411652,-279.697266,-3.086319,0.005362,15.578491,-605.185547,-2.521935,0.001934
FC(F)(Cl)CC(F)(F)Cl,C=C(C)C(=O)OC(C)(C)C,0.244137,0.000195,19.687164,-637.423828,-3.331192,0.004854,17.879364,-895.591797,-2.780685,0.001354
FC(F)(Cl)CC(F)(F)Cl,FC1CCCN1,0.244645,0.000192,19.554108,-582.173828,-3.349892,0.004826,18.206757,-879.597656,-2.783989,0.001594
FC(F)(Cl)CC(F)(F)Cl,CCCCCCCC(=O)NC,0.256572,0.000211,18.805481,-0.417969,-3.157166,0.004093,16.029663,-667.800781,-2.775787,0.003429
FC(F)(Cl)CC(F)(F)Cl,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.269530,0.000238,17.342896,-212.837891,-3.104698,0.005608,15.400513,-553.357422,-2.508354,0.002158
FC(F)(Cl)CC(F)(F)Cl,C1=CC2C=CC1C2,0.265398,0.000228,16.939972,-340.947266,-3.027107,0.005439,15.992035,-569.072266,-2.553566,0.001720
FC(F)(Cl)CC(F)(F)Cl,CCC(C)(O)CCC=C(C)C,0.263914,0.000229,18.005005,101.402344,-3.182579,0.004657,15.255219,-539.787109,-2.656082,0.003532
FC(F)(Cl)CC(F)(F)Cl,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.245330,0.000199,19.348907,-140.017578,-3.103088,0.003446,18.546478,-1003.031250,-3.301689,0.003877
FC(F)(Cl)CC(F)(F)Cl,CCC(C)CCF,0.262714,0.000226,17.549713,-399.480469,-3.127022,0.005510,16.413879,-653.833984,-2.585640,0.001541
FC(F)(Cl)CC(F)(F)Cl,C=Cc1cccc(CC)c1,0.266892,0.000233,17.417938,-273.890625,-3.093452,0.005438,15.586609,-610.226562,-2.525620,0.001979
FC(F)(Cl)CC(F)(F)Cl,CC(C)(C(O)(F)F)C(F)(F)F,0.258520,0.000222,18.400421,-254.394531,-3.305031,0.005574,16.741516,-647.447266,-2.633385,0.002038
FC(F)(Cl)CC(F)(F)Cl,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.268025,0.000231,16.721619,-295.431641,-2.965042,0.005292,15.305817,-470.835938,-2.506294,0.001951
FC(F)(Cl)CC(F)(F)Cl,CCN(CC)c1ccc(N)cc1,0.250239,0.000201,18.581268,-231.625000,-3.210732,0.004659,17.014008,-794.269531,-2.734947,0.002584
FC(F)(Cl)CC(F)(F)Cl,FC(F)CC(F)(F)F,0.270876,0.000242,17.888794,-333.251953,-3.260025,0.005952,15.594757,-510.464844,-2.420830,0.001768
