SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FCC(F)(Cl)C(F)(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.248423,0.000203,19.446411,-380.050781,-3.307991,0.004734,16.393982,-768.527344,-2.594116,0.001806
FCC(F)(Cl)C(F)(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.277400,0.000236,16.900177,813.412109,-3.001312,0.003896,11.741211,-37.164062,-2.335533,0.005194
FCC(F)(Cl)C(F)(F)Cl,Cc1cccc(CO)c1,0.273113,0.000238,16.942566,352.816406,-3.131050,0.004893,13.855804,-301.419922,-2.490204,0.004004
FCC(F)(Cl)C(F)(F)Cl,COC(C)CO,0.254193,0.000208,18.316193,-234.576172,-3.207939,0.004788,17.433777,-843.214844,-2.786850,0.002664
FCC(F)(Cl)C(F)(F)Cl,Nc1nc(=O)c2ccccc2o1,0.265163,0.000210,15.646912,1779.201172,-2.837509,0.001916,9.397522,769.658203,-2.273750,0.007218
FCC(F)(Cl)C(F)(F)Cl,CC(Cl)Br,0.270299,0.000238,16.774261,-284.587891,-3.071579,0.005823,15.623932,-461.150391,-2.452385,0.001535
FCC(F)(Cl)C(F)(F)Cl,CCCOC(F)F,0.267128,0.000238,17.962677,-440.673828,-3.223015,0.005831,16.964264,-660.226562,-2.641968,0.001402
FCC(F)(Cl)C(F)(F)Cl,COC1CC2CCC1(C)C2(C)C,0.255158,0.000207,17.144257,-361.951172,-2.962189,0.004777,16.333618,-648.939453,-2.605400,0.001827
FCC(F)(Cl)C(F)(F)Cl,CCC(=O)C1=NCCC1,0.248638,0.000200,18.778107,-537.664062,-3.199173,0.004856,17.777740,-874.445312,-2.786926,0.001616
FCC(F)(Cl)C(F)(F)Cl,NC(CF)(CF)CF,0.259637,0.000218,17.701416,-202.011719,-3.186401,0.005252,16.469879,-669.185547,-2.588646,0.002239
FCC(F)(Cl)C(F)(F)Cl,CC(C)CCCC(C)CC=O,0.254575,0.000213,18.377686,-380.414062,-3.186691,0.005049,16.769226,-772.458984,-2.673653,0.001863
FCC(F)(Cl)C(F)(F)Cl,Cc1coc(C)n1,0.247807,0.000198,19.026978,-550.148438,-3.285095,0.005007,18.041748,-867.859375,-2.790001,0.001565
FCC(F)(Cl)C(F)(F)Cl,NC(=S)NC(N)=S,0.246289,0.000159,14.215027,1612.404297,-3.022682,0.005045,11.589355,1036.138672,-2.186440,0.004851
FCC(F)(Cl)C(F)(F)Cl,FC(F)C(Cl)C(F)F,0.267385,0.000237,17.682312,-411.404297,-3.259438,0.006266,16.765686,-537.408203,-2.554268,0.001194
FCC(F)(Cl)C(F)(F)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.270952,0.000236,16.300171,-93.621094,-2.916458,0.005294,14.654388,-454.820312,-2.435242,0.002434
