SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FCCC(F)(F)C(F)(F)CF,O=P(Cl)(c1ccccc1)c1ccccc1,0.254582,0.000207,17.426056,-64.300781,-3.106331,0.004957,15.446838,-518.886719,-2.505890,0.002397
FCCC(F)(F)C(F)(F)CF,CC(=O)Nc1ccc(C=O)cc1,0.277541,0.000239,15.754242,900.960938,-2.985313,0.004594,12.554993,92.378906,-2.472198,0.005436
FCCC(F)(F)C(F)(F)CF,Cc1cccc(CO)c1,0.274775,0.000237,14.853912,597.738281,-2.992760,0.005759,13.572205,22.482422,-2.516945,0.004722
FCCC(F)(F)C(F)(F)CF,COC(C)CO,0.261667,0.000219,16.912323,32.232422,-3.129021,0.005390,16.559601,-564.005859,-2.704544,0.003031
FCCC(F)(F)C(F)(F)CF,Nc1nc(=O)c2ccccc2o1,0.262579,0.000207,14.243683,2002.603516,-2.772537,0.002334,10.265686,1005.646484,-2.464897,0.007730
FCCC(F)(F)C(F)(F)CF,CC(Cl)Br,0.270710,0.000228,15.181458,-165.427734,-2.806244,0.005575,14.996948,-271.742188,-2.420029,0.001932
FCCC(F)(F)C(F)(F)CF,CCCOC(F)F,0.269162,0.000231,16.573303,-333.035156,-2.967628,0.005443,15.866333,-477.105469,-2.554176,0.001956
FCCC(F)(F)C(F)(F)CF,COC1CC2CCC1(C)C2(C)C,0.258697,0.000198,14.857300,11.621094,-2.589417,0.004383,14.214600,-191.683594,-2.482903,0.003307
FCCC(F)(F)C(F)(F)CF,CCC(=O)C1=NCCC1,0.257781,0.000212,17.039398,-311.392578,-2.983353,0.004932,16.387451,-626.447266,-2.604965,0.001878
FCCC(F)(F)C(F)(F)CF,NC(CF)(CF)CF,0.266105,0.000229,16.901398,-173.822266,-3.135513,0.006061,16.853149,-570.582031,-2.677177,0.002156
FCCC(F)(F)C(F)(F)CF,CC(C)CCCC(C)CC=O,0.260001,0.000211,16.160370,-58.773438,-2.886185,0.005070,15.170441,-426.359375,-2.545166,0.002727
FCCC(F)(F)C(F)(F)CF,Cc1coc(C)n1,0.255802,0.000209,16.837860,-292.832031,-3.088264,0.005682,17.060699,-571.138672,-2.662117,0.001748
FCCC(F)(F)C(F)(F)CF,NC(=S)NC(N)=S,0.265321,0.000200,13.695251,1069.371094,-2.976463,0.006114,13.147705,508.486328,-2.188965,0.004628
FCCC(F)(F)C(F)(F)CF,FC(F)C(Cl)C(F)F,0.261402,0.000226,17.599670,-502.734375,-3.156105,0.005730,17.342407,-638.826172,-2.641106,0.000954
