SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)(Cl)C(Cl)(Cl)CCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.240745,0.000191,20.292633,-497.490234,-3.360939,0.004409,17.093872,-908.820312,-2.689949,0.001688
FC(F)(Cl)C(Cl)(Cl)CCl,CC(=O)Nc1ccc(C=O)cc1,0.274019,0.000229,17.299683,785.814453,-3.025055,0.003659,11.650879,-35.720703,-2.294014,0.005018
FC(F)(Cl)C(Cl)(Cl)CCl,Cc1cccc(CO)c1,0.273064,0.000238,17.148621,324.769531,-3.135735,0.004744,13.899323,-335.687500,-2.503189,0.003993
FC(F)(Cl)C(Cl)(Cl)CCl,COC(C)CO,0.251496,0.000201,18.448242,-267.812500,-3.217163,0.004626,17.634552,-867.244141,-2.819130,0.002734
FC(F)(Cl)C(Cl)(Cl)CCl,Nc1nc(=O)c2ccccc2o1,0.263739,0.000206,16.155548,1752.224609,-2.842476,0.001737,9.305206,686.617188,-2.244881,0.007137
FC(F)(Cl)C(Cl)(Cl)CCl,CC(Cl)Br,0.266750,0.000235,17.496887,-393.347656,-3.178490,0.005832,16.477478,-560.599609,-2.549782,0.001299
FC(F)(Cl)C(Cl)(Cl)CCl,CCCOC(F)F,0.265528,0.000233,17.723511,-413.384766,-3.176544,0.005662,16.741913,-640.535156,-2.615196,0.001430
FC(F)(Cl)C(Cl)(Cl)CCl,COC1CC2CCC1(C)C2(C)C,0.246282,0.000195,18.072357,-568.667969,-3.037613,0.004533,17.349243,-773.318359,-2.718758,0.001331
FC(F)(Cl)C(Cl)(Cl)CCl,CCC(=O)C1=NCCC1,0.243232,0.000188,19.041107,-620.851562,-3.188057,0.004582,18.159821,-925.783203,-2.844498,0.001530
FC(F)(Cl)C(Cl)(Cl)CCl,NC(CF)(CF)CF,0.257199,0.000209,17.364288,-166.406250,-3.143913,0.005030,16.240387,-616.941406,-2.528831,0.002283
FC(F)(Cl)C(Cl)(Cl)CCl,CC(C)CCCC(C)CC=O,0.246258,0.000199,19.225739,-566.841797,-3.251678,0.004795,17.648743,-883.496094,-2.777939,0.001519
FC(F)(Cl)C(Cl)(Cl)CCl,Cc1coc(C)n1,0.243955,0.000190,19.311707,-619.716797,-3.284134,0.004791,18.285889,-912.802734,-2.828941,0.001519
FC(F)(Cl)C(Cl)(Cl)CCl,NC(=S)NC(N)=S,0.243322,0.000153,14.871735,1552.308594,-3.072601,0.004809,11.495392,928.798828,-2.152916,0.004659
FC(F)(Cl)C(Cl)(Cl)CCl,FC(F)C(Cl)C(F)F,0.268634,0.000233,17.025726,-234.302734,-3.204636,0.006165,15.786194,-372.386719,-2.418060,0.001530
FC(F)(Cl)C(Cl)(Cl)CCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.269211,0.000222,14.536102,402.714844,-2.753922,0.004897,12.969604,12.914062,-2.310966,0.003604
FC(F)(Cl)C(Cl)(Cl)CCl,NNC(=O)c1ccccc1,0.273543,0.000230,16.861450,575.863281,-3.094078,0.004311,13.162537,-180.119141,-2.405342,0.004587
FC(F)(Cl)C(Cl)(Cl)CCl,ClC=CBr,0.267260,0.000233,16.854919,-391.228516,-3.063896,0.005804,16.258789,-531.591797,-2.524475,0.001214
FC(F)(Cl)C(Cl)(Cl)CCl,CN(C)N=O,0.240178,0.000174,18.895203,-459.849609,-3.260735,0.004680,18.290558,-833.519531,-2.766335,0.001907
FC(F)(Cl)C(Cl)(Cl)CCl,c1ccc(C2CCCCC2)cc1,0.265762,0.000233,17.554291,-312.238281,-3.098160,0.005358,15.981720,-650.544922,-2.594017,0.001993
FC(F)(Cl)C(Cl)(Cl)CCl,N#Cc1ccncc1,0.245138,0.000189,19.181976,-531.345703,-3.244850,0.004659,17.850433,-914.023438,-2.780930,0.001963
FC(F)(Cl)C(Cl)(Cl)CCl,CN(C)C(=S)Nc1ccccc1,0.257156,0.000209,18.449432,-73.148438,-3.206360,0.004587,15.345398,-554.937500,-2.487404,0.002460
FC(F)(Cl)C(Cl)(Cl)CCl,CCC(N)CC,0.237775,0.000176,18.980377,-608.138672,-3.203522,0.004449,17.641541,-914.232422,-2.728287,0.001540
FC(F)(Cl)C(Cl)(Cl)CCl,COC(=O)CO,0.256162,0.000205,17.695770,-31.912109,-3.225227,0.004646,15.760681,-462.478516,-2.493668,0.002563
FC(F)(Cl)C(Cl)(Cl)CCl,Cc1c(N)cccc1Cl,0.264753,0.000224,17.049500,-98.900391,-3.114746,0.005278,15.810822,-586.048828,-2.555489,0.002640
FC(F)(Cl)C(Cl)(Cl)CCl,CC1CCC(C(C)(C)OO)CC1,0.271590,0.000240,17.426758,252.474609,-3.134010,0.004627,14.942383,-473.978516,-2.679596,0.004122
FC(F)(Cl)C(Cl)(Cl)CCl,CC(F)(Cl)CF,0.264188,0.000231,17.892456,-398.279297,-3.257629,0.005752,16.736206,-572.357422,-2.553566,0.001357
FC(F)(Cl)C(Cl)(Cl)CCl,CCCCC1OC(C)CC(C)(C)O1,0.246895,0.000199,18.671814,-520.470703,-3.120331,0.004540,17.669250,-896.953125,-2.821304,0.001717
FC(F)(Cl)C(Cl)(Cl)CCl,CC(C)(C)OCC1CO1,0.246672,0.000199,19.335205,-583.767578,-3.266846,0.004794,18.181824,-915.371094,-2.860603,0.001588
FC(F)(Cl)C(Cl)(Cl)CCl,O=P(O)(O)OP(=O)(O)O,0.182306,0.000057,12.961121,4537.992188,-2.094017,-0.002073,5.651184,3032.978516,-2.155617,0.010245
FC(F)(Cl)C(Cl)(Cl)CCl,CC(=O)Nc1ccc(C)cc1,0.272168,0.000234,17.661316,368.865234,-3.130325,0.004384,13.836304,-338.257812,-2.514046,0.004064
FC(F)(Cl)C(Cl)(Cl)CCl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.250559,0.000184,18.470947,396.488281,-3.248451,0.003900,12.907471,-95.974609,-2.178650,0.002995
FC(F)(Cl)C(Cl)(Cl)CCl,CC(C)(O)CCC1CCCCC1,0.269709,0.000238,17.702148,252.056641,-3.167000,0.004559,14.698425,-422.443359,-2.644287,0.003994
FC(F)(Cl)C(Cl)(Cl)CCl,COCC(F)(F)F,0.259457,0.000218,17.350311,-341.958984,-3.114494,0.005304,16.585327,-567.550781,-2.552956,0.001484
FC(F)(Cl)C(Cl)(Cl)CCl,COCC(O)COC,0.242932,0.000185,19.416809,-528.779297,-3.293823,0.004552,18.545715,-1003.742188,-2.893143,0.002206
FC(F)(Cl)C(Cl)(Cl)CCl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.269023,0.000219,16.837769,1140.474609,-3.025078,0.002987,11.431580,93.720703,-2.420242,0.006207
FC(F)(Cl)C(Cl)(Cl)CCl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.265183,0.000208,15.894501,1280.113281,-2.994453,0.002984,10.742981,353.666016,-2.251984,0.006177
FC(F)(Cl)C(Cl)(Cl)CCl,CC(C)C(F)F,0.266654,0.000234,17.529236,-394.693359,-3.163399,0.005772,16.445679,-615.099609,-2.579300,0.001462
FC(F)(Cl)C(Cl)(Cl)CCl,CCCCC1C=C(C)CC(C)O1,0.245106,0.000195,18.414948,-557.482422,-3.086487,0.004550,17.602509,-854.302734,-2.766548,0.001380
FC(F)(Cl)C(Cl)(Cl)CCl,COc1ccc(C(C)=O)cc1,0.250955,0.000204,19.129913,-452.628906,-3.290237,0.004961,17.492889,-858.785156,-2.742805,0.001912
FC(F)(Cl)C(Cl)(Cl)CCl,Oc1cc(O)ncn1,0.267659,0.000208,13.913635,1812.300781,-2.876595,0.003128,10.875336,704.037109,-2.420441,0.007607
