SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC1(F)CC(F)(F)C(F)(F)C1,O=P(Cl)(c1ccccc1)c1ccccc1,0.248542,0.000200,18.133484,-205.738281,-3.158417,0.004644,15.747894,-578.318359,-2.505096,0.001963
FC1(F)CC(F)(F)C(F)(F)C1,CC(=O)Nc1ccc(C=O)cc1,0.271358,0.000229,16.392700,878.222656,-2.971283,0.003811,12.387695,102.132812,-2.435265,0.005219
FC1(F)CC(F)(F)C(F)(F)C1,Cc1cccc(CO)c1,0.272731,0.000238,16.220184,391.548828,-3.042023,0.004983,13.948730,-170.330078,-2.492424,0.003991
FC1(F)CC(F)(F)C(F)(F)C1,COC(C)CO,0.255701,0.000209,17.875214,-178.587891,-3.167435,0.004908,17.179321,-703.710938,-2.773460,0.002609
FC1(F)CC(F)(F)C(F)(F)C1,Nc1nc(=O)c2ccccc2o1,0.255114,0.000198,15.128754,1875.017578,-2.780815,0.001468,10.246552,951.662109,-2.418106,0.007269
FC1(F)CC(F)(F)C(F)(F)C1,CC(Cl)Br,0.270088,0.000230,15.563385,-127.095703,-2.868820,0.005447,14.632507,-274.023438,-2.351669,0.001876
FC1(F)CC(F)(F)C(F)(F)C1,CCCOC(F)F,0.265779,0.000232,17.203339,-381.976562,-3.069611,0.005531,16.476196,-557.482422,-2.598053,0.001429
FC1(F)CC(F)(F)C(F)(F)C1,COC1CC2CCC1(C)C2(C)C,0.258549,0.000205,15.862701,-158.431641,-2.710495,0.004278,14.820038,-388.791016,-2.466736,0.002476
FC1(F)CC(F)(F)C(F)(F)C1,CCC(=O)C1=NCCC1,0.250304,0.000200,17.527283,-429.812500,-3.013702,0.004743,16.956451,-705.378906,-2.653824,0.001472
FC1(F)CC(F)(F)C(F)(F)C1,NC(CF)(CF)CF,0.260859,0.000219,17.330231,-231.357422,-3.127045,0.005421,16.645935,-611.050781,-2.614792,0.001975
FC1(F)CC(F)(F)C(F)(F)C1,CC(C)CCCC(C)CC=O,0.258088,0.000214,16.956635,-195.041016,-2.973015,0.004887,15.574280,-585.158203,-2.515381,0.002061
FC1(F)CC(F)(F)C(F)(F)C1,Cc1coc(C)n1,0.250953,0.000200,17.630005,-440.263672,-3.099968,0.004988,17.311646,-686.173828,-2.669403,0.001477
FC1(F)CC(F)(F)C(F)(F)C1,NC(=S)NC(N)=S,0.249535,0.000171,13.497986,1538.240234,-2.951439,0.004941,12.317383,996.291016,-2.229584,0.005197
FC1(F)CC(F)(F)C(F)(F)C1,FC(F)C(Cl)C(F)F,0.265040,0.000232,17.574341,-425.533203,-3.181183,0.005918,16.880554,-581.119141,-2.599869,0.001159
FC1(F)CC(F)(F)C(F)(F)C1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268389,0.000225,16.412018,-186.494141,-2.834961,0.004769,14.611603,-418.226562,-2.456322,0.002805
FC1(F)CC(F)(F)C(F)(F)C1,NNC(=O)c1ccccc1,0.273473,0.000232,15.631531,725.330078,-3.025719,0.004796,13.499420,85.621094,-2.470451,0.004749
FC1(F)CC(F)(F)C(F)(F)C1,ClC=CBr,0.271804,0.000230,15.033905,-120.923828,-2.762932,0.005268,14.510620,-148.167969,-2.369980,0.001964
FC1(F)CC(F)(F)C(F)(F)C1,CN(C)N=O,0.245233,0.000186,18.010559,-383.994141,-3.195358,0.004947,18.038879,-738.390625,-2.720024,0.001872
FC1(F)CC(F)(F)C(F)(F)C1,c1ccc(C2CCCCC2)cc1,0.273386,0.000231,15.136017,147.806641,-2.697617,0.004630,13.319275,-108.593750,-2.400238,0.003383
FC1(F)CC(F)(F)C(F)(F)C1,N#Cc1ccncc1,0.250888,0.000200,17.823273,-398.828125,-3.116898,0.004862,17.398224,-709.839844,-2.693977,0.001705
FC1(F)CC(F)(F)C(F)(F)C1,CN(C)C(=S)Nc1ccccc1,0.256303,0.000206,16.904266,62.371094,-3.035820,0.004504,14.905853,-326.494141,-2.448280,0.002782
FC1(F)CC(F)(F)C(F)(F)C1,CCC(N)CC,0.248516,0.000192,16.467438,-242.060547,-2.946457,0.005071,16.468048,-543.156250,-2.585449,0.001802
FC1(F)CC(F)(F)C(F)(F)C1,COC(=O)CO,0.256247,0.000211,17.508820,-120.707031,-3.212273,0.004979,16.640198,-508.484375,-2.581543,0.002365
FC1(F)CC(F)(F)C(F)(F)C1,Cc1c(N)cccc1Cl,0.266057,0.000220,15.570831,184.386719,-2.901535,0.005047,14.145721,-189.005859,-2.391312,0.003007
FC1(F)CC(F)(F)C(F)(F)C1,CC1CCC(C(C)(C)OO)CC1,0.273579,0.000240,16.146912,507.527344,-2.974648,0.004722,13.944946,-224.167969,-2.579758,0.004595
FC1(F)CC(F)(F)C(F)(F)C1,CC(F)(Cl)CF,0.266614,0.000234,17.380859,-353.462891,-3.142265,0.005707,16.330017,-545.443359,-2.543694,0.001412
FC1(F)CC(F)(F)C(F)(F)C1,CCCCC1OC(C)CC(C)(C)O1,0.257003,0.000207,16.507324,-194.550781,-2.809448,0.004313,15.644775,-546.519531,-2.580933,0.002413
