SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)(F)C(F)(Cl)C(F)(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.233830,0.000156,19.270782,446.095703,-3.311859,0.004093,12.672394,95.853516,-2.154175,0.001753
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.239942,0.000149,15.542267,2359.156250,-2.706108,0.001414,8.476624,1369.511719,-2.218346,0.006389
FC(F)(F)C(F)(Cl)C(F)(F)Cl,Cc1cccc(CO)c1,0.272872,0.000221,15.481934,897.705078,-3.035278,0.004516,10.812592,310.929688,-2.136963,0.004830
FC(F)(F)C(F)(Cl)C(F)(F)Cl,COC(C)CO,0.270438,0.000219,15.969177,477.570312,-3.071800,0.004619,13.015106,-98.437500,-2.224747,0.003822
FC(F)(F)C(F)(Cl)C(F)(F)Cl,Nc1nc(=O)c2ccccc2o1,0.208042,0.000096,15.485321,3309.117188,-2.448776,-0.001144,6.737549,2140.068359,-2.210915,0.007335
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC(Cl)Br,0.269548,0.000229,16.584717,-45.019531,-3.086723,0.005515,13.771393,-146.048828,-2.166939,0.001611
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CCCOC(F)F,0.271856,0.000238,17.309875,-199.130859,-3.162437,0.005688,14.978088,-421.673828,-2.374283,0.001734
FC(F)(F)C(F)(Cl)C(F)(F)Cl,COC1CC2CCC1(C)C2(C)C,0.260879,0.000217,17.060120,-143.357422,-3.072586,0.005114,15.105103,-513.607422,-2.414200,0.002166
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CCC(=O)C1=NCCC1,0.261661,0.000210,17.057892,48.898438,-3.133324,0.004926,14.550415,-365.923828,-2.320999,0.002490
FC(F)(F)C(F)(Cl)C(F)(F)Cl,NC(CF)(CF)CF,0.265343,0.000210,15.980530,333.417969,-3.049713,0.005107,13.252533,-92.720703,-2.205841,0.003019
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC(C)CCCC(C)CC=O,0.262191,0.000216,17.798981,-34.148438,-3.173523,0.005026,14.074341,-403.203125,-2.301201,0.002183
FC(F)(F)C(F)(Cl)C(F)(F)Cl,Cc1coc(C)n1,0.259494,0.000208,17.310760,-57.824219,-3.173340,0.005094,15.012482,-350.552734,-2.356499,0.002027
FC(F)(F)C(F)(Cl)C(F)(F)Cl,NC(=S)NC(N)=S,0.183150,0.000046,14.976318,2759.716797,-2.885803,0.002116,9.487946,2188.789062,-2.092125,0.004625
FC(F)(F)C(F)(Cl)C(F)(F)Cl,FC(F)C(Cl)C(F)F,0.267296,0.000228,17.460846,-219.482422,-3.213455,0.005724,14.649597,-260.968750,-2.235947,0.001130
FC(F)(F)C(F)(Cl)C(F)(F)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268439,0.000242,18.594360,-308.029297,-3.297646,0.005640,15.383667,-552.876953,-2.440468,0.001878
FC(F)(F)C(F)(Cl)C(F)(F)Cl,NNC(=O)c1ccccc1,0.248581,0.000164,14.046478,1996.423828,-2.894592,0.003066,9.409149,1213.261719,-2.208107,0.006265
FC(F)(F)C(F)(Cl)C(F)(F)Cl,ClC=CBr,0.270429,0.000230,15.875946,-94.925781,-2.989349,0.005663,14.265961,-199.884766,-2.233353,0.001637
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CN(C)N=O,0.240564,0.000159,17.148315,463.898438,-3.180435,0.004779,13.511414,208.611328,-2.126114,0.001671
FC(F)(F)C(F)(Cl)C(F)(F)Cl,c1ccc(C2CCCCC2)cc1,0.276599,0.000243,16.167755,94.373047,-3.026489,0.005617,13.302429,-261.123047,-2.260658,0.002709
FC(F)(F)C(F)(Cl)C(F)(F)Cl,N#Cc1ccncc1,0.253667,0.000190,17.604370,221.525391,-3.125031,0.004419,14.293793,-240.675781,-2.325371,0.002561
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CN(C)C(=S)Nc1ccccc1,0.234426,0.000145,17.722015,1210.126953,-3.127457,0.003279,10.845795,725.871094,-2.143272,0.003315
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CCC(N)CC,0.254762,0.000204,17.314819,-78.117188,-3.191162,0.005156,15.590759,-445.236328,-2.493378,0.002254
FC(F)(F)C(F)(Cl)C(F)(F)Cl,COC(=O)CO,0.252800,0.000180,15.928314,820.982422,-3.184456,0.004547,11.946320,448.341797,-2.045952,0.003177
FC(F)(F)C(F)(Cl)C(F)(F)Cl,Cc1c(N)cccc1Cl,0.262683,0.000204,16.226929,573.121094,-3.071045,0.004600,12.591705,57.505859,-2.208427,0.003604
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC1CCC(C(C)(C)OO)CC1,0.278061,0.000235,15.892456,770.777344,-3.031113,0.004449,12.026917,-7.710938,-2.328827,0.004905
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC(F)(Cl)CF,0.270383,0.000232,17.108490,-169.353516,-3.160522,0.005639,14.478088,-271.876953,-2.238335,0.001439
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CCCCC1OC(C)CC(C)(C)O1,0.263276,0.000219,17.468933,26.675781,-3.145828,0.004926,14.561462,-462.625000,-2.413139,0.002705
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC(C)(C)OCC1CO1,0.265858,0.000219,16.982697,20.951172,-3.134659,0.005113,14.444397,-380.941406,-2.329292,0.002537
FC(F)(F)C(F)(Cl)C(F)(F)Cl,O=P(O)(O)OP(=O)(O)O,0.146292,-0.000002,13.612640,5017.779297,-1.912636,-0.003539,5.040009,3603.404297,-2.095940,0.009060
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC(=O)Nc1ccc(C)cc1,0.269316,0.000209,15.779663,1371.875000,-2.894920,0.003302,9.992340,587.173828,-2.138588,0.005488
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.200531,0.000079,17.003326,2165.464844,-3.050453,0.001821,9.191254,1621.550781,-2.083191,0.003970
FC(F)(F)C(F)(Cl)C(F)(F)Cl,CC(C)(O)CCC1CCCCC1,0.278178,0.000237,16.179138,757.771484,-3.036514,0.004379,11.347229,83.882812,-2.229111,0.004629
