SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)(F)C(F)(F)C(F)(F)CCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.245252,0.000193,18.527374,-235.449219,-3.229485,0.004607,15.991333,-568.417969,-2.478340,0.001873
FC(F)(F)C(F)(F)C(F)(F)CCl,CC(=O)Nc1ccc(C=O)cc1,0.269263,0.000217,16.134308,1062.656250,-2.947929,0.003538,11.667206,276.078125,-2.317635,0.005442
FC(F)(F)C(F)(F)C(F)(F)CCl,Cc1cccc(CO)c1,0.271736,0.000233,16.277100,438.996094,-3.097008,0.004950,13.666107,-109.740234,-2.431366,0.004055
FC(F)(F)C(F)(F)C(F)(F)CCl,COC(C)CO,0.253020,0.000200,17.817505,-180.146484,-3.192184,0.004839,17.303192,-701.224609,-2.754143,0.002806
FC(F)(F)C(F)(F)C(F)(F)CCl,Nc1nc(=O)c2ccccc2o1,0.253415,0.000186,14.639282,2049.242188,-2.753944,0.001409,9.806305,1096.503906,-2.330528,0.007503
FC(F)(F)C(F)(F)C(F)(F)CCl,CC(Cl)Br,0.270014,0.000231,15.776520,-69.605469,-2.982506,0.005616,14.640137,-200.865234,-2.310127,0.002004
FC(F)(F)C(F)(F)C(F)(F)CCl,CCCOC(F)F,0.265729,0.000233,17.654572,-370.523438,-3.179077,0.005671,16.606354,-595.822266,-2.587990,0.001508
FC(F)(F)C(F)(F)C(F)(F)CCl,COC1CC2CCC1(C)C2(C)C,0.252393,0.000201,16.794525,-324.316406,-2.916840,0.004651,16.052948,-567.371094,-2.531395,0.001643
FC(F)(F)C(F)(F)C(F)(F)CCl,CCC(=O)C1=NCCC1,0.246431,0.000189,17.694458,-463.232422,-3.070770,0.004739,17.412018,-730.720703,-2.681076,0.001586
FC(F)(F)C(F)(F)C(F)(F)CCl,NC(CF)(CF)CF,0.256990,0.000209,17.173706,-187.072266,-3.127007,0.005121,16.463684,-591.595703,-2.540169,0.002166
FC(F)(F)C(F)(F)C(F)(F)CCl,CC(C)CCCC(C)CC=O,0.253430,0.000207,17.771667,-305.863281,-3.107414,0.004948,16.339630,-657.412109,-2.587654,0.001814
FC(F)(F)C(F)(F)C(F)(F)CCl,Cc1coc(C)n1,0.245981,0.000188,18.122589,-507.548828,-3.197617,0.004988,17.897034,-727.498047,-2.706596,0.001523
FC(F)(F)C(F)(F)C(F)(F)CCl,NC(=S)NC(N)=S,0.218011,0.000107,13.504181,2237.101562,-2.954872,0.004011,11.400635,1721.103516,-2.262527,0.005159
FC(F)(F)C(F)(F)C(F)(F)CCl,FC(F)C(Cl)C(F)F,0.266672,0.000234,17.702301,-383.861328,-3.263351,0.006140,16.557892,-496.349609,-2.505951,0.001324
FC(F)(F)C(F)(F)C(F)(F)CCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.269509,0.000239,17.775299,-288.960938,-3.135445,0.005524,15.489044,-586.501953,-2.496323,0.002187
FC(F)(F)C(F)(F)C(F)(F)CCl,NNC(=O)c1ccccc1,0.273750,0.000225,15.205658,885.830078,-2.991684,0.004549,12.665253,218.914062,-2.341339,0.005072
FC(F)(F)C(F)(F)C(F)(F)CCl,ClC=CBr,0.270845,0.000231,15.256195,-98.574219,-2.888252,0.005666,14.615875,-179.259766,-2.304253,0.001766
FC(F)(F)C(F)(F)C(F)(F)CCl,CN(C)N=O,0.242176,0.000175,18.036530,-330.228516,-3.197571,0.004795,17.858551,-662.240234,-2.646164,0.001964
FC(F)(F)C(F)(F)C(F)(F)CCl,c1ccc(C2CCCCC2)cc1,0.271685,0.000233,15.739532,40.654297,-2.888206,0.005199,14.061707,-285.566406,-2.386620,0.002781
FC(F)(F)C(F)(F)C(F)(F)CCl,N#Cc1ccncc1,0.248140,0.000190,17.638611,-345.031250,-3.121445,0.004833,17.282654,-678.433594,-2.654846,0.001985
FC(F)(F)C(F)(F)C(F)(F)CCl,CN(C)C(=S)Nc1ccccc1,0.256205,0.000199,17.066833,268.015625,-3.078041,0.004371,14.210388,-125.712891,-2.344017,0.002995
FC(F)(F)C(F)(F)C(F)(F)CCl,CCC(N)CC,0.244083,0.000184,17.706573,-428.298828,-3.096283,0.004719,16.979950,-721.363281,-2.619041,0.001665
FC(F)(F)C(F)(F)C(F)(F)CCl,COC(=O)CO,0.257048,0.000204,16.966797,76.863281,-3.175697,0.004821,15.634430,-309.580078,-2.415802,0.002730
FC(F)(F)C(F)(F)C(F)(F)CCl,Cc1c(N)cccc1Cl,0.265873,0.000217,15.439606,224.152344,-2.940277,0.005023,14.204132,-159.476562,-2.360680,0.003210
