SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FCC(F)C(F)(F)C(F)(F)C(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.246619,0.000192,17.581207,-135.830078,-3.094757,0.004569,16.214905,-533.212891,-2.569550,0.002163
FCC(F)C(F)(F)C(F)(F)C(F)F,CC(=O)Nc1ccc(C=O)cc1,0.266210,0.000219,16.377197,757.933594,-2.972427,0.003873,13.066132,27.542969,-2.465599,0.004794
FCC(F)C(F)(F)C(F)(F)C(F)F,Cc1cccc(CO)c1,0.268836,0.000230,15.986328,410.052734,-3.004784,0.004891,14.180450,-121.337891,-2.511772,0.003942
FCC(F)C(F)(F)C(F)(F)C(F)F,COC(C)CO,0.244243,0.000182,18.140717,-380.287109,-3.119514,0.004460,17.600464,-804.582031,-2.785912,0.002255
FCC(F)C(F)(F)C(F)(F)C(F)F,Nc1nc(=O)c2ccccc2o1,0.249168,0.000185,15.157928,1704.406250,-2.799736,0.001786,10.966919,873.658203,-2.442261,0.006623
FCC(F)C(F)(F)C(F)(F)C(F)F,CC(Cl)Br,0.273078,0.000231,14.747040,44.986328,-2.802307,0.005357,14.472534,-102.873047,-2.362534,0.002494
FCC(F)C(F)(F)C(F)(F)C(F)F,CCCOC(F)F,0.267764,0.000232,16.825043,-313.503906,-3.032669,0.005503,16.600647,-532.785156,-2.632355,0.001824
FCC(F)C(F)(F)C(F)(F)C(F)F,COC1CC2CCC1(C)C2(C)C,0.255193,0.000193,14.743896,-67.593750,-2.563080,0.003714,15.471619,-197.544922,-2.522720,0.002835
FCC(F)C(F)(F)C(F)(F)C(F)F,CCC(=O)C1=NCCC1,0.243325,0.000178,17.163116,-524.550781,-2.922554,0.004251,17.609222,-702.900391,-2.712097,0.001573
FCC(F)C(F)(F)C(F)(F)C(F)F,NC(CF)(CF)CF,0.254126,0.000204,17.459656,-328.597656,-3.083809,0.004949,16.936279,-673.466797,-2.619698,0.001784
FCC(F)C(F)(F)C(F)(F)C(F)F,CC(C)CCCC(C)CC=O,0.253650,0.000201,16.543152,-214.019531,-2.862808,0.004460,15.982239,-525.058594,-2.592331,0.002157
FCC(F)C(F)(F)C(F)(F)C(F)F,Cc1coc(C)n1,0.243135,0.000177,17.352997,-548.716797,-3.020348,0.004642,17.720337,-720.253906,-2.686653,0.001416
FCC(F)C(F)(F)C(F)(F)C(F)F,NC(=S)NC(N)=S,0.231981,0.000139,13.546234,1703.583984,-2.933350,0.004776,13.363403,1274.941406,-2.384621,0.004559
FCC(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(Cl)C(F)F,0.268068,0.000236,17.218658,-379.732422,-3.170662,0.006107,17.068207,-535.333984,-2.616631,0.001327
FCC(F)C(F)(F)C(F)(F)C(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.271600,0.000226,15.883209,-136.869141,-2.790741,0.004895,14.961060,-411.519531,-2.514496,0.003143
FCC(F)C(F)(F)C(F)(F)C(F)F,NNC(=O)c1ccccc1,0.269560,0.000225,15.757721,584.261719,-2.983345,0.004673,14.313812,-18.564453,-2.540726,0.004307
FCC(F)C(F)(F)C(F)(F)C(F)F,ClC=CBr,0.274468,0.000230,13.879974,88.027344,-2.717247,0.005714,14.166443,147.384766,-2.364861,0.002416
