SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)=C(F)OC(F)(F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.220792,0.000128,18.631226,855.171875,-3.286140,0.004005,11.711975,642.941406,-2.114258,0.001826
FC(F)=C(F)OC(F)(F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.213220,0.000104,14.773773,2569.269531,-2.749779,0.001310,9.152588,1882.017578,-2.360939,0.006015
FC(F)=C(F)OC(F)(F)C(F)(F)F,Cc1cccc(CO)c1,0.254220,0.000185,14.188934,1323.744141,-2.960052,0.004110,10.945557,881.490234,-2.239906,0.005075
FC(F)=C(F)OC(F)(F)C(F)(F)F,COC(C)CO,0.263071,0.000203,15.092499,700.566406,-3.032768,0.004800,12.826080,251.775391,-2.223862,0.003941
FC(F)=C(F)OC(F)(F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.178581,0.000048,14.684814,3597.707031,-2.477875,-0.001283,7.303619,2728.646484,-2.365013,0.006961
FC(F)=C(F)OC(F)(F)C(F)(F)F,CC(Cl)Br,0.263643,0.000211,15.498901,225.359375,-2.992355,0.005322,12.736389,202.857422,-2.022156,0.001762
FC(F)=C(F)OC(F)(F)C(F)(F)F,CCCOC(F)F,0.269411,0.000229,16.616852,-95.537109,-3.087524,0.005594,14.349884,-268.697266,-2.250046,0.001707
FC(F)=C(F)OC(F)(F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.252021,0.000189,15.256958,145.554688,-2.829475,0.004977,13.946991,-82.939453,-2.284157,0.002272
FC(F)=C(F)OC(F)(F)C(F)(F)F,CCC(=O)C1=NCCC1,0.254700,0.000188,15.580109,440.273438,-2.978882,0.004731,13.222900,139.783203,-2.224228,0.003009
FC(F)=C(F)OC(F)(F)C(F)(F)F,NC(CF)(CF)CF,0.252632,0.000184,15.472534,515.281250,-3.103180,0.005331,13.448853,195.654297,-2.232796,0.002841
FC(F)=C(F)OC(F)(F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.255365,0.000195,16.374573,410.138672,-3.067329,0.004972,13.105072,89.072266,-2.255600,0.002807
FC(F)=C(F)OC(F)(F)C(F)(F)F,Cc1coc(C)n1,0.254060,0.000193,15.999390,245.113281,-3.117401,0.005373,14.264160,70.453125,-2.267921,0.002294
FC(F)=C(F)OC(F)(F)C(F)(F)F,NC(=S)NC(N)=S,0.158232,0.000009,13.716522,2970.289062,-2.771690,0.002010,10.835480,2772.296875,-2.237556,0.003978
FC(F)=C(F)OC(F)(F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.262703,0.000219,17.491486,-200.724609,-3.239822,0.005646,14.641479,-230.716797,-2.202248,0.000987
FC(F)=C(F)OC(F)(F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265695,0.000237,18.945557,-467.941406,-3.337807,0.005683,16.001343,-606.888672,-2.481575,0.001611
FC(F)=C(F)OC(F)(F)C(F)(F)F,NNC(=O)c1ccccc1,0.218534,0.000112,13.226013,2417.773438,-2.862137,0.002689,9.968903,1852.597656,-2.384644,0.006136
FC(F)=C(F)OC(F)(F)C(F)(F)F,ClC=CBr,0.267127,0.000217,14.534698,167.619141,-2.846817,0.005535,12.595520,211.019531,-2.004166,0.001896
FC(F)=C(F)OC(F)(F)C(F)(F)F,CN(C)N=O,0.226313,0.000131,16.561035,782.341797,-3.163239,0.004741,13.112122,625.044922,-2.153519,0.001919
FC(F)=C(F)OC(F)(F)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.270584,0.000221,14.632019,447.431641,-2.841827,0.005302,11.932526,200.445312,-2.139397,0.003213
FC(F)=C(F)OC(F)(F)C(F)(F)F,N#Cc1ccncc1,0.243347,0.000165,16.462128,630.226562,-3.110977,0.004720,13.547729,338.580078,-2.290413,0.002707
