SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)OCC(F)(F)C(F)(F)C(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.251330,0.000198,17.092773,-151.326172,-3.043999,0.004767,15.770477,-503.371094,-2.474197,0.002176
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(=O)Nc1ccc(C=O)cc1,0.270443,0.000222,16.094604,813.054688,-2.929054,0.003983,12.456055,109.882812,-2.362610,0.004858
FC(F)OCC(F)(F)C(F)(F)C(F)F,Cc1cccc(CO)c1,0.272184,0.000230,14.939758,492.156250,-2.933807,0.005312,13.924316,2.128906,-2.489868,0.004247
FC(F)OCC(F)(F)C(F)(F)C(F)F,COC(C)CO,0.253868,0.000197,17.170502,-230.283203,-3.032974,0.004759,17.347687,-704.927734,-2.771011,0.002603
FC(F)OCC(F)(F)C(F)(F)C(F)F,Nc1nc(=O)c2ccccc2o1,0.254664,0.000191,14.539764,1797.134766,-2.755890,0.001965,10.510681,999.421875,-2.345650,0.006758
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(Cl)Br,0.275665,0.000234,14.430450,24.146484,-2.774658,0.005565,14.423431,-98.640625,-2.327644,0.002421
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCCOC(F)F,0.267806,0.000231,16.702087,-333.505859,-3.023308,0.005556,16.549988,-534.716797,-2.605156,0.001723
FC(F)OCC(F)(F)C(F)(F)C(F)F,COC1CC2CCC1(C)C2(C)C,0.260952,0.000202,14.453796,-143.099609,-2.557503,0.004188,15.615784,-241.791016,-2.521317,0.002676
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCC(=O)C1=NCCC1,0.249729,0.000188,16.593933,-475.509766,-2.859329,0.004594,17.156281,-666.994141,-2.664322,0.001612
FC(F)OCC(F)(F)C(F)(F)C(F)F,NC(CF)(CF)CF,0.258321,0.000209,16.716766,-259.824219,-3.003273,0.005110,16.608276,-611.072266,-2.566544,0.001916
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(C)CCCC(C)CC=O,0.258147,0.000207,16.262817,-218.248047,-2.866608,0.004818,15.925415,-528.853516,-2.564117,0.002120
FC(F)OCC(F)(F)C(F)(F)C(F)F,Cc1coc(C)n1,0.250519,0.000189,16.646790,-467.464844,-2.941719,0.004906,17.443176,-658.337891,-2.657104,0.001536
FC(F)OCC(F)(F)C(F)(F)C(F)F,NC(=S)NC(N)=S,0.221174,0.000115,13.171783,2030.078125,-2.889557,0.004709,12.161346,1722.867188,-2.285156,0.004436
FC(F)OCC(F)(F)C(F)(F)C(F)F,FC(F)C(Cl)C(F)F,0.269796,0.000237,16.919403,-343.978516,-3.154633,0.006238,16.782043,-479.472656,-2.567741,0.001384
FC(F)OCC(F)(F)C(F)(F)C(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.270969,0.000227,16.021851,-200.103516,-2.814743,0.004946,15.140228,-395.595703,-2.521568,0.002828
FC(F)OCC(F)(F)C(F)(F)C(F)F,NNC(=O)c1ccccc1,0.272826,0.000226,15.351654,641.919922,-2.959290,0.004898,13.842834,62.748047,-2.451241,0.004399
FC(F)OCC(F)(F)C(F)(F)C(F)F,ClC=CBr,0.274985,0.000230,13.744415,55.681641,-2.694542,0.005738,14.292145,102.931641,-2.360847,0.002434
FC(F)OCC(F)(F)C(F)(F)C(F)F,CN(C)N=O,0.240355,0.000171,17.696075,-461.916016,-3.116402,0.004724,18.510773,-739.947266,-2.733215,0.001785
FC(F)OCC(F)(F)C(F)(F)C(F)F,c1ccc(C2CCCCC2)cc1,0.276725,0.000231,14.087524,217.339844,-2.636429,0.004961,13.597961,23.074219,-2.421806,0.003631
FC(F)OCC(F)(F)C(F)(F)C(F)F,N#Cc1ccncc1,0.250784,0.000192,16.902771,-381.839844,-2.983849,0.004801,17.283966,-631.537109,-2.637466,0.001791
FC(F)OCC(F)(F)C(F)(F)C(F)F,CN(C)C(=S)Nc1ccccc1,0.257286,0.000202,16.190247,104.531250,-2.960709,0.004666,15.210785,-262.279297,-2.430656,0.002782
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCC(N)CC,0.248008,0.000181,15.289459,-327.181641,-2.762016,0.004715,16.681610,-462.578125,-2.572563,0.001958
FC(F)OCC(F)(F)C(F)(F)C(F)F,COC(=O)CO,0.252584,0.000197,17.483734,-104.859375,-3.177086,0.004741,16.558624,-462.892578,-2.560608,0.002395
FC(F)OCC(F)(F)C(F)(F)C(F)F,Cc1c(N)cccc1Cl,0.266697,0.000215,14.436432,278.505859,-2.798615,0.005310,14.294250,-32.011719,-2.382698,0.003112
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC1CCC(C(C)(C)OO)CC1,0.275209,0.000238,15.419434,516.316406,-2.914391,0.005031,14.299805,-190.693359,-2.586296,0.004554
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(F)(Cl)CF,0.269176,0.000234,16.702393,-284.419922,-3.094109,0.005842,16.452148,-486.533203,-2.538216,0.001676
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCCCC1OC(C)CC(C)(C)O1,0.259440,0.000203,15.490662,-180.535156,-2.663155,0.004296,15.991852,-493.445312,-2.642433,0.002703
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(C)(C)OCC1CO1,0.255465,0.000202,16.829315,-377.023438,-2.945656,0.004929,17.147491,-704.058594,-2.712807,0.001956
FC(F)OCC(F)(F)C(F)(F)C(F)F,O=P(O)(O)OP(=O)(O)O,0.170884,0.000037,11.663239,4623.845703,-1.965218,-0.001370,6.994476,3438.929688,-2.251183,0.009371
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(=O)Nc1ccc(C)cc1,0.273857,0.000231,15.292877,471.660156,-2.848999,0.004601,13.621460,-109.144531,-2.433899,0.004214
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.254003,0.000190,17.420013,527.083984,-3.121071,0.004035,13.087616,82.085938,-2.208221,0.003176
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(C)(O)CCC1CCCCC1,0.271925,0.000225,14.265930,586.355469,-2.763550,0.005065,13.649261,-9.941406,-2.507408,0.004682
FC(F)OCC(F)(F)C(F)(F)C(F)F,COCC(F)(F)F,0.260742,0.000218,17.151123,-409.861328,-3.065308,0.005341,17.149597,-612.847656,-2.622658,0.001461
FC(F)OCC(F)(F)C(F)(F)C(F)F,COCC(O)COC,0.245794,0.000184,18.380066,-495.060547,-3.161339,0.004690,18.396545,-876.359375,-2.862717,0.002106
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.259351,0.000200,15.014496,1645.980469,-2.864456,0.002611,11.846924,629.107422,-2.580864,0.006988
FC(F)OCC(F)(F)C(F)(F)C(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.256651,0.000193,14.424652,1486.445312,-2.862617,0.003137,11.935425,751.146484,-2.386574,0.006016
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(C)C(F)F,0.271195,0.000236,16.418884,-305.775391,-3.008217,0.005697,16.353821,-464.197266,-2.602638,0.001910
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCCCC1C=C(C)CC(C)O1,0.257723,0.000198,15.054047,-174.621094,-2.593872,0.004082,15.769592,-379.544922,-2.573051,0.002576
FC(F)OCC(F)(F)C(F)(F)C(F)F,COc1ccc(C(C)=O)cc1,0.258225,0.000208,16.630737,-243.589844,-3.006668,0.005148,16.327057,-550.484375,-2.546463,0.002024
FC(F)OCC(F)(F)C(F)(F)C(F)F,Oc1cc(O)ncn1,0.256988,0.000188,11.991486,2102.376953,-2.700790,0.003483,12.070679,1254.822266,-2.557640,0.007594
FC(F)OCC(F)(F)C(F)(F)C(F)F,COCCCCl,0.261757,0.000207,14.783661,-259.419922,-2.719185,0.004824,16.441345,-385.750000,-2.514313,0.001977
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCCOC,0.253219,0.000194,15.597198,-422.128906,-2.787254,0.004579,17.505493,-480.642578,-2.672302,0.001794
FC(F)OCC(F)(F)C(F)(F)C(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.273408,0.000234,16.316498,-269.025391,-2.933350,0.005460,15.307190,-407.833984,-2.506386,0.002509
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCP(CC)CC,0.260988,0.000204,14.715179,-254.205078,-2.622704,0.004177,16.379913,-285.203125,-2.530739,0.002294
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.258173,0.000205,16.259399,-162.310547,-2.751663,0.004251,16.381897,-645.816406,-2.738640,0.002918
FC(F)OCC(F)(F)C(F)(F)C(F)F,Fc1cc(F)c(F)cc1F,0.275070,0.000241,16.230103,-267.976562,-2.963585,0.005710,15.671143,-412.677734,-2.538193,0.002179
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCCCc1ccc(C(=O)O)cc1,0.276048,0.000236,14.459839,718.947266,-2.825455,0.004920,13.304047,94.869141,-2.504074,0.004904
FC(F)OCC(F)(F)C(F)(F)C(F)F,C=Cc1c(C)cc(C)cc1C,0.274229,0.000229,14.473206,109.425781,-2.699196,0.005031,14.026947,-77.478516,-2.414848,0.003232
FC(F)OCC(F)(F)C(F)(F)C(F)F,C=C(C)C(=O)OC(C)(C)C,0.257476,0.000209,16.782928,-295.164062,-2.950485,0.004958,16.397400,-595.146484,-2.620964,0.001937
FC(F)OCC(F)(F)C(F)(F)C(F)F,FC1CCCN1,0.253176,0.000201,17.651276,-427.947266,-3.138390,0.005092,17.855865,-679.417969,-2.736649,0.001663
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCCCCCCC(=O)NC,0.264867,0.000219,16.201874,296.605469,-2.879951,0.004300,15.156647,-400.488281,-2.660995,0.003978
FC(F)OCC(F)(F)C(F)(F)C(F)F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.272771,0.000235,16.670929,-209.189453,-3.004471,0.005587,15.622833,-481.615234,-2.557365,0.002704
FC(F)OCC(F)(F)C(F)(F)C(F)F,C1=CC2C=CC1C2,0.270640,0.000222,14.300262,-54.589844,-2.679672,0.005231,14.967529,-106.027344,-2.512703,0.002736
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCC(C)(O)CCC=C(C)C,0.268302,0.000222,15.043243,378.390625,-2.837265,0.005057,14.166168,-172.941406,-2.511482,0.003991
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.245374,0.000184,17.110077,1092.695312,-2.712349,0.002002,15.055176,-185.646484,-3.116623,0.006447
FC(F)OCC(F)(F)C(F)(F)C(F)F,CCC(C)CCF,0.270770,0.000228,15.575104,-177.169922,-2.828041,0.005278,15.528748,-361.544922,-2.551346,0.002463
FC(F)OCC(F)(F)C(F)(F)C(F)F,C=Cc1cccc(CC)c1,0.275942,0.000234,14.680176,81.728516,-2.732864,0.005136,14.139862,-126.023438,-2.430359,0.003135
