SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FCC(Cl)C(C(F)(F)F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.243520,0.000188,18.363190,-317.097656,-3.178711,0.004557,16.844025,-698.222656,-2.640678,0.001946
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.264396,0.000214,17.101501,614.312500,-3.006805,0.003756,13.131195,-131.027344,-2.427208,0.004536
FCC(Cl)C(C(F)(F)F)C(F)(F)F,Cc1cccc(CO)c1,0.267973,0.000229,16.477173,316.435547,-3.048035,0.004767,14.686279,-259.183594,-2.564201,0.003799
FCC(Cl)C(C(F)(F)F)C(F)(F)F,COC(C)CO,0.236657,0.000168,18.946411,-498.576172,-3.177101,0.004228,18.003510,-916.193359,-2.816757,0.002059
FCC(Cl)C(C(F)(F)F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.253128,0.000192,15.844452,1540.783203,-2.829399,0.001830,11.256104,682.205078,-2.423256,0.006342
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC(Cl)Br,0.270404,0.000231,15.546997,-109.646484,-2.920616,0.005583,15.332855,-291.679688,-2.435181,0.001958
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CCCOC(F)F,0.263801,0.000227,17.306030,-372.658203,-3.098610,0.005475,17.129120,-641.166016,-2.676277,0.001580
FCC(Cl)C(C(F)(F)F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.254467,0.000196,15.583099,-288.570312,-2.692543,0.004131,16.496033,-438.642578,-2.617424,0.002216
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CCC(=O)C1=NCCC1,0.236378,0.000167,18.150879,-660.085938,-3.016289,0.004219,18.358002,-898.962891,-2.815392,0.001369
FCC(Cl)C(C(F)(F)F)C(F)(F)F,NC(CF)(CF)CF,0.249227,0.000195,17.683990,-370.076172,-3.083923,0.004724,17.153748,-714.421875,-2.630959,0.001673
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.246586,0.000188,17.565277,-426.423828,-3.004387,0.004586,17.135376,-753.019531,-2.699715,0.001749
FCC(Cl)C(C(F)(F)F)C(F)(F)F,Cc1coc(C)n1,0.235727,0.000164,18.489655,-698.167969,-3.118858,0.004478,18.511902,-890.863281,-2.825256,0.001339
FCC(Cl)C(C(F)(F)F)C(F)(F)F,NC(=S)NC(N)=S,0.241020,0.000155,13.777618,1480.121094,-2.918755,0.005143,13.439606,1036.326172,-2.295982,0.004415
FCC(Cl)C(C(F)(F)F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.264809,0.000231,17.597748,-406.539062,-3.215523,0.005980,17.244324,-563.337891,-2.627419,0.001255
FCC(Cl)C(C(F)(F)F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.271160,0.000229,16.205750,-179.808594,-2.866615,0.005083,15.296936,-447.480469,-2.538994,0.002813
FCC(Cl)C(C(F)(F)F)C(F)(F)F,NNC(=O)c1ccccc1,0.266195,0.000219,16.727448,484.568359,-3.051460,0.004527,14.657562,-190.511719,-2.576180,0.004150
FCC(Cl)C(C(F)(F)F)C(F)(F)F,ClC=CBr,0.272753,0.000232,14.858276,-112.896484,-2.799332,0.005541,15.284180,-200.496094,-2.445427,0.001985
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CN(C)N=O,0.227374,0.000144,18.928375,-608.187500,-3.218903,0.004308,18.807892,-896.705078,-2.785164,0.001743
FCC(Cl)C(C(F)(F)F)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.273507,0.000232,15.251282,66.273438,-2.772766,0.004855,14.578644,-226.775391,-2.528732,0.003245
FCC(Cl)C(C(F)(F)F)C(F)(F)F,N#Cc1ccncc1,0.235618,0.000165,18.595306,-642.603516,-3.121315,0.004286,18.392303,-893.546875,-2.798996,0.001563
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.252965,0.000199,17.098907,-33.160156,-3.040253,0.004424,15.861206,-441.568359,-2.528160,0.002573
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CCC(N)CC,0.232600,0.000156,17.530731,-615.279297,-2.941620,0.004088,17.341217,-839.226562,-2.630028,0.001378
FCC(Cl)C(C(F)(F)F)C(F)(F)F,COC(=O)CO,0.240364,0.000177,18.808258,-260.847656,-3.268433,0.004216,17.192474,-615.947266,-2.648582,0.002072
FCC(Cl)C(C(F)(F)F)C(F)(F)F,Cc1c(N)cccc1Cl,0.263945,0.000216,15.604462,66.390625,-2.899490,0.004982,14.959991,-296.958984,-2.445930,0.002745
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.268462,0.000231,16.645966,343.732422,-3.032646,0.004686,15.230316,-364.691406,-2.691582,0.004089
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC(F)(Cl)CF,0.266830,0.000234,17.410553,-318.507812,-3.185303,0.005758,17.018738,-568.578125,-2.633362,0.001618
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.250693,0.000192,16.751678,-348.449219,-2.822281,0.004241,17.010742,-697.078125,-2.750854,0.002261
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC(C)(C)OCC1CO1,0.242157,0.000180,18.332489,-578.583984,-3.096794,0.004487,18.253845,-881.095703,-2.829346,0.001599
FCC(Cl)C(C(F)(F)F)C(F)(F)F,O=P(O)(O)OP(=O)(O)O,0.189050,0.000068,11.722839,4254.195312,-2.107903,-0.000689,7.435455,2995.933594,-2.252350,0.009698
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC(=O)Nc1ccc(C)cc1,0.267769,0.000224,16.383911,332.148438,-2.960724,0.004439,14.786957,-316.630859,-2.590454,0.003950
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.251590,0.000186,17.947296,435.376953,-3.105568,0.003664,13.227570,-63.517578,-2.235748,0.003219
FCC(Cl)C(C(F)(F)F)C(F)(F)F,CC(C)(O)CCC1CCCCC1,0.267697,0.000226,16.047180,400.734375,-2.935623,0.004568,14.431366,-251.050781,-2.575546,0.004161
FCC(Cl)C(C(F)(F)F)C(F)(F)F,COCC(F)(F)F,0.256899,0.000215,17.764618,-462.478516,-3.132942,0.005248,17.598755,-701.882812,-2.688980,0.001333
FCC(Cl)C(C(F)(F)F)C(F)(F)F,COCC(O)COC,0.229146,0.000156,20.048218,-700.261719,-3.290512,0.004124,19.175751,-1046.503906,-2.967819,0.001771
