SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.250913,0.000198,19.630310,-165.398438,-3.348854,0.004467,14.000793,-424.507812,-2.221413,0.001499
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(=O)Nc1ccc(C=O)cc1,0.265750,0.000201,15.833710,1620.152344,-2.852577,0.002647,9.368713,753.841797,-2.123383,0.006005
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,Cc1cccc(CO)c1,0.280423,0.000241,16.118683,634.017578,-3.081665,0.004661,11.522308,50.980469,-2.183296,0.004379
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,COC(C)CO,0.270103,0.000225,16.463318,249.890625,-3.132538,0.004888,14.527130,-286.279297,-2.417427,0.003339
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,Nc1nc(=O)c2ccccc2o1,0.240013,0.000156,15.675354,2560.281250,-2.642532,0.000174,7.326599,1472.419922,-2.090988,0.007305
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(Cl)Br,0.265366,0.000231,17.647949,-402.650391,-3.231209,0.005860,16.154755,-448.738281,-2.435860,0.000863
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CCCOC(F)F,0.273120,0.000242,16.885071,-266.878906,-3.139671,0.005967,15.520752,-413.785156,-2.417404,0.001507
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,COC1CC2CCC1(C)C2(C)C,0.255581,0.000215,18.079407,-478.111328,-3.181236,0.005235,16.988800,-695.128906,-2.619202,0.001212
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CCC(=O)C1=NCCC1,0.258800,0.000214,17.924377,-263.554688,-3.237099,0.005168,16.584229,-629.677734,-2.571609,0.001945
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,NC(CF)(CF)CF,0.264995,0.000213,16.086060,218.367188,-3.098274,0.005445,13.955353,-123.162109,-2.213219,0.002619
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(C)CCCC(C)CC=O,0.259989,0.000223,18.567261,-385.871094,-3.285538,0.005374,16.400879,-679.125000,-2.563446,0.001552
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,Cc1coc(C)n1,0.256524,0.000212,18.321838,-332.773438,-3.286621,0.005217,16.651520,-598.615234,-2.548065,0.001506
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,NC(=S)NC(N)=S,0.204178,0.000083,15.325165,2116.669922,-3.056007,0.003529,10.684387,1615.820312,-2.075806,0.004002
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,FC(F)C(Cl)C(F)F,0.264565,0.000219,16.577728,-63.279297,-3.229691,0.006279,14.781494,-51.707031,-2.194656,0.001169
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265057,0.000214,14.491333,502.558594,-2.815842,0.004932,12.332489,214.458984,-2.150162,0.003327
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,NNC(=O)c1ccccc1,0.276650,0.000223,15.009369,1235.677734,-2.978790,0.003990,10.368591,458.095703,-2.117325,0.005654
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,ClC=CBr,0.264505,0.000229,17.169739,-449.617188,-3.132607,0.005841,16.385162,-508.568359,-2.478493,0.000878
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CN(C)N=O,0.251338,0.000186,17.169037,74.097656,-3.229622,0.005256,15.367126,-151.689453,-2.261749,0.001511
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,c1ccc(C2CCCCC2)cc1,0.269720,0.000241,17.629517,-313.332031,-3.196342,0.005814,15.605835,-577.322266,-2.498230,0.001739
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,N#Cc1ccncc1,0.254276,0.000202,18.906067,-242.541016,-3.295799,0.004791,15.923065,-616.279297,-2.486099,0.002050
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CN(C)C(=S)Nc1ccccc1,0.259913,0.000200,17.687988,465.603516,-3.141281,0.004263,12.472656,27.720703,-2.168785,0.002929
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CCC(N)CC,0.256088,0.000213,17.855499,-259.531250,-3.242882,0.005351,16.925751,-660.955078,-2.651260,0.001962
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,COC(=O)CO,0.262480,0.000204,15.942810,522.261719,-3.194077,0.004876,13.022736,197.556641,-2.100807,0.002983
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,Cc1c(N)cccc1Cl,0.262904,0.000216,17.236237,16.015625,-3.172165,0.005067,14.645874,-384.564453,-2.351173,0.002405
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC1CCC(C(C)(C)OO)CC1,0.278675,0.000246,16.592896,380.294922,-3.101448,0.004763,13.754272,-298.054688,-2.494797,0.004134
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(F)(Cl)CF,0.269392,0.000233,16.987274,-254.500000,-3.180122,0.005869,15.290894,-287.115234,-2.286652,0.001187
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CCCCC1OC(C)CC(C)(C)O1,0.259323,0.000222,18.401428,-371.792969,-3.242523,0.005187,16.894592,-747.462891,-2.662827,0.001880
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(C)(C)OCC1CO1,0.260543,0.000220,18.085358,-325.611328,-3.258682,0.005335,16.648682,-649.681641,-2.581520,0.001785
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,O=P(O)(O)OP(=O)(O)O,0.154185,0.000012,13.553192,4743.558594,-2.034515,-0.002746,5.358856,3461.173828,-2.023476,0.008837
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(=O)Nc1ccc(C)cc1,0.278810,0.000234,16.623901,841.046875,-3.030014,0.004058,11.109070,141.019531,-2.198372,0.004735
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.224740,0.000125,17.517914,1399.166016,-3.232925,0.003269,10.179321,995.650391,-2.002594,0.003180
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(C)(O)CCC1CCCCC1,0.279308,0.000247,16.831909,457.349609,-3.114792,0.004667,12.765045,-141.638672,-2.391197,0.004070
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,COCC(F)(F)F,0.268078,0.000228,16.367065,-129.205078,-3.081100,0.005631,15.242004,-281.021484,-2.327530,0.001611
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,COCC(O)COC,0.266150,0.000218,16.902161,-10.947266,-3.158173,0.005159,15.185059,-421.703125,-2.381516,0.002457
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.259245,0.000192,15.307281,1937.945312,-2.835518,0.001603,9.252716,845.232422,-2.246010,0.007298
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.244769,0.000164,15.652344,1805.150391,-2.976105,0.002067,9.284027,943.970703,-2.087387,0.006072
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CC(C)C(F)F,0.272947,0.000243,16.737579,-300.210938,-3.142204,0.006096,15.778931,-445.503906,-2.451935,0.001493
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CCCCC1C=C(C)CC(C)O1,0.255334,0.000214,18.329010,-427.068359,-3.216583,0.005115,16.935181,-727.009766,-2.637772,0.001526
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,COc1ccc(C(C)=O)cc1,0.263306,0.000214,17.809204,-61.576172,-3.191849,0.005018,14.350464,-381.246094,-2.285698,0.002023
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,Oc1cc(O)ncn1,0.253830,0.000177,13.376495,2172.326172,-2.869476,0.002561,9.883942,1128.060547,-2.291603,0.007526
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,COCCCCl,0.263393,0.000222,17.181763,-306.652344,-3.163559,0.005528,16.393921,-549.001953,-2.516693,0.001611
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,CCCOC,0.257831,0.000218,17.832092,-447.550781,-3.214447,0.005423,17.474640,-707.673828,-2.670563,0.001339
FC(F)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,Fc1c(F)c(F)c(F)c(F)c1F,0.270215,0.000236,16.305634,-190.287109,-2.991188,0.005711,14.165527,-339.320312,-2.269585,0.001610
