SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.235330,0.000167,17.884186,114.410156,-3.106239,0.003838,14.630219,-140.427734,-2.289940,0.001957
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.241529,0.000164,15.808411,1622.314453,-2.838226,0.002039,10.769226,909.792969,-2.287323,0.005695
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,Cc1cccc(CO)c1,0.259004,0.000206,15.702240,718.642578,-2.996758,0.004323,12.541595,320.480469,-2.303253,0.004118
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,COC(C)CO,0.243081,0.000176,17.613495,-74.853516,-3.140167,0.004252,16.017578,-452.812500,-2.495888,0.002611
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.217325,0.000121,15.033112,2557.611328,-2.634117,0.000045,9.172577,1717.087891,-2.302231,0.006820
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,CC(Cl)Br,0.268654,0.000222,14.611725,234.792969,-2.833504,0.005360,13.045319,191.304688,-2.086433,0.002251
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,CCCOC(F)F,0.262551,0.000223,16.911804,-287.089844,-3.057404,0.005398,16.282867,-461.519531,-2.501198,0.001354
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.252056,0.000191,15.307495,-121.552734,-2.676834,0.004243,14.786713,-269.613281,-2.343674,0.001873
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,CCC(=O)C1=NCCC1,0.242000,0.000176,16.557404,-314.939453,-2.879837,0.004247,16.227142,-469.847656,-2.444023,0.001403
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,NC(CF)(CF)CF,0.251561,0.000194,16.739166,-117.152344,-2.990875,0.004650,15.600586,-418.400391,-2.361008,0.001792
FC(F)C(F)(F)N(C(F)(F)F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.248076,0.000191,17.000977,-204.009766,-2.961159,0.004400,15.289764,-417.279297,-2.390266,0.001695
