SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.231397,0.000157,17.596558,171.929688,-3.007607,0.003483,13.750092,-105.160156,-2.177391,0.002186
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.235434,0.000149,15.376129,1539.890625,-2.671318,0.001482,9.832458,852.132812,-2.095367,0.005677
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,Cc1cccc(CO)c1,0.254818,0.000198,15.497314,701.660156,-2.946358,0.004086,12.724915,318.843750,-2.298889,0.004016
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,COC(C)CO,0.237383,0.000164,17.745789,-121.207031,-3.090561,0.003966,15.526733,-454.027344,-2.414230,0.002346
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.218140,0.000122,14.522064,2619.640625,-2.443993,-0.000575,9.089783,1718.576172,-2.286545,0.007178
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CC(Cl)Br,0.267036,0.000218,14.549377,315.992188,-2.843491,0.005302,12.978973,255.296875,-2.093880,0.002447
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCCOC(F)F,0.260918,0.000220,16.952515,-281.060547,-3.062599,0.005352,16.232147,-442.119141,-2.475739,0.001283
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.248521,0.000187,15.681458,-157.951172,-2.706528,0.004095,14.812073,-309.562500,-2.329277,0.001654
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCC(=O)C1=NCCC1,0.235706,0.000163,16.599762,-321.968750,-2.825089,0.003844,15.722046,-461.775391,-2.367340,0.001352
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,NC(CF)(CF)CF,0.245187,0.000180,16.596008,-187.714844,-2.890991,0.004257,15.172516,-444.009766,-2.281952,0.001610
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.245832,0.000188,16.891144,-226.242188,-2.930481,0.004349,15.384613,-416.810547,-2.378113,0.001448
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,Cc1coc(C)n1,0.231244,0.000151,17.221313,-564.931641,-2.995338,0.004416,16.473297,-571.068359,-2.351234,0.000940
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,NC(=S)NC(N)=S,0.168275,0.000025,13.189972,3222.230469,-2.578835,0.001893,10.629761,2876.970703,-2.292480,0.004508
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.264913,0.000227,17.294769,-283.128906,-3.187447,0.005934,15.809906,-311.257812,-2.351257,0.000992
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265272,0.000237,18.613953,-464.689453,-3.257904,0.005627,16.326782,-614.513672,-2.526039,0.001478
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,NNC(=O)c1ccccc1,0.245929,0.000170,14.293274,1376.775391,-2.652809,0.002296,11.528992,781.208984,-2.279243,0.005419
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,ClC=CBr,0.266945,0.000216,13.273590,371.468750,-2.739143,0.005871,12.624359,448.082031,-2.064171,0.002394
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CN(C)N=O,0.228749,0.000142,17.445923,-218.253906,-3.055695,0.004185,15.773529,-391.707031,-2.218048,0.001506
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.267974,0.000220,14.548737,429.642578,-2.718735,0.004635,12.478424,84.179688,-2.211533,0.003492
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,N#Cc1ccncc1,0.232057,0.000150,16.827179,-389.998047,-2.905418,0.004050,15.667236,-509.791016,-2.296165,0.001472
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.233084,0.000150,16.111542,807.503906,-2.891716,0.002890,12.889893,439.996094,-2.186081,0.003447
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCC(N)CC,0.222033,0.000130,17.169037,-646.398438,-2.881706,0.003959,15.221039,-672.191406,-2.241158,0.000926
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,COC(=O)CO,0.240536,0.000169,17.472839,372.255859,-3.136002,0.003811,13.662476,100.802734,-2.087082,0.002351
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,Cc1c(N)cccc1Cl,0.250527,0.000182,14.454193,594.931641,-2.732521,0.004131,13.158020,293.410156,-2.237122,0.003477
FC(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.262118,0.000215,16.235657,673.921875,-2.940445,0.003834,13.375336,22.537109,-2.457977,0.004472
