SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.226620,0.000144,18.960510,551.746094,-3.335342,0.004094,12.518463,317.761719,-2.099365,0.001549
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(=O)Nc1ccc(C=O)cc1,0.223059,0.000123,15.291809,2429.835938,-2.778419,0.001254,8.867645,1670.554688,-2.246696,0.005917
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,Cc1cccc(CO)c1,0.262062,0.000202,14.748474,1104.330078,-2.984146,0.004190,11.006622,654.662109,-2.177689,0.004790
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,COC(C)CO,0.263093,0.000206,15.702332,492.591797,-3.063568,0.004673,13.501038,39.250000,-2.220589,0.003510
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,Nc1nc(=O)c2ccccc2o1,0.192452,0.000073,15.315796,3367.080078,-2.493126,-0.001319,7.122894,2428.224609,-2.224251,0.006787
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(Cl)Br,0.267448,0.000221,15.789368,124.568359,-2.988342,0.005297,12.956329,81.429688,-2.034599,0.001816
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CCCOC(F)F,0.270417,0.000235,17.002655,-175.212891,-3.131538,0.005733,14.812164,-328.759766,-2.315666,0.001526
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,COC1CC2CCC1(C)C2(C)C,0.253976,0.000199,16.082611,-10.958984,-2.937737,0.005058,14.506836,-276.318359,-2.321320,0.002060
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CCC(=O)C1=NCCC1,0.256225,0.000199,16.751099,168.302734,-3.117592,0.004880,14.387787,-153.642578,-2.289246,0.002388
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,NC(CF)(CF)CF,0.260128,0.000201,16.010986,313.447266,-3.116852,0.005349,13.365204,11.957031,-2.173180,0.002651
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(C)CCCC(C)CC=O,0.258492,0.000208,17.276947,99.542969,-3.127693,0.005018,13.990082,-211.083984,-2.276024,0.002165
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,Cc1coc(C)n1,0.254126,0.000199,16.758728,-38.697266,-3.129280,0.005239,15.143524,-193.919922,-2.291725,0.001679
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,NC(=S)NC(N)=S,0.170293,0.000030,14.555145,2859.105469,-2.833931,0.001639,9.972839,2498.593750,-2.080376,0.004177
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,FC(F)C(Cl)C(F)F,0.264502,0.000223,17.583191,-253.246094,-3.208008,0.005643,14.602661,-255.302734,-2.187653,0.000918
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.263895,0.000238,19.475952,-481.904297,-3.391678,0.005623,16.049896,-613.529297,-2.480682,0.001452
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,NNC(=O)c1ccccc1,0.231001,0.000135,13.808807,2084.335938,-2.923134,0.002995,10.137695,1506.789062,-2.264915,0.005667
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,ClC=CBr,0.266440,0.000219,15.117615,99.339844,-2.898376,0.005394,13.166687,78.953125,-2.081184,0.001902
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CN(C)N=O,0.232433,0.000146,16.963257,462.378906,-3.197571,0.004875,14.018433,331.000000,-2.119171,0.001280
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,c1ccc(C2CCCCC2)cc1,0.270894,0.000227,15.272736,337.666016,-2.919403,0.005346,12.560028,35.865234,-2.200638,0.003070
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,N#Cc1ccncc1,0.248921,0.000183,17.423279,198.806641,-3.143517,0.004524,14.485291,-106.146484,-2.280067,0.002028
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CN(C)C(=S)Nc1ccccc1,0.218851,0.000121,17.299225,1410.582031,-3.121910,0.002780,11.174408,1025.285156,-2.170784,0.003216
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CCC(N)CC,0.249463,0.000192,16.458984,-16.013672,-3.093185,0.005229,15.364288,-260.457031,-2.434448,0.002080
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,COC(=O)CO,0.240926,0.000161,15.977783,834.087891,-3.200745,0.004395,12.601074,621.863281,-2.049843,0.002557
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,Cc1c(N)cccc1Cl,0.256339,0.000192,15.640839,674.781250,-3.006287,0.004489,12.169159,317.382812,-2.122078,0.003445
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC1CCC(C(C)(C)OO)CC1,0.269434,0.000219,15.557404,979.929688,-2.998802,0.004049,11.778961,272.529297,-2.307236,0.004980
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(F)(Cl)CF,0.266831,0.000226,17.032471,-154.484375,-3.147163,0.005588,14.406311,-201.376953,-2.184319,0.001202
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CCCCC1OC(C)CC(C)(C)O1,0.255816,0.000202,17.040009,147.541016,-3.067574,0.004699,14.200775,-275.431641,-2.343971,0.002558
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(C)(C)OCC1CO1,0.260026,0.000209,16.856415,49.453125,-3.111763,0.005079,14.521210,-254.638672,-2.290054,0.002156
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,O=P(O)(O)OP(=O)(O)O,0.137931,-0.000012,13.582733,4931.511719,-1.936554,-0.003425,5.354462,3815.148438,-2.030945,0.008047
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(=O)Nc1ccc(C)cc1,0.256696,0.000187,15.150696,1535.726562,-2.904366,0.003150,10.382568,894.744141,-2.209053,0.005344
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.183991,0.000054,16.760864,2315.978516,-3.050117,0.001606,9.423309,1944.044922,-2.090744,0.003633
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(C)(O)CCC1CCCCC1,0.264559,0.000211,15.515442,1038.187500,-2.994148,0.004002,11.309143,440.560547,-2.266739,0.004856
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,COCC(F)(F)F,0.264867,0.000224,17.361053,-214.500000,-3.185234,0.005534,15.456573,-368.335938,-2.358147,0.001511
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,COCC(O)COC,0.255474,0.000192,16.345093,325.953125,-3.164795,0.004979,13.961121,-0.152344,-2.183434,0.002427
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.200958,0.000086,14.768219,3230.281250,-2.673828,-0.000626,7.735657,2224.216797,-2.341095,0.007452
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.205902,0.000093,14.760254,2701.683594,-2.817360,0.000518,8.644714,1909.103516,-2.227715,0.006432
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(C)C(F)F,0.271308,0.000239,16.816956,-232.125000,-3.153023,0.005966,15.348602,-370.029297,-2.387444,0.001507
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CCCCC1C=C(C)CC(C)O1,0.252965,0.000197,16.771484,28.380859,-3.003281,0.004780,14.406616,-275.658203,-2.312401,0.002039
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,COc1ccc(C(C)=O)cc1,0.249595,0.000181,17.015442,451.755859,-3.181198,0.004916,12.836121,236.609375,-2.118195,0.002067
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,Oc1cc(O)ncn1,0.217018,0.000110,12.606262,2878.056641,-2.736320,0.001424,9.373566,2025.220703,-2.369675,0.007468
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,COCCCCl,0.260197,0.000204,15.505096,106.113281,-2.957565,0.005253,14.272400,-73.458984,-2.246735,0.002152
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CCCOC,0.253938,0.000203,16.408081,-172.351562,-3.081009,0.005399,15.987671,-352.759766,-2.465134,0.001715
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.271672,0.000246,18.173340,-363.578125,-3.294014,0.006162,15.045349,-488.222656,-2.351341,0.001550
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CCP(CC)CC,0.254052,0.000202,16.566223,-127.822266,-3.012581,0.005074,14.677521,-319.873047,-2.297112,0.001688
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.255266,0.000199,17.379333,375.660156,-3.115883,0.004364,13.603912,-188.089844,-2.365456,0.003277
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,Fc1cc(F)c(F)cc1F,0.269906,0.000239,17.478271,-279.445312,-3.203560,0.005936,15.167908,-444.478516,-2.364502,0.001598
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,CCCCc1ccc(C(=O)O)cc1,0.261711,0.000202,15.013000,1285.640625,-2.969780,0.003710,10.898865,648.447266,-2.275520,0.005326
FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,C=Cc1c(C)cc(C)cc1C,0.268969,0.000225,15.411316,270.250000,-2.956917,0.005428,12.927185,17.804688,-2.223198,0.002851
