SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.225979,0.000144,17.262329,280.525391,-3.035286,0.003353,12.889343,95.404297,-2.015701,0.002120
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.225933,0.000131,15.136719,1397.785156,-2.661690,0.001568,9.666962,937.634766,-1.960442,0.004917
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cc1cccc(CO)c1,0.247024,0.000182,14.632385,777.787109,-2.852043,0.003935,12.349274,570.425781,-2.230171,0.003854
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(C)CO,0.231145,0.000151,17.397583,-171.519531,-3.035263,0.003774,15.516907,-366.664062,-2.314835,0.002030
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.207816,0.000102,14.155243,2535.201172,-2.418663,-0.000293,8.551758,1940.271484,-2.104599,0.006140
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(Cl)Br,0.263332,0.000210,13.870636,378.044922,-2.809677,0.005599,12.549469,497.322266,-1.994774,0.002181
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOC(F)F,0.259126,0.000216,16.794464,-238.044922,-3.050339,0.005223,16.206268,-362.857422,-2.462608,0.001333
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.244407,0.000178,15.029724,-102.494141,-2.630661,0.003773,14.856506,-129.253906,-2.305374,0.001714
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(=O)C1=NCCC1,0.232412,0.000154,16.046570,-283.916016,-2.764793,0.003740,15.324615,-320.812500,-2.250275,0.001251
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(CF)(CF)CF,0.244631,0.000177,16.209320,-125.888672,-2.867294,0.004290,14.876678,-266.951172,-2.198441,0.001593
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.243292,0.000183,16.682373,-198.115234,-2.905922,0.004165,15.329102,-312.869141,-2.345833,0.001379
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cc1coc(C)n1,0.227253,0.000143,16.646149,-556.205078,-2.940193,0.004482,16.538239,-446.968750,-2.302002,0.000761
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=S)NC(N)=S,0.158995,0.000012,12.213043,3328.857422,-2.465271,0.002269,10.741547,3302.318359,-2.204185,0.003665
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.263160,0.000222,17.043610,-260.324219,-3.188202,0.006143,15.942017,-232.906250,-2.301994,0.000884
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.261503,0.000231,18.865448,-505.646484,-3.273262,0.005503,16.545624,-607.296875,-2.519569,0.001244
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NNC(=O)c1ccccc1,0.237633,0.000152,13.386719,1321.240234,-2.572807,0.002636,11.287323,1008.810547,-2.100983,0.004681
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ClC=CBr,0.261797,0.000206,12.694733,393.435547,-2.708809,0.006151,12.597992,642.593750,-2.021614,0.002066
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)N=O,0.221673,0.000126,17.275269,-118.216797,-3.118408,0.004364,15.083771,-136.695312,-2.065704,0.001146
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.263699,0.000211,14.041077,485.896484,-2.684082,0.004635,12.222626,271.537109,-2.184364,0.003508
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N#Cc1ccncc1,0.225442,0.000136,16.683990,-437.546875,-2.873970,0.003909,15.361053,-430.287109,-2.171745,0.001154
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.219457,0.000125,15.372711,1072.224609,-2.826714,0.002544,12.732727,823.783203,-2.184982,0.003447
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(N)CC,0.216670,0.000119,16.700989,-676.494141,-2.829895,0.003989,15.129791,-574.369141,-2.168488,0.000657
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)CO,0.226148,0.000141,17.398468,488.771484,-3.168945,0.003737,13.384308,356.208984,-1.964340,0.001788
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cc1c(N)cccc1Cl,0.243580,0.000169,13.905060,635.230469,-2.660629,0.003863,13.062378,478.375000,-2.189911,0.003302
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.258543,0.000208,15.834778,635.316406,-2.864120,0.003573,13.250580,99.794922,-2.390556,0.004203
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(F)(Cl)CF,0.262704,0.000219,16.591614,-20.003906,-3.096642,0.005275,15.189636,-118.664062,-2.299026,0.001737
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.244168,0.000179,15.705872,-44.251953,-2.695129,0.003671,14.806305,-277.583984,-2.350838,0.001998
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(C)OCC1CO1,0.240398,0.000175,16.605316,-251.574219,-2.879189,0.004042,16.028290,-367.195312,-2.410889,0.001338
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=P(O)(O)OP(=O)(O)O,0.129424,-0.000024,13.433838,5093.531250,-1.624069,-0.003680,5.372650,4164.636719,-1.969284,0.007086
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)Nc1ccc(C)cc1,0.242973,0.000167,15.047302,797.822266,-2.756203,0.003113,11.512695,461.695312,-2.104851,0.004046
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.183728,0.000058,17.091797,2331.136719,-2.809563,0.000573,9.251312,1953.816406,-1.991432,0.003502
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)CCC1CCCCC1,0.253550,0.000196,15.288696,510.154297,-2.797035,0.003786,12.618835,143.400391,-2.263756,0.003841
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCC(F)(F)F,0.252005,0.000202,17.087799,-366.128906,-3.056267,0.005028,16.737762,-446.009766,-2.447746,0.001047
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCC(O)COC,0.226647,0.000138,17.904358,-145.660156,-3.020790,0.003439,13.929779,-348.781250,-2.095726,0.001921
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.207823,0.000106,15.524292,2678.214844,-2.535927,-0.000810,9.417236,1700.886719,-2.379692,0.007043
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.204087,0.000097,14.463074,2477.539062,-2.626991,0.000508,10.616913,1832.142578,-2.371193,0.005958
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)C(F)F,0.265063,0.000227,16.522949,-191.650391,-3.079132,0.005584,15.972198,-335.802734,-2.462761,0.001617
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC1C=C(C)CC(C)O1,0.241773,0.000173,15.552032,-130.148438,-2.659721,0.003669,14.474121,-235.945312,-2.273659,0.001670
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COc1ccc(C(C)=O)cc1,0.240203,0.000169,16.390015,-3.033203,-2.913620,0.003992,14.266479,-56.318359,-2.118370,0.001660
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Oc1cc(O)ncn1,0.218750,0.000120,12.393585,2520.212891,-2.600883,0.001856,11.193970,1930.052734,-2.401169,0.006589
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCCCCl,0.248189,0.000182,14.526947,-23.986328,-2.692062,0.004437,14.953217,-52.750000,-2.223953,0.001799
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOC,0.235640,0.000165,16.180634,-489.167969,-2.853653,0.004351,16.779175,-429.382812,-2.415359,0.000616
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.265472,0.000231,17.435211,-370.218750,-3.134148,0.005682,15.975250,-498.339844,-2.462479,0.001374
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCP(CC)CC,0.243186,0.000176,15.406555,-232.175781,-2.700661,0.004001,15.163422,-228.078125,-2.307854,0.001329
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.242675,0.000176,16.217102,157.130859,-2.722809,0.003122,13.953308,-241.677734,-2.317612,0.002887
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fc1cc(F)c(F)cc1F,0.265945,0.000228,16.564545,-260.242188,-3.035896,0.005669,15.645447,-392.945312,-2.405045,0.001444
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCc1ccc(C(=O)O)cc1,0.248100,0.000184,14.610992,1066.451172,-2.755478,0.003087,12.344635,629.710938,-2.396309,0.004770
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=Cc1c(C)cc(C)cc1C,0.260911,0.000209,14.319763,377.136719,-2.752121,0.004832,12.675690,234.041016,-2.187355,0.003072
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=C(C)C(=O)OC(C)(C)C,0.241613,0.000183,17.169434,-259.490234,-2.988312,0.004219,15.979706,-356.724609,-2.424309,0.001173
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC1CCCN1,0.240658,0.000176,16.963074,-299.986328,-3.026489,0.004454,17.258270,-374.976562,-2.470383,0.001313
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCC(=O)NC,0.246447,0.000179,16.688141,386.503906,-2.837791,0.003184,12.219604,-18.496094,-2.126938,0.003329
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.264138,0.000237,19.000610,-480.679688,-3.338409,0.005694,16.809998,-624.855469,-2.575294,0.001373
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C1=CC2C=CC1C2,0.259106,0.000205,14.106079,134.693359,-2.756203,0.005405,13.923889,192.714844,-2.289017,0.002174
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C)(O)CCC=C(C)C,0.252199,0.000195,15.667023,334.675781,-2.840576,0.004006,12.829010,40.468750,-2.226936,0.003275
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.202772,0.000105,18.393463,2805.570312,-2.257698,-0.002342,9.331970,1296.626953,-2.574661,0.007158
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C)CCF,0.260919,0.000214,15.782501,-63.347656,-2.923180,0.005213,14.996674,-231.421875,-2.378723,0.001902
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=Cc1cccc(CC)c1,0.261320,0.000209,14.353607,387.314453,-2.771347,0.004884,12.747772,236.357422,-2.202866,0.003140
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(C(O)(F)F)C(F)(F)F,0.247803,0.000200,18.164764,-318.980469,-3.287033,0.005411,16.999969,-476.873047,-2.503494,0.001198
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.264068,0.000217,14.720367,115.025391,-2.712372,0.004889,13.314178,68.529297,-2.224907,0.002240
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CC)c1ccc(N)cc1,0.232245,0.000150,15.836578,227.371094,-2.830856,0.003492,13.914398,-43.125000,-2.179420,0.002900
