SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FCCCF,O=P(Cl)(c1ccccc1)c1ccccc1,0.260145,0.000222,18.707520,-64.263672,-3.244667,0.005009,15.607025,-660.287109,-2.630325,0.002745
FCCCF,CC(=O)Nc1ccc(C=O)cc1,0.281577,0.000247,16.743683,933.117188,-3.045502,0.004151,11.397369,33.689453,-2.404663,0.005611
FCCCF,Cc1cccc(CO)c1,0.278497,0.000250,16.195221,455.992188,-3.132187,0.005448,13.540680,-220.722656,-2.499268,0.004533
FCCCF,COC(C)CO,0.273959,0.000241,16.432281,223.505859,-3.141556,0.005605,15.363892,-468.640625,-2.638344,0.003946
FCCCF,Nc1nc(=O)c2ccccc2o1,0.264071,0.000211,16.228119,1789.123047,-2.915840,0.002082,9.541199,722.603516,-2.374268,0.007243
FCCCF,CC(Cl)Br,0.268126,0.000234,16.775818,-353.187500,-3.010963,0.005633,15.780884,-541.314453,-2.495644,0.001453
FCCCF,CCCOC(F)F,0.275234,0.000245,16.543976,-319.451172,-2.990845,0.005755,15.801056,-532.107422,-2.575905,0.001973
FCCCF,COC1CC2CCC1(C)C2(C)C,0.265558,0.000216,15.477234,124.162109,-2.756317,0.004894,14.444153,-317.152344,-2.580093,0.003517
FCCCF,CCC(=O)C1=NCCC1,0.267792,0.000234,17.371674,-153.988281,-3.090485,0.005302,15.655457,-663.355469,-2.592567,0.002626
FCCCF,NC(CF)(CF)CF,0.270959,0.000239,17.082520,-123.236328,-3.187866,0.006159,16.150635,-573.330078,-2.613930,0.002469
FCCCF,CC(C)CCCC(C)CC=O,0.267707,0.000227,16.164703,166.246094,-2.956406,0.005516,14.971619,-442.164062,-2.631523,0.003434
FCCCF,Cc1coc(C)n1,0.267960,0.000233,17.195435,-191.554688,-3.153854,0.005968,16.146484,-608.683594,-2.616211,0.002386
FCCCF,NC(=S)NC(N)=S,0.254289,0.000193,17.260529,293.621094,-3.154663,0.005205,14.520508,-336.650391,-2.378311,0.003099
FCCCF,FC(F)C(Cl)C(F)F,0.259501,0.000228,18.632019,-579.375000,-3.260086,0.005591,17.418854,-720.863281,-2.692375,0.000923
FCCCF,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265049,0.000218,15.709320,-35.167969,-2.703545,0.004525,14.516022,-447.576172,-2.499069,0.002921
