SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.177508,0.000053,18.290497,1483.257812,-3.245338,0.003042,11.527985,1478.099609,-2.158539,0.001488
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.172008,0.000039,14.975433,2940.310547,-2.743546,0.000446,9.394287,2485.156250,-2.319160,0.005119
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Cc1cccc(CO)c1,0.219040,0.000122,13.623230,1725.554688,-2.998611,0.003943,11.197968,1596.292969,-2.263847,0.004243
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COC(C)CO,0.220097,0.000124,14.857361,1110.958984,-3.132950,0.004452,13.531281,989.953125,-2.277939,0.002821
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.146245,-0.000000,14.391022,3914.966797,-2.382401,-0.001694,7.095398,3357.716797,-2.227661,0.005780
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(Cl)Br,0.239804,0.000163,14.551697,636.937500,-2.996361,0.005666,12.060028,931.142578,-1.942513,0.001149
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCCOC(F)F,0.261185,0.000212,16.393311,-1.216797,-3.127907,0.005599,14.339233,-39.740234,-2.157440,0.001320
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.237568,0.000160,14.676544,376.619141,-2.895111,0.005129,13.745911,300.570312,-2.249123,0.002262
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCC(=O)C1=NCCC1,0.226037,0.000135,15.420746,737.056641,-3.127190,0.004972,13.555450,707.708984,-2.187561,0.002134
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,NC(CF)(CF)CF,0.228158,0.000138,15.240417,762.230469,-3.170082,0.005639,13.826599,705.943359,-2.205696,0.002134
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.230251,0.000148,16.259705,687.955078,-3.203430,0.005211,12.966492,616.476562,-2.187737,0.002024
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Cc1coc(C)n1,0.228728,0.000146,15.606720,453.339844,-3.185570,0.005652,14.792725,552.601562,-2.272430,0.001427
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,NC(=S)NC(N)=S,0.130000,-0.000033,11.629913,3621.138672,-2.468666,0.002011,11.045074,3785.310547,-2.173737,0.003305
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.249407,0.000189,17.060730,-16.697266,-3.280792,0.006095,14.610352,127.095703,-2.068436,0.000213
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.258474,0.000226,19.320984,-484.455078,-3.360405,0.005458,16.171875,-584.615234,-2.441895,0.001226
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,NNC(=O)c1ccccc1,0.182629,0.000052,12.613647,2790.798828,-2.818794,0.002602,10.469635,2536.333984,-2.377197,0.005004
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,ClC=CBr,0.243464,0.000168,13.260620,626.218750,-2.841499,0.005966,11.779663,995.433594,-1.918236,0.001395
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CN(C)N=O,0.187200,0.000065,15.617493,1219.298828,-3.138786,0.004399,14.226929,1440.681641,-2.240669,0.001206
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.250104,0.000179,14.101227,727.626953,-2.860474,0.005171,11.854736,627.447266,-2.132835,0.003100
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,N#Cc1ccncc1,0.215020,0.000116,16.775665,725.416016,-3.183449,0.004502,14.096832,671.306641,-2.256790,0.001621
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.159995,0.000019,16.095673,2338.826172,-2.899727,0.001380,10.434265,2260.683594,-2.197990,0.002834
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CCC(N)CC,0.237896,0.000162,14.723297,386.759766,-3.016220,0.005580,14.880249,331.873047,-2.355927,0.002361
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COC(=O)CO,0.189036,0.000071,15.415222,1458.916016,-3.191826,0.003604,13.110168,1554.720703,-2.191124,0.001939
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Cc1c(N)cccc1Cl,0.218187,0.000118,14.267731,1270.449219,-2.943687,0.003980,12.033752,1160.605469,-2.155075,0.003215
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.240142,0.000160,14.462952,1479.978516,-2.975525,0.003580,11.869263,949.156250,-2.351753,0.004954
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(F)(Cl)CF,0.250606,0.000190,16.640045,198.935547,-3.206619,0.005581,13.560211,292.015625,-2.026352,0.000808
