SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
FC(S)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.219717,0.000149,21.855621,-799.775391,-3.432526,0.003722,17.841217,-1226.445312,-2.866356,0.001940
FC(S)Cl,CC(=O)Nc1ccc(C=O)cc1,0.251993,0.000195,18.883118,76.992188,-3.131371,0.003764,14.963318,-733.707031,-2.676796,0.004136
FC(S)Cl,Cc1cccc(CO)c1,0.255521,0.000210,18.254700,-49.587891,-3.170967,0.004493,15.722137,-708.500000,-2.674942,0.003315
FC(S)Cl,COC(C)CO,0.226085,0.000146,20.422638,-658.550781,-3.271088,0.003989,17.456787,-1223.582031,-2.861351,0.002782
FC(S)Cl,Nc1nc(=O)c2ccccc2o1,0.254441,0.000198,18.528564,513.322266,-3.069801,0.003119,12.978210,-414.222656,-2.496880,0.004953
FC(S)Cl,CC(Cl)Br,0.263665,0.000229,17.537170,-386.314453,-3.100006,0.005377,16.557831,-650.103516,-2.621284,0.001568
FC(S)Cl,CCCOC(F)F,0.258659,0.000218,17.635223,-417.535156,-3.058350,0.005093,16.905670,-737.556641,-2.690979,0.001708
FC(S)Cl,COC1CC2CCC1(C)C2(C)C,0.231877,0.000153,17.806030,-608.248047,-2.840813,0.003598,16.575195,-901.691406,-2.665970,0.002143
FC(S)Cl,CCC(=O)C1=NCCC1,0.219570,0.000134,20.396484,-900.978516,-3.145393,0.003746,17.703949,-1189.492188,-2.903809,0.001905
FC(S)Cl,NC(CF)(CF)CF,0.237007,0.000167,18.484131,-517.714844,-3.089561,0.004267,16.219574,-948.019531,-2.556976,0.002094
FC(S)Cl,CC(C)CCCC(C)CC=O,0.233089,0.000165,19.118164,-631.771484,-3.097382,0.003984,17.615356,-1026.435547,-2.821007,0.001991
FC(S)Cl,Cc1coc(C)n1,0.214955,0.000123,20.807709,-980.929688,-3.306534,0.003820,17.655182,-1190.738281,-2.737007,0.001547
FC(S)Cl,NC(=S)NC(N)=S,0.266620,0.000208,16.188019,679.421875,-3.096397,0.005294,14.012756,-129.101562,-2.424042,0.004433
FC(S)Cl,FC(F)C(Cl)C(F)F,0.268805,0.000237,17.455811,-268.892578,-3.113205,0.005508,15.814209,-598.611328,-2.545921,0.001959
FC(S)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267214,0.000213,14.257477,698.435547,-2.545822,0.003922,12.830536,34.798828,-2.496933,0.004957
FC(S)Cl,NNC(=O)c1ccccc1,0.250523,0.000196,18.787659,-176.154297,-3.139664,0.004196,16.757507,-911.525391,-2.832794,0.003454
FC(S)Cl,ClC=CBr,0.268059,0.000230,16.475494,-310.083984,-2.942482,0.005367,15.923737,-516.388672,-2.569565,0.001832
FC(S)Cl,CN(C)N=O,0.212886,0.000118,21.364960,-904.013672,-3.421616,0.003948,18.471313,-1271.896484,-2.875099,0.002014
FC(S)Cl,c1ccc(C2CCCCC2)cc1,0.264266,0.000221,16.571930,-127.578125,-2.851524,0.004571,15.307037,-591.982422,-2.614410,0.003061
FC(S)Cl,N#Cc1ccncc1,0.221212,0.000138,20.748322,-899.935547,-3.267220,0.003902,18.146484,-1201.441406,-2.895813,0.001805
FC(S)Cl,CN(C)C(=S)Nc1ccccc1,0.243258,0.000191,19.820435,-467.220703,-3.284012,0.004299,18.141174,-1023.693359,-2.923355,0.002459
FC(S)Cl,CCC(N)CC,0.207816,0.000104,19.126526,-896.416016,-3.050812,0.003599,15.853699,-1186.205078,-2.434303,0.001641
FC(S)Cl,COC(=O)CO,0.234632,0.000167,19.879669,-541.212891,-3.301819,0.004139,17.238342,-1076.458984,-2.728844,0.002464
FC(S)Cl,Cc1c(N)cccc1Cl,0.256937,0.000215,17.940918,-242.462891,-3.100914,0.004770,16.781403,-786.484375,-2.735680,0.002487
FC(S)Cl,CC1CCC(C(C)(C)OO)CC1,0.262614,0.000225,17.792511,128.119141,-3.078995,0.004342,15.988068,-675.460938,-2.827271,0.004021
FC(S)Cl,CC(F)(Cl)CF,0.261271,0.000226,18.174561,-410.591797,-3.182014,0.005296,16.870850,-713.164062,-2.665977,0.001625
FC(S)Cl,CCCCC1OC(C)CC(C)(C)O1,0.228641,0.000150,18.701263,-636.900391,-2.921677,0.003535,17.148895,-1130.830078,-2.809830,0.002529
FC(S)Cl,CC(C)(C)OCC1CO1,0.229537,0.000156,19.684509,-733.177734,-3.132828,0.003885,17.867035,-1120.154297,-2.877457,0.002070
FC(S)Cl,O=P(O)(O)OP(=O)(O)O,0.223193,0.000127,13.993591,3671.248047,-2.270409,-0.000662,7.828796,1803.691406,-2.378044,0.010680
FC(S)Cl,CC(=O)Nc1ccc(C)cc1,0.255611,0.000207,18.200470,-106.384766,-3.086723,0.004331,16.151794,-813.199219,-2.775360,0.003554
FC(S)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.235724,0.000169,20.669159,-352.564453,-3.261024,0.003545,16.794281,-946.927734,-2.738480,0.002421
