SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Fc1cocn1,O=P(Cl)(c1ccccc1)c1ccccc1,0.241747,0.000198,20.081665,-521.957031,-3.321320,0.004360,18.061707,-943.099609,-2.852982,0.001631
Fc1cocn1,CC(=O)Nc1ccc(C=O)cc1,0.242288,0.000190,19.224060,-317.009766,-3.210114,0.004174,15.359772,-790.466797,-2.483490,0.002169
Fc1cocn1,Cc1cccc(CO)c1,0.248451,0.000202,18.679749,-292.703125,-3.188362,0.004530,15.587585,-703.496094,-2.520248,0.001989
Fc1cocn1,COC(C)CO,0.236218,0.000177,19.621826,-576.380859,-3.247314,0.004318,17.096832,-959.212891,-2.699326,0.001727
Fc1cocn1,Nc1nc(=O)c2ccccc2o1,0.244543,0.000187,19.362915,389.949219,-3.158875,0.002873,12.289978,-353.228516,-2.298546,0.004079
Fc1cocn1,CC(Cl)Br,0.263687,0.000223,16.585419,-390.890625,-2.959518,0.005320,16.978851,-538.824219,-2.685051,0.001469
Fc1cocn1,CCCOC(F)F,0.264739,0.000225,16.773468,-366.107422,-2.960930,0.005137,16.845276,-600.791016,-2.701500,0.001822
Fc1cocn1,COC1CC2CCC1(C)C2(C)C,0.246778,0.000185,16.916229,-360.109375,-2.811043,0.003899,16.550995,-651.755859,-2.697884,0.002324
Fc1cocn1,CCC(=O)C1=NCCC1,0.236541,0.000177,18.930786,-727.998047,-3.089539,0.004208,18.171295,-921.673828,-2.823814,0.001082
Fc1cocn1,NC(CF)(CF)CF,0.243572,0.000195,18.899017,-446.974609,-3.210526,0.004455,17.700043,-826.125000,-2.740395,0.001514
Fc1cocn1,CC(C)CCCC(C)CC=O,0.248620,0.000198,17.668488,-384.380859,-2.979156,0.004366,17.259857,-770.931641,-2.777458,0.001929
Fc1cocn1,Cc1coc(C)n1,0.236267,0.000177,19.098450,-734.300781,-3.173325,0.004352,17.957214,-901.253906,-2.731995,0.000923
Fc1cocn1,NC(=S)NC(N)=S,0.218209,0.000128,19.713196,-486.939453,-3.118744,0.003237,16.071320,-1005.185547,-2.499046,0.002294
Fc1cocn1,FC(F)C(Cl)C(F)F,0.256169,0.000214,17.835327,-555.191406,-3.095779,0.005157,17.832275,-739.753906,-2.769150,0.001144
Fc1cocn1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.251174,0.000192,15.878296,16.041016,-2.630707,0.003693,15.729797,-449.779297,-2.687302,0.002867
Fc1cocn1,NNC(=O)c1ccccc1,0.252636,0.000211,18.808716,-126.769531,-3.196320,0.004315,16.221100,-738.287109,-2.668175,0.002751
Fc1cocn1,ClC=CBr,0.266353,0.000223,16.033142,-345.775391,-2.859894,0.005216,16.711884,-430.769531,-2.703011,0.001852
Fc1cocn1,CN(C)N=O,0.238191,0.000182,19.484528,-595.857422,-3.281784,0.004549,18.384979,-927.228516,-2.806320,0.001336
Fc1cocn1,c1ccc(C2CCCCC2)cc1,0.266902,0.000218,15.581665,-90.994141,-2.694878,0.004440,15.510773,-357.669922,-2.700272,0.003182
Fc1cocn1,N#Cc1ccncc1,0.245202,0.000194,18.399261,-532.998047,-3.080299,0.004371,17.661011,-827.337891,-2.732445,0.001365
Fc1cocn1,CN(C)C(=S)Nc1ccccc1,0.211116,0.000127,20.707947,-986.054688,-3.272919,0.003532,17.275848,-1109.054688,-2.564705,0.000697
Fc1cocn1,CCC(N)CC,0.222647,0.000142,18.937653,-742.183594,-3.107407,0.003871,17.032440,-977.382812,-2.575996,0.001249
Fc1cocn1,COC(=O)CO,0.239692,0.000185,19.272369,-537.244141,-3.261307,0.004532,16.491364,-873.771484,-2.536201,0.001446
Fc1cocn1,Cc1c(N)cccc1Cl,0.243628,0.000194,18.570343,-479.390625,-3.125343,0.004383,17.150085,-769.138672,-2.683754,0.001344
Fc1cocn1,CC1CCC(C(C)(C)OO)CC1,0.232986,0.000169,18.901794,-521.423828,-3.117332,0.004021,15.584259,-868.853516,-2.450829,0.001583
Fc1cocn1,CC(F)(Cl)CF,0.263271,0.000228,17.666351,-430.244141,-3.124634,0.005378,17.194641,-674.939453,-2.692848,0.001500
Fc1cocn1,CCCCC1OC(C)CC(C)(C)O1,0.237490,0.000172,18.221344,-536.390625,-2.977211,0.003906,17.520447,-920.218750,-2.813789,0.002054
Fc1cocn1,CC(C)(C)OCC1CO1,0.243480,0.000191,18.732697,-598.531250,-3.143723,0.004492,18.509369,-911.488281,-2.902618,0.001492
Fc1cocn1,O=P(O)(O)OP(=O)(O)O,0.171483,0.000017,20.442993,-703.248047,-3.264793,0.003654,5.859741,-1269.140625,-1.089752,0.002610
Fc1cocn1,CC(=O)Nc1ccc(C)cc1,0.243387,0.000191,18.753296,-458.404297,-3.129379,0.004348,15.608826,-792.015625,-2.482361,0.001608
Fc1cocn1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.251007,0.000200,19.002136,-135.056641,-3.205261,0.004226,16.075348,-627.843750,-2.564087,0.002165
Fc1cocn1,CC(C)(O)CCC1CCCCC1,0.240935,0.000185,18.407349,-282.849609,-3.068474,0.003932,15.177216,-729.355469,-2.498489,0.002267
Fc1cocn1,COCC(F)(F)F,0.260445,0.000220,17.285126,-405.794922,-3.036865,0.005090,17.276093,-656.839844,-2.716103,0.001607
Fc1cocn1,COCC(O)COC,0.227297,0.000160,20.467194,-816.125000,-3.315926,0.004157,17.881744,-1069.169922,-2.774635,0.001299
Fc1cocn1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.244922,0.000198,19.454254,32.091797,-3.203705,0.003300,16.018311,-726.503906,-2.781311,0.003468
Fc1cocn1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.215891,0.000140,20.612579,-601.521484,-3.289375,0.003430,15.949493,-1003.031250,-2.453362,0.001540
Fc1cocn1,CC(C)C(F)F,0.269645,0.000231,16.191833,-313.410156,-2.892410,0.005266,16.538940,-481.177734,-2.714928,0.002125
Fc1cocn1,CCCCC1C=C(C)CC(C)O1,0.242187,0.000179,17.390869,-448.298828,-2.846367,0.003804,16.805817,-740.222656,-2.726982,0.002104
Fc1cocn1,COc1ccc(C(C)=O)cc1,0.246797,0.000199,18.919067,-536.193359,-3.204163,0.004658,17.994873,-870.152344,-2.816353,0.001523
Fc1cocn1,Oc1cc(O)ncn1,0.225657,0.000145,18.596710,2.857422,-3.052017,0.003284,11.582886,-671.875000,-1.981621,0.003249
Fc1cocn1,COCCCCl,0.254491,0.000206,17.126038,-489.480469,-2.972443,0.004853,17.563385,-696.087891,-2.743057,0.001419
Fc1cocn1,CCCOC,0.242464,0.000181,17.672455,-601.396484,-2.978096,0.004350,17.825012,-770.697266,-2.764877,0.001389
Fc1cocn1,Fc1c(F)c(F)c(F)c(F)c1F,0.265301,0.000213,15.363098,-129.009766,-2.671776,0.004497,15.534576,-329.587891,-2.662315,0.002929
Fc1cocn1,CCP(CC)CC,0.241413,0.000178,17.381348,-522.710938,-2.868767,0.003924,17.100891,-705.197266,-2.712151,0.001696
Fc1cocn1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.228573,0.000155,19.023895,-590.730469,-3.028526,0.003660,17.354797,-1089.654297,-2.835770,0.002394
Fc1cocn1,Fc1cc(F)c(F)cc1F,0.266419,0.000223,16.068817,-268.787109,-2.832146,0.004950,16.065033,-495.234375,-2.642914,0.002237
Fc1cocn1,CCCCc1ccc(C(=O)O)cc1,0.233901,0.000170,18.461273,-540.140625,-3.046097,0.004077,15.268494,-808.195312,-2.386368,0.001282
Fc1cocn1,C=Cc1c(C)cc(C)cc1C,0.267016,0.000221,15.897156,-145.839844,-2.766594,0.004605,15.561523,-460.837891,-2.657913,0.002955
Fc1cocn1,C=C(C)C(=O)OC(C)(C)C,0.248804,0.000200,18.052032,-449.134766,-3.056564,0.004527,17.300079,-776.498047,-2.762848,0.001749
Fc1cocn1,FC1CCCN1,0.235256,0.000180,20.236969,-698.957031,-3.380936,0.004389,18.857086,-952.109375,-2.869865,0.001149
Fc1cocn1,CCCCCCCC(=O)NC,0.233547,0.000171,19.367004,-499.404297,-3.165039,0.003890,16.861145,-939.734375,-2.694305,0.001930
Fc1cocn1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.263494,0.000210,15.711548,46.177734,-2.696938,0.004287,15.241882,-381.384766,-2.656563,0.003456
Fc1cocn1,C1=CC2C=CC1C2,0.269481,0.000220,15.262756,-223.822266,-2.684868,0.004812,15.967957,-288.378906,-2.724380,0.002853
Fc1cocn1,CCC(C)(O)CCC=C(C)C,0.234878,0.000173,18.830811,-444.871094,-3.097214,0.003955,15.332275,-837.468750,-2.460030,0.001850
