SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
N#Cc1ccco1,O=P(Cl)(c1ccccc1)c1ccccc1,0.242820,0.000198,19.798523,-586.310547,-3.303711,0.004623,17.670319,-895.701172,-2.767059,0.001314
N#Cc1ccco1,CC(=O)Nc1ccc(C=O)cc1,0.264989,0.000230,18.069794,77.871094,-3.181427,0.004774,15.472321,-512.468750,-2.653542,0.003180
N#Cc1ccco1,Cc1cccc(CO)c1,0.258766,0.000217,17.286102,3.226562,-3.151878,0.005361,15.864471,-445.117188,-2.665222,0.002848
N#Cc1ccco1,COC(C)CO,0.247682,0.000198,18.512970,-360.945312,-3.167877,0.004627,17.725586,-818.724609,-2.811623,0.001981
N#Cc1ccco1,Nc1nc(=O)c2ccccc2o1,0.266922,0.000223,17.894684,776.238281,-3.114250,0.003687,11.889099,14.447266,-2.361214,0.004794
N#Cc1ccco1,CC(Cl)Br,0.262159,0.000220,17.105438,-581.484375,-3.032883,0.005591,17.911682,-454.724609,-2.816879,0.001274
N#Cc1ccco1,CCCOC(F)F,0.265928,0.000222,16.285004,-446.998047,-2.887222,0.005216,16.990997,-420.771484,-2.732582,0.001729
N#Cc1ccco1,COC1CC2CCC1(C)C2(C)C,0.244501,0.000175,15.986023,-348.833984,-2.648941,0.003717,15.947052,-432.257812,-2.611534,0.002347
N#Cc1ccco1,CCC(=O)C1=NCCC1,0.240286,0.000181,18.174774,-707.056641,-2.999680,0.004289,17.939667,-817.123047,-2.772675,0.001001
N#Cc1ccco1,NC(CF)(CF)CF,0.251252,0.000203,17.984955,-359.873047,-3.168182,0.005182,17.201965,-717.455078,-2.674110,0.001683
N#Cc1ccco1,CC(C)CCCC(C)CC=O,0.247755,0.000188,16.737183,-366.001953,-2.856911,0.004386,16.520203,-597.980469,-2.675926,0.002075
N#Cc1ccco1,Cc1coc(C)n1,0.241046,0.000181,18.181244,-611.724609,-3.079445,0.004492,17.520233,-816.603516,-2.665367,0.001151
N#Cc1ccco1,NC(=S)NC(N)=S,0.231272,0.000158,19.382263,-383.427734,-3.231934,0.004405,18.495850,-859.015625,-2.868637,0.002016
N#Cc1ccco1,FC(F)C(Cl)C(F)F,0.247795,0.000193,18.200043,-713.134766,-3.131119,0.005120,18.185211,-758.574219,-2.789291,0.000937
N#Cc1ccco1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.247590,0.000178,15.276489,129.544922,-2.489456,0.003416,14.865784,-274.380859,-2.622208,0.003093
N#Cc1ccco1,NNC(=O)c1ccccc1,0.263843,0.000225,17.961853,31.208984,-3.206932,0.005196,15.770233,-535.472656,-2.632126,0.002951
N#Cc1ccco1,ClC=CBr,0.262019,0.000214,16.501709,-562.984375,-2.913132,0.005398,17.604065,-342.427734,-2.811195,0.001532
N#Cc1ccco1,CN(C)N=O,0.243679,0.000193,19.217896,-620.982422,-3.277153,0.004847,18.471649,-868.494141,-2.797318,0.001107
N#Cc1ccco1,c1ccc(C2CCCCC2)cc1,0.266674,0.000212,14.900970,-232.533203,-2.625259,0.004654,15.923615,-154.726562,-2.722916,0.002984
N#Cc1ccco1,N#Cc1ccncc1,0.252666,0.000207,17.945984,-511.564453,-3.095329,0.004878,17.543488,-762.941406,-2.690269,0.001294
N#Cc1ccco1,CN(C)C(=S)Nc1ccccc1,0.233998,0.000178,20.157257,-754.365234,-3.318604,0.004296,18.535034,-945.906250,-2.826241,0.000915
N#Cc1ccco1,CCC(N)CC,0.226630,0.000146,17.415710,-524.074219,-3.003487,0.004551,17.196533,-745.812500,-2.639977,0.001619
N#Cc1ccco1,COC(=O)CO,0.253831,0.000215,18.878693,-351.142578,-3.287231,0.004975,17.392853,-763.962891,-2.727020,0.001827
N#Cc1ccco1,Cc1c(N)cccc1Cl,0.250233,0.000204,18.138336,-471.787109,-3.132774,0.004950,17.138611,-743.558594,-2.677704,0.001346
N#Cc1ccco1,CC1CCC(C(C)(C)OO)CC1,0.253492,0.000208,17.470978,-139.929688,-3.062439,0.004826,16.320221,-608.535156,-2.661804,0.002366
N#Cc1ccco1,CC(F)(Cl)CF,0.262856,0.000223,17.380951,-550.279297,-3.085754,0.005623,17.892273,-543.166016,-2.823151,0.001387
N#Cc1ccco1,CCCCC1OC(C)CC(C)(C)O1,0.238625,0.000167,17.180115,-524.242188,-2.778923,0.003579,17.072449,-707.736328,-2.745628,0.002055
N#Cc1ccco1,CC(C)(C)OCC1CO1,0.242118,0.000182,18.093445,-640.365234,-3.034180,0.004391,18.086548,-817.908203,-2.814804,0.001353
N#Cc1ccco1,O=P(O)(O)OP(=O)(O)O,0.221356,0.000113,18.049194,267.802734,-2.948082,0.003619,9.327545,-527.894531,-1.734665,0.004489
N#Cc1ccco1,CC(=O)Nc1ccc(C)cc1,0.262155,0.000225,17.676544,-109.433594,-3.094467,0.004737,16.009705,-592.554688,-2.667328,0.002625
N#Cc1ccco1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.256958,0.000213,18.905457,-308.593750,-3.252892,0.004912,16.858795,-704.970703,-2.657143,0.001828
N#Cc1ccco1,CC(C)(O)CCC1CCCCC1,0.254875,0.000204,16.245819,127.341797,-2.943871,0.004880,15.434753,-363.427734,-2.652954,0.003270
N#Cc1ccco1,COCC(F)(F)F,0.258722,0.000213,16.907562,-419.642578,-2.964134,0.004963,17.124603,-564.304688,-2.686882,0.001506
N#Cc1ccco1,COCC(O)COC,0.236150,0.000177,19.845001,-661.537109,-3.291718,0.004334,18.870819,-999.693359,-2.933296,0.001548
N#Cc1ccco1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.261267,0.000219,18.051819,334.216797,-3.161232,0.004030,15.281036,-484.257812,-2.747566,0.004129
N#Cc1ccco1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.247949,0.000199,19.068970,-125.287109,-3.204376,0.004132,16.242279,-709.939453,-2.650864,0.002443
N#Cc1ccco1,CC(C)C(F)F,0.269326,0.000225,15.455383,-392.810547,-2.823586,0.005416,17.145050,-233.191406,-2.785591,0.002072
N#Cc1ccco1,CCCCC1C=C(C)CC(C)O1,0.240964,0.000169,16.624420,-454.632812,-2.696747,0.003509,16.471680,-576.488281,-2.656044,0.002108
N#Cc1ccco1,COc1ccc(C(C)=O)cc1,0.249030,0.000202,18.625793,-538.750000,-3.188812,0.004876,17.760742,-833.148438,-2.759346,0.001404
N#Cc1ccco1,Oc1cc(O)ncn1,0.258505,0.000200,16.864197,682.373047,-3.037834,0.004309,12.654327,-162.527344,-2.332832,0.004820
N#Cc1ccco1,COCCCCl,0.254647,0.000203,16.704407,-508.472656,-2.917068,0.004916,17.476288,-598.791016,-2.747795,0.001473
N#Cc1ccco1,CCCOC,0.241065,0.000173,16.720337,-567.373047,-2.845085,0.004341,17.302277,-580.337891,-2.709839,0.001444
N#Cc1ccco1,Fc1c(F)c(F)c(F)c(F)c1F,0.258505,0.000194,14.178436,-111.757812,-2.535362,0.004546,15.509674,22.986328,-2.664490,0.002965
N#Cc1ccco1,CCP(CC)CC,0.239359,0.000167,16.831543,-566.291016,-2.745728,0.003663,16.799774,-572.429688,-2.645668,0.001641
N#Cc1ccco1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.235691,0.000162,17.675873,-484.878906,-2.844780,0.003483,17.474121,-835.025391,-2.844818,0.002432
N#Cc1ccco1,Fc1cc(F)c(F)cc1F,0.265228,0.000216,15.667511,-316.449219,-2.762672,0.004975,15.890472,-322.992188,-2.616173,0.002159
N#Cc1ccco1,CCCCc1ccc(C(=O)O)cc1,0.257992,0.000216,17.369019,-135.798828,-3.038010,0.004778,16.037262,-601.316406,-2.647049,0.002416
N#Cc1ccco1,C=Cc1c(C)cc(C)cc1C,0.266568,0.000215,15.498596,-262.027344,-2.718910,0.004814,16.035034,-274.662109,-2.722893,0.002797
N#Cc1ccco1,C=C(C)C(=O)OC(C)(C)C,0.251392,0.000198,17.219330,-409.007812,-2.930527,0.004467,16.561279,-618.751953,-2.661194,0.001913
N#Cc1ccco1,FC1CCCN1,0.242636,0.000192,19.370483,-618.808594,-3.314232,0.004826,18.482056,-871.845703,-2.820114,0.001162
N#Cc1ccco1,CCCCCCCC(=O)NC,0.245615,0.000191,17.895935,-227.960938,-3.008553,0.004050,16.935791,-752.125000,-2.754608,0.002413
N#Cc1ccco1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.257419,0.000192,14.273193,225.634766,-2.518616,0.004332,15.036957,16.058594,-2.761520,0.003888
N#Cc1ccco1,C1=CC2C=CC1C2,0.262841,0.000206,14.629303,-305.070312,-2.647591,0.004835,16.996216,-10.603516,-2.853729,0.002725
N#Cc1ccco1,CCC(C)(O)CCC=C(C)C,0.251042,0.000199,16.604706,-52.037109,-2.952454,0.004861,15.929565,-489.068359,-2.646645,0.002642
N#Cc1ccco1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.229310,0.000156,17.857422,168.808594,-2.796631,0.002600,18.106445,-749.263672,-3.272827,0.004303
N#Cc1ccco1,CCC(C)CCF,0.262373,0.000205,14.542847,-284.759766,-2.655289,0.004882,16.661987,-107.582031,-2.763458,0.002666
N#Cc1ccco1,C=Cc1cccc(CC)c1,0.268367,0.000219,15.551331,-288.400391,-2.741974,0.004946,16.171295,-293.009766,-2.724670,0.002653
N#Cc1ccco1,CC(C)(C(O)(F)F)C(F)(F)F,0.187031,0.000073,21.689850,-1336.923828,-3.306480,0.003002,17.551697,-1214.574219,-2.515610,0.000188
N#Cc1ccco1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.261655,0.000202,14.892273,-299.056641,-2.644661,0.004594,15.924072,-101.263672,-2.670296,0.003046
N#Cc1ccco1,CCN(CC)c1ccc(N)cc1,0.248584,0.000206,18.957397,-405.310547,-3.264336,0.004855,17.991547,-849.134766,-2.838661,0.001765
N#Cc1ccco1,FC(F)CC(F)(F)F,0.263701,0.000221,16.623047,-382.199219,-2.939209,0.005317,16.562561,-493.333984,-2.657463,0.001651
N#Cc1ccco1,N#CCCOCCC#N,0.257763,0.000219,19.009979,-371.693359,-3.281860,0.005037,16.796356,-709.400391,-2.619553,0.001607
N#Cc1ccco1,CCC(C)C(C)C(C)C,0.253865,0.000179,13.019257,23.771484,-2.304710,0.003936,15.827179,352.984375,-2.888603,0.004018
N#Cc1ccco1,Cn1c(=O)ccc2ccccc21,0.233819,0.000173,19.834961,-717.578125,-3.276283,0.004275,18.222931,-985.101562,-2.794403,0.001263
N#Cc1ccco1,CCOC(=O)c1ccccc1N,0.260747,0.000222,17.429413,-263.074219,-3.077713,0.005156,16.767059,-670.201172,-2.693527,0.002035
N#Cc1ccco1,ClC1CN2CCC1CC2,0.233958,0.000165,18.150665,-688.306641,-3.016243,0.004133,17.992310,-871.724609,-2.726501,0.001102
N#Cc1ccco1,CC=CCCCCCCCC#N,0.256847,0.000214,17.520874,-306.242188,-3.042229,0.004871,16.762634,-710.185547,-2.704720,0.002116
N#Cc1ccco1,COCCl,0.259995,0.000221,17.605652,-570.078125,-3.137123,0.005638,17.910400,-599.468750,-2.752213,0.001030
N#Cc1ccco1,NCCc1cccnc1,0.248531,0.000197,18.910248,-260.308594,-3.239403,0.004606,17.367218,-897.134766,-2.795235,0.002773
