SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
NC(F)(F)CF,O=P(Cl)(c1ccccc1)c1ccccc1,0.221846,0.000137,17.899506,-385.412109,-2.847519,0.003313,14.951691,-793.330078,-2.418709,0.001965
NC(F)(F)CF,CC(=O)Nc1ccc(C=O)cc1,0.243992,0.000180,17.013397,-104.337891,-2.909592,0.004156,14.661774,-605.246094,-2.429108,0.002690
NC(F)(F)CF,Cc1cccc(CO)c1,0.252510,0.000194,15.541626,97.761719,-2.789330,0.004627,14.594177,-358.931641,-2.461853,0.002994
NC(F)(F)CF,COC(C)CO,0.221892,0.000132,18.151276,-659.458984,-2.933899,0.003741,16.244354,-988.138672,-2.528313,0.001802
NC(F)(F)CF,Nc1nc(=O)c2ccccc2o1,0.241090,0.000179,17.902466,72.630859,-3.018913,0.003555,14.291656,-584.849609,-2.440277,0.003382
NC(F)(F)CF,CC(Cl)Br,0.270839,0.000220,14.274109,87.990234,-2.566238,0.004705,14.665894,30.787109,-2.594696,0.003182
NC(F)(F)CF,CCCOC(F)F,0.266482,0.000214,15.130341,-120.255859,-2.615532,0.004383,15.513275,-225.187500,-2.674606,0.003086
NC(F)(F)CF,COC1CC2CCC1(C)C2(C)C,0.237744,0.000143,13.421265,-4.087891,-2.055756,0.002063,13.983551,45.140625,-2.419991,0.003760
NC(F)(F)CF,CCC(=O)C1=NCCC1,0.220773,0.000122,16.985901,-796.101562,-2.588371,0.002893,15.882477,-721.263672,-2.520615,0.001638
NC(F)(F)CF,NC(CF)(CF)CF,0.216979,0.000130,18.531616,-950.328125,-2.946327,0.003589,17.165680,-994.554688,-2.531258,0.000530
NC(F)(F)CF,CC(C)CCCC(C)CC=O,0.237861,0.000153,15.221985,-87.601562,-2.379761,0.002687,14.502258,-345.537109,-2.498192,0.003195
NC(F)(F)CF,Cc1coc(C)n1,0.214941,0.000114,17.526367,-864.302734,-2.741318,0.003177,15.673004,-861.677734,-2.357689,0.001026
NC(F)(F)CF,NC(=S)NC(N)=S,0.245926,0.000190,17.426849,-33.732422,-3.110245,0.005307,18.418030,-645.324219,-2.876221,0.002545
NC(F)(F)CF,FC(F)C(Cl)C(F)F,0.268146,0.000225,15.554749,-168.628906,-2.788994,0.005219,16.168915,-427.296875,-2.645126,0.002281
NC(F)(F)CF,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.257453,0.000183,12.911804,618.996094,-2.153542,0.002780,13.760223,337.873047,-2.702736,0.005220
NC(F)(F)CF,NNC(=O)c1ccccc1,0.237956,0.000172,17.944397,-392.351562,-3.006264,0.004178,16.160370,-810.808594,-2.565697,0.001959
NC(F)(F)CF,ClC=CBr,0.273797,0.000217,13.048492,265.123047,-2.415321,0.004833,13.826965,326.593750,-2.577400,0.003853
NC(F)(F)CF,CN(C)N=O,0.212112,0.000115,19.527191,-951.302734,-3.143295,0.003777,17.850830,-1084.785156,-2.670197,0.001009
NC(F)(F)CF,c1ccc(C2CCCCC2)cc1,0.253656,0.000178,12.627563,844.623047,-2.119492,0.002367,12.176697,615.234375,-2.583847,0.005707
NC(F)(F)CF,N#Cc1ccncc1,0.217159,0.000125,18.406281,-923.136719,-2.911697,0.003546,16.705170,-982.287109,-2.518753,0.000859
