SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
NCC(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.244819,0.000189,17.829803,68.164062,-3.037163,0.004172,16.226044,-549.246094,-2.691734,0.002577
NCC(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.221580,0.000134,17.625366,-456.679688,-2.973999,0.004275,12.368042,-779.710938,-1.952347,0.001472
NCC(F)(F)F,Cc1cccc(CO)c1,0.230626,0.000155,17.390930,-483.867188,-2.918259,0.004190,13.586029,-707.041016,-2.105354,0.001204
NCC(F)(F)F,COC(C)CO,0.235489,0.000172,18.439575,-514.861328,-3.101891,0.004322,16.120178,-813.921875,-2.473854,0.001335
NCC(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.219463,0.000132,19.229492,-116.408203,-3.063919,0.003212,12.704315,-719.353516,-2.093300,0.002411
NCC(F)(F)F,CC(Cl)Br,0.259847,0.000209,15.514557,-208.796875,-2.720589,0.004770,15.620422,-335.857422,-2.499733,0.001672
NCC(F)(F)F,CCCOC(F)F,0.267041,0.000223,15.729919,-163.664062,-2.770271,0.004841,15.742737,-414.023438,-2.599602,0.002306
NCC(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.253224,0.000187,15.010620,163.464844,-2.481316,0.003333,14.815033,-164.550781,-2.615517,0.003474
NCC(F)(F)F,CCC(=O)C1=NCCC1,0.250001,0.000192,16.588562,-270.248047,-2.774078,0.003973,16.548004,-547.648438,-2.685661,0.002028
NCC(F)(F)F,NC(CF)(CF)CF,0.245908,0.000198,18.392639,-471.742188,-3.114525,0.004409,17.662018,-772.119141,-2.721375,0.001315
NCC(F)(F)F,CC(C)CCCC(C)CC=O,0.253712,0.000196,15.994080,102.888672,-2.698212,0.003866,15.635834,-348.503906,-2.712425,0.003086
NCC(F)(F)F,Cc1coc(C)n1,0.247586,0.000193,17.026154,-372.570312,-2.901649,0.004345,16.595398,-649.248047,-2.577019,0.001415
NCC(F)(F)F,NC(=S)NC(N)=S,0.197195,0.000077,19.065948,-738.326172,-2.997520,0.003446,11.762939,-1095.470703,-1.794899,0.001841
NCC(F)(F)F,FC(F)C(Cl)C(F)F,0.246772,0.000190,17.460876,-570.664062,-2.977997,0.004675,17.204559,-679.925781,-2.636543,0.000969
NCC(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.242969,0.000170,15.911682,-225.615234,-2.571754,0.003511,15.074921,-428.013672,-2.490547,0.002435
NCC(F)(F)F,NNC(=O)c1ccccc1,0.246419,0.000193,18.401672,-247.808594,-3.097496,0.004198,15.231445,-742.365234,-2.449760,0.002293
NCC(F)(F)F,ClC=CBr,0.262851,0.000210,14.802826,-189.794922,-2.618950,0.004844,15.571533,-211.171875,-2.525459,0.001880
NCC(F)(F)F,CN(C)N=O,0.248905,0.000200,18.141144,-335.664062,-3.162399,0.004775,17.551331,-733.351562,-2.710358,0.001710
NCC(F)(F)F,c1ccc(C2CCCCC2)cc1,0.262436,0.000202,14.324554,464.201172,-2.484825,0.003717,13.835632,26.828125,-2.586983,0.004197
NCC(F)(F)F,N#Cc1ccncc1,0.247410,0.000193,17.591003,-347.634766,-2.970230,0.004286,16.631744,-676.953125,-2.610359,0.001684
NCC(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.195131,0.000081,18.240326,-758.443359,-2.905426,0.003327,13.009613,-900.240234,-1.934219,0.000677
NCC(F)(F)F,CCC(N)CC,0.239711,0.000177,16.901947,-331.220703,-2.858833,0.004147,16.767365,-691.511719,-2.621620,0.001709
NCC(F)(F)F,COC(=O)CO,0.223446,0.000145,18.601166,-679.666016,-3.131073,0.004315,14.553040,-886.361328,-2.171249,0.000887
NCC(F)(F)F,Cc1c(N)cccc1Cl,0.231349,0.000162,17.568817,-387.882812,-2.883476,0.003702,15.804199,-633.408203,-2.448814,0.001154
NCC(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.208975,0.000112,17.201965,-658.923828,-2.802940,0.003776,12.118805,-848.855469,-1.865105,0.000806
NCC(F)(F)F,CC(F)(Cl)CF,0.260802,0.000218,16.633698,-237.101562,-2.934380,0.004988,16.028809,-540.896484,-2.538582,0.001719
NCC(F)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.251183,0.000188,15.669037,74.271484,-2.570534,0.003368,15.854340,-349.609375,-2.749619,0.003270
NCC(F)(F)F,CC(C)(C)OCC1CO1,0.256153,0.000206,16.541473,-224.816406,-2.828613,0.004318,16.448425,-567.785156,-2.665649,0.002178
NCC(F)(F)F,O=P(O)(O)OP(=O)(O)O,0.120419,-0.000099,22.939240,-1400.195312,-3.696167,0.007075,-1.931732,-1663.171875,-0.483078,0.002826
NCC(F)(F)F,CC(=O)Nc1ccc(C)cc1,0.221643,0.000135,17.355164,-547.132812,-2.896141,0.004141,12.707489,-754.074219,-1.981476,0.001063
NCC(F)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.242879,0.000183,18.977112,104.021484,-3.155441,0.003810,15.344849,-445.292969,-2.496735,0.002217
NCC(F)(F)F,CC(C)(O)CCC1CCCCC1,0.233981,0.000158,16.679626,-200.251953,-2.779190,0.003865,13.551849,-625.916016,-2.231697,0.002161
NCC(F)(F)F,COCC(F)(F)F,0.263309,0.000221,16.561188,-278.712891,-2.900078,0.004921,16.183167,-499.207031,-2.588791,0.001890
NCC(F)(F)F,COCC(O)COC,0.236661,0.000180,18.961578,-573.341797,-3.173660,0.004365,17.586090,-862.314453,-2.690849,0.001171
NCC(F)(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.226035,0.000154,19.293243,-31.822266,-3.113853,0.003063,14.977173,-791.365234,-2.497673,0.003073
NCC(F)(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.186304,0.000066,19.305969,-979.994141,-3.133240,0.003812,11.814209,-1126.923828,-1.733437,0.000494
NCC(F)(F)F,CC(C)C(F)F,0.269009,0.000225,15.372711,-125.425781,-2.739479,0.004935,15.492615,-346.669922,-2.587990,0.002463
