SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Nc1ccccc1I,O=P(Cl)(c1ccccc1)c1ccccc1,0.223240,0.000151,20.569824,-815.312500,-3.331795,0.004054,16.578430,-1024.367188,-2.538666,0.001140
Nc1ccccc1I,CC(=O)Nc1ccc(C=O)cc1,0.241360,0.000182,18.615387,-350.632812,-3.131805,0.004248,15.074982,-768.281250,-2.392822,0.002017
Nc1ccccc1I,Cc1cccc(CO)c1,0.251050,0.000203,18.010864,-208.537109,-3.128090,0.004609,15.365845,-588.447266,-2.480743,0.002101
Nc1ccccc1I,COC(C)CO,0.220061,0.000136,19.791809,-805.298828,-3.165092,0.003775,16.653198,-1018.923828,-2.578575,0.001359
Nc1ccccc1I,Nc1nc(=O)c2ccccc2o1,0.243069,0.000182,19.036133,90.587891,-3.163918,0.003434,12.763580,-542.572266,-2.208405,0.003342
Nc1ccccc1I,CC(Cl)Br,0.265414,0.000223,16.198273,-395.435547,-2.933807,0.005589,17.001099,-424.871094,-2.707748,0.001536
Nc1ccccc1I,CCCOC(F)F,0.265286,0.000221,15.891602,-248.203125,-2.841751,0.005153,15.624451,-390.335938,-2.538353,0.001889
Nc1ccccc1I,COC1CC2CCC1(C)C2(C)C,0.230249,0.000146,16.840698,-634.402344,-2.675125,0.003196,16.127350,-608.677734,-2.513954,0.001474
Nc1ccccc1I,CCC(=O)C1=NCCC1,0.212105,0.000117,19.400330,-1071.128906,-2.992401,0.003529,17.101685,-1027.335938,-2.606407,0.000558
Nc1ccccc1I,NC(CF)(CF)CF,0.224057,0.000143,18.311523,-704.765625,-2.982552,0.003757,15.033325,-791.927734,-2.214470,0.000761
Nc1ccccc1I,CC(C)CCCC(C)CC=O,0.231183,0.000158,18.036011,-684.720703,-2.933922,0.003840,17.006805,-835.044922,-2.607933,0.001116
Nc1ccccc1I,Cc1coc(C)n1,0.207321,0.000106,19.826141,-1096.294922,-3.150627,0.003605,16.821838,-1047.044922,-2.437195,0.000504
Nc1ccccc1I,NC(=S)NC(N)=S,0.246306,0.000180,17.060211,155.625000,-3.164062,0.005468,16.991699,-352.681641,-2.549400,0.002539
Nc1ccccc1I,FC(F)C(Cl)C(F)F,0.265274,0.000218,15.404694,-94.746094,-2.833519,0.005249,14.679993,-281.882812,-2.364906,0.002012
Nc1ccccc1I,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.251824,0.000174,11.846008,1088.380859,-2.261116,0.003756,10.818665,733.259766,-2.236626,0.004816
Nc1ccccc1I,NNC(=O)c1ccccc1,0.244573,0.000192,18.799316,-356.220703,-3.165039,0.004307,16.194275,-793.207031,-2.557800,0.001961
Nc1ccccc1I,ClC=CBr,0.271888,0.000228,15.188354,-327.796875,-2.797554,0.005745,16.849213,-250.187500,-2.753937,0.001979
