SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
N#CCC(=O)NN,O=P(Cl)(c1ccccc1)c1ccccc1,0.245148,0.000162,13.024963,556.611328,-2.116547,0.002639,13.745758,359.927734,-2.621460,0.004326
N#CCC(=O)NN,CC(=O)Nc1ccc(C=O)cc1,0.246048,0.000168,13.902679,95.128906,-2.440384,0.004284,13.649841,-173.945312,-2.300980,0.002658
N#CCC(=O)NN,Cc1cccc(CO)c1,0.250761,0.000171,12.363861,342.572266,-2.294693,0.004562,14.100830,218.269531,-2.508141,0.003716
N#CCC(=O)NN,COC(C)CO,0.242111,0.000160,12.968231,-158.585938,-2.359283,0.004282,15.841980,-121.693359,-2.477737,0.002452
N#CCC(=O)NN,Nc1nc(=O)c2ccccc2o1,0.246013,0.000178,15.392883,52.433594,-2.668533,0.004200,15.114105,-433.429688,-2.484688,0.002483
N#CCC(=O)NN,CC(Cl)Br,0.267830,0.000198,10.282562,259.820312,-2.056732,0.005323,16.360443,1395.058594,-3.065186,0.003133
N#CCC(=O)NN,CCCOC(F)F,0.249470,0.000164,9.058533,832.837891,-1.776001,0.003521,14.558136,1932.361328,-3.079842,0.004269
N#CCC(=O)NN,COC1CC2CCC1(C)C2(C)C,0.201164,0.000076,7.297729,1326.748047,-1.063499,-0.000285,14.626465,2343.164062,-3.108971,0.005737
N#CCC(=O)NN,CCC(=O)C1=NCCC1,0.241619,0.000145,10.827667,-62.257812,-1.638489,0.001065,17.984863,812.679688,-2.862839,0.003517
N#CCC(=O)NN,NC(CF)(CF)CF,0.245627,0.000171,14.009521,-463.507812,-2.356064,0.003537,16.909485,-266.613281,-2.561989,0.001537
N#CCC(=O)NN,CC(C)CCCC(C)CC=O,0.218278,0.000106,8.910217,1059.419922,-1.447678,0.000966,14.509979,1710.373047,-3.011536,0.005414
N#CCC(=O)NN,Cc1coc(C)n1,0.234553,0.000134,11.380280,-246.347656,-1.879959,0.002304,15.195618,329.271484,-2.295776,0.002483
N#CCC(=O)NN,NC(=S)NC(N)=S,0.206326,0.000094,19.084473,-1218.912109,-3.048592,0.003958,19.427704,-999.078125,-2.993477,0.000950
N#CCC(=O)NN,FC(F)C(Cl)C(F)F,0.264880,0.000186,11.431793,35.488281,-2.124153,0.005042,17.354919,929.675781,-3.162781,0.003434
N#CCC(=O)NN,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.185124,0.000053,4.665833,1849.384766,-0.802933,-0.000336,15.167114,3531.984375,-3.428360,0.005118
N#CCC(=O)NN,NNC(=O)c1ccccc1,0.250004,0.000193,15.933472,-255.447266,-2.741341,0.004390,15.946442,-557.312500,-2.505707,0.001600
N#CCC(=O)NN,ClC=CBr,0.253088,0.000168,8.909698,453.578125,-1.783241,0.004469,16.251282,1835.646484,-3.136948,0.003453
N#CCC(=O)NN,CN(C)N=O,0.244915,0.000170,15.060120,-493.611328,-2.586815,0.004360,17.722321,-357.933594,-2.753410,0.001487
N#CCC(=O)NN,c1ccc(C2CCCCC2)cc1,0.196821,0.000073,5.683655,1850.109375,-1.073814,0.000545,13.676361,3269.685547,-3.343407,0.005653
N#CCC(=O)NN,N#Cc1ccncc1,0.241515,0.000153,12.920837,-433.699219,-2.149452,0.003086,15.978058,5.447266,-2.413063,0.001865
N#CCC(=O)NN,CN(C)C(=S)Nc1ccccc1,0.236226,0.000150,14.508118,-295.789062,-2.435127,0.004024,15.801819,-279.931641,-2.512131,0.001680
N#CCC(=O)NN,CCC(N)CC,0.227048,0.000107,9.482361,-192.378906,-1.606689,0.001282,16.067963,638.191406,-2.047249,0.003306
N#CCC(=O)NN,COC(=O)CO,0.249850,0.000186,15.624359,-374.210938,-2.704277,0.004518,15.813721,-549.777344,-2.457726,0.001542
N#CCC(=O)NN,Cc1c(N)cccc1Cl,0.251535,0.000176,13.537781,5.250000,-2.262070,0.003612,15.844543,98.458984,-2.715340,0.002833
N#CCC(=O)NN,CC1CCC(C(C)(C)OO)CC1,0.239912,0.000146,12.177277,464.828125,-2.063797,0.003181,12.606140,361.701172,-2.381203,0.004332
N#CCC(=O)NN,CC(F)(Cl)CF,0.273978,0.000211,10.664185,402.136719,-2.158859,0.005460,14.907410,1283.505859,-2.894608,0.003598
N#CCC(=O)NN,CCCCC1OC(C)CC(C)(C)O1,0.217461,0.000100,8.639832,984.976562,-1.228386,-0.000369,14.510040,1621.304688,-2.799515,0.005492
N#CCC(=O)NN,CC(C)(C)OCC1CO1,0.243086,0.000152,10.890442,247.257812,-1.795181,0.001998,15.873016,818.310547,-2.741989,0.003867
N#CCC(=O)NN,O=P(O)(O)OP(=O)(O)O,0.141960,-0.000058,19.565765,-1571.746094,-3.445526,0.005834,6.904816,-1566.851562,-1.253288,0.000836
N#CCC(=O)NN,CC(=O)Nc1ccc(C)cc1,0.247161,0.000163,12.977783,203.648438,-2.219887,0.003698,13.353699,142.859375,-2.380623,0.003210
N#CCC(=O)NN,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.261951,0.000220,15.916901,-169.550781,-2.877251,0.005227,18.109650,-402.716797,-2.875229,0.001817
N#CCC(=O)NN,CC(C)(O)CCC1CCCCC1,0.229956,0.000123,9.434357,1106.091797,-1.753838,0.002839,13.374359,1032.328125,-2.651062,0.005781
N#CCC(=O)NN,COCC(F)(F)F,0.268369,0.000197,10.658783,355.751953,-1.991943,0.004283,14.973297,1140.462891,-2.839760,0.003842
N#CCC(=O)NN,COCC(O)COC,0.242180,0.000162,13.437317,-239.121094,-2.360245,0.003866,16.125671,-256.833984,-2.503326,0.002282
N#CCC(=O)NN,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.248844,0.000178,14.010071,898.898438,-2.540680,0.003703,15.289551,-114.828125,-2.802101,0.005236
N#CCC(=O)NN,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.219040,0.000133,17.547546,-669.867188,-2.926323,0.004026,16.292603,-864.361328,-2.401230,0.000777
N#CCC(=O)NN,CC(C)C(F)F,0.243434,0.000153,7.826050,968.703125,-1.671349,0.003653,14.552490,2331.750000,-3.143631,0.004310
N#CCC(=O)NN,CCCCC1C=C(C)CC(C)O1,0.205550,0.000082,7.851501,1155.138672,-1.087570,-0.000705,14.675049,2050.552734,-2.948021,0.005553
N#CCC(=O)NN,COc1ccc(C(C)=O)cc1,0.251236,0.000170,12.384125,103.679688,-2.031425,0.002950,14.971222,223.695312,-2.582970,0.003259
N#CCC(=O)NN,Oc1cc(O)ncn1,0.229113,0.000142,15.463684,-234.458984,-2.638977,0.004071,13.728912,-658.111328,-2.136223,0.001863
N#CCC(=O)NN,COCCCCl,0.251140,0.000163,9.565735,362.437500,-1.739326,0.002985,16.664459,1197.097656,-3.012756,0.004311
N#CCC(=O)NN,CCCOC,0.229960,0.000122,8.965729,331.074219,-1.491676,0.001627,16.483582,1393.775391,-2.839371,0.003946
N#CCC(=O)NN,Fc1c(F)c(F)c(F)c(F)c1F,0.196717,0.000072,5.328522,1640.076172,-1.098618,0.001485,14.268799,3337.974609,-3.339813,0.004635
N#CCC(=O)NN,CCP(CC)CC,0.209851,0.000086,6.811218,839.544922,-1.017891,-0.000511,17.037506,2531.287109,-3.034302,0.004571
N#CCC(=O)NN,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.206188,0.000079,8.721924,1245.308594,-1.117851,-0.001572,13.504974,1565.580078,-2.685532,0.006347
N#CCC(=O)NN,Fc1cc(F)c(F)cc1F,0.228078,0.000123,7.165222,1164.136719,-1.447746,0.002950,14.422943,2539.957031,-3.194916,0.004305
N#CCC(=O)NN,CCCCc1ccc(C(=O)O)cc1,0.239656,0.000141,12.285339,397.169922,-2.055954,0.003188,12.605988,205.101562,-2.339561,0.004131
N#CCC(=O)NN,C=Cc1c(C)cc(C)cc1C,0.205707,0.000087,5.873749,1787.978516,-1.159378,0.001064,13.862640,3157.195312,-3.360123,0.005748
N#CCC(=O)NN,C=C(C)C(=O)OC(C)(C)C,0.229609,0.000127,9.455963,954.820312,-1.592270,0.001741,13.844238,1549.962891,-2.907928,0.005296
N#CCC(=O)NN,FC1CCCN1,0.255111,0.000190,14.428070,-291.603516,-2.484665,0.004173,16.962494,-227.027344,-2.751801,0.002109
N#CCC(=O)NN,CCCCCCCC(=O)NC,0.237048,0.000139,11.916351,611.134766,-1.973038,0.002660,13.621674,353.576172,-2.479912,0.004524
