SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
N#Cc1ccccc1N,O=P(Cl)(c1ccccc1)c1ccccc1,0.233242,0.000168,18.847412,-688.541016,-3.094894,0.004166,16.595184,-871.289062,-2.555023,0.001019
N#Cc1ccccc1N,CC(=O)Nc1ccc(C=O)cc1,0.242266,0.000183,18.075836,-431.447266,-3.074181,0.004519,15.349884,-731.154297,-2.386955,0.001515
N#Cc1ccccc1N,Cc1cccc(CO)c1,0.250555,0.000195,16.652496,-292.427734,-2.974045,0.005281,16.035339,-537.095703,-2.523354,0.001655
N#Cc1ccccc1N,COC(C)CO,0.222714,0.000138,18.687469,-820.150391,-3.058853,0.004035,16.865875,-964.033203,-2.527184,0.001034
N#Cc1ccccc1N,Nc1nc(=O)c2ccccc2o1,0.245327,0.000189,18.884949,-65.658203,-3.184631,0.003971,14.036011,-534.371094,-2.334198,0.002546
N#Cc1ccccc1N,CC(Cl)Br,0.275280,0.000234,15.183167,-426.644531,-2.805687,0.006146,18.204956,-38.646484,-3.022995,0.001984
N#Cc1ccccc1N,CCCOC(F)F,0.278824,0.000236,14.495056,-247.378906,-2.647141,0.005565,16.944794,1.574219,-2.915810,0.002680
N#Cc1ccccc1N,COC1CC2CCC1(C)C2(C)C,0.245668,0.000164,14.170502,-396.957031,-2.310036,0.003172,16.109497,-149.541016,-2.590271,0.002496
N#Cc1ccccc1N,CCC(=O)C1=NCCC1,0.223656,0.000136,17.618347,-1050.468750,-2.770409,0.003618,17.743622,-769.486328,-2.666283,0.000436
N#Cc1ccccc1N,NC(CF)(CF)CF,0.229733,0.000154,17.663818,-792.115234,-2.911827,0.004120,16.376923,-795.800781,-2.402290,0.000399
N#Cc1ccccc1N,CC(C)CCCC(C)CC=O,0.244157,0.000172,15.910797,-507.080078,-2.598846,0.003703,16.554932,-489.992188,-2.649521,0.001796
