SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
N#Cc1ccccc1O,O=P(Cl)(c1ccccc1)c1ccccc1,0.211512,0.000120,18.903900,-929.476562,-3.073212,0.004082,14.019653,-982.894531,-2.128014,0.000484
N#Cc1ccccc1O,CC(=O)Nc1ccc(C=O)cc1,0.201868,0.000097,19.113678,-885.527344,-3.116516,0.003882,13.124664,-1063.369141,-1.980667,0.000875
N#Cc1ccccc1O,Cc1cccc(CO)c1,0.224213,0.000142,17.801056,-622.904297,-3.026924,0.004557,14.356110,-801.763672,-2.178398,0.001009
N#Cc1ccccc1O,COC(C)CO,0.188985,0.000068,20.244446,-1094.326172,-3.124603,0.003489,14.437805,-1292.085938,-2.268944,0.001277
N#Cc1ccccc1O,Nc1nc(=O)c2ccccc2o1,0.212606,0.000122,18.555664,-553.154297,-3.071060,0.004009,11.955414,-885.546875,-1.842873,0.001329
N#Cc1ccccc1O,CC(Cl)Br,0.284387,0.000248,13.554901,-163.000000,-2.729233,0.007313,16.311340,484.470703,-2.856354,0.001853
N#Cc1ccccc1O,CCCOC(F)F,0.280317,0.000237,13.436035,-97.943359,-2.577988,0.006253,15.614746,399.455078,-2.785301,0.002302
N#Cc1ccccc1O,COC1CC2CCC1(C)C2(C)C,0.227274,0.000128,14.443268,-523.115234,-2.219002,0.002911,13.345367,-284.218750,-2.145668,0.001615
N#Cc1ccccc1O,CCC(=O)C1=NCCC1,0.191058,0.000070,18.048645,-1199.917969,-2.689285,0.003032,13.994934,-1096.535156,-2.095741,0.000159
N#Cc1ccccc1O,NC(CF)(CF)CF,0.191928,0.000069,17.786987,-1031.994141,-2.951096,0.004017,12.266083,-1061.064453,-1.802315,0.000170
N#Cc1ccccc1O,CC(C)CCCC(C)CC=O,0.215235,0.000114,16.690063,-814.955078,-2.629921,0.003470,14.044281,-775.722656,-2.153618,0.000872
N#Cc1ccccc1O,Cc1coc(C)n1,0.172674,0.000029,19.323242,-1307.044922,-3.097061,0.003573,12.118500,-1236.087891,-1.753639,0.000061
N#Cc1ccccc1O,NC(=S)NC(N)=S,0.246636,0.000185,16.751129,-67.587891,-3.000969,0.005294,17.424072,-435.261719,-2.668175,0.001690
N#Cc1ccccc1O,FC(F)C(Cl)C(F)F,0.278161,0.000242,14.237335,-192.650391,-2.799431,0.006959,16.546417,216.201172,-2.795120,0.001407
N#Cc1ccccc1O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.266911,0.000200,11.327545,947.414062,-2.197197,0.004658,11.822662,1104.738281,-2.512703,0.004472
N#Cc1ccccc1O,NNC(=O)c1ccccc1,0.195493,0.000085,19.160522,-944.820312,-3.136932,0.003942,13.146942,-1145.083984,-1.987793,0.000750
N#Cc1ccccc1O,ClC=CBr,0.286188,0.000244,12.823456,-83.865234,-2.610176,0.007207,15.585846,654.712891,-2.797958,0.002334
N#Cc1ccccc1O,CN(C)N=O,0.190608,0.000067,19.969818,-1260.710938,-3.265602,0.004146,15.781494,-1173.417969,-2.236359,0.000322
N#Cc1ccccc1O,c1ccc(C2CCCCC2)cc1,0.286950,0.000235,11.400543,307.378906,-2.275261,0.006056,13.132690,985.324219,-2.653893,0.003810
N#Cc1ccccc1O,N#Cc1ccncc1,0.192935,0.000073,18.288269,-1168.097656,-2.916840,0.003850,13.411621,-1153.003906,-1.987228,0.000163
N#Cc1ccccc1O,CN(C)C(=S)Nc1ccccc1,0.245229,0.000196,18.394073,-618.085938,-3.076958,0.004443,18.277252,-692.853516,-2.821007,0.000892
N#Cc1ccccc1O,CCC(N)CC,0.156719,-0.000018,18.462372,-1320.603516,-3.101410,0.004095,8.117157,-1290.218750,-1.223305,0.000257
N#Cc1ccccc1O,COC(=O)CO,0.210688,0.000121,19.867981,-887.490234,-3.228325,0.003908,15.321442,-1043.031250,-2.282532,0.000756
N#Cc1ccccc1O,Cc1c(N)cccc1Cl,0.242641,0.000182,17.142670,-569.644531,-2.886116,0.004503,15.525940,-651.267578,-2.402245,0.000929
N#Cc1ccccc1O,CC1CCC(C(C)(C)OO)CC1,0.244528,0.000182,16.780273,-281.039062,-2.869865,0.004550,15.216217,-629.521484,-2.434746,0.001945
N#Cc1ccccc1O,CC(F)(Cl)CF,0.285594,0.000253,13.865417,-96.650391,-2.784668,0.007240,16.262268,438.240234,-2.865257,0.001994
N#Cc1ccccc1O,CCCCC1OC(C)CC(C)(C)O1,0.212261,0.000108,16.322266,-718.074219,-2.422897,0.002494,13.981903,-790.216797,-2.166161,0.001252
