SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
NC(=S)C(N)=S,O=P(Cl)(c1ccccc1)c1ccccc1,0.197301,0.000083,19.500427,-955.294922,-3.012138,0.003034,15.511383,-1133.294922,-2.345161,0.001295
NC(=S)C(N)=S,CC(=O)Nc1ccc(C=O)cc1,0.194443,0.000064,17.908905,-937.326172,-2.848839,0.003441,13.179779,-1097.060547,-1.985184,0.001386
NC(=S)C(N)=S,Cc1cccc(CO)c1,0.225033,0.000124,15.110291,-314.306641,-2.508919,0.003515,13.537781,-635.527344,-2.117599,0.002193
NC(=S)C(N)=S,COC(C)CO,0.184721,0.000034,18.247650,-1151.205078,-2.852600,0.003844,12.875824,-1291.824219,-2.018211,0.001739
NC(=S)C(N)=S,Nc1nc(=O)c2ccccc2o1,0.199909,0.000089,18.506561,-872.304688,-2.951096,0.003624,13.447906,-1053.039062,-2.028969,0.000947
NC(=S)C(N)=S,CC(Cl)Br,0.269463,0.000218,14.423676,-121.884766,-2.581909,0.004808,16.302094,-49.097656,-2.767754,0.002734
NC(=S)C(N)=S,CCCOC(F)F,0.262506,0.000200,13.863251,-58.058594,-2.393806,0.004067,15.563599,-81.033203,-2.638206,0.002864
NC(=S)C(N)=S,COC1CC2CCC1(C)C2(C)C,0.222360,0.000102,13.196259,-559.419922,-1.965179,0.002264,13.076874,-278.906250,-2.044556,0.002324
NC(=S)C(N)=S,CCC(=O)C1=NCCC1,0.185244,0.000037,17.276550,-1378.173828,-2.537605,0.003106,14.674988,-1049.757812,-2.199844,0.000769
NC(=S)C(N)=S,NC(CF)(CF)CF,0.187885,0.000052,17.322510,-1236.453125,-2.699127,0.003409,13.810181,-1155.822266,-1.960808,0.000348
NC(=S)C(N)=S,CC(C)CCCC(C)CC=O,0.215828,0.000100,15.497925,-675.662109,-2.369553,0.002691,14.547852,-674.974609,-2.226540,0.001783
NC(=S)C(N)=S,Cc1coc(C)n1,0.174479,0.000015,17.596161,-1354.556641,-2.764793,0.003496,12.200134,-1191.884766,-1.684624,0.000458
NC(=S)C(N)=S,NC(=S)NC(N)=S,0.240453,0.000186,18.290405,-361.800781,-3.233002,0.005426,19.471710,-730.306641,-2.947945,0.001398
NC(=S)C(N)=S,FC(F)C(Cl)C(F)F,0.271571,0.000219,13.538849,248.855469,-2.529823,0.004937,14.408844,68.375000,-2.487167,0.003249
NC(=S)C(N)=S,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.207338,0.000097,8.073517,1988.533203,-1.541267,0.000713,11.563812,2091.349609,-2.738609,0.006115
NC(=S)C(N)=S,NNC(=O)c1ccccc1,0.189271,0.000064,19.473236,-1172.583984,-3.094704,0.003583,15.369476,-1212.117188,-2.227783,0.000638
NC(=S)C(N)=S,ClC=CBr,0.273292,0.000214,12.941559,48.488281,-2.341827,0.004501,15.162720,286.697266,-2.693031,0.003693
NC(=S)C(N)=S,CN(C)N=O,0.167170,0.000008,21.699066,-1513.394531,-3.427628,0.003995,16.393402,-1439.107422,-2.337921,0.000909
NC(=S)C(N)=S,c1ccc(C2CCCCC2)cc1,0.246678,0.000165,11.653381,750.949219,-1.922775,0.001983,12.836243,717.109375,-2.614090,0.005205
NC(=S)C(N)=S,N#Cc1ccncc1,0.177477,0.000028,18.944519,-1450.267578,-2.905022,0.003469,15.117340,-1294.923828,-2.164337,0.000379
NC(=S)C(N)=S,CN(C)C(=S)Nc1ccccc1,0.218905,0.000130,18.793152,-774.177734,-2.973999,0.003295,18.587433,-919.683594,-2.846176,0.001185
NC(=S)C(N)=S,CCC(N)CC,0.169884,-0.000011,15.113953,-1342.253906,-2.559860,0.003822,8.003479,-1149.082031,-0.949821,0.000180
NC(=S)C(N)=S,COC(=O)CO,0.186978,0.000059,20.699097,-1171.685547,-3.236404,0.003557,15.693512,-1300.937500,-2.365578,0.001195
NC(=S)C(N)=S,Cc1c(N)cccc1Cl,0.235738,0.000160,15.467102,-367.615234,-2.519844,0.003568,15.118713,-608.976562,-2.337387,0.001389
NC(=S)C(N)=S,CC1CCC(C(C)(C)OO)CC1,0.234791,0.000149,15.033905,-38.044922,-2.501038,0.003387,14.592224,-534.558594,-2.374878,0.002927
NC(=S)C(N)=S,CC(F)(Cl)CF,0.265605,0.000213,14.810791,-31.212891,-2.628555,0.004487,15.461548,-136.253906,-2.620766,0.002808
NC(=S)C(N)=S,CCCCC1OC(C)CC(C)(C)O1,0.209621,0.000080,14.839508,-806.056641,-2.146278,0.002312,13.017334,-702.113281,-2.024361,0.001782
NC(=S)C(N)=S,CC(C)(C)OCC1CO1,0.196902,0.000067,17.831421,-1091.630859,-2.725723,0.003065,15.452118,-1043.812500,-2.258736,0.000903
NC(=S)C(N)=S,O=P(O)(O)OP(=O)(O)O,0.257286,0.000187,14.010651,1329.849609,-2.744171,0.005004,12.210449,208.759766,-2.285522,0.006630
NC(=S)C(N)=S,CC(=O)Nc1ccc(C)cc1,0.209729,0.000098,16.356842,-742.013672,-2.614792,0.003462,13.941376,-869.503906,-2.095963,0.001103
NC(=S)C(N)=S,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.187694,0.000067,23.258514,-1144.654297,-3.676292,0.003658,19.290344,-1375.677734,-2.872597,0.001584
NC(=S)C(N)=S,CC(C)(O)CCC1CCCCC1,0.222856,0.000105,13.184235,-200.080078,-2.162048,0.003353,11.052277,-525.548828,-1.828926,0.002895
NC(=S)C(N)=S,COCC(F)(F)F,0.244476,0.000166,14.402710,-338.087891,-2.365952,0.003574,15.354584,-335.123047,-2.411430,0.001609
NC(=S)C(N)=S,COCC(O)COC,0.169675,0.000004,20.225403,-1455.634766,-3.071358,0.003786,13.947205,-1515.292969,-2.151306,0.001713
NC(=S)C(N)=S,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.207155,0.000093,18.222137,-587.992188,-2.801315,0.003448,12.111938,-1193.400391,-2.114281,0.003048
NC(=S)C(N)=S,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.229013,0.000156,18.221252,-364.404297,-3.010612,0.003695,16.998169,-851.541016,-2.663246,0.001949
NC(=S)C(N)=S,CC(C)C(F)F,0.270260,0.000211,13.009430,177.228516,-2.347176,0.004128,14.704956,224.609375,-2.627159,0.003796
NC(=S)C(N)=S,CCCCC1C=C(C)CC(C)O1,0.217336,0.000094,13.539703,-616.867188,-1.983002,0.002163,12.668396,-423.945312,-1.987747,0.002203
NC(=S)C(N)=S,COc1ccc(C(C)=O)cc1,0.190879,0.000058,18.505890,-1180.986328,-2.907524,0.003314,15.258240,-1141.431641,-2.157806,0.000705
NC(=S)C(N)=S,Oc1cc(O)ncn1,0.244284,0.000167,15.280945,362.648438,-2.832932,0.004665,14.689758,-374.621094,-2.434906,0.004161
NC(=S)C(N)=S,COCCCCl,0.213361,0.000098,15.380432,-875.964844,-2.427322,0.003029,15.191589,-695.490234,-2.200630,0.001023
NC(=S)C(N)=S,CCCOC,0.202249,0.000067,14.760498,-984.605469,-2.315086,0.002766,13.842041,-686.050781,-1.918297,0.001030
NC(=S)C(N)=S,Fc1c(F)c(F)c(F)c(F)c1F,0.232754,0.000141,10.274170,926.876953,-1.832260,0.002319,12.862152,1355.003906,-2.710571,0.004609
NC(=S)C(N)=S,CCP(CC)CC,0.225913,0.000098,11.704376,-713.189453,-1.877434,0.002559,14.665680,5.964844,-2.163536,0.002481
NC(=S)C(N)=S,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.204009,0.000059,14.714569,-761.216797,-2.082771,0.002249,10.646851,-841.251953,-1.665031,0.002254
