SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
NC(=O)C=CC(=O)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.235792,0.000136,13.289795,-214.478516,-2.249977,0.004133,12.041595,-33.597656,-2.198463,0.003220
NC(=O)C=CC(=O)O,CC(=O)Nc1ccc(C=O)cc1,0.222757,0.000125,14.948212,-485.244141,-2.485352,0.004013,11.825989,-644.902344,-1.841095,0.001312
NC(=O)C=CC(=O)O,Cc1cccc(CO)c1,0.246318,0.000163,13.638824,-62.681641,-2.332619,0.003888,12.671906,-264.619141,-2.132622,0.002859
NC(=O)C=CC(=O)O,COC(C)CO,0.209656,0.000094,15.434021,-707.779297,-2.487572,0.003498,12.608032,-867.308594,-1.892570,0.001297
NC(=O)C=CC(=O)O,Nc1nc(=O)c2ccccc2o1,0.219931,0.000129,16.503387,-541.283203,-2.723206,0.003916,13.207977,-786.484375,-2.035271,0.001180
NC(=O)C=CC(=O)O,CC(Cl)Br,0.271506,0.000201,7.810516,723.554688,-1.796059,0.005468,16.132690,2425.511719,-3.354691,0.003841
NC(=O)C=CC(=O)O,CCCOC(F)F,0.257281,0.000175,7.248535,908.878906,-1.556709,0.003896,14.981934,2570.203125,-3.274513,0.004235
NC(=O)C=CC(=O)O,COC1CC2CCC1(C)C2(C)C,0.222428,0.000096,7.479889,426.441406,-1.125046,0.001570,12.082489,1802.839844,-2.485367,0.004558
NC(=O)C=CC(=O)O,CCC(=O)C1=NCCC1,0.215427,0.000085,11.732574,-844.447266,-1.793602,0.001938,14.526642,222.787109,-2.103134,0.002165
NC(=O)C=CC(=O)O,NC(CF)(CF)CF,0.211573,0.000093,14.212341,-881.398438,-2.317154,0.003831,13.035492,-539.912109,-1.949730,0.000727
NC(=O)C=CC(=O)O,CC(C)CCCC(C)CC=O,0.240313,0.000134,10.312286,95.718750,-1.580879,0.002151,13.260132,873.853516,-2.489502,0.004449
NC(=O)C=CC(=O)O,Cc1coc(C)n1,0.204459,0.000067,12.959076,-945.609375,-2.152008,0.003195,11.483490,-314.619141,-1.585320,0.001096
NC(=O)C=CC(=O)O,NC(=S)NC(N)=S,0.243162,0.000175,15.913116,-487.333984,-2.712311,0.004146,19.324951,-468.472656,-3.069672,0.001639
NC(=O)C=CC(=O)O,FC(F)C(Cl)C(F)F,0.279204,0.000214,8.445740,617.929688,-1.898209,0.005648,15.965302,2001.966797,-3.243378,0.004037
NC(=O)C=CC(=O)O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.195555,0.000069,3.007019,2172.306641,-0.801994,0.000151,15.364075,4222.820312,-3.433487,0.004901
NC(=O)C=CC(=O)O,NNC(=O)c1ccccc1,0.213109,0.000117,16.992767,-729.208984,-2.789192,0.003882,13.593140,-893.140625,-2.031128,0.000750
NC(=O)C=CC(=O)O,ClC=CBr,0.259723,0.000177,6.333496,913.119141,-1.527145,0.004714,15.852142,2890.503906,-3.371605,0.003985
NC(=O)C=CC(=O)O,CN(C)N=O,0.218113,0.000106,15.560242,-930.359375,-2.626968,0.004699,15.917877,-547.117188,-2.470612,0.001205
NC(=O)C=CC(=O)O,c1ccc(C2CCCCC2)cc1,0.217551,0.000106,4.648865,1724.562500,-1.035019,0.001470,14.311920,3694.595703,-3.416313,0.004878
NC(=O)C=CC(=O)O,N#Cc1ccncc1,0.218552,0.000102,13.294647,-862.230469,-2.227020,0.003630,14.466095,-238.285156,-2.158310,0.001415
NC(=O)C=CC(=O)O,CN(C)C(=S)Nc1ccccc1,0.260177,0.000192,13.082031,57.140625,-2.372047,0.004706,15.455811,367.054688,-2.741447,0.003007
NC(=O)C=CC(=O)O,CCC(N)CC,0.181214,0.000002,11.372009,-1064.263672,-2.200218,0.003050,7.990631,-219.806641,-0.581520,0.001421
NC(=O)C=CC(=O)O,COC(=O)CO,0.228268,0.000147,16.614532,-550.671875,-2.762314,0.004004,14.894714,-785.982422,-2.256935,0.001165
NC(=O)C=CC(=O)O,Cc1c(N)cccc1Cl,0.262634,0.000191,12.639343,60.140625,-2.215462,0.004322,14.411865,301.220703,-2.620514,0.003640
NC(=O)C=CC(=O)O,CC1CCC(C(C)(C)OO)CC1,0.255838,0.000177,12.927948,373.238281,-2.190300,0.003338,12.435303,61.884766,-2.344460,0.004655
NC(=O)C=CC(=O)O,CC(F)(Cl)CF,0.277891,0.000214,8.176331,860.515625,-1.923920,0.005689,15.004669,2293.318359,-3.200363,0.004285
NC(=O)C=CC(=O)O,CCCCC1OC(C)CC(C)(C)O1,0.231715,0.000106,9.903748,-122.634766,-1.462036,0.001493,11.158295,592.775391,-1.891068,0.004310
NC(=O)C=CC(=O)O,CC(C)(C)OCC1CO1,0.232070,0.000123,12.062866,-424.746094,-1.930855,0.002291,14.961517,259.265625,-2.350471,0.003002
NC(=O)C=CC(=O)O,O=P(O)(O)OP(=O)(O)O,0.165274,-0.000007,18.143799,-1250.337891,-3.084091,0.004957,8.937286,-1286.994141,-1.469276,0.000644
NC(=O)C=CC(=O)O,CC(=O)Nc1ccc(C)cc1,0.233088,0.000135,13.657532,-360.300781,-2.285477,0.004002,11.643250,-267.388672,-1.951065,0.002054
NC(=O)C=CC(=O)O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.257059,0.000208,15.949615,-82.228516,-2.837051,0.004704,18.046783,-243.248047,-3.004921,0.002586
NC(=O)C=CC(=O)O,CC(C)(O)CCC1CCCCC1,0.227728,0.000111,11.641052,97.376953,-1.874199,0.002893,9.465881,-16.279297,-1.807785,0.003986
NC(=O)C=CC(=O)O,COCC(F)(F)F,0.266966,0.000189,9.775085,216.908203,-1.861191,0.004593,15.560059,1394.191406,-2.920822,0.003653
NC(=O)C=CC(=O)O,COCC(O)COC,0.202068,0.000079,16.081421,-888.462891,-2.512016,0.003359,12.883728,-1031.263672,-1.936646,0.001191
NC(=O)C=CC(=O)O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.227303,0.000140,16.121155,-153.585938,-2.615822,0.003382,12.805511,-776.197266,-2.143387,0.002876
NC(=O)C=CC(=O)O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.246605,0.000185,16.192047,-234.179688,-2.800720,0.004436,16.274506,-537.134766,-2.598305,0.001949
NC(=O)C=CC(=O)O,CC(C)C(F)F,0.252861,0.000167,6.382050,1091.466797,-1.506729,0.003888,15.027252,2927.384766,-3.328606,0.004309
NC(=O)C=CC(=O)O,CCCCC1C=C(C)CC(C)O1,0.226899,0.000100,8.805023,78.007812,-1.265633,0.001329,11.315613,1100.066406,-2.102539,0.004463
NC(=O)C=CC(=O)O,COc1ccc(C(C)=O)cc1,0.227700,0.000118,13.087463,-606.388672,-2.103676,0.003685,13.002258,-194.447266,-2.123169,0.001894
NC(=O)C=CC(=O)O,Oc1cc(O)ncn1,0.246191,0.000180,15.834534,-100.943359,-2.733696,0.004352,14.700928,-608.091797,-2.371246,0.002452
NC(=O)C=CC(=O)O,COCCCCl,0.239104,0.000129,10.182434,-228.394531,-1.747704,0.002870,14.893250,754.294922,-2.468300,0.003422
NC(=O)C=CC(=O)O,CCCOC,0.224860,0.000098,10.034515,-388.945312,-1.634560,0.002293,13.982391,701.416016,-2.211533,0.003181
NC(=O)C=CC(=O)O,Fc1c(F)c(F)c(F)c(F)c1F,0.208322,0.000090,3.994354,1748.191406,-1.016548,0.001705,14.847351,3859.210938,-3.417053,0.004207
NC(=O)C=CC(=O)O,CCP(CC)CC,0.215447,0.000078,7.239960,-114.396484,-1.129501,0.001370,13.519897,1845.095703,-2.224808,0.003284
NC(=O)C=CC(=O)O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.214451,0.000064,10.038422,-126.310547,-1.529144,0.001574,8.206268,305.205078,-1.398430,0.004279
NC(=O)C=CC(=O)O,Fc1cc(F)c(F)cc1F,0.242988,0.000147,5.352509,1359.339844,-1.333847,0.003418,14.440125,3210.130859,-3.279594,0.004330
NC(=O)C=CC(=O)O,CCCCc1ccc(C(=O)O)cc1,0.260990,0.000184,12.628815,392.425781,-2.195862,0.003741,12.902313,152.183594,-2.433495,0.004595
NC(=O)C=CC(=O)O,C=Cc1c(C)cc(C)cc1C,0.225001,0.000119,5.215485,1626.273438,-1.160095,0.002048,14.408173,3471.917969,-3.415024,0.004996
NC(=O)C=CC(=O)O,C=C(C)C(=O)OC(C)(C)C,0.242103,0.000140,10.796783,88.642578,-1.709160,0.002493,13.758270,820.455078,-2.575195,0.004382
NC(=O)C=CC(=O)O,FC1CCCN1,0.236050,0.000149,15.369263,-619.017578,-2.571449,0.004199,17.628021,-321.683594,-2.790459,0.001707
NC(=O)C=CC(=O)O,CCCCCCCC(=O)NC,0.208463,0.000080,13.500305,-592.492188,-2.140366,0.003458,9.211304,-578.367188,-1.469681,0.001679
NC(=O)C=CC(=O)O,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.207114,0.000089,3.694763,2105.068359,-1.017410,0.001470,13.977295,3872.408203,-3.403404,0.005233
NC(=O)C=CC(=O)O,C1=CC2C=CC1C2,0.223537,0.000115,4.660400,1284.488281,-1.148315,0.002515,15.638672,3567.958984,-3.415527,0.003830
NC(=O)C=CC(=O)O,CCC(C)(O)CCC=C(C)C,0.224029,0.000104,11.766418,-38.291016,-1.880875,0.002993,9.300903,-136.562500,-1.699234,0.003429
NC(=O)C=CC(=O)O,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.163392,0.000023,9.573700,2652.677734,-0.411552,-0.004972,7.969452,1953.044922,-2.511940,0.007967
NC(=O)C=CC(=O)O,CCC(C)CCF,0.235452,0.000136,5.856720,1276.271484,-1.261505,0.002535,14.541962,3060.587891,-3.323845,0.004822
NC(=O)C=CC(=O)O,C=Cc1cccc(CC)c1,0.229817,0.000127,5.496002,1488.287109,-1.200577,0.002356,14.519348,3371.447266,-3.414490,0.004786
NC(=O)C=CC(=O)O,CC(C)(C(O)(F)F)C(F)(F)F,0.229879,0.000100,9.770538,-715.332031,-1.691422,0.003066,13.417511,696.070312,-1.871826,0.002470
NC(=O)C=CC(=O)O,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.218489,0.000107,4.071442,1544.474609,-0.972260,0.001674,15.358612,3757.470703,-3.462860,0.004408
NC(=O)C=CC(=O)O,CCN(CC)c1ccc(N)cc1,0.219507,0.000111,14.314209,-504.181641,-2.377495,0.004193,11.616150,-555.632812,-1.912682,0.001941
NC(=O)C=CC(=O)O,FC(F)CC(F)(F)F,0.266170,0.000190,6.855377,1073.908203,-1.627365,0.004476,14.750732,2696.710938,-3.278358,0.004487
NC(=O)C=CC(=O)O,N#CCCOCCC#N,0.255465,0.000195,15.078094,-276.175781,-2.643692,0.004779,16.935242,-133.277344,-2.838379,0.002289
NC(=O)C=CC(=O)O,CCC(C)C(C)C(C)C,0.183505,0.000051,2.512177,2078.867188,-0.745842,0.000446,15.599945,4523.886719,-3.582878,0.004393
NC(=O)C=CC(=O)O,Cn1c(=O)ccc2ccccc21,0.190394,0.000042,15.140259,-1150.390625,-2.615341,0.004737,10.760895,-791.470703,-1.643425,0.000254
NC(=O)C=CC(=O)O,CCOC(=O)c1ccccc1N,0.255106,0.000176,13.019409,22.013672,-2.141777,0.003423,13.272766,49.335938,-2.397079,0.003646
NC(=O)C=CC(=O)O,ClC1CN2CCC1CC2,0.207808,0.000054,10.113800,-794.955078,-1.821404,0.002346,11.466217,242.755859,-1.273720,0.002122
NC(=O)C=CC(=O)O,CC=CCCCCCCCC#N,0.254926,0.000167,11.349152,485.521484,-1.920433,0.003090,12.797821,793.378906,-2.602310,0.005155
NC(=O)C=CC(=O)O,COCCl,0.275974,0.000217,10.283051,289.896484,-2.128769,0.005956,17.141205,1677.835938,-3.299026,0.003146
NC(=O)C=CC(=O)O,NCCc1cccnc1,0.167485,0.000000,17.242950,-1275.574219,-2.723297,0.003941,8.305054,-1362.521484,-1.391014,0.000915
NC(=O)C=CC(=O)O,Cc1cccc(C(=O)O)c1,0.256182,0.000184,13.770508,-50.640625,-2.397125,0.004219,13.743988,-153.431641,-2.355453,0.003009
NC(=O)C=CC(=O)O,C=CCNC,0.192929,0.000031,11.930542,-991.708984,-2.224960,0.003340,9.598419,-292.953125,-1.047058,0.001276
NC(=O)C=CC(=O)O,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.163486,0.000021,1.809143,2467.591797,-0.692970,-0.000315,14.954132,4700.468750,-3.454361,0.004410
NC(=O)C=CC(=O)O,CC(CO)C(F)(F)F,0.255102,0.000178,13.323059,55.474609,-2.312126,0.003883,12.881378,-157.681641,-2.210655,0.003232
NC(=O)C=CC(=O)O,CC(C)C(=O)C(F)(F)F,0.257769,0.000172,7.900055,808.837891,-1.523918,0.003195,15.152893,2180.160156,-3.171196,0.004829
NC(=O)C=CC(=O)O,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.197467,0.000067,3.497162,2117.412109,-0.853287,-0.000398,14.972351,3949.216797,-3.378578,0.005421
NC(=O)C=CC(=O)O,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.227052,0.000117,9.611725,1022.769531,-1.439087,0.000660,12.114899,1403.269531,-2.748199,0.006449
NC(=O)C=CC(=O)O,C=CCN(C)CC=C,0.225247,0.000086,7.830139,-266.951172,-1.300308,0.001390,12.760284,1045.566406,-1.763329,0.003970
NC(=O)C=CC(=O)O,COCC(F)C(F)(F)F,0.268363,0.000188,9.693176,272.068359,-1.814636,0.004267,14.292694,1217.802734,-2.719643,0.004247
NC(=O)C=CC(=O)O,CNC(C)(C)C,0.185061,0.000005,10.294983,-1041.890625,-2.016548,0.002537,9.512390,165.072266,-0.664459,0.001870
NC(=O)C=CC(=O)O,C1COCCOCCOCCO1,0.206924,0.000073,14.202850,-989.398438,-2.257767,0.002714,13.588135,-577.322266,-1.897064,0.001908
NC(=O)C=CC(=O)O,O=NF,0.257380,0.000195,11.549774,333.804688,-2.452080,0.006386,16.652405,1350.529297,-2.967934,0.001549
NC(=O)C=CC(=O)O,CCN(CC)CCN,0.174452,-0.000009,13.208618,-1174.642578,-2.270233,0.003520,6.931213,-798.941406,-0.858780,0.001564
NC(=O)C=CC(=O)O,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.208237,0.000091,4.010376,1895.951172,-0.925323,0.001013,14.682861,3784.671875,-3.493515,0.005094
NC(=O)C=CC(=O)O,CC(=O)Nc1ccc(Br)cc1,0.238901,0.000149,13.781494,-125.855469,-2.302322,0.003741,11.741577,-149.060547,-2.031746,0.002481
NC(=O)C=CC(=O)O,c1ccc(COc2ccccc2)cc1,0.245565,0.000155,7.542145,1125.035156,-1.485428,0.002971,13.716614,2585.597656,-3.187279,0.004709
NC(=O)C=CC(=O)O,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.187823,0.000058,2.516632,2025.267578,-0.740471,0.000550,15.179932,4322.167969,-3.471573,0.004404
NC(=O)C=CC(=O)O,CC(C)(C)OCF,0.253869,0.000164,10.104431,144.230469,-1.808510,0.003739,15.155884,1248.865234,-2.800575,0.003694
NC(=O)C=CC(=O)O,OCCCCOC1CCCO1,0.208565,0.000083,14.555054,-658.011719,-2.316437,0.003289,11.272247,-846.339844,-1.734169,0.001919
NC(=O)C=CC(=O)O,OCCCCC(O)CO,0.224514,0.000135,16.502594,-261.771484,-2.842934,0.004433,13.401337,-909.515625,-2.156563,0.002561
NC(=O)C=CC(=O)O,CC(C)C(=O)C(=O)O,0.258229,0.000190,13.476440,-145.257812,-2.339172,0.003903,15.912170,-54.837891,-2.613815,0.002839
NC(=O)C=CC(=O)O,N#CCl,0.265494,0.000198,11.421753,93.177734,-2.281403,0.005209,17.068604,916.384766,-2.987915,0.002967
NC(=O)C=CC(=O)O,CC(C)(C)CCO,0.233567,0.000126,12.022797,2.417969,-2.073952,0.003688,11.215790,-40.654297,-2.010643,0.003563
NC(=O)C=CC(=O)O,CCc1cc(C(N)=S)ccn1,0.220824,0.000120,14.614899,-436.349609,-2.393806,0.003799,11.957855,-575.228516,-1.891861,0.001490
NC(=O)C=CC(=O)O,CCCCCCCCCCCCC(N)=O,0.219808,0.000107,13.546326,146.109375,-2.148102,0.002908,9.699463,-389.851562,-1.755623,0.003393
NC(=O)C=CC(=O)O,CCOc1ccccc1F,0.251646,0.000167,8.249329,828.921875,-1.602524,0.003462,15.034180,2371.478516,-3.286163,0.004302
NC(=O)C=CC(=O)O,CCCCCCCCCCCCCCCC(=O)O,0.235526,0.000138,11.100616,1475.466797,-1.769409,0.000934,12.678986,879.421875,-2.789536,0.007012
NC(=O)C=CC(=O)O,CC=CCCCCCC,0.189791,0.000060,3.020264,1989.349609,-0.774162,0.000530,15.133575,4295.117188,-3.525826,0.004610
NC(=O)C=CC(=O)O,FC1CCCC1F,0.267714,0.000197,8.953125,671.810547,-1.912315,0.005028,15.216003,2003.703125,-3.140518,0.003787
NC(=O)C=CC(=O)O,CCC(=O)OCc1ccccc1,0.250820,0.000156,11.554810,6.949219,-1.864128,0.003036,13.096832,486.882812,-2.417442,0.004162
NC(=O)C=CC(=O)O,COC(=O)CCC(C)C(=O)OC,0.236652,0.000135,13.260284,-430.406250,-2.146759,0.003039,14.667267,-0.251953,-2.390305,0.003024
NC(=O)C=CC(=O)O,COC(=O)C1CCCCC1,0.240005,0.000137,11.493469,-134.544922,-1.820564,0.002361,14.116882,460.896484,-2.443901,0.003940
NC(=O)C=CC(=O)O,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,0.226772,0.000136,16.233917,239.962891,-2.639229,0.003212,12.298523,-694.226562,-2.216652,0.004234
NC(=O)C=CC(=O)O,CCOCCC(C)CCCC(C)C,0.209742,0.000069,7.785217,453.234375,-1.036400,0.000448,10.126160,1377.056641,-2.087616,0.005268
